"date","close","volume","open","high","low"
"12:41","39.48","1,290,886","39.28","39.57","38.91"
"2019/04/09","39.4900","5172951.0000","38.4600","39.8100","38.4600"
"2019/04/08","38.5300","2522850.0000","38.1900","38.7900","38.1200"
"2019/04/05","38.2600","1883775.0000","37.5200","38.2900","37.5200"
"2019/04/04","37.4500","997924.0000","37.3600","37.5500","37.2700"
"2019/04/03","37.2500","1705211.0000","37.6200","37.6700","37.1800"
"2019/04/02","37.6200","1157858.0000","37.9100","38.0800","37.4900"
"2019/04/01","37.8500","2174239.0000","38.0400","38.0900","37.5200"
"2019/03/29","38.1300","1931732.0000","38.3300","38.4500","37.7700"
"2019/03/28","38.3000","1194183.0000","38.0200","38.5250","37.9300"
"2019/03/27","37.9500","1822073.0000","38.3700","38.5500","37.7450"
"2019/03/26","38.5200","1791025.0000","38.3900","38.8400","38.2200"
"2019/03/25","38.2800","2059471.0000","38.2000","38.3400","37.8700"
"2019/03/22","38.2400","2787253.0000","37.7400","38.3700","37.7100"
"2019/03/21","37.8600","2688718.0000","36.5200","37.9300","36.1925"
"2019/03/20","36.3200","2023117.0000","36.3900","36.7100","36.2800"
"2019/03/19","36.3000","1578444.0000","36.5200","36.7300","36.1500"
"2019/03/18","36.5600","2055853.0000","36.0600","36.6700","36.0400"
"2019/03/15","36.0100","3569791.0000","35.6400","36.1600","35.5900"
"2019/03/14","35.6400","1939881.0000","35.3700","35.8000","35.2800"
"2019/03/13","35.2700","1872484.0000","35.1000","35.5700","35.0350"
"2019/03/12","35.0500","2387212.0000","35.9200","35.9400","35.0300"
"2019/03/11","35.9000","2101168.0000","35.9300","36.0900","35.5450"
"2019/03/08","36.0200","1675487.0000","35.9800","36.0500","35.6000"
"2019/03/07","35.9200","1711537.0000","36.1600","36.2900","35.7300"
"2019/03/06","36.1400","1854928.0000","36.1000","36.2400","35.8500"
"2019/03/05","36.1000","2174655.0000","36.0000","36.2000","35.7300"
"2019/03/04","36.0000","2851222.0000","36.3800","36.5000","35.3800"
"2019/03/01","36.3500","4153222.0000","36.0000","36.5000","35.5800"
"2019/02/28","36.0200","5901799.0000","36.2100","36.4300","35.2300"
"2019/02/27","36.2100","11369450.0000","34.0500","36.4950","33.1617"
"2019/02/26","32.9100","6303026.0000","32.8500","33.3500","32.6700"
"2019/02/25","32.2600","4014398.0000","32.9600","33.0850","32.1700"
"2019/02/22","32.8300","7744436.0000","33.7700","34.0300","32.2600"
"2019/02/21","35.4400","2129474.0000","35.1600","35.5600","34.9200"
"2019/02/20","35.1800","2507873.0000","34.9800","35.5000","34.8600"
"2019/02/19","35.0100","1893173.0000","34.8300","35.3201","34.6300"
"2019/02/15","34.7900","2533880.0000","34.7300","35.1100","34.6600"
"2019/02/14","34.4500","1900675.0000","34.5000","34.6550","34.2000"
"2019/02/13","34.6600","1619085.0000","34.6100","34.8100","34.4700"
"2019/02/12","34.5600","1730173.0000","34.2200","34.8700","34.0800"
"2019/02/11","34.1600","2336946.0000","34.3500","34.6500","33.8500"
"2019/02/08","34.2900","1599528.0000","34.0600","34.4000","34.0600"
"2019/02/07","34.2000","3213037.0000","33.6800","34.3800","33.4500"
"2019/02/06","34.1900","2612720.0000","35.0000","35.1600","34.1700"
"2019/02/05","34.9600","2563546.0000","35.0100","35.3000","34.6500"
"2019/02/04","35.0100","2308001.0000","35.0200","35.2900","34.7327"
