"date","close","volume","open","high","low"
"12:35","29.56","828,115","28.76","29.66","28.5704"
"2019/04/09","28.3800","1399334.0000","28.9600","29.0000","28.2800"
"2019/04/08","29.3800","2988426.0000","29.7400","30.1800","28.4400"
"2019/04/05","29.4100","2818022.0000","27.7700","29.4100","27.7156"
"2019/04/04","27.5000","1141975.0000","27.0100","27.5600","26.4200"
"2019/04/03","26.7900","1947791.0000","27.3700","27.6500","26.5600"
"2019/04/02","27.2300","1802039.0000","27.3700","27.9800","26.8000"
"2019/04/01","27.0600","1733822.0000","26.3900","27.2800","26.0800"
"2019/03/29","25.7100","2112463.0000","26.6100","27.2000","25.5800"
"2019/03/28","25.7600","1502225.0000","24.3500","25.8400","24.2700"
"2019/03/27","25.3400","1453997.0000","25.8100","26.2320","24.7600"
"2019/03/26","25.8100","1506403.0000","25.6800","26.4100","25.3500"
"2019/03/25","24.4900","2994657.0000","25.2700","25.4700","23.6400"
"2019/03/22","25.6100","3222196.0000","26.8100","26.8700","24.7000"
"2019/03/21","27.5700","1857500.0000","27.0000","27.8400","26.7500"
"2019/03/20","27.0500","3134978.0000","25.2400","27.6500","25.0300"
"2019/03/19","25.1900","2010152.0000","25.4700","25.9500","24.8700"
"2019/03/18","25.0500","1670532.0000","24.1500","25.1200","23.9740"
"2019/03/15","23.9600","1992006.0000","23.6000","24.3700","23.2950"
"2019/03/14","23.9600","2404772.0000","23.4700","24.5699","23.2600"
"2019/03/13","23.9600","2722357.0000","23.1000","24.0900","23.0400"
"2019/03/12","22.5500","2688545.0000","21.5300","22.6400","21.5000"
"2019/03/11","21.2600","2258339.0000","19.8700","21.3700","19.7600"
"2019/03/08","19.5200","2854088.0000","20.2800","20.3100","19.1250"
"2019/03/07","21.3100","1646195.0000","21.7000","21.8800","21.0200"
"2019/03/06","21.5200","2242349.0000","22.3000","22.4000","21.3850"
"2019/03/05","22.6700","1813205.0000","23.7800","23.8618","22.5000"
"2019/03/04","23.7900","1916077.0000","24.0600","24.6800","23.2200"
"2019/03/01","23.7400","1934865.0000","23.8800","24.1800","23.3057"
"2019/02/28","23.6500","6601446.0000","24.8700","26.4500","23.0500"
"2019/02/27","21.8200","2661715.0000","21.5800","22.4500","20.9600"
"2019/02/26","21.2700","1135695.0000","21.6400","22.2000","21.2000"
"2019/02/25","21.7300","2016567.0000","21.2500","22.2500","21.1510"
"2019/02/22","21.7200","1208310.0000","22.2400","22.3600","21.4500"
"2019/02/21","21.6400","1928364.0000","22.0000","22.2021","21.1100"
"2019/02/20","22.1800","1638933.0000","21.6900","22.4000","21.6700"
"2019/02/19","21.7100","2009526.0000","21.3100","22.2000","21.2500"
"2019/02/15","21.5000","2824975.0000","20.5300","21.6800","20.5200"
"2019/02/14","20.1900","2190732.0000","19.2000","20.3900","19.1114"
"2019/02/13","19.5300","3591140.0000","18.3600","19.5480","18.3600"
"2019/02/12","18.2500","2125486.0000","18.5800","19.4900","18.1599"
"2019/02/11","17.8100","2659318.0000","17.2400","17.9700","16.5000"
"2019/02/08","17.6100","3352112.0000","18.7100","18.8000","16.8600"
"2019/02/07","18.7000","3197447.0000","20.9300","20.9300","18.7000"
"2019/02/06","21.2300","1399691.0000","20.4800","21.5100","20.3900"
"2019/02/05","20.7500","969496.0000","20.8400","21.1000","20.4600"
"2019/02/04","20.9900","878573.0000","19.9900","21.0400","19.8800"
"2019/02/01","20.5000","1645213.0000","20.1800","20.9000","20.1500"
"2019/01/31","20.1500","1831879.0000","20.6900","21.1900","19.8400"
