"date","close","volume","open","high","low"
"12:21","143.14","874,463","142.13","143.495","141.98"
"2019/04/09","142.1100","3037700.0000","142.6600","142.9500","141.8400"
"2019/04/08","143.3900","2116945.0000","143.0200","143.4200","142.8700"
"2019/04/05","143.2800","2730860.0000","143.2900","143.5000","142.4600"
"2019/04/04","142.7800","2771087.0000","143.6200","144.1400","142.5400"
"2019/04/03","143.6300","2681044.0000","143.6500","144.2200","143.0100"
"2019/04/02","143.0000","2400493.0000","143.3500","143.9500","142.6000"
"2019/04/01","143.3000","3811916.0000","141.5100","143.4100","141.5100"
"2019/03/29","141.1000","3101419.0000","140.5000","141.2200","140.1500"
"2019/03/28","139.9200","2571619.0000","139.9100","140.4400","139.1000"
"2019/03/27","139.2400","3091432.0000","140.4100","140.4900","138.4000"
"2019/03/26","140.2200","2406340.0000","139.9300","141.0200","139.4200"
"2019/03/25","139.1800","2771582.0000","139.0600","139.9100","138.3500"
"2019/03/22","139.4500","3877002.0000","140.9700","141.4400","138.9000"
"2019/03/21","141.4400","3576952.0000","139.1000","142.1200","138.8800"
"2019/03/20","139.6000","3646608.0000","140.5300","140.7000","138.9800"
"2019/03/19","140.4900","3454919.0000","140.9600","141.7024","140.0020"
"2019/03/18","140.2100","3267620.0000","139.8300","140.3650","138.7200"
"2019/03/15","139.4300","7153180.0000","139.3700","140.3300","139.2300"
"2019/03/14","138.7900","2738418.0000","138.5100","138.9400","138.0600"
"2019/03/13","138.5600","3168333.0000","138.0500","139.3250","137.8500"
"2019/03/12","138.2800","3954350.0000","138.5200","139.6950","137.8600"
"2019/03/11","137.7100","3935904.0000","136.0300","137.7300","135.8400"
"2019/03/08","135.0900","3773562.0000","134.2100","135.2400","133.5800"
"2019/03/07","135.3600","4358264.0000","136.6100","136.8900","134.6343"
"2019/03/06","136.9800","2768250.0000","138.1200","138.3892","136.7200"
"2019/03/05","137.8800","4196775.0000","138.3700","138.7400","137.5550"
"2019/03/04","138.4300","3404089.0000","139.9900","140.0800","137.1700"
"2019/03/01","139.2000","2979597.0000","139.3100","140.0400","138.6400"
"2019/02/28","138.1300","3450137.0000","138.7700","139.0550","137.7200"
"2019/02/27","139.1700","2530848.0000","139.2500","139.5700","138.4007"
"2019/02/26","139.7200","3059551.0000","139.6700","140.4900","139.4700"
"2019/02/25","139.4600","3193627.0000","140.0000","140.4700","139.3200"
"2019/02/22","139.2500","3111900.0000","138.7300","139.3800","138.4300"
"2019/02/21","137.8400","2937236.0000","137.8200","138.3500","137.3500"
"2019/02/20","138.0000","3801087.0000","138.7600","139.2400","137.2203"
"2019/02/19","138.7000","3383978.0000","137.8100","138.7000","137.3600"
"2019/02/15","138.0300","3843467.0000","137.5800","138.1850","137.3850"
"2019/02/14","136.4800","2789396.0000","137.1700","137.6019","136.2100"
"2019/02/13","137.5200","4252066.0000","136.9200","137.9200","136.4100"
"2019/02/12","136.0500","3313222.0000","135.1500","136.2000","134.8600"
"2019/02/11","133.9900","3095030.0000","134.2900","135.1500","133.9100"
"2019/02/08","133.7100","3156272.0000","132.3400","133.7100","132.1900"
"2019/02/07","133.1900","4372136.0000","133.5500","134.4700","132.1200"
"2019/02/06","136.3200","4876834.0000","135.2200","136.6500","135.1700"
"2019/02/05","135.5500","5396802.0000","135.2800","135.8200","134.9200"
"2019/02/04","135.1900","3954689.0000","134.0200","135.2000","132.9900"
"2019/02/01","134.1000","3802091.0000","134.9700","135.2000","133.3500"
"2019/01/31","134.4200","4880772.0000","134.4500","134.7160","133.7400"
"2019/01/30","134.3800","4488827.0000","134.0000","135.0300","133.2500"
"2019/01/29","134.3300","5034563.0000","134.2900","135.4149","133.6000"
"2019/01/28","134.2700","5124522.0000","133.1000","134.8050","132.5800"
"2019/01/25","133.9700","5707375.0000","132.8700","134.4400","132.4300"
"2019/01/24","132.5300","6310355.0000","132.6300","133.2054","131.4300"
"2019/01/23","132.8900","22051560.0000","131.3700","135.0000","130.3100"
"2019/01/22","122.5200","9734454.0000","123.3000","123.8000","121.5400"
"2019/01/18","123.8200","6004928.0000","123.2700","124.7175","122.7100"
"2019/01/17","122.1900","5014762.0000","120.5600","122.4085","120.5500"
"2019/01/16","121.6200","3789197.0000","121.5800","122.0000","120.8300"
"2019/01/15","121.7300","3507503.0000","120.9600","121.9300","120.8200"
"2019/01/14","120.3900","5217705.0000","120.5100","120.6548","119.7607"
"2019/01/11","121.4600","3664065.0000","121.5800","121.6150","120.2000"
"2019/01/10","121.7900","3837848.0000","120.0800","121.8600","119.9500"
"2019/01/09","120.6900","3619359.0000","120.9100","121.4000","119.8700"
"2019/01/08","119.8300","4700622.0000","119.6600","120.5700","118.9800"
"2019/01/07","118.1500","3732918.0000","117.5000","118.8300","116.6700"
"2019/01/04","117.3200","4430160.0000","114.9100","117.4900","114.4400"
"2019/01/03","112.9100","4154119.0000","114.5300","114.8800","112.6900"
"2019/01/02","115.2100","4233847.0000","112.0100","115.9800","111.6900"
"2018/12/31","113.6700","4981706.0000","113.3300","114.3500","112.4201"
"2018/12/28","113.0300","5116291.0000","114.2200","114.8000","112.5000"
"2018/12/27","113.7800","5839611.0000","109.9900","113.7800","109.4699"
"2018/12/26","111.3900","6593685.0000","108.0000","111.3900","105.9400"
"2018/12/24","107.5700","3821376.0000","109.9000","111.0000","107.5000"
"2018/12/21","110.9400","10371780.0000","112.5000","115.2800","110.4400"
"2018/12/20","113.0200","8393880.0000","115.7000","116.4500","111.7000"
"2018/12/19","116.4300","6912152.0000","117.1500","120.2700","115.9700"
"2018/12/18","116.6500","6161819.0000","116.9000","118.2300","116.0200"
"2018/12/17","116.1000","7332780.0000","119.0700","119.7800","115.0700"
"2018/12/14","119.9000","4552052.0000","119.5000","121.1100","119.4400"
"2018/12/13","120.7300","3913588.0000","121.2600","121.7900","120.1700"
"2018/12/12","121.1600","3560423.0000","122.5100","122.8800","121.0000"
"2018/12/11","120.8900","4806171.0000","123.2500","123.8100","120.0000"
"2018/12/10","121.1300","6545975.0000","119.7400","121.6822","118.5200"
"2018/12/07","119.3400","6946644.0000","123.9000","124.0500","118.8700"
"2018/12/06","123.9100","6917204.0000","119.7200","123.9100","119.3010"
"2018/12/04","121.6000","5732774.0000","124.4900","124.9200","121.3300"
"2018/12/03","125.3100","5764562.0000","125.6700","126.5900","124.3600"
"2018/11/30","124.2700","7250091.0000","121.6600","124.6900","121.4800"
"2018/11/29","121.4800","5083509.0000","122.4400","123.1208","121.4000"
"2018/11/28","123.0000","5103750.0000","121.0100","123.0900","120.2200"
"2018/11/27","120.0300","4902206.0000","118.3800","120.0400","118.3700"
"2018/11/26","119.5600","4983724.0000","118.3700","120.2500","118.0600"
"2018/11/23","117.1900","2334730.0000","118.0900","118.3382","116.9100"
"2018/11/21","118.5700","5333589.0000","117.6100","119.5100","117.3900"
"2018/11/20","117.2000","6232010.0000","118.4900","119.4900","116.6955"
"2018/11/19","120.3100","4129149.0000","121.6300","122.1800","119.7700"
"2018/11/16","121.5700","4076283.0000","120.8900","121.8500","120.5405"
"2018/11/15","121.4400","5203470.0000","119.6600","121.4400","119.5100"
"2018/11/14","120.2000","4753027.0000","121.1100","121.9300","119.7700"
"2018/11/13","120.8400","4058494.0000","121.1900","122.2505","119.9000"
"2018/11/12","120.9000","5374419.0000","123.5000","123.5700","120.6500"
"2018/11/09","123.5400","6961728.0000","123.6100","124.5700","121.9600"
"2018/11/08","123.3800","10392940.0000","122.6600","124.4040","122.6300"
"2018/11/07","124.8400","12371100.0000","123.7900","125.0600","122.3300"
"2018/11/06","123.1200","9593084.0000","120.7000","123.8100","120.3100"
"2018/11/05","120.0600","9127909.0000","116.1000","120.7700","116.0000"
"2018/11/02","115.6700","10507760.0000","117.5100","117.7500","114.5384"
"2018/11/01","116.8300","13619520.0000","115.5000","117.0000","115.1100"
"2018/10/31","115.4300","21631840.0000","116.4900","116.5000","114.0900"
"2018/10/30","115.4000","21412910.0000","120.4800","121.5000","115.1500"
"2018/10/29","119.6400","20130510.0000","119.3400","123.9500","118.3000"
"2018/10/26","124.7900","8758967.0000","125.2100","125.7800","123.7100"
"2018/10/25","126.4500","10269570.0000","127.2500","127.7900","125.1400"
"2018/10/24","127.2100","5646273.0000","131.1700","131.6900","127.0000"
"2018/10/23","131.2100","6461726.0000","129.0200","131.9000","128.4100"
"2018/10/22","130.0200","5629672.0000","129.5800","130.4379","128.4000"
"2018/10/19","129.1000","7720795.0000","130.6500","131.8900","127.9600"
"2018/10/18","130.5500","9989208.0000","132.7300","133.4000","130.0400"
"2018/10/17","134.0500","18961040.0000","135.8900","137.1500","133.4193"
"2018/10/16","145.1200","8573985.0000","142.9300","145.4500","141.5800"
"2018/10/15","141.1300","4611820.0000","140.3800","142.2600","140.1400"
"2018/10/12","140.8500","6391828.0000","141.1200","141.5400","139.0800"
"2018/10/11","139.0200","8702607.0000","142.6200","144.1900","138.7800"
"2018/10/10","142.6900","5272862.0000","147.5000","147.6900","142.5000"
"2018/10/09","147.2400","3641387.0000","148.0800","148.3600","146.9300"
"2018/10/08","148.3900","3229339.0000","148.5000","149.0700","147.1800"
"2018/10/05","149.0300","4602216.0000","150.9000","151.7900","147.8700"
"2018/10/04","151.3100","4237519.0000","151.6900","152.8000","150.3600"
"2018/10/03","153.2200","3315292.0000","154.0000","154.3600","152.8000"
"2018/10/02","153.7500","3025052.0000","152.9900","153.8400","152.5000"
"2018/10/01","153.0000","3737903.0000","151.7100","153.4200","151.7100"
"2018/09/28","151.2100","3305324.0000","151.1600","151.6250","150.7900"
"2018/09/27","151.5000","3475431.0000","152.0100","152.3888","151.1600"
"2018/09/26","151.6100","7147572.0000","152.4000","153.3500","151.3400"
"2018/09/25","148.9100","4030483.0000","149.9100","150.4100","148.3600"
"2018/09/24","150.0300","4215756.0000","151.1000","151.2000","149.4600"
"2018/09/21","151.3500","19847660.0000","151.4800","152.6000","150.7400"
"2018/09/20","151.1500","5822864.0000","149.5800","151.3800","149.4400"
"2018/09/19","149.0600","4246174.0000","148.6300","149.9599","148.2300"
"2018/09/18","148.5600","3413076.0000","147.7600","148.9850","147.4700"
"2018/09/17","147.9400","3307740.0000","148.4400","149.0700","147.7700"
"2018/09/14","148.3300","3240966.0000","148.8500","149.3000","147.7800"
"2018/09/13","148.9500","5150862.0000","147.3500","149.0000","147.1179"
"2018/09/12","146.5700","4490979.0000","146.3700","147.9800","146.0300"
"2018/09/11","146.4900","3374678.0000","146.0000","146.9900","145.2500"
"2018/09/10","145.6500","3335742.0000","146.6000","147.3000","145.5600"
"2018/09/07","145.4500","4453753.0000","145.9400","146.5031","145.1200"
"2018/09/06","146.3900","4248781.0000","146.8800","147.6600","145.5400"
"2018/09/05","146.6600","3107991.0000","145.1900","146.7500","145.0500"
"2018/09/04","145.6800","3090177.0000","145.9800","146.1900","144.8100"
"2018/08/31","146.4800","3436359.0000","145.7200","146.7800","145.5401"
"2018/08/30","145.9300","3338329.0000","147.0300","147.3000","145.2500"
"2018/08/29","147.5400","2699766.0000","146.8700","147.9300","146.6000"
"2018/08/28","146.5900","2449441.0000","146.9500","146.9900","146.1900"
"2018/08/27","146.6900","3026798.0000","146.9400","147.6200","146.5200"
"2018/08/24","146.0400","2727395.0000","145.4600","146.0869","144.8700"
"2018/08/23","145.3700","2220427.0000","145.0400","145.5200","144.7500"
"2018/08/22","145.2400","2246709.0000","146.0100","146.1600","145.1900"
"2018/08/21","145.9700","2813028.0000","147.0000","147.1200","145.8900"
"2018/08/20","146.5100","2499398.0000","146.3700","147.1600","146.1500"
"2018/08/17","146.0600","2678645.0000","144.7900","146.3900","144.6900"
"2018/08/16","145.3400","5250704.0000","144.3700","145.6800","144.3700"
"2018/08/15","143.9100","4240961.0000","142.5500","144.0000","142.0000"
"2018/08/14","143.3600","2860006.0000","143.0000","143.8200","142.9300"
"2018/08/13","142.7100","2858415.0000","144.1500","144.3000","142.5300"
"2018/08/10","144.4800","3001883.0000","144.5000","145.0700","143.8800"
"2018/08/09","144.7700","3093453.0000","145.5300","145.9400","144.7300"
"2018/08/08","146.8900","3580415.0000","147.3300","147.4300","146.2400"
"2018/08/07","147.0100","3505622.0000","146.6500","147.6400","146.3500"
"2018/08/06","146.0300","3912466.0000","146.9500","147.2000","145.5700"
"2018/08/03","147.7000","8053092.0000","143.2400","147.9200","143.0000"
"2018/08/02","142.9600","3836238.0000","142.8600","143.3600","142.3300"
"2018/08/01","143.5000","3387120.0000","144.7600","145.1900","143.3400"
"2018/07/31","144.9300","5473146.0000","145.7400","145.8000","144.1590"
"2018/07/30","145.4900","3450004.0000","144.8000","146.2400","144.6900"
"2018/07/27","145.1500","3749286.0000","146.8900","147.1400","144.6600"
"2018/07/26","146.7100","4776629.0000","147.4300","149.2700","146.6300"
"2018/07/25","146.6200","3628272.0000","146.0100","146.6500","145.5000"
"2018/07/24","146.3800","3891462.0000","146.7000","147.0400","145.9200"
"2018/07/23","145.7000","3767643.0000","146.3500","146.7000","145.0150"
"2018/07/20","146.3500","6411644.0000","148.5800","148.8600","146.2600"
"2018/07/19","149.2400","14536290.0000","147.8500","150.5400","147.2500"
"2018/07/18","144.5200","6651091.0000","143.5100","144.8000","142.7351"
"2018/07/17","143.4900","5087700.0000","144.7500","145.0000","143.3400"
"2018/07/16","145.4600","3463840.0000","145.6700","145.7900","144.2100"
"2018/07/13","145.9000","3062531.0000","146.4500","146.9799","145.8000"
"2018/07/12","146.4500","3096255.0000","145.8500","146.8300","145.7400"
"2018/07/11","144.9400","3466858.0000","144.0000","146.1900","144.0000"
"2018/07/10","144.7100","3721923.0000","144.5100","145.5900","144.2550"
"2018/07/09","144.3900","3840834.0000","142.5900","144.7200","142.4700"
"2018/07/06","142.4800","2910426.0000","141.5300","142.9400","141.1700"
"2018/07/05","141.4300","3684736.0000","140.4800","141.4300","139.9300"
"2018/07/03","139.5700","1963232.0000","140.6500","140.9400","139.3678"
"2018/07/02","139.8600","3404522.0000","138.2800","140.2200","138.2000"
"2018/06/29","139.7000","3709514.0000","140.3200","141.3590","139.6100"
"2018/06/28","140.0400","4523146.0000","138.1000","140.5400","137.9450"
"2018/06/27","137.4800","4097173.0000","139.1100","139.7800","137.4500"
"2018/06/26","139.0800","4132936.0000","139.3600","139.8499","138.3300"
