"date","close","volume","open","high","low"
"12:29","5.58","51,541","5.65","5.69","5.40"
"2019/04/09","5.6500","35006.0000","5.6500","5.7400","5.2900"
"2019/04/08","5.6600","181887.0000","5.8100","5.8100","5.4400"
"2019/04/05","5.7900","152013.0000","5.7900","5.9800","5.6400"
"2019/04/04","5.7400","353924.0000","5.1300","5.8723","5.1300"
"2019/04/03","5.1300","111478.0000","5.2100","5.3500","5.0500"
"2019/04/02","5.2200","262289.0000","5.0200","5.3200","4.7838"
"2019/04/01","5.0100","152836.0000","5.1800","5.2800","4.6972"
"2019/03/29","5.1700","190702.0000","4.8500","5.3400","4.7592"
"2019/03/28","4.8400","139213.0000","4.5700","4.9200","4.3300"
"2019/03/27","4.5700","85770.0000","4.3600","4.7200","4.3100"
"2019/03/26","4.3900","58307.0000","4.3900","4.5800","4.3000"
"2019/03/25","4.3800","96797.0000","4.1300","4.4800","4.0500"
"2019/03/22","4.1300","85162.0000","4.1100","4.2300","4.1000"
"2019/03/21","4.2000","168523.0000","4.2000","4.3500","4.1300"
"2019/03/20","4.2000","104817.0000","4.5800","4.5800","4.1700"
"2019/03/19","4.6000","98796.0000","4.4100","4.7500","4.2000"
"2019/03/18","4.5000","211963.0000","4.8100","4.8100","4.3700"
"2019/03/15","4.4600","202133.0000","4.6900","4.8800","4.3100"
"2019/03/14","4.6600","53187.0000","4.4800","4.8400","4.1300"
"2019/03/13","4.5000","93589.0000","4.4100","4.5500","4.3200"
"2019/03/12","4.4100","33829.0000","4.4850","4.5004","4.2600"
"2019/03/11","4.4300","94129.0000","4.3100","4.5500","4.3100"
"2019/03/08","4.3200","92564.0000","4.5800","4.5900","4.2300"
"2019/03/07","4.6350","87002.0000","4.6100","4.7100","4.6000"
"2019/03/06","4.6100","122336.0000","4.8100","4.8400","4.3900"
"2019/03/05","4.8400","128046.0000","4.9000","5.1000","4.6300"
"2019/03/04","4.9100","389969.0000","5.0100","5.1700","4.6000"
"2019/03/01","5.0100","113005.0000","5.1200","5.1400","4.9800"
"2019/02/28","5.1300","269591.0000","5.5900","5.6800","5.0000"
"2019/02/27","5.5200","475833.0000","5.3800","5.9000","5.2850"
"2019/02/26","5.3600","84829.0000","5.3900","5.5900","5.2800"
"2019/02/25","5.4700","152359.0000","5.5700","5.6500","5.3400"
"2019/02/22","5.5100","211513.0000","5.1400","5.6700","5.1400"
"2019/02/21","5.1500","28900.0000","5.2700","5.3799","5.0209"
"2019/02/20","5.2700","144194.0000","5.1700","5.4700","5.1638"
"2019/02/19","5.2400","59148.0000","5.5400","5.5600","5.2000"
"2019/02/15","5.4600","64010.0000","5.3000","5.5100","5.2600"
"2019/02/14","5.2700","133364.0000","5.0800","5.4500","5.0351"
"2019/02/13","5.0700","85832.0000","4.8700","5.2300","4.8700"
"2019/02/12","4.8700","119243.0000","5.0500","5.1200","4.8100"
"2019/02/11","5.0400","127511.0000","5.2800","5.3800","5.0400"
"2019/02/08","5.2300","130985.0000","5.3300","5.6000","5.1100"
"2019/02/07","5.4000","56371.0000","5.4900","5.4900","5.2001"
"2019/02/06","5.4900","97829.0000","5.5500","5.7200","5.3500"
"2019/02/05","5.5100","188751.0000","5.2000","5.6400","5.1848"
"2019/02/04","5.1700","168054.0000","5.3400","5.4000","5.0500"
"2019/02/01","5.3500","131550.0000","5.4000","5.4650","5.1250"
"2019/01/31","5.4000","176025.0000","5.5100","5.6000","5.3100"
"2019/01/30","5.5900","275444.0000","5.2900","5.7000","5.0500"
"2019/01/29","5.5800","139609.0000","5.9600","5.9600","5.5600"
"2019/01/28","5.9700","339039.0000","6.0500","6.0500","5.0500"
"2019/01/25","6.0500","648722.0000","5.7500","6.1000","5.7500"
"2019/01/24","5.7800","679403.0000","5.2500","5.7900","5.2000"
"2019/01/23","5.2500","221888.0000","4.8800","5.3300","4.7800"
"2019/01/22","4.8400","148946.0000","4.7900","5.0350","4.7300"
"2019/01/18","4.9300","299842.0000","4.6500","5.0500","4.5700"
"2019/01/17","4.5500","340584.0000","4.2100","4.7600","4.2100"
"2019/01/16","4.2700","248426.0000","4.4500","4.5000","4.1500"
"2019/01/15","4.3700","183727.0000","4.3600","4.6000","4.3100"
"2019/01/14","4.3500","398290.0000","4.2100","4.5704","4.0180"
"2019/01/11","4.1350","41881.0000","4.0000","4.1900","4.0000"
"2019/01/10","4.1100","65694.0000","4.1600","4.1800","4.0000"
"2019/01/09","4.1300","136720.0000","4.2000","4.3300","4.1100"
"2019/01/08","4.1800","173687.0000","4.2400","4.2640","4.0100"
"2019/01/07","4.1100","315742.0000","3.7500","4.3000","3.5600"
"2019/01/04","3.7500","118959.0000","3.6500","3.8500","3.6100"
"2019/01/03","3.6500","117844.0000","3.7600","3.8600","3.5200"
"2019/01/02","3.7700","91986.0000","3.6700","3.8500","3.6700"
"2018/12/31","3.7000","122409.0000","3.6300","3.9300","3.5800"
"2018/12/28","3.6300","264381.0000","3.4900","3.8600","3.4500"
"2018/12/27","3.4900","93162.0000","3.5400","3.6600","3.3890"
"2018/12/26","3.6700","86222.0000","3.6600","3.8099","3.4200"
"2018/12/24","3.5700","120711.0000","3.6900","3.8620","3.5400"
"2018/12/21","3.6800","134143.0000","3.8900","3.9800","3.6300"
"2018/12/20","3.9000","312447.0000","3.7800","3.9900","3.4600"
"2018/12/19","3.8000","47524.0000","3.8700","3.9300","3.7000"
"2018/12/18","3.7800","62609.0000","3.9300","4.0000","3.6200"
"2018/12/17","3.7700","50056.0000","3.7700","3.9399","3.5700"
"2018/12/14","3.7600","69961.0000","3.8800","3.9228","3.6600"
"2018/12/13","3.9800","66495.0000","4.0900","4.1000","3.8910"
"2018/12/12","4.0900","122889.0000","4.1000","4.1200","4.0200"
"2018/12/11","4.0600","66231.0000","3.9800","4.2040","3.9300"
"2018/12/10","3.9500","25578.0000","3.8000","4.1000","3.8000"
"2018/12/07","3.8700","189102.0000","4.4900","4.5331","3.6700"
"2018/12/06","4.1100","146440.0000","4.0000","4.1600","3.9000"
"2018/12/04","4.0800","82146.0000","4.1300","4.1879","3.9000"
"2018/12/03","4.2000","311976.0000","4.4100","4.4800","3.9100"
"2018/11/30","4.3400","175627.0000","3.8700","4.6800","3.6200"
"2018/11/29","3.8200","230481.0000","3.2600","3.8800","3.2600"
"2018/11/28","3.2700","113370.0000","3.2300","3.3000","3.0000"
"2018/11/27","3.2300","17009.0000","3.0793","3.2600","3.0793"
"2018/11/26","3.1700","103341.0000","3.1500","3.2600","3.0400"
"2018/11/23","3.1000","23298.0000","2.9900","3.1000","2.9648"
"2018/11/21","3.0300","17212.0000","3.0400","3.0800","2.9900"
"2018/11/20","3.0400","33904.0000","2.9200","3.1400","2.9100"
"2018/11/19","2.9800","107127.0000","2.8900","3.2638","2.8800"
"2018/11/16","2.8900","67463.0000","2.9000","2.9537","2.8900"
"2018/11/15","2.9000","62873.0000","2.8300","3.0000","2.8300"
"2018/11/14","2.8500","131065.0000","2.9000","3.0500","2.8100"
"2018/11/13","2.8100","151109.0000","2.5200","3.0600","2.5000"
"2018/11/12","2.5400","118978.0000","2.7200","2.7300","2.5000"
"2018/11/09","2.7300","136871.0000","2.8900","2.8900","2.4250"
"2018/11/08","2.8500","10360.0000","2.7800","2.9000","2.7253"
"2018/11/07","2.7800","16058.0000","2.7800","2.8550","2.6700"
"2018/11/06","2.7900","177750.0000","2.7000","2.8700","2.5900"
"2018/11/05","2.6900","101394.0000","2.9100","2.9300","2.6500"
"2018/11/02","2.8900","3688.0000","2.9200","2.9300","2.8801"
"2018/11/01","2.9200","10429.0000","2.9300","2.9300","2.9000"
"2018/10/31","2.9200","16712.0000","2.9100","2.9300","2.8800"
"2018/10/30","2.8800","20394.0000","2.9100","2.9700","2.8500"
"2018/10/29","2.8600","115193.0000","3.0400","3.1600","2.8500"
"2018/10/26","3.0400","22641.0000","3.1200","3.1500","3.0000"
"2018/10/25","3.1100","43388.0000","3.0400","3.1500","3.0000"
"2018/10/24","3.0100","32953.0000","3.0800","3.2300","3.0000"
"2018/10/23","3.1000","199844.0000","3.0900","3.4899","3.0400"
"2018/10/22","3.0900","59004.0000","3.0900","3.1583","3.0200"
"2018/10/19","3.1000","12315.0000","3.1500","3.2300","3.0908"
"2018/10/18","3.1700","83338.0000","3.3100","3.3517","3.0800"
"2018/10/17","3.3100","45782.0000","3.3100","3.3600","3.3100"
"2018/10/16","3.2900","43406.0000","3.2600","3.3400","3.2100"
"2018/10/15","3.2900","110307.0000","3.2600","3.3500","3.2500"
"2018/10/12","3.3144","127618.0000","3.2500","3.3834","3.2500"
"2018/10/11","3.2600","70651.0000","3.0000","3.2950","3.0000"
"2018/10/10","3.0100","56902.0000","3.2700","3.2700","3.0100"
"2018/10/09","3.2400","92645.0000","3.1000","3.3200","3.1000"
"2018/10/08","3.0900","86335.0000","3.0500","3.1500","3.0500"
"2018/10/05","3.1000","126181.0000","3.0200","3.1200","3.0200"
"2018/10/04","3.0413","19310.0000","3.0900","3.0900","3.0400"
"2018/10/03","3.1000","48644.0000","3.0400","3.1300","3.0000"
"2018/10/02","2.9700","25499.0000","2.9000","3.0000","2.8200"
"2018/10/01","2.9000","90957.0000","2.9000","3.0999","2.8301"
"2018/09/28","2.9100","41534.0000","3.0900","3.0900","2.9100"
"2018/09/27","3.0100","100680.0000","2.9000","3.0900","2.9000"
"2018/09/26","2.9200","38938.0000","2.9900","3.0900","2.8887"
"2018/09/25","3.0000","22940.0000","2.9300","3.1300","2.9060"
"2018/09/24","2.9300","38468.0000","2.9800","3.0900","2.8858"
"2018/09/21","2.9900","105194.0000","2.8900","3.0000","2.8000"
"2018/09/20","2.8500","28442.0000","2.9000","2.9000","2.8100"
"2018/09/19","2.8800","58224.0000","2.9500","3.0000","2.8590"
"2018/09/18","2.9200","11100.0000","2.9100","2.9200","2.8800"
"2018/09/17","2.9100","58419.0000","2.9200","2.9200","2.8500"
"2018/09/14","2.9200","27714.0000","2.8100","3.0000","2.8100"
"2018/09/13","2.8500","30524.0000","2.8700","2.9100","2.8300"
"2018/09/12","2.8900","31232.0000","2.8800","2.9900","2.8500"
"2018/09/11","2.8900","24394.0000","2.9200","2.9900","2.8600"
"2018/09/10","2.9600","12933.0000","2.9900","3.0000","2.8900"
"2018/09/07","2.9500","11505.0000","2.9500","2.9500","2.9400"
"2018/09/06","2.9500","19140.0000","2.9700","3.0000","2.9400"
"2018/09/05","2.9800","33209.0000","3.0000","3.0100","2.9800"
"2018/09/04","3.0200","5521.0000","3.0900","3.0900","3.0006"
"2018/08/31","3.0000","15177.0000","3.0900","3.0900","2.9901"
"2018/08/30","3.0300","28898.0000","3.0600","3.0600","3.0208"
"2018/08/29","3.0400","25417.0000","2.9800","3.0950","2.9600"
"2018/08/28","2.9700","100280.0000","2.9100","3.0350","2.9100"
"2018/08/27","2.8900","30112.0000","2.8900","2.9600","2.8764"
"2018/08/24","2.9000","48406.0000","2.8700","2.9700","2.8501"
"2018/08/23","2.9000","4839.0000","2.8500","2.9000","2.8500"
"2018/08/22","2.8700","27491.0000","2.8100","2.9400","2.8100"
"2018/08/21","2.8600","21593.0000","2.9600","2.9600","2.8600"
"2018/08/20","2.9550","11346.0000","2.8700","2.9800","2.8700"
"2018/08/17","2.8700","35282.0000","2.9500","2.9631","2.8501"
"2018/08/16","2.9400","17966.0000","2.9100","3.0244","2.9000"
"2018/08/15","2.8800","66331.0000","2.9900","3.1000","2.8300"
"2018/08/14","2.9300","39713.0000","2.9570","3.0000","2.9100"
"2018/08/13","2.9300","35062.0000","2.9000","2.9800","2.8001"
"2018/08/10","2.9000","49126.0000","2.9900","2.9900","2.8648"
"2018/08/09","2.9700","31489.0000","3.1800","3.3300","2.9400"
"2018/08/08","3.1900","164795.0000","3.1300","3.3443","3.1300"
"2018/08/07","2.9600","42042.0000","3.6000","3.6500","2.9200"
"2018/08/06","2.9700","6226.0000","2.9400","2.9800","2.9400"
"2018/08/03","2.9300","32527.0000","2.9000","2.9800","2.8596"
"2018/08/02","2.9300","17494.0000","2.9800","3.0090","2.9068"
"2018/08/01","2.9900","11952.0000","3.0200","3.0400","2.9507"
"2018/07/31","3.0400","34821.0000","2.9540","3.1300","2.8100"
"2018/07/30","2.9900","12068.0000","2.9310","3.0300","2.9310"
"2018/07/27","3.0000","2624.0000","3.0200","3.1000","3.0000"
"2018/07/26","3.0100","65938.0000","2.9500","3.1000","2.8000"
"2018/07/25","3.0000","20581.0000","3.0000","3.0100","2.9600"
"2018/07/24","3.0000","51703.0000","2.9203","3.1300","2.9203"
"2018/07/23","3.0200","46140.0000","2.9680","3.0300","2.8900"
"2018/07/20","3.0000","19491.0000","2.9900","3.0300","2.9600"
"2018/07/19","2.9800","26732.0000","3.0100","3.0200","2.9700"
"2018/07/18","3.0000","98195.0000","2.9700","3.0200","2.8710"
"2018/07/17","2.9700","76604.0000","3.0600","3.0600","2.9500"
"2018/07/16","3.0700","17993.0000","3.0300","3.0900","3.0300"
"2018/07/13","3.0590","54313.0000","3.0900","3.1142","3.0300"
"2018/07/12","3.1000","31047.0000","3.0900","3.1300","3.0500"
"2018/07/11","3.1000","64226.0000","3.0100","3.1000","3.0100"
