"date","close","volume","open","high","low"
"12:30","1.61","189,607","1.47","1.65","1.4501"
"2019/04/09","1.4400","635230.0000","1.5500","1.5500","1.3300"
"2019/04/08","1.5400","81733.0000","1.5200","1.5600","1.5001"
"2019/04/05","1.5200","225695.0000","1.6200","1.6299","1.4900"
"2019/04/04","1.6000","141949.0000","1.6900","1.7366","1.5900"
"2019/04/03","1.6700","568551.0000","1.8000","1.9800","1.6500"
"2019/04/02","1.7900","300612.0000","1.8400","1.9500","1.7800"
"2019/04/01","1.8400","381314.0000","1.8300","1.9500","1.7800"
"2019/03/29","2.0600","1796353.0000","1.5700","2.1296","1.5400"
"2019/03/28","1.5700","188348.0000","1.7100","1.7300","1.5600"
"2019/03/27","1.7100","378662.0000","1.9000","1.9100","1.6300"
"2019/03/26","1.9800","201692.0000","2.1000","2.1200","1.9100"
"2019/03/25","2.1000","414015.0000","1.9500","2.1500","1.9400"
"2019/03/22","1.9400","397546.0000","2.0700","2.2000","1.9100"
"2019/03/21","2.0900","222803.0000","2.1300","2.1400","2.0100"
"2019/03/20","2.1300","216181.0000","2.3000","2.3699","2.0700"
"2019/03/19","2.3100","446742.0000","2.4700","2.6100","2.2500"
"2019/03/18","2.4500","1134705.0000","2.0300","2.8700","2.0200"
"2019/03/15","2.0200","1221185.0000","2.5300","2.5400","2.0200"
"2019/03/14","2.5500","631691.0000","3.0000","3.0000","2.4100"
"2019/03/13","2.8390","1000000.0000","3.9800","4.4000","2.5600"
"2019/03/12","3.8000","788596.0000","4.9810","5.4000","3.7000"
"2019/03/11","4.4680","1108156.0000","3.5000","5.1970","3.4440"
"2019/03/08","3.5000","433245.0000","3.0400","3.6000","2.8000"
"2019/03/07","3.0500","200212.0000","2.9000","3.2000","2.7829"
"2019/03/06","2.9990","300775.0000","2.5000","3.2000","2.4000"
"2019/03/05","2.6470","524228.0000","3.3000","3.3000","2.5100"
"2019/03/04","3.3420","1091604.0000","1.9350","3.5000","1.9110"
"2019/03/01","1.9000","118436.0000","1.8400","1.9000","1.7900"
"2019/02/28","1.7720","143934.0000","1.8000","1.8500","1.7050"
"2019/02/27","1.7690","64619.0000","1.8070","1.8590","1.7500"
"2019/02/26","1.8200","53126.0000","1.8000","1.9100","1.8000"
"2019/02/25","1.8900","92544.0000","1.8070","1.8960","1.8060"
"2019/02/22","1.8070","67199.0000","1.7100","1.8700","1.7100"
"2019/02/21","1.8700","118214.0000","1.9000","1.9800","1.7100"
"2019/02/20","1.9000","105639.0000","2.1000","2.1200","1.8100"
"2019/02/19","2.0250","189062.0000","2.1000","2.1900","1.8000"
"2019/02/15","2.1000","399825.0000","2.1390","2.3000","2.0500"
"2019/02/14","2.0850","428980.0000","1.8950","2.1750","1.8570"
"2019/02/13","1.8700","435455.0000","1.6200","1.9500","1.5900"
"2019/02/12","1.5900","60311.0000","1.5000","1.6500","1.4960"
"2019/02/11","1.5000","44716.0000","1.6500","1.6500","1.4270"
"2019/02/08","1.5790","52800.0000","1.6640","1.7000","1.5500"
"2019/02/07","1.6500","49509.0000","1.6810","1.7000","1.5510"
"2019/02/06","1.6810","34766.0000","1.6390","1.6810","1.6000"
"2019/02/05","1.6000","79610.0000","1.5900","1.6900","1.5900"
"2019/02/04","1.6120","87620.0000","1.6500","1.6840","1.5100"
"2019/02/01","1.6700","303600.0000","1.5170","1.7000","1.4870"
"2019/01/31","1.5000","51107.0000","1.3510","1.5000","1.3500"
"2019/01/30","1.4120","77231.0000","1.4260","1.4900","1.3030"
"2019/01/29","1.5000","74583.0000","1.5000","1.5010","1.3750"
"2019/01/28","1.5430","99485.0000","1.5500","1.6000","1.4440"
"2019/01/25","1.5499","108361.0000","1.4750","1.5750","1.4750"
"2019/01/24","1.4600","157717.0000","1.5000","1.5500","1.4000"
"2019/01/23","1.4500","90887.0000","1.3700","1.4500","1.3485"
"2019/01/22","1.3990","116211.0000","1.4380","1.4600","1.2410"
"2019/01/18","1.4420","290591.0000","1.2000","1.5000","1.2000"
"2019/01/17","1.2100","58937.0000","1.2100","1.3000","1.2000"
"2019/01/16","1.2000","90019.0000","1.1560","1.2980","1.1000"
"2019/01/15","1.1990","53381.0000","1.2300","1.2900","1.1000"
"2019/01/14","1.2290","75955.0000","1.2500","1.2900","1.1500"
"2019/01/11","1.2710","69021.0000","1.2980","1.2990","1.1500"
"2019/01/10","1.2600","94497.0000","1.2500","1.3130","1.2000"
"2019/01/09","1.3000","298175.0000","1.4000","1.4200","1.2000"
"2019/01/08","1.3200","347423.0000","1.1350","1.3500","1.1000"
"2019/01/07","1.1450","101039.0000","1.1500","1.1500","1.0500"
"2019/01/04","1.1200","90880.0000","1.1700","1.2000","1.0500"
"2019/01/03","1.1500","85909.0000","1.1910","1.2000","1.0000"
"2019/01/02","1.0950","221014.0000","0.8760","1.1500","0.8592"
"2018/12/31","0.8350","131078.0000","0.7300","0.8900","0.7300"
"2018/12/28","0.7910","130047.0000","0.8050","0.8500","0.7800"
"2018/12/27","0.8240","80962.0000","0.8240","0.9000","0.8000"
"2018/12/26","0.8550","68877.0000","0.8240","0.9000","0.8240"
"2018/12/24","0.8250","101891.0000","0.8500","0.9600","0.7700"
"2018/12/21","0.9590","85690.0000","0.9990","1.0000","0.8500"
"2018/12/20","0.9940","207235.0000","1.0050","1.0900","0.8510"
"2018/12/19","1.0600","124465.0000","1.1000","1.1750","1.0000"
"2018/12/18","1.0900","49049.0000","1.1000","1.1050","1.0600"
"2018/12/17","1.0800","93239.0000","1.1000","1.1400","1.0600"
"2018/12/14","1.1500","112830.0000","1.2300","1.2300","1.0990"
"2018/12/13","1.2280","101895.0000","1.3490","1.3490","1.2010"
"2018/12/12","1.2770","107381.0000","1.3400","1.3500","1.2500"
"2018/12/11","1.3640","164883.0000","1.3400","1.4400","1.3100"
"2018/12/10","1.3390","69536.0000","1.4430","1.4430","1.3000"
"2018/12/07","1.3700","84858.0000","1.4000","1.5000","1.3700"
"2018/12/06","1.4000","149807.0000","1.4500","1.5000","1.3690"
"2018/12/04","1.4390","142612.0000","1.5000","1.5114","1.4000"
"2018/12/03","1.5430","81313.0000","1.6000","1.6500","1.4500"
"2018/11/30","1.4720","72669.0000","1.7500","1.7500","1.4720"
"2018/11/29","1.7170","195290.0000","1.6000","1.7500","1.5700"
"2018/11/28","1.5990","106383.0000","1.5000","1.6300","1.5000"
"2018/11/27","1.6290","273705.0000","1.5300","1.6400","1.4730"
"2018/11/26","1.4700","57432.0000","1.4200","1.5500","1.4000"
"2018/11/23","1.3500","29005.0000","1.5390","1.5490","1.3000"
"2018/11/21","1.4660","36119.0000","1.5000","1.5500","1.4430"
"2018/11/20","1.4950","124167.0000","1.5200","1.5890","1.4000"
"2018/11/19","1.6670","149276.0000","1.6510","1.6900","1.5000"
"2018/11/16","1.6800","99429.0000","1.6570","1.6940","1.5150"
"2018/11/15","1.6990","238527.0000","1.6690","1.7750","1.5900"
"2018/11/14","1.5900","222097.0000","1.5200","1.7000","1.5000"
"2018/11/13","1.5270","115276.0000","1.6000","1.6000","1.4500"
"2018/11/12","1.6300","159727.0000","1.6500","1.6800","1.5500"
"2018/11/09","1.7000","590136.0000","1.8930","1.9000","1.4300"
"2018/11/08","2.0650","70837.0000","2.0190","2.1500","2.0130"
"2018/11/07","2.1000","45408.0000","2.2750","2.2750","2.0140"
"2018/11/06","2.0970","70853.0000","2.2000","2.2500","2.0000"
"2018/11/05","2.1540","53461.0000","2.2370","2.2370","2.0000"
"2018/11/02","2.1970","121103.0000","2.2050","2.2200","2.0000"
"2018/11/01","2.0650","99817.0000","1.9970","2.2400","1.9400"
"2018/10/31","1.9970","75703.0000","2.0000","2.1000","1.8750"
"2018/10/30","1.8500","79132.0000","1.9000","1.9800","1.8000"
"2018/10/29","1.8520","90634.0000","1.9000","1.9300","1.8000"
"2018/10/26","1.7700","150430.0000","1.8000","1.9380","1.7500"
"2018/10/25","1.8000","134934.0000","1.9100","1.9980","1.8000"
"2018/10/24","1.9100","129716.0000","2.2000","2.2000","1.9010"
"2018/10/23","2.0500","193462.0000","2.2300","2.3000","1.9300"
"2018/10/22","2.3000","610081.0000","2.0000","2.5500","1.8420"
"2018/10/19","1.8800","149398.0000","1.9200","2.0000","1.8400"
