"date","close","volume","open","high","low"
"12:32","0.4499","177,666","0.44","0.48","0.44"
"2019/04/09","0.4280","28294.0000","0.4301","0.4344","0.4125"
"2019/04/08","0.4207","43814.0000","0.4020","0.4400","0.4000"
"2019/04/05","0.4200","36235.0000","0.4033","0.4334","0.4000"
"2019/04/04","0.4200","55448.0000","0.4027","0.4300","0.3850"
"2019/04/03","0.4192","75647.0000","0.4200","0.4450","0.3904"
"2019/04/02","0.4101","135454.0000","0.4190","0.4200","0.3600"
"2019/04/01","0.4002","230264.0000","0.3675","0.4200","0.3675"
"2019/03/29","0.3500","202492.0000","0.3650","0.3797","0.3400"
"2019/03/28","0.3669","169733.0000","0.4100","0.4101","0.3668"
"2019/03/27","0.4000","56515.0000","0.4000","0.4030","0.3850"
"2019/03/26","0.4001","24084.0000","0.4280","0.4280","0.3900"
"2019/03/25","0.4100","24256.0000","0.4090","0.4280","0.3865"
"2019/03/22","0.4080","94986.0000","0.4050","0.4300","0.3853"
"2019/03/21","0.4000","42087.0000","0.4300","0.4300","0.4000"
"2019/03/20","0.3961","64694.0000","0.4020","0.4020","0.3700"
"2019/03/19","0.3916","106029.0000","0.4180","0.4209","0.3650"
"2019/03/18","0.4116","49373.0000","0.4135","0.4310","0.4000"
"2019/03/15","0.4135","145012.0000","0.4300","0.4473","0.4129"
"2019/03/14","0.4128","26127.0000","0.4221","0.4305","0.4122"
"2019/03/13","0.4121","62346.0000","0.4698","0.4698","0.4112"
"2019/03/12","0.4500","249764.0000","0.4000","0.4611","0.4000"
"2019/03/11","0.3855","154768.0000","0.4300","0.4309","0.3600"
"2019/03/08","0.4160","59106.0000","0.4210","0.4279","0.4100"
"2019/03/07","0.4011","212250.0000","0.4500","0.4500","0.3600"
"2019/03/06","0.4403","44092.0000","0.4350","0.4500","0.4305"
"2019/03/05","0.4459","40938.0000","0.4780","0.4780","0.4302"
"2019/03/04","0.4263","55373.0000","0.4780","0.4780","0.4263"
"2019/03/01","0.4650","65164.0000","0.4500","0.4725","0.4500"
"2019/02/28","0.4524","89872.0000","0.4780","0.4780","0.4500"
"2019/02/27","0.4769","120131.0000","0.4763","0.4800","0.4400"
"2019/02/26","0.4600","114465.0000","0.4600","0.5000","0.4600"
"2019/02/25","0.4500","150521.0000","0.4450","0.4700","0.4250"
"2019/02/22","0.4401","102515.0000","0.4480","0.4639","0.4300"
"2019/02/21","0.4349","120106.0000","0.4567","0.4699","0.4300"
"2019/02/20","0.4400","327637.0000","0.4300","0.4700","0.4300"
"2019/02/19","0.4326","785318.0000","0.5200","0.5500","0.4200"
"2019/02/15","0.5219","3121207.0000","0.4395","0.6287","0.4000"
"2019/02/14","0.3800","560628.0000","0.3469","0.4500","0.3469"
"2019/02/13","0.3300","43053.0000","0.3500","0.3500","0.3230"
"2019/02/12","0.3400","13307.0000","0.3400","0.3500","0.3200"
"2019/02/11","0.3240","61889.0000","0.3310","0.3507","0.3240"
"2019/02/08","0.3330","23683.0000","0.3400","0.3400","0.3330"
"2019/02/07","0.3499","54009.0000","0.3544","0.3600","0.3400"
"2019/02/06","0.3400","91899.0000","0.3548","0.3548","0.3400"
"2019/02/05","0.3401","51635.0000","0.3600","0.3630","0.3400"
"2019/02/04","0.3415","80430.0000","0.3570","0.3800","0.3310"
"2019/02/01","0.3400","94494.0000","0.3500","0.3651","0.3300"
"2019/01/31","0.3518","42157.0000","0.3690","0.3699","0.3500"
"2019/01/30","0.3530","120216.0000","0.3700","0.3740","0.3500"
"2019/01/29","0.3650","66712.0000","0.3501","0.3750","0.3490"
"2019/01/28","0.3644","13538.0000","0.3501","0.3799","0.3480"
"2019/01/25","0.3671","26223.0000","0.3827","0.3827","0.3500"
"2019/01/24","0.3645","53327.0000","0.3739","0.3828","0.3476"
"2019/01/23","0.3599","57892.0000","0.3800","0.3890","0.3431"
"2019/01/22","0.3698","195633.0000","0.3753","0.3780","0.3400"
"2019/01/18","0.3575","45556.0000","0.3220","0.3700","0.3220"
"2019/01/17","0.3220","88945.0000","0.3627","0.3810","0.3220"
"2019/01/16","0.3476","320578.0000","0.3113","0.3890","0.3050"
"2019/01/15","0.3025","130963.0000","0.3200","0.3350","0.3000"
"2019/01/14","0.3050","86576.0000","0.3360","0.3400","0.2920"
"2019/01/11","0.3200","144308.0000","0.3300","0.3400","0.3000"
"2019/01/10","0.3200","96231.0000","0.3101","0.3400","0.3101"
"2019/01/09","0.3300","36971.0000","0.3100","0.3350","0.2850"
"2019/01/08","0.3287","154841.0000","0.3350","0.3350","0.2829"
"2019/01/07","0.3300","650494.0000","0.2700","0.3500","0.2661"
"2019/01/04","0.2700","18966.0000","0.2800","0.2800","0.2620"
"2019/01/03","0.2700","100275.0000","0.2850","0.2850","0.2630"
"2019/01/02","0.2800","115927.0000","0.2400","0.3025","0.2400"
"2018/12/31","0.2475","269487.0000","0.2588","0.2766","0.2400"
"2018/12/28","0.2520","293021.0000","0.2300","0.2600","0.2250"
"2018/12/27","0.2300","125290.0000","0.2500","0.2500","0.2205"
"2018/12/26","0.2500","149578.0000","0.2400","0.2850","0.2150"
"2018/12/24","0.2500","68996.0000","0.2500","0.2600","0.2200"
"2018/12/21","0.2500","101262.0000","0.2725","0.2725","0.2200"
"2018/12/20","0.2288","165118.0000","0.2800","0.2800","0.2038"
"2018/12/19","0.2350","76848.0000","0.2625","0.2682","0.2312"
"2018/12/18","0.2625","303812.0000","0.2500","0.2700","0.2300"
"2018/12/17","0.2420","185518.0000","0.2550","0.2633","0.2415"
"2018/12/14","0.2600","315996.0000","0.2600","0.2899","0.2501"
"2018/12/13","0.2450","339502.0000","0.2700","0.2800","0.2300"
"2018/12/12","0.2601","122717.0000","0.2609","0.2900","0.2521"
"2018/12/11","0.2609","38664.0000","0.2600","0.2732","0.2505"
"2018/12/10","0.2520","211234.0000","0.2970","0.3000","0.2500"
"2018/12/07","0.2830","62579.0000","0.3000","0.3017","0.2800"
"2018/12/06","0.2703","54330.0000","0.2750","0.3000","0.2600"
"2018/12/04","0.2900","80863.0000","0.2700","0.3000","0.2700"
"2018/12/03","0.2901","146249.0000","0.3000","0.3029","0.2520"
"2018/11/30","0.2900","292663.0000","0.3029","0.3080","0.2800"
"2018/11/29","0.2885","99865.0000","0.2910","0.3280","0.2871"
"2018/11/28","0.2910","323474.0000","0.3200","0.3500","0.2900"
"2018/11/27","0.3100","192735.0000","0.3500","0.3700","0.3015"
