date close volume open high low
12/31/2018 0.2553 407062 0.29 0.35 0.25
12/28/2018 0.22 200181 0.2 0.226 0.1875
12/27/2018 0.14 299325 0.23 0.2399 0.11
12/26/2018 0.1893 300 0.1994 0.1994 0.1893
12/24/2018 0.1596 150 0.1596 0.1596 0.1596
12/21/2018 0.1994 1890 0.1 0.1994 0.1
12/20/2018 0.1 0 0.1 0.1 0.1
12/19/2018 0.1 11420 0.1 0.1 0.1
12/18/2018 0.1 11000 0.1262 0.1262 0.1
12/17/2018 0.15 0 0.15 0.15 0.15
12/14/2018 0.15 0 0.15 0.15 0.15
12/13/2018 0.15 0 0.15 0.15 0.15
12/12/2018 0.15 7735 0.15 0.15 0.15
12/11/2018 0.15 300 0.15 0.15 0.15
12/10/2018 0.1199 0 0.1199 0.1199 0.1199
12/7/2018 0.1199 0 0.1199 0.1199 0.1199
12/6/2018 0.1199 2200 0.1 0.12 0.1
12/4/2018 0.12 2500 0.17 0.2389 0.11
12/3/2018 0.15 0 0.15 0.15 0.15
11/30/2018 0.15 35100 0.15 0.15 0.1114
11/29/2018 0.15 20000 0.15 0.15 0.15
11/28/2018 0.2389 7250 0.239 0.239 0.12
11/27/2018 0.24 0 0.24 0.24 0.24
11/26/2018 0.24 0 0.24 0.24 0.24
11/23/2018 0.24 0 0.24 0.24 0.24
11/21/2018 0.24 0 0.24 0.24 0.24
11/20/2018 0.24 0 0.24 0.24 0.24
11/19/2018 0.24 0 0.24 0.24 0.24
11/16/2018 0.24 0 0.24 0.24 0.24
11/15/2018 0.24 21660 0.25 0.25 0.17
11/14/2018 0.23 39189 0.3081 0.3081 0.23
11/13/2018 0.2461 5663 0.24 0.25 0.24
11/12/2018 0.2461 0 0.2461 0.2461 0.2461
11/9/2018 0.2461 0 0.2461 0.2461 0.2461
11/8/2018 0.2461 13600 0.12 0.2461 0.12
11/7/2018 0.2 0 0.2 0.2 0.2
11/6/2018 0.2 0 0.2 0.2 0.2
11/5/2018 0.2 375 0.2 0.2 0.2
11/2/2018 0.2 0 0.2 0.2 0.2
11/1/2018 0.2 0 0.2 0.2 0.2
10/31/2018 0.2 0 0.2 0.2 0.2
10/30/2018 0.2 300 0.2 0.2 0.2
10/29/2018 0.2 0 0.2 0.2 0.2
10/26/2018 0.2 0 0.2 0.2 0.2
10/25/2018 0.2 0 0.2 0.2 0.2
10/24/2018 0.2 0 0.2 0.2 0.2
10/23/2018 0.2 0 0.2 0.2 0.2
10/22/2018 0.2 21500 0.2 0.2 0.2
10/19/2018 0.1999 2900 0.2 0.2 0.1999
10/18/2018 0.1993 24398 0.19 0.1999 0.1794
10/17/2018 0.18 5524 0.15 0.185 0.1499
10/16/2018 0.15 0 0.15 0.15 0.15
10/15/2018 0.15 0 0.15 0.15 0.15
10/12/2018 0.15 0 0.15 0.15 0.15
10/11/2018 0.15 0 0.15 0.15 0.15
10/10/2018 0.15 0 0.15 0.15 0.15
10/9/2018 0.15 0 0.15 0.15 0.15
10/8/2018 0.15 50516 0.15 0.15 0.13
10/5/2018 0.1202 300 0.1202 0.1202 0.1202
10/4/2018 0.14 4600 0.12 0.14 0.12
10/3/2018 0.14 5000 0.14 0.14 0.14
10/2/2018 0.1383 9000 0.14 0.14 0.1383
10/1/2018 0.135 0 0.135 0.135 0.135
9/28/2018 0.135 9000 0.135 0.135 0.135
9/27/2018 0.1437 0 0.1437 0.1437 0.1437
9/26/2018 0.1437 100 0.1437 0.1437 0.1437
9/25/2018 0.13 51100 0.15 0.15 0.12
9/24/2018 0.15 100 0.15 0.15 0.15
9/21/2018 0.15 16101 0.15 0.15 0.15
9/20/2018 0.155 100 0.155 0.155 0.155
9/19/2018 0.1599 200 0.1595 0.1599 0.1595
9/18/2018 0.15 300 0.1703 0.1703 0.15
9/17/2018 0.15 33109 0.155 0.155 0.135
9/14/2018 0.16 20100 0.16 0.189 0.16
9/13/2018 0.15 39815 0.15 0.2059 0.15
9/12/2018 0.2 0 0.2 0.2 0.2
9/11/2018 0.2 100 0.2 0.2 0.2
9/10/2018 0.2 61000 0.2399 0.2499 0.18
9/7/2018 0.18 10713 0.19 0.19 0.18
9/6/2018 0.2 110600 0.14 0.2 0.13
9/5/2018 0.22 24708 0.2108 0.2798 0.13
9/4/2018 0.22 100 0.22 0.22 0.22
8/31/2018 0.2396 0 0.2396 0.2396 0.2396
8/30/2018 0.2396 3593 0.24 0.24 0.2396
8/29/2018 0.26 775 0.2848 0.2848 0.26
8/28/2018 0.21 4100 0.22 0.23 0.21
8/27/2018 0.285 100 0.285 0.285 0.285
8/24/2018 0.25 19122 0.2489 0.3 0.2489
8/23/2018 0.2499 100 0.2499 0.2499 0.2499
8/22/2018 0.24 100 0.24 0.24 0.24
8/21/2018 0.2 2350 0.2489 0.2489 0.1903
8/20/2018 0.2 45157 0.2 0.2 0.1887
8/17/2018 0.2 13545 0.2299 0.2499 0.1801
8/16/2018 0.19 41750 0.24 0.2499 0.17
8/15/2018 0.19 58542 0.2001 0.2001 0.19
8/14/2018 0.2 45255 0.2 0.4 0.18
8/13/2018 0.18 8600 0.2 0.2 0.165
8/10/2018 0.1599 65900 0.15 0.17 0.1499
8/9/2018 0.1589 14650 0.2 0.2 0.1589
8/8/2018 0.15 0 0.15 0.15 0.15
8/7/2018 0.15 35000 0.16 0.16 0.15
8/6/2018 0.16 1100 0.16 0.16 0.16
8/3/2018 0.15 104410 0.15 0.1923 0.1401
8/2/2018 0.2 5970 0.23 0.23 0.1983
8/1/2018 0.22 30779 0.24 0.27 0.2
7/31/2018 0.24 6000 0.24 0.24 0.24
7/30/2018 0.24 5742 0.24 0.2401 0.24
7/27/2018 0.24 10379 0.26 0.26 0.24
7/26/2018 0.24 9310 0.27 0.27 0.24
7/25/2018 0.27 600 0.27 0.27 0.24
7/24/2018 0.26 0 0.26 0.26 0.26
7/23/2018 0.26 900 0.28 0.28 0.26
7/20/2018 0.268 0 0.268 0.268 0.268
7/19/2018 0.268 0 0.268 0.268 0.268
7/18/2018 0.268 1800 0.29 0.29 0.2665
7/17/2018 0.2687 750 0.2687 0.2687 0.2687
7/16/2018 0.27 51250 0.22 0.27 0.22
7/13/2018 0.28 0 0.28 0.28 0.28
7/12/2018 0.28 7300 0.22 0.28 0.22
7/11/2018 0.2689 4700 0.27 0.27 0.2589
7/10/2018 0.247 10100 0.2 0.247 0.2
7/9/2018 0.22 20670 0.18 0.234 0.18
7/6/2018 0.2596 0 0.2596 0.2596 0.2596
7/5/2018 0.2596 10500 0.187 0.26 0.1721
7/3/2018 0.1701 14871 0.16 0.2001 0.1501
7/2/2018 0.26 12000 0.251 0.26 0.201
6/29/2018 0.26 5900 0.26 0.26 0.26
6/28/2018 0.269 0 0.269 0.269 0.269
6/27/2018 0.269 0 0.269 0.269 0.269
6/26/2018 0.269 100 0.269 0.269 0.269
6/25/2018 0.2205 0 0.2205 0.2205 0.2205
6/22/2018 0.2205 7500 0.24 0.24 0.2205
6/21/2018 0.27 100 0.27 0.27 0.27
6/20/2018 0.26 14929 0.25 0.27 0.25
6/19/2018 0.27 600 0.2749 0.2749 0.27
6/18/2018 0.25 14600 0.25 0.25 0.2494
6/15/2018 0.25 6000 0.25 0.25 0.25
6/14/2018 0.25 8100 0.2 0.25 0.2
6/13/2018 0.28 0 0.28 0.28 0.28
6/12/2018 0.28 7553 0.28 0.28 0.28
6/11/2018 0.25 6000 0.25 0.25 0.25
6/8/2018 0.28 0 0.28 0.28 0.28
6/7/2018 0.28 9900 0.28 0.3 0.23
6/6/2018 0.28 1500 0.335 0.335 0.22
6/5/2018 0.3429 68795 0.22 0.3429 0.2
