date close volume open high low
12/31/2018 48.15 531539 47.99 48.31 47.06
12/28/2018 47.68 407275 48.02 48.69 47.15
12/27/2018 48.06 456082 46.98 48.06 46.16
12/26/2018 48.02 573214 45.41 48.08 44.95
12/24/2018 45.15 393793 45.6 46.23 44.8
12/21/2018 46.07 1074108 46.45 46.89 45.5
12/20/2018 46.58 787280 47 47.74 45.58
12/19/2018 47.29 735318 49.28 50.01 47.11
12/18/2018 48.87 608647 50.05 50.21 48.62
12/17/2018 49.2 611156 49.56 50.34 48.7
12/14/2018 49.07 552752 48.95 49.55 48.5
12/13/2018 49.61 612970 51.73 51.73 49.48
12/12/2018 51.15 470376 51.74 52.38 51.13
12/11/2018 51.1 464256 52.01 52.41 50.86
12/10/2018 51.1 647886 51.14 51.43 49.63
12/7/2018 51.32 867054 52.61 53.22 50.8939
12/6/2018 52.57 789676 52.52 52.725 51.51
12/4/2018 53.46 753829 56.51 56.65 53.03
12/3/2018 56.96 459990 57.51 58.2304 56.48
11/30/2018 56.57 882389 55.97 56.86 55.8525
11/29/2018 56.19 1855820 56.73 56.99 55.866
11/28/2018 55.7 726050 54.71 55.76 53.53
11/27/2018 54.7 962107 55.46 56 54.18
11/26/2018 55.88 1050720 53.86 56.08 53.86
11/23/2018 53.62 142715 53.08 54.13 53.01
11/21/2018 53.43 419949 52.13 53.91 52.11
11/20/2018 51.82 931910 53 53.03 51.26
11/19/2018 53.65 1048289 54.6 54.9689 53.23
11/16/2018 54.81 565666 55.44 55.6 54.4
11/15/2018 55.97 871263 55.19 56.83 54.95
11/14/2018 55.79 448998 56.61 57.52 55.545
11/13/2018 56.16 656786 55.09 57.09 55.09
11/12/2018 55.34 508594 56.69 56.89 55.19
11/9/2018 56.35 587791 56.62 56.89 55.41
11/8/2018 56.91 591651 57.27 57.68 56.5
11/7/2018 57.45 733454 57.11 57.48 55.29
11/6/2018 56.62 480792 56.82 57.09 56.16
11/5/2018 56.96 842778 56.53 57.95 55.5
11/2/2018 56.3 546254 57.02 57.83 55.9
11/1/2018 56.54 1392854 55.54 56.85 55.07
10/31/2018 55.31 815205 56.56 56.86 55.24
10/30/2018 55.63 817536 54.74 57.11 54.615
10/29/2018 54.72 1364786 57.03 57.97 53.97
10/26/2018 57.22 2131524 60.57 60.57 54.16
10/25/2018 60.97 1173849 60.96 62.01 60.04
10/24/2018 59.63 729283 62.91 62.9156 59.49
10/23/2018 62.66 635278 62.98 63.35 61.52
10/22/2018 64.46 439556 64.72 65.21 64.0301
10/19/2018 65.11 722529 64.94 65.77 63.97
10/18/2018 64.7 755548 67.14 67.31 64.52
10/17/2018 67.66 336853 68.55 68.57 66.88
10/16/2018 68.4 292150 67.97 68.48 66.835
10/15/2018 67.34 321184 66.83 67.84 66.79
10/12/2018 66.76 509146 67.61 67.82 65.7
10/11/2018 66.89 608981 66.74 68.21 66.37
10/10/2018 67.1 736518 69.56 69.75 67.01
10/9/2018 69.52 644877 70.91 71.27 69.16
10/8/2018 70.65 468727 70.44 71.025 69.58
10/5/2018 71.02 731897 72.4 72.4 70.31
10/4/2018 70.99 527314 71.95 72.92 70.8
10/3/2018 71.68 670754 71.51 72.48 70.92
10/2/2018 71.1 564956 72.66 73.06 70.98
10/1/2018 73.22 337416 73.91 73.97 72.94
9/28/2018 73.07 381100 73.02 73.65 72.67
9/27/2018 73.25 328825 73.72 74.13 72.97
9/26/2018 73.33 534336 72.34 74.01 72.22
9/25/2018 72.71 361414 72.98 73.0508 72.15
9/24/2018 72.82 322498 74.18 74.47 72.2222
9/21/2018 74.01 681461 74.99 75.2 73.98
9/20/2018 74.76 463193 76.09 76.193 74.49
9/19/2018 75.44 457625 76.22 76.52 74.95
9/18/2018 75.69 396631 75.42 75.95 74.22
9/17/2018 75.15 708874 78.33 78.33 74.06
9/14/2018 78.29 542074 78.66 79.95 78.15
9/13/2018 78.55 459768 78.98 79.04 78.1
9/12/2018 78.73 483299 78.2 79.65 77.99
9/11/2018 78.2 420156 78.59 79.09 78.05
9/10/2018 78.81 487873 76.35 78.99 76.22
9/7/2018 76.33 341038 76.7 77.53 76.08
9/6/2018 77.31 392506 77.71 78.11 76.5
9/5/2018 77.4 383357 76.6 77.83 76.39
9/4/2018 76.65 428973 77.1 77.7701 76.35
8/31/2018 76.84 326462 76.49 77.2 76.25
8/30/2018 76.94 302879 78.25 78.25 76.83
8/29/2018 78.55 212305 78.83 78.95 77.68
8/28/2018 78.71 214829 79.36 79.66 78.36
8/27/2018 78.96 168386 78.42 79.52 78.37
8/24/2018 77.88 171751 78.07 78.23 77.68
8/23/2018 77.55 287905 78.56 79.06 77.315
8/22/2018 78.67 403746 79.01 79.39 78.34
8/21/2018 79.01 438145 78.52 79.85 78.52
8/20/2018 78.11 169045 77.91 78.43 77.67
8/17/2018 77.73 196561 77.43 78 77.32
8/16/2018 78 337898 77.75 78.54 77.371
8/15/2018 77.1 300290 77.32 78.05 75.66
8/14/2018 77.45 178171 76.83 77.77 76.65
8/13/2018 76.49 189803 76.9 77.16 76.02
8/10/2018 76.58 403106 77.01 77.18 75.5
8/9/2018 77.24 393888 78.4 79.18 77.11
8/8/2018 78.53 340446 78.01 79.19 77.75
8/7/2018 78.17 274955 78.41 78.54 77.64
8/6/2018 77.79 274565 77.3 78.03 76.67
8/3/2018 77.17 307841 77.96 78.27 76.93
8/2/2018 77.78 261265 76.91 78.15 76.91
8/1/2018 77.4 313413 77.92 78.21 76.83
7/31/2018 78.3 416360 77.07 78.74 77.07
7/30/2018 76.87 379674 77.3 78.57 76.75
7/27/2018 77.27 626077 78.44 79.12 76.91
7/26/2018 78.57 891409 78.64 79.03 77.15
7/25/2018 78.32 1426001 74.76 78.58 72.185
7/24/2018 73.23 1013402 76.15 76.605 72.96
7/23/2018 75.35 422624 74.7 75.38 74.48
7/20/2018 74.7 372461 74.74 75.21 74.56
7/19/2018 75.15 425153 74.12 75.48 73.775
7/18/2018 74.76 435613 74 75 73.65
7/17/2018 73.56 383675 72.8 73.81 72.8
7/16/2018 73.09 541967 75.49 75.93 72.32
7/13/2018 74.69 514937 74.3 75.48 74.2
7/12/2018 74.17 328581 74.6 74.6 73.15
7/11/2018 74.07 546795 74.94 75.27 73.88
7/10/2018 75.19 394192 75.77 76.025 74.2
7/9/2018 75.55 447183 73.95 75.6 73.42
7/6/2018 73.23 289271 72.34 73.72 71.85
7/5/2018 72.31 402316 72.48 72.48 71.28
7/3/2018 71.94 274540 73.12 73.72 71.82
7/2/2018 72.81 448179 70.92 72.9 70.92
6/29/2018 71.86 580281 71.07 73.18 70.82
6/28/2018 70.18 417804 70 70.46 69.08
6/27/2018 70.41 483941 71.16 72.02 70.36
6/26/2018 71.17 501194 71.42 71.77 69.7
6/25/2018 71.28 507159 71.84 72.01 70.68
6/22/2018 72.35 722792 73.17 74.03 72.15
6/21/2018 73.07 335054 73.82 74.08 72.52
6/20/2018 73.97 582819 72.75 74.26 72.06
6/19/2018 72.43 503026 72.67 73.285 71.56
6/18/2018 73.64 552418 72.51 73.88 72.02
6/15/2018 73.12 1116227 71.18 73.22 70.47
6/14/2018 71.46 761952 70.63 71.61 70.56
6/13/2018 70.39 372293 71.71 71.9 70.3
6/12/2018 71.8 561465 71.23 72.4 70.61
6/11/2018 71.04 778602 68.65 71.4925 68.65
6/8/2018 68.6 1088963 67.55 68.62 67.18
6/7/2018 67.73 671870 67.08 67.87 66.81
6/6/2018 66.75 488591 66.67 67.22 65.65
6/5/2018 66.26 524699 66.31 67.63 65.75
6/4/2018 66.33 470911 67.51 68.24 65.76
6/1/2018 67.68 357830 67.75 68.69 67.24
5/31/2018 67.08 559373 69.34 69.77 66.98
5/30/2018 69.33 366800 69.05 69.865 68.44
5/29/2018 68.42 314418 68.77 69.2544 67.86
5/25/2018 69.16 321578 69.38 69.705 69
5/24/2018 69.67 517817 68.14 70.01 68.06
5/23/2018 68.17 548413 67.38 68.29 67
5/22/2018 67.89 615531 68.86 69.039 67.78
5/21/2018 68.52 409330 67.46 68.59 67.46
5/18/2018 67.29 695923 68.11 68.455 66.87
5/17/2018 68.63 524599 68.14 69.26 68.14
5/16/2018 68.14 442353 68.29 69.025 68.03
5/15/2018 68.33 472719 67.91 68.779 67.6
5/14/2018 68.3 621426 68.36 68.69 67.91
5/11/2018 68.29 421977 68.79 69.28 67.95
5/10/2018 68.64 461304 68.29 68.79 68.13
5/9/2018 68.32 613483 68.51 68.83 67.78
5/8/2018 68.16 915332 67.7 69.22 67.7
5/7/2018 68.03 556641 68.11 68.74 67.7
5/4/2018 67.83 641154 66.73 68.31 66.435
5/3/2018 67.24 441266 67.08 67.59 65.74
5/2/2018 67.2 492545 67.07 67.81 66.21
5/1/2018 66.85 470192 67.11 67.619 66.02
4/30/2018 67.43 707367 67.73 68.74 67.11
4/27/2018 67.85 603185 67.29 68.03 66.355
