"date" "close" "volume" "open" "high" "low"
"2018/12/31" "79.0800" "615672.0000" "79.3000" "79.7435" "78.2200"
"2018/12/28" "79.8300" "755243.0000" "80.3200" "80.9100" "79.1900"
"2018/12/27" "79.6500" "513629.0000" "79.7200" "80.2300" "77.2700"
"2018/12/26" "80.4500" "731113.0000" "78.0800" "80.5100" "76.7700"
"2018/12/24" "77.6300" "596222.0000" "80.4900" "80.6400" "77.6300"
"2018/12/21" "80.4800" "1702709.0000" "80.6600" "82.2600" "80.1100"
"2018/12/20" "80.8100" "1435980.0000" "83.4800" "83.7600" "80.2900"
"2018/12/19" "83.9600" "1160407.0000" "85.4400" "85.7900" "83.2800"
"2018/12/18" "85.6300" "1022122.0000" "86.5000" "86.7700" "85.3600"
"2018/12/17" "86.1600" "1148515.0000" "89.3900" "89.5100" "85.9800"
"2018/12/14" "89.2800" "911167.0000" "89.4900" "90.0000" "88.8600"
"2018/12/13" "89.8700" "879006.0000" "90.1000" "91.3300" "89.8700"
"2018/12/12" "90.2300" "697849.0000" "93.4900" "93.5600" "90.2000"
"2018/12/11" "92.8000" "635973.0000" "93.8600" "94.8800" "92.7800"
"2018/12/10" "93.1200" "788678.0000" "93.7600" "93.7800" "92.1900"
"2018/12/07" "93.2300" "702162.0000" "95.6700" "95.6700" "92.5800"
"2018/12/06" "95.7100" "1192288.0000" "93.5500" "95.8200" "91.4000"
"2018/12/04" "94.5000" "1380826.0000" "96.0800" "96.5100" "93.8400"
"2018/12/03" "96.2000" "1006751.0000" "96.8100" "97.5900" "94.7600"
"2018/11/30" "96.4200" "1446715.0000" "94.3500" "96.7800" "94.0000"
"2018/11/29" "93.8200" "525432.0000" "94.1800" "94.3800" "93.3000"
"2018/11/28" "94.3100" "572369.0000" "92.9300" "94.3100" "92.9150"
"2018/11/27" "93.0700" "454201.0000" "92.7000" "93.3900" "92.1500"
"2018/11/26" "92.8000" "442200.0000" "92.7200" "93.1500" "92.0300"
"2018/11/23" "92.1200" "171439.0000" "92.4800" "92.7700" "91.6450"
"2018/11/21" "92.6900" "505502.0000" "92.3700" "93.9900" "92.0400"
"2018/11/20" "92.4500" "553846.0000" "92.7400" "93.4000" "92.3300"
"2018/11/19" "93.1300" "735777.0000" "94.9400" "95.3700" "92.7600"
"2018/11/16" "94.8400" "710613.0000" "93.6500" "94.8400" "93.5900"
"2018/11/15" "93.7400" "639356.0000" "94.2200" "94.2200" "92.5600"
"2018/11/14" "94.6500" "597785.0000" "95.8800" "95.9400" "94.1600"
"2018/11/13" "95.4200" "517412.0000" "95.0300" "95.5400" "94.2200"
"2018/11/12" "94.6500" "311213.0000" "95.1300" "96.1600" "94.5300"
"2018/11/09" "95.0100" "579579.0000" "95.3300" "95.5700" "94.2200"
"2018/11/08" "95.2700" "555464.0000" "95.0800" "95.4600" "94.4400"
"2018/11/07" "95.3800" "681000.0000" "94.8700" "95.4600" "94.1750"
"2018/11/06" "94.3500" "695885.0000" "93.4600" "94.8100" "93.0100"
"2018/11/05" "92.7700" "834516.0000" "91.9400" "93.2100" "91.9400"
"2018/11/02" "91.4000" "771146.0000" "91.7700" "91.8400" "90.5600"
"2018/11/01" "91.7300" "890220.0000" "91.3700" "91.9500" "90.5700"
"2018/10/31" "91.2600" "1198364.0000" "92.5800" "93.4000" "91.2200"
"2018/10/30" "92.3200" "1071733.0000" "93.1800" "93.8200" "92.2000"
"2018/10/29" "92.7700" "709367.0000" "92.0700" "93.2300" "91.7328"
"2018/10/26" "91.1900" "843944.0000" "92.3100" "92.6600" "90.7300"
"2018/10/25" "92.9100" "687487.0000" "91.5900" "93.7850" "91.3000"
"2018/10/24" "91.4500" "992195.0000" "91.8800" "93.1100" "91.2700"
"2018/10/23" "91.9700" "897942.0000" "91.0200" "92.5900" "90.8400"
"2018/10/22" "91.8300" "649871.0000" "92.9300" "93.7000" "91.6700"
"2018/10/19" "92.8400" "720261.0000" "92.7900" "93.3800" "92.4600"
"2018/10/18" "92.5900" "1761688.0000" "91.4800" "94.2100" "91.1300"
"2018/10/17" "92.1700" "552786.0000" "92.2900" "93.0400" "91.6000"
"2018/10/16" "92.6900" "772113.0000" "91.3300" "92.9900" "90.5800"
"2018/10/15" "90.3100" "501702.0000" "89.8700" "91.5500" "89.8700"
"2018/10/12" "90.0800" "753644.0000" "91.7400" "92.1700" "89.5600"
"2018/10/11" "90.6500" "1015541.0000" "93.3600" "93.5800" "90.0000"
"2018/10/10" "93.1200" "676235.0000" "94.6200" "94.9400" "93.1100"
"2018/10/09" "94.7600" "582821.0000" "95.0000" "95.2550" "93.9500"
"2018/10/08" "94.7500" "932837.0000" "94.4100" "95.2900" "94.0300"
"2018/10/05" "94.1900" "567687.0000" "94.2500" "94.7600" "93.5500"
"2018/10/04" "94.9700" "419501.0000" "96.0100" "96.0400" "94.6600"
"2018/10/03" "96.3200" "717053.0000" "96.3900" "96.9000" "95.7600"
"2018/10/02" "96.6800" "754443.0000" "97.0000" "97.4300" "96.3400"
"2018/10/01" "96.8800" "751761.0000" "97.6700" "98.0400" "96.8600"
