date close volume open high low
12/31/2018 51.09 659053 51.55 51.805 49.87
12/28/2018 51 638060 50.67 51.94 50.08
12/27/2018 50.68 790507 50.3 51.1603 48.87
12/26/2018 51.15 750505 48.88 51.19 47.86
12/24/2018 48.49 436997 49.32 49.54 48.35
12/21/2018 49.82 2033106 50.1 51.23 49.72
12/20/2018 49.94 1291187 49.55 50.63 49.34
12/19/2018 49.78 916284 50.75 51.92 49.535
12/18/2018 50.91 848007 52.4 52.93 50.69
12/17/2018 52.3 1117298 51.3 53.81 50.9201
12/14/2018 51.72 573415 52.16 53.35 51.52
12/13/2018 53.02 859183 55.4 56.4925 52.6
12/12/2018 55.41 610134 55.4 56.52 54.8
12/11/2018 54.4 555693 55.73 56.39 54.09
12/10/2018 54.96 771853 55.03 55.56 53.76
12/7/2018 55.47 990923 55.65 57.54 54.7926
12/6/2018 55.84 1631560 54.76 55.88 53.96
12/4/2018 55.65 1209830 60.27 60.56 55.45
12/3/2018 60.49 1000999 60.33 61.4 59.55
11/30/2018 59.66 1064358 58.61 60.11 58.61
11/29/2018 58.94 960557 58.7 59.52 58.15
11/28/2018 58.7 1620984 58.57 59.1 57
11/27/2018 58.57 500727 58.84 59.59 58.1
11/26/2018 59.08 447219 59 60.31 58.68
11/23/2018 58.34 170303 57.79 58.91 57.59
11/21/2018 58.34 479982 58.05 59.46 57.21
11/20/2018 57.89 804407 59.92 60.37 57.7
11/19/2018 60.55 967364 60.52 61.54 60.12
11/16/2018 60.24 684679 60.11 60.65 59.76
11/15/2018 60.69 487109 59.51 61.885 59.39
11/14/2018 59.82 790345 61.72 61.785 59.05
11/13/2018 61 934336 61.64 62.6 60.28
11/12/2018 61.42 502644 62.73 63.1 61.31
11/9/2018 62.82 569842 63.19 64.17 62.5
11/8/2018 63.43 986660 63.56 64.85 62.9
11/7/2018 63.7 1293652 63.33 63.98 62.32
11/6/2018 63.2 1591445 64.65 66.21 62.63
11/5/2018 65.49 297860 65.45 66.2 64.86
11/2/2018 65.39 332787 66.4 67.14 64.73
11/1/2018 66.27 564876 65.71 66.34 65.35
10/31/2018 65.23 552456 65.39 66.17 65.04
10/30/2018 64.61 356594 64.99 65.53 63.7
10/29/2018 64.83 461689 64.77 66.08 64.33
10/26/2018 63.65 462960 63.6 64.91 62.92
10/25/2018 64.48 958698 62.59 65.04 62.24
10/24/2018 62.15 865606 65.12 65.26 62.07
10/23/2018 64.66 1324330 61.87 66.09 61.4801
10/22/2018 64.05 1005093 67.18 67.18 63.2
10/19/2018 66.83 1074008 67.59 67.73 66.5
10/18/2018 67.28 2905003 68.01 70.93 67.2425
10/17/2018 77.15 914486 76.09 77.365 74.09
10/16/2018 76.23 519617 76.51 77.27 74.5456
10/15/2018 76.49 383422 76.31 77.0112 75.28
10/12/2018 76.3 557347 79.52 80.9503 74.22
10/11/2018 78.43 509845 80.92 81.4 78.32
10/10/2018 81.45 496280 82.24 82.76 81.36
10/9/2018 82.19 252995 82.79 82.86 81.345
10/8/2018 82.99 390582 81.18 83.46 81.1
10/5/2018 81.62 338005 82.75 82.8 81.09
10/4/2018 82.81 453545 82.59 84.34 81.99
10/3/2018 82.57 843635 80.48 83.291 80.48
10/2/2018 80.4 492017 80.95 81.94 79.81
10/1/2018 81.1 382070 83.12 83.48 80.8
9/28/2018 82.65 613412 82.6 83.5 82.25
9/27/2018 82.85 452485 84.2 85.05 82.6
9/26/2018 84.2 615860 87.45 87.45 84
9/25/2018 87.5 496226 86.3 87.6 86.3
9/24/2018 86.5 397852 88.1 88.45 86.25
9/21/2018 88.5 820379 88.85 89.45 88.1
9/20/2018 88.65 663423 88.3 89.85 88.1
9/19/2018 87.85 263531 86.15 87.85 86.15
9/18/2018 85.95 206384 86.4 86.4 85.4
9/17/2018 86.35 307496 86.75 87.35 85.85
9/14/2018 87 240228 86.65 87.325 86.5
9/13/2018 86.7 377895 88 88.5 86
9/12/2018 87.6 363907 89.15 89.75 87.55
9/11/2018 89 382631 89.05 89.575 88.35
