date close volume open high low
12/31/2018 45.99 1648448 45.81 46.2 45.46
12/28/2018 45.65 2081180 46.12 46.33 45.5
12/27/2018 45.9 2417726 44.64 45.9 44.28
12/26/2018 45.27 2942598 44.5 45.32 43.27
12/24/2018 44.16 1103891 44.88 45.07 43.783
12/21/2018 45.51 4671676 45.63 46.42 45.16
12/20/2018 45.74 3332927 46.85 47.43 45.155
12/19/2018 47.2 2797504 48.75 49.83 47.13
12/18/2018 48.94 1944004 49.4 49.85 48.56
12/17/2018 48.8 2438934 49.44 49.95 48.44
12/14/2018 49.47 2958774 49.37 50.15 49.19
12/13/2018 49.97 1375180 51.23 51.27 49.94
12/12/2018 51.01 1648915 51.08 51.99 50.81
12/11/2018 50.3 2081843 52.12 53.12 49.8901
12/10/2018 51.2 2128412 51.13 51.7 49.83
12/7/2018 51.22 2212804 53.08 53.745 50.62
12/6/2018 53.01 2914188 53.34 53.43 51.195
12/4/2018 54.45 2242795 56.4 56.59 54.26
12/3/2018 56.73 1476446 57.06 57.69 56.34
11/30/2018 56.14 1713019 55.67 56.48 55.42
11/29/2018 55.96 1240284 55.89 56.42 55.45
11/28/2018 56.15 1275793 55.24 56.25 54.65
11/27/2018 54.98 996816 55.05 55.46 54.34
11/26/2018 55.53 983137 55.51 55.79 54.85
11/23/2018 55.1 398437 54.26 55.5 54.26
11/21/2018 54.82 1358426 55.16 55.72 54.78
11/20/2018 54.67 1721624 54.68 55.17 53.55
11/19/2018 55.81 1302481 56.48 56.6 55.48
11/16/2018 56.6 1568327 56.59 57.24 56.36
11/15/2018 57.06 1722867 55.5 57.25 55.42
11/14/2018 56.01 1997475 56.29 56.87 55.63
11/13/2018 55.9 1466753 55.18 56.62 55.18
11/12/2018 55.14 1677713 56.92 56.92 55.06
11/9/2018 56.88 1774393 56.34 57.04 55.87
11/8/2018 56.73 2891713 57.13 57.55 56.36
11/7/2018 57.2 2298122 56.26 57.23 55.76
11/6/2018 55.81 2426574 54.88 56.075 54.76
11/5/2018 54.83 1580620 54.21 55 54.115
11/2/2018 54.08 2157979 55.37 55.79 54.05
11/1/2018 55.01 1897572 53.76 55.31 53.47
10/31/2018 53.63 2394113 54 54.81 53.59
10/30/2018 53.45 2021618 52.35 53.57 52.24
10/29/2018 52.31 2254770 54.21 54.25 51.485
10/26/2018 53.41 2021978 52.93 53.96 52.46
10/25/2018 53.63 2599078 53.61 54.29 53.05
10/24/2018 52.9 3818679 55.6 55.75 52.82
10/23/2018 55.23 4279846 55.17 55.79 54.27
10/22/2018 56.26 3345373 56.73 57.305 55.7775
10/19/2018 56.75 3724062 57.86 58.5 56.61
10/18/2018 57.49 13466490 57.93 60.69 57.31
10/17/2018 64.78 2706832 66.75 66.925 64.65
10/16/2018 66.76 2020594 66.37 67.26 65.8
10/15/2018 65.81 1593489 65.58 66.32 65.34
10/12/2018 65.07 2152929 65.96 66.48 63.9
10/11/2018 65.07 1943826 67.01 67.35 64.8478
10/10/2018 67.38 1654746 70.14 70.14 67.31
10/9/2018 70.33 1034107 71.53 71.53 70.3
10/8/2018 71.7 1209666 71 71.78 70.85
10/5/2018 71.05 855293 71.65 72.16 70.93
10/4/2018 71.6 1152323 71.71 72.06 71.16
10/3/2018 71.71 1080147 72.14 72.59 71.68
10/2/2018 71.82 650050 71.79 71.95 71
10/1/2018 71.77 790347 71.84 72.11 71.515
9/28/2018 71.47 1223626 71.18 71.78 71.03
9/27/2018 71.5 707700 71.68 71.99 71.44
9/26/2018 71.52 1080181 72.39 72.45 71.44
9/25/2018 72.3 1962119 71.6 72.87 71.26
9/24/2018 71.36 850958 71.7 71.7 71.16
9/21/2018 71.82 3293190 71.09 71.82 70.85
9/20/2018 70.79 1574614 71.97 72.27 70.695
9/19/2018 71.72 1757796 71.8 72.76 71.49
9/18/2018 71.56 1266454 71.24 71.74 70.81
9/17/2018 70.91 1428077 70.57 71.36 70.42
9/14/2018 70.57 1800620 69.9 70.605 69.9
9/13/2018 69.86 1098549 69.89 70.41 69.68
9/12/2018 69.74 1390944 69.96 70.03 69.41
9/11/2018 69.99 878371 69.64 70.29 69.22
9/10/2018 69.86 1171641 69.48 70.05 69.206
9/7/2018 69.15 1174410 69.46 69.46 68.54
9/6/2018 69.61 1705376 69.91 70.4859 69.58
9/5/2018 69.83 1008320 69.37 69.96 69.19
