date close volume open high low
12/31/2018 45.7 7388179 45.34 45.82 45.055
12/28/2018 45.21 8372228 45.48 45.78 45.02
12/27/2018 45.65 9200308 44.84 45.65 44.12
12/26/2018 45.39 10812770 43.92 45.39 43.14
12/24/2018 43.76 6830457 44 44.64 43.645
12/21/2018 44.61 22628460 45.47 46.25 44.31
12/20/2018 45.77 13548550 45.9 46.44 45.43
12/19/2018 46.22 13711320 47.17 47.6 45.9
12/18/2018 47.26 10016440 48.23 48.43 46.96
12/17/2018 47.94 10070250 48.51 49.04 47.66
12/14/2018 48.75 11037740 48.69 49.5 48.455
12/13/2018 49.19 11919520 50.23 50.43 48.97
12/12/2018 50.13 8371513 50.62 50.87 49.88
12/11/2018 50.12 7734476 51.03 51.47 49.96
12/10/2018 50.58 11037190 51.7 51.86 50.01
12/7/2018 51.76 9561873 52.27 52.87 51.3931
12/6/2018 52.34 13475140 51.71 52.45 51.1801
12/4/2018 52.6 9806834 54.015 54.3307 52.4075
12/3/2018 54.4 6847366 54.88 55.04 53.9
11/30/2018 54.46 10299290 54.05 54.88 54.04
11/29/2018 54.04 5220475 54 54.32 53.79
11/28/2018 54.29 7095155 54.02 54.34 53.225
11/27/2018 53.72 7406621 53.79 54.03 53.47
11/26/2018 54.16 6395132 54 54.615 53.97
11/23/2018 53.52 2243279 53.3 53.96 53.12
11/21/2018 53.68 5830497 54.22 54.56 53.65
11/20/2018 54.11 9489791 54.94 55.35 53.86
11/19/2018 55 7793090 54.97 55.305 54.63
11/16/2018 54.92 9165927 54.4 55.21 54.34
11/15/2018 54.66 9758867 53.285 54.785 53.09
11/14/2018 54 13369740 53.99 54.54 53.26
11/13/2018 53.69 8138051 52.97 53.97 52.95
11/12/2018 52.92 7060085 53.145 53.44 52.8
11/9/2018 53.15 5530106 52.805 53.43 52.75
11/8/2018 52.93 5451176 52.31 53.25 52.27
11/7/2018 52.58 6715915 52.77 52.93 51.8
11/6/2018 52.64 4613584 52.22 52.66 51.95
11/5/2018 52.34 5398966 52.06 52.84 51.84
11/2/2018 52.07 7508635 52.43 52.77 51.49
11/1/2018 52.13 9759441 52.39 52.63 52.01
10/31/2018 52.27 12974280 52.66 52.88 52.205
10/30/2018 52.32 10133730 51.95 52.41 51.535
10/29/2018 51.56 9909430 51.52 52.49 51.14
10/26/2018 50.91 10408850 50.75 51.21 50.29
10/25/2018 51.27 7637620 50.7 51.78 50.51
10/24/2018 50.28 9323201 51.19 51.3 50.18
10/23/2018 51.37 9206397 50.73 51.77 50.585
10/22/2018 51.43 8909418 52.61 52.65 51.29
10/19/2018 52.5 7643156 51.93 52.755 51.81
10/18/2018 52.13 11126340 53.34 53.41 52.02
10/17/2018 52.9 11515860 50.81 53.055 50.52
10/16/2018 50.97 8671283 50.8 51.06 50.225
10/15/2018 50.51 6840275 50.79 51.09 50.51
10/12/2018 50.79 12592020 52.36 52.43 50.01
10/11/2018 51.82 13395550 53.32 53.32 51.65
10/10/2018 53.33 9171904 54.16 54.655 53.31
10/9/2018 53.95 5516712 53.71 54.225 53.4233
10/8/2018 53.93 5715614 53.45 54.055 53.375
10/5/2018 53.48 5202643 53.88 54.07 53.29
10/4/2018 53.68 5728205 53.36 54.09 53.36
10/3/2018 53.43 7735304 53.06 53.57 52.79
10/2/2018 52.74 5805104 52.81 53.06 52.435
10/1/2018 52.83 4713640 52.95 53.185 52.625
9/28/2018 52.81 8150282 52.73 52.88 52.48
9/27/2018 52.93 5812073 53.43 53.44 52.83
9/26/2018 53.61 5413523 54.52 54.52 53.52
9/25/2018 54.26 5527823 54.77 54.82 54.18
9/24/2018 54.42 5242390 55 55.312 54.34
9/21/2018 55.14 12642020 55.42 55.555 54.895
9/20/2018 55.35 5321169 55.21 55.47 55.1
9/19/2018 54.92 6799534 54.28 55.16 54.23
9/18/2018 54.15 4221918 54.17 54.38 53.97
9/17/2018 54.13 4504161 54.31 54.335 53.97
9/14/2018 54.14 5221061 54.02 54.245 53.97
9/13/2018 54.02 6662188 53.91 54.295 53.73
9/12/2018 53.55 5337185 54.21 54.24 53.49
9/11/2018 54.2 3378610 54.05 54.38 53.9375
9/10/2018 54.13 2995691 54.29 54.4 54.09
9/7/2018 54.19 4938053 54.61 54.62 53.88
9/6/2018 54.33 3678830 54.35 54.5 54.075
9/5/2018 54.33 5325250 54.19 54.62 54.156
9/4/2018 54.24 4367588 54.21 54.34 53.84
8/31/2018 54.11 5155591 53.87 54.14 53.79
8/30/2018 54.04 6298722 54.22 54.37 53.92
8/29/2018 54.33 4475068 54.22 54.51 54.09
8/28/2018 54.2 4184070 54.5 54.72 54.14
8/27/2018 54.46 5936464 54.13 54.67 54.12
8/24/2018 54.01 4568266 53.89 54.13 53.74
8/23/2018 53.8 4203776 54.05 54.12 53.615
8/22/2018 53.94 3238241 54.08 54.11 53.81
8/21/2018 54.19 5206663 53.91 54.51 53.85
8/20/2018 53.82 5174989 53.26 53.85 53.2445
8/17/2018 53.29 4163437 53.11 53.395 53.05
8/16/2018 53.16 4909608 52.81 53.38 52.8
8/15/2018 52.59 6181996 52.73 53.01 52.355
8/14/2018 53.17 4285098 52.43 53.21 52.43
8/13/2018 52.37 5120902 52.9 53.09 52.37
8/10/2018 53.1 5490724 52.93 53.32 52.75
8/9/2018 53.48 3816559 53.53 53.7 53.37
8/8/2018 53.52 4539722 53.29 53.785 53.08
8/7/2018 53.3 4607169 53.03 53.39 52.985
8/6/2018 52.93 5387727 52.82 53.19 52.7999
8/3/2018 52.91 5310474 52.46 52.92 52.3853
8/2/2018 52.55 4415369 52.23 52.64 52.14
8/1/2018 52.61 5685600 53.31 53.51 52.38
7/31/2018 53.01 9379262 53.03 53.35 52.89
7/30/2018 52.98 7098353 52.62 53.31 52.62
7/27/2018 52.6 7240549 52.36 52.73 52.28
7/26/2018 52.36 9396913 51.9 52.54 51.87
7/25/2018 51.62 7668619 51.54 51.745 51.35
7/24/2018 51.65 5434981 51.76 52.2385 51.515
7/23/2018 51.87 7728449 51.1 51.895 51.03
7/20/2018 51.06 9167076 51.23 51.4195 50.835
7/19/2018 51.36 12121750 50.66 51.62 50.655
7/18/2018 50.72 11393390 51 51.4 50.47
7/17/2018 51.3 9336896 51.4 51.68 51.1773
7/16/2018 51.3 6914980 51.05 51.43 51.02
7/13/2018 50.91 6975610 51.05 51.295 50.605
7/12/2018 51.36 6453612 51.72 51.85 51.14
7/11/2018 51.26 6185126 51.13 51.64 50.82
7/10/2018 51.35 6409100 51.48 51.5741 51.02
7/9/2018 51.37 6649724 50.38 51.64 50.3025
7/6/2018 50.21 4085071 49.83 50.3401 49.77
7/5/2018 49.93 5327726 50.27 50.37 49.81
7/3/2018 49.97 4506621 50.44 50.64 49.775
7/2/2018 50.41 4703252 49.62 50.44 49.59
6/29/2018 50.02 9521563 50.16 50.72 49.99
6/28/2018 49.62 5785389 49.64 49.94 49.235
6/27/2018 49.83 6949600 50.02 50.34 49.8
6/26/2018 50.2 6649909 50.53 50.66 49.9
6/25/2018 50.58 6728769 50.63 50.69 50.03
6/22/2018 50.76 7303909 51.36 51.4 50.71
6/21/2018 50.99 6476803 51.12 51.2 50.5799
6/20/2018 51.27 7428698 52.03 52.07 51.235
6/19/2018 51.65 13591960 50.76 51.8 50.7
6/18/2018 51.28 7007387 50.83 51.375 50.56
6/15/2018 51.38 17352600 50.78 51.42 50.59
6/14/2018 50.93 10199010 51.29 51.355 50.74
6/13/2018 51.08 7306148 51.23 51.7 50.88
6/12/2018 51.23 5103007 51.45 51.6936 51.03
6/11/2018 51.45 5932395 52.2 52.23 51.42
6/8/2018 52.05 4811323 51.66 52.08 51.59
6/7/2018 51.83 6164036 51.94 52.19 51.56
6/6/2018 51.77 7219351 51.39 51.91 51.17
6/5/2018 51.22 7965604 50.82 51.407 50.61
6/4/2018 50.91 4427231 50.97 51.13 50.7
6/1/2018 50.76 10247190 50.5 51.115 50.5
5/31/2018 49.99 13759800 49.67 50.09 49.25
5/30/2018 49.84 9303038 49.34 49.96 49.065
5/29/2018 48.86 11605320 50.01 50.06 48.49
5/25/2018 50.54 4345667 50.41 50.66 50.35
5/24/2018 50.67 5956244 50.62 50.845 50.25
5/23/2018 50.94 5295472 50.83 51.02 50.315
5/22/2018 51.06 6224437 50.85 51.57 50.75
5/21/2018 50.7 4675800 50.8 51.11 50.69
5/18/2018 50.55 4531606 51.11 51.11 50.47
5/17/2018 51.15 4636143 50.82 51.2 50.61
5/16/2018 50.99 5486058 51.02 51.27 50.77
5/15/2018 51.12 6915505 51.05 51.37 50.95
5/14/2018 51.18 4730111 51.68 51.7 51.045
5/11/2018 51.5 5037064 51.47 51.86 51.28
5/10/2018 51.17 5655787 50.91 51.265 50.565
5/9/2018 50.83 4784492 50.43 51.11 50.325
5/8/2018 50.33 5813175 50.33 50.7631 50.07
5/7/2018 50.36 5562152 50.51 50.54 50.05
5/4/2018 50.34 6072145 49.64 50.73 49.44
5/3/2018 49.98 8468401 49.75 50.14 49.15
5/2/2018 49.86 5781279 50.54 50.61 49.77
5/1/2018 50.72 4410035 50.25 50.77 49.92
4/30/2018 50.45 7719612 51.42 51.605 50.45
4/27/2018 51.25 5172959 50.66 51.44 50.62
4/26/2018 50.78 5577383 50.69 51.11 50.58
4/25/2018 50.79 6903215 50.35 51.16 50
4/24/2018 50.42 6945304 50.66 51.29 50.09
4/23/2018 50.54 7893535 50.48 50.78 50.35
4/20/2018 50.43 7927213 50.84 51.08 50.13
4/19/2018 50.7 10649380 50 50.785 49.98
4/18/2018 50 12918270 51.06 51.11 49.81
4/17/2018 51.02 7812185 51.72 51.89 50.825
4/16/2018 51.41 8190059 51.34 51.525 51.07
4/13/2018 50.95 7668466 51.83 51.875 50.65
4/12/2018 51.24 5480413 50.96 51.505 50.8
4/11/2018 50.55 4327767 50.65 50.9 50.375
4/10/2018 51.08 6248792 51.11 51.39 50.67
4/9/2018 50.59 5626209 50.52 51.529 50.395
4/6/2018 50.28 7800467 50.54 50.93 49.85
4/5/2018 51.08 6900371 51.13 51.43 50.86
4/4/2018 50.68 6786533 49.51 50.88 49.455
4/3/2018 50.27 6682929 49.83 50.355 49.445
4/2/2018 49.68 8661487 50.45 50.63 49.03
3/29/2018 50.5 5399324 50.21 50.83 49.9
3/28/2018 50.07 7710610 49.69 50.49 49.37
3/27/2018 49.86 8615651 51.35 51.42 49.48
3/26/2018 51.29 8995374 50.23 51.43 49.82
3/23/2018 49.25 10451330 50.7 50.9 49.15
3/22/2018 50.65 9117795 52.04 52.19 50.53
3/21/2018 52.55 6873951 52.79 53.21 52.34
3/20/2018 52.6 4444473 53.05 53.35 52.555
3/19/2018 52.8 8288827 53.21 53.3145 52.36
3/16/2018 53.26 10911310 53.36 53.99 53.23
3/15/2018 53.36 5361529 53.5 53.57 53.08
3/14/2018 53.27 6281047 54.39 54.49 53.12
3/13/2018 54.15 6132848 55.3 55.4 54.06
3/12/2018 55.01 3568018 55.21 55.5066 54.87
3/9/2018 55.28 6075509 54.33 55.37 54.17
3/8/2018 53.94 5100636 53.85 54.05 53.41
3/7/2018 53.66 5881473 53.58 53.97 52.97
3/6/2018 54.17 4953254 54.03 54.235 53.48
3/5/2018 53.97 5199080 52.97 54.14 52.78
3/2/2018 53.41 5646584 52.78 53.51 52.3
3/1/2018 53.17 8167923 54.39 54.58 52.96
2/28/2018 54.36 4685397 55.35 55.635 54.35
2/27/2018 55.01 5147413 55.84 56.1 55.01
2/26/2018 55.84 5345523 55.67 55.85 54.83
2/23/2018 55.49 5422226 54.44 55.505 54.41
2/22/2018 54.27 6380665 55.46 55.59 54.165
2/21/2018 55.1 6588183 54.94 55.82 54.8
2/20/2018 54.91 5721120 55.5 56.0615 54.74
2/16/2018 55.61 6223459 54.9 55.9199 54.87
2/15/2018 55.1 6999574 55.6 56.04 54.9
2/14/2018 55.31 7149851 54.03 55.4 53.8875
2/13/2018 54.14 5334469 53.7 54.36 53.58
2/12/2018 53.97 7590664 54.06 54.57 53.52
2/9/2018 53.75 12328090 53.32 54.08 51.8716
2/8/2018 52.65 10753330 54.79 54.79 52.61
2/7/2018 54.8 10988400 54.5 55.68 54.4
2/6/2018 54.62 17651250 53.45 55.3 53.02
2/5/2018 54.62 11465830 56.37 56.92 54.48
2/2/2018 56.9 7009541 57.24 57.8 56.78
2/1/2018 57.46 5334900 56.93 57.46 56.71
1/31/2018 57.14 7890560 57.31 57.65 57.02
1/30/2018 57.4 5065934 57.64 58.09 57.39
1/29/2018 57.99 5985905 58.04 58.5 57.93
1/26/2018 58.11 5930564 57.96 58.11 57.5
1/25/2018 57.98 5672744 57.94 58.16 57.68
1/24/2018 57.75 5316409 57.31 57.94 57.31
1/23/2018 57.18 5246175 56.86 57.48 56.79
1/22/2018 57.26 7646585 56.54 57.26 56.54
1/19/2018 56.46 10342940 56.49 56.52 56
1/18/2018 56.15 8785800 56.52 56.81 56.09
1/17/2018 56.34 9313362 57.04 57.04 55.37
1/16/2018 57.17 8784002 57.54 57.69 56.93
1/12/2018 56.98 5339764 56.96 57.12 56.59
1/11/2018 56.68 6146935 56.48 56.74 56.22
1/10/2018 56.2 7114838 55.99 56.7 55.84
1/9/2018 55.78 6380956 55.55 56.27 55.48
1/8/2018 55.4 6808550 55.17 55.53 55.14
1/5/2018 55.32 6835593 55.43 55.5 54.95
1/4/2018 54.98 7573437 54.69 55.515 54.6
1/3/2018 54.56 4946189 54 54.765 53.95
1/2/2018 54.03 5367444 54.05 54.34 53.7934
12/29/2017 53.58 3949804 54.12 54.15 53.58
12/28/2017 53.95 3216036 53.92 54.01 53.705
12/27/2017 54.07 3747547 54.09 54.2264 53.895
12/26/2017 54.01 2807036 54.49 54.67 53.83
12/22/2017 54.46 3792650 54.81 54.85 54.15
12/21/2017 54.53 3926340 54.66 54.81 54.255
12/20/2017 54.26 5682022 55.06 55.18 54.0695
12/19/2017 54.56 5964900 55.09 55.13 54.54
12/18/2017 54.78 5325235 54.94 55.16 54.65
12/15/2017 54.5 12402890 54.56 54.92 54.23
