date close volume open high low
12/31/2018 15.61 3113437 15.67 15.67 15.41
12/28/2018 15.63 2517801 15.58 15.8 15.47
12/27/2018 15.47 2926252 15.35 15.5 15.03
12/26/2018 15.53 1924245 15.07 15.55 14.96
12/24/2018 15 2354487 15.57 15.69 14.98
12/21/2018 15.69 6612680 16.12 16.22 15.59
12/20/2018 15.84 2869761 16.28 16.28 15.64
12/19/2018 16.37 5596189 16.48 16.72 16.28
12/18/2018 16.51 4621058 16.54 16.69 16.35
12/17/2018 16.4 4609459 16.7 16.83 16.31
12/14/2018 16.71 4889696 17.03 17.05 16.57
12/13/2018 17.09 2984909 17.09 17.2 16.95
12/12/2018 17.03 7009261 17.03 17.16 16.84
12/11/2018 16.98 2923680 17.31 17.34 16.835
12/10/2018 17.16 6291946 17.17 17.43 16.85
12/7/2018 17.11 7137568 17.59 17.72 17.06
12/6/2018 17.57 3979009 17.29 17.67 17.19
12/4/2018 17.45 2804833 17.95 18.02 17.43
12/3/2018 17.92 3134953 18.1 18.17 17.73
11/30/2018 17.93 3106574 17.98 18.14 17.86
11/29/2018 18.06 3808961 17.91 18.26 17.78
11/28/2018 17.88 4811153 17.59 18.09 17.55
11/27/2018 17.54 3037833 17.72 17.9 17.52
11/26/2018 17.78 2441018 17.94 18.08 17.69
11/23/2018 17.75 1154608 17.69 17.85 17.5
11/21/2018 17.7 2563459 17.9 17.98 17.65
11/20/2018 17.76 4164256 17.75 17.94 17.39
11/19/2018 17.94 8391034 17.77 18.02 17.64
11/16/2018 17.79 2734555 17.41 17.815 17.4
11/15/2018 17.49 4065871 17.45 17.59 17.105
11/14/2018 17.46 5384585 17.79 17.79 17.38
11/13/2018 17.76 4107502 17.37 17.84 17.37
11/12/2018 17.32 5462632 17.41 17.75 17.2
11/9/2018 17.42 5984375 16.8 17.62 16.8
11/8/2018 16.84 6875157 16.55 17.25 16.47
11/7/2018 16.63 15829770 15.47 16.86 15.39
11/6/2018 17.08 5551414 17.08 17.35 17.03
11/5/2018 17.04 6282086 17.04 17.295 16.84
11/2/2018 17 8891611 17.33 17.43 16.49
11/1/2018 17.18 3524240 17.27 17.41 17.1
10/31/2018 17.24 4068317 17.29 17.41 16.975
10/30/2018 17.17 3740341 16.8 17.19 16.75
10/29/2018 16.8 2967450 17.03 17.17 16.6
10/26/2018 16.85 3183858 16.95 17.02 16.545
10/25/2018 17.03 4467019 16.88 17.1 16.76
10/24/2018 16.77 5006034 16.92 17.05 16.77
10/23/2018 16.96 5440473 16.92 17.06 16.465
10/22/2018 17.09 4302889 17.11 17.27 16.93
10/19/2018 17.02 4315627 17.1 17.175 16.98
10/18/2018 16.99 5479970 17.17 17.35 16.885
10/17/2018 17.24 4576968 17.46 17.55 17.12
10/16/2018 17.5 3531208 17.35 17.54 17.21
10/15/2018 17.26 1654095 17.1 17.42 17.09
10/12/2018 17.12 2766065 17.09 17.39 16.87
10/11/2018 16.92 3290597 17.21 17.36 16.895
10/10/2018 17.28 3884076 17.44 17.495 17.21
10/9/2018 17.46 2603879 17.33 17.46 17.26
10/8/2018 17.29 4625522 17.28 17.39 17.04
10/5/2018 17.26 1924944 17.04 17.33 17.03
10/4/2018 16.99 2628137 17.14 17.22 16.92
10/3/2018 17.22 2532636 17.04 17.38 17.01
10/2/2018 16.97 4903692 17.05 17.16 16.88
10/1/2018 17.08 3259142 17.26 17.39 17.03
9/28/2018 17.14 3002211 17.21 17.37 17.12
9/27/2018 17.29 3576603 17.26 17.46 17.155
9/26/2018 17.56 3987413 17.44 17.94 17.44
9/25/2018 17.42 4887144 17.66 18 17.38
9/24/2018 17.32 2005403 17.15 17.4 17
9/21/2018 17.17 4699284 17.51 17.57 17.12
9/20/2018 17.48 3450408 17.58 17.73 17.425
9/19/2018 17.49 3417403 17.8 17.9264 17.35
9/18/2018 17.77 3335963 17.45 17.82 17.35
9/17/2018 17.41 3101830 17.5 17.57 17.33
9/14/2018 17.57 7759801 18.07 18.08 17.38
9/13/2018 18.08 4617730 17.74 18.09 17.71
9/12/2018 17.72 2971669 17.76 17.925 17.7
9/11/2018 17.67 1797660 17.69 17.82 17.62
9/10/2018 17.7 3355937 17.97 18 17.655
9/7/2018 17.89 6318383 17.44 17.91 17.44
9/6/2018 17.45 4765718 17.5 17.615 17.365
9/5/2018 17.49 3241118 17.44 17.49 17.25
9/4/2018 17.5 4502349 17.62 17.66 17.31
8/31/2018 17.65 2005169 17.64 17.75 17.56
8/30/2018 17.7 2222710 17.83 17.87 17.58
8/29/2018 17.77 1520698 17.81 17.93 17.75
8/28/2018 17.82 1483212 17.81 17.9 17.76
8/27/2018 17.77 2048576 17.89 18.01 17.72
8/24/2018 17.8 3103054 17.97 18.01 17.7
8/23/2018 17.96 1606212 18.05 18.12 17.85
8/22/2018 17.99 2311131 18.18 18.2 17.955
8/21/2018 18.19 2563522 18.43 18.51 18.145
8/20/2018 18.43 2347419 18.38 18.685 18.3
8/17/2018 18.42 2852900 18.31 18.62 18.29
8/16/2018 18.3 6172723 18.03 18.59 18
8/15/2018 17.88 2278232 17.79 17.95 17.665
8/14/2018 17.84 2915699 17.39 17.88 17.35
8/13/2018 17.35 2638291 17.72 17.77 17.26
8/10/2018 17.65 2395588 17.73 17.78 17.595
8/9/2018 17.76 3334779 17.3 17.97 17.28
8/8/2018 17.26 5169899 16.76 17.35 16.6
8/7/2018 17.01 4000534 17.1 17.26 16.87
8/6/2018 17.07 4138626 16.77 17.32 16.77
8/3/2018 16.8 3518955 16.64 16.84 16.59
8/2/2018 16.65 4595324 16.31 16.72 16.31
8/1/2018 16.69 2425755 16.65 16.815 16.55
7/31/2018 16.68 1606252 16.48 16.735 16.4
7/30/2018 16.5 2804372 16.79 16.87 16.47
7/27/2018 16.71 1723019 17 17.1 16.655
7/26/2018 16.93 2288591 16.71 16.99 16.65
7/25/2018 16.73 1780175 16.82 16.95 16.675
7/24/2018 16.84 3519101 17.15 17.169 16.72
7/23/2018 17.09 3248192 17.42 17.52 17.04
7/20/2018 17.42 2086155 17.64 17.65 17.4
7/19/2018 17.66 2654452 17.76 17.82 17.52
7/18/2018 17.77 7641805 17.39 18.25 17.345
7/17/2018 17.43 2710484 17.41 17.49 17.15
