date close volume open high low
12/31/2018 27.73 469933 27.82 28.14 27.16
12/28/2018 27.66 1840969 27.32 27.87 26.77
12/27/2018 27.75 1795573 28.59 28.6 26.08
12/26/2018 28.92 1307619 27.28 28.92 25.89
12/24/2018 27.2 942311 27.69 28.32 27.07
12/21/2018 27.86 2091079 28.54 28.78 27.47
12/20/2018 28.69 592425 29.34 29.6037 28.29
12/19/2018 29.68 455109 29.27 30.36 28.88
12/18/2018 29.07 434729 29.93 30.21 29
12/17/2018 29.82 872985 29.97 31.09 29.59
12/14/2018 30.14 896437 30.66 30.66 29.67
12/13/2018 30.18 458837 29.52 30.47 29.44
12/12/2018 29.58 735287 29.61 30.05 29.391
12/11/2018 29.38 293446 30.45 30.45 29.36
12/10/2018 29.53 269095 29.54 29.76 29.1
12/7/2018 29.85 552860 30.05 30.87 29.72
12/6/2018 29.7 324445 29.5 29.95 28.43
12/4/2018 30.04 525959 30.8 30.81 29.77
12/3/2018 30.67 401133 29.34 30.7 29.34
11/30/2018 28.98 377924 28.68 29.1464 28.2675
11/29/2018 29.02 396425 28.64 29.45 28.47
11/28/2018 28.59 1927911 28.3 28.89 28.096
11/27/2018 28.26 193630 28.25 28.73 28.06
11/26/2018 28.39 177196 28.51 28.77 28.17
11/23/2018 28.29 29470 28.36 28.45 27.81
11/21/2018 28.76 471201 28.83 28.9 28.13
11/20/2018 28.14 415206 29.02 29.31 27.69
11/19/2018 29.28 135631 28.51 29.7 28.51
11/16/2018 28.82 216251 28.69 28.98 28.11
11/15/2018 28.72 341410 28.66 28.8 28.02
11/14/2018 28.68 128255 29.32 29.35 28.62
11/13/2018 29.08 284557 29.49 29.8 28.8
11/12/2018 29.5 405895 30.28 30.28 29.5
11/9/2018 30.3 679940 30.77 30.85 29.72
11/8/2018 30.97 657900 32.7 33.37 30.96
11/7/2018 33 381202 32.12 33.47 31.88
11/6/2018 29.56 309041 29.15 29.73 28.77
11/5/2018 29.24 192791 30.07 30.07 28.98
11/2/2018 29.28 137105 28.87 29.35 28.52
11/1/2018 28.82 349637 28.73 29.08 28.41
10/31/2018 28.76 226529 29.66 29.99 28.5
10/30/2018 28.89 106955 28.59 29.29 28.28
10/29/2018 29.26 259539 29.69 30.7089 28.731
10/26/2018 29.84 117227 30.06 30.4195 29.36
10/25/2018 30.3 113659 30.65 30.65 29.9105
10/24/2018 30.44 352443 31.08 31.235 30.33
10/23/2018 31.07 204366 30.52 31.15 29.785
10/22/2018 31.35 189200 31.89 31.89 31.22
10/19/2018 31.7 214592 31.71 32.11 31.57
10/18/2018 31.71 302023 31.99 32.2874 31.55
10/17/2018 32.11 268265 32.5 32.57 31.85
10/16/2018 32.5 390773 32.64 32.75 32.34
10/15/2018 32.5 287868 32.59 32.98 32.42
10/12/2018 32.61 305486 32.87 32.91 32.35
10/11/2018 32.59 236486 33.68 33.68 32.46
10/10/2018 33.04 341916 33.19 33.26 32.82
10/9/2018 33.21 460015 32.63 33.54 32.44
10/8/2018 32.59 104462 32.36 32.69 32.08
10/5/2018 32.46 187208 32.35 32.92 32.13
10/4/2018 32.36 187273 31.93 32.61 31.855
10/3/2018 31.97 326527 31.79 32.2 31.13
10/2/2018 31.04 191434 31.51 31.51 30.79
10/1/2018 31.38 228922 30.09 31.53 29.97
9/28/2018 29.94 251334 29.8 30.07 29.8
9/27/2018 29.92 170763 30.05 30.29 29.8
9/26/2018 30.01 118416 30.18 30.43 29.92
9/25/2018 30.2 158951 31.06 31.0899 29.69
9/24/2018 30.96 332083 32.13 32.38 30.69
9/21/2018 32.22 350143 32.91 33.11 32.04
9/20/2018 32.82 158093 32.29 33.05 32.29
9/19/2018 32.25 172578 33.73 33.73 32.22
9/18/2018 33.63 150670 33.98 33.99 33.52
9/17/2018 33.32 128338 33.74 33.78 33.2225
9/14/2018 33.52 191707 34.49 34.49 33.08
9/13/2018 34.57 53083 35.52 35.52 34.51
9/12/2018 35.48 123268 35.53 35.85 35.44
9/11/2018 35.56 112528 34.9 35.78 34.84
9/10/2018 34.98 85250 34.99 35.07 34.795
9/7/2018 34.79 96582 34.39 35.35 34.3
9/6/2018 34.52 229513 34.28 34.55 34
9/5/2018 34.24 116981 33.99 34.32 33.68
9/4/2018 34.18 146979 33.86 34.2 33.75
8/31/2018 33.86 180253 33.64 33.94 33.49
8/30/2018 33.9 203261 34.6 34.63 33.45
8/29/2018 34.6 462028 34.8 35.52 34.09
8/28/2018 35.01 233138 35.15 35.42 34.84
8/27/2018 35.34 96285 35.71 35.71 35.18
8/24/2018 35.71 172967 35.75 35.839 35.255
8/23/2018 35.6 154872 35.85 35.87 35.46
8/22/2018 35.82 215906 35.84 36 35.4335
8/21/2018 35.54 297728 36.04 36.09 35.48
8/20/2018 36.09 228834 35.97 36.16 35.8401
8/17/2018 35.97 58608 35.72 36.04 35.5175
8/16/2018 35.79 78321 35.7 36.07 35.645
8/15/2018 35.7 66238 35.73 35.8399 35.24
8/14/2018 35.93 92531 35.8 36.19 35.77
8/13/2018 35.78 78770 36.37 36.37 35.54
8/10/2018 36.26 214090 35.99 36.98 35.99
8/9/2018 36.84 108639 36.51 37 36.34
8/8/2018 36.46 170993 36.21 36.55 35.99
8/7/2018 36.45 134136 36.93 37 36.25
8/6/2018 36.75 46609 36.35 36.82 36.35
8/3/2018 36.47 121405 36.39 36.59 36.23
8/2/2018 36.38 472671 36.22 36.56 36.0201
8/1/2018 36.11 205555 35.38 37.18 35.3
7/31/2018 36.77 118686 37.26 37.26 36.69
7/30/2018 37.57 279494 36.18 37.69 35.89
7/27/2018 35.8 145364 36.3 36.5146 35.25
7/26/2018 36.26 152734 37.02 37.02 35.84
7/25/2018 36.42 230747 36.07 36.73 35.92
7/24/2018 36.13 165065 36.55 36.9 36
7/23/2018 36.51 199464 36.03 36.54 35.87
7/20/2018 36.04 145844 36.9 36.9 35.73
7/19/2018 36.74 98899 36.66 37.16 36.43
7/18/2018 36.26 212166 36.03 36.36 35.67
7/17/2018 36.02 193468 36 36.0653 35.23
7/16/2018 36.12 66811 35.79 36.17 35.56
7/13/2018 35.98 132587 35.665 36.135 35.665
7/12/2018 35.78 80485 35.26 35.79 35.06
7/11/2018 35.22 155683 35.23 35.5889 34.86
7/10/2018 35.51 150913 35.9 36.025 35.4
7/9/2018 35.85 85046 36.02 36.15 35.8
7/6/2018 36.02 70887 35.95 36.2 35.62
7/5/2018 35.95 170302 35.64 36.41 35.64
7/3/2018 36.17 73111 35.63 36.18 35.49
