date close volume open high low
12/31/2018 42.12 29302 43.11 43.2 42.12
12/28/2018 43.63 26138 44 44.06 42.109
12/27/2018 44.56 27985 42.83 44.56 42.26
12/26/2018 43.6 10613 43.46 44.02 43.12
12/24/2018 43.33 5066 43.85 43.85 43.33
12/21/2018 43.89 17524 43.9 44.21 43.54
12/20/2018 43.66 12088 42.5 43.66 42.5
12/19/2018 42.9 12389 43.23 43.53 42.56
12/18/2018 43.29 15512 43.05 43.29 42.91
12/17/2018 41.97 20288 41.87 42.26 41.51
12/14/2018 41.27 11217 41.294 41.64 41.27
12/13/2018 41.44 111010 41.53 41.53 41.331
12/12/2018 41.71 17784 41.82 41.83 41.21
12/11/2018 41.6 18851 41.9497 41.9497 41.06
12/10/2018 41.19 21957 41.37 41.598 41.01
12/7/2018 41.4 8862 42.24 42.45 41.4
12/6/2018 41.99 25452 42.05 42.4999 41.73
12/4/2018 42.6 16168 43.23 44.03 42.47
12/3/2018 42.89 5701 42.5 42.99 42.47
11/30/2018 42.28 7173 42.22 42.31 41.6661
11/29/2018 42.73 13907 42.16 43.3799 42.0411
11/28/2018 42.5 9718 41.99 42.68 41.65
11/27/2018 42.34 8024 42.46 42.65 42.19
11/26/2018 42.65 36239 42.44 42.66 42.321
11/23/2018 42.44 28887 42.5 42.87 42.44
11/21/2018 42.87 9761 42.4642 42.8799 42.46
11/20/2018 42.01 8861 42.36 42.5399 41.96
11/19/2018 42 11493 42.44 42.69 42
11/16/2018 43.01 11279 42.47 43.1 42.22
11/15/2018 42.6 19311 42.47 42.98 42.21
11/14/2018 42.26 15356 43.2 43.2 42.01
11/13/2018 42.91 13741 43.09 44.11 42.69
11/12/2018 42.45 13930 43.29 43.5 42.1201
11/9/2018 42.5 5659 42.9 42.9 42.5
11/8/2018 43.77 10577 42.95 43.9 42.95
11/7/2018 43.4 12925 43.61 44.33 42.81
11/6/2018 43.11 8175 43.6781 43.6781 42.57
11/5/2018 42.61 19387 43.7 44.25 42.23
11/2/2018 43.45 11952 43.62 44.31 43
11/1/2018 42.78 12760 42.2 42.78 42.02
10/31/2018 41.54 25998 41.27 42.1 41.27
10/30/2018 40.74 13639 41.39 41.39 40.18
10/29/2018 41.66 21748 42.82 42.82 41.66
10/26/2018 42.12 15363 42.35 42.6199 41.92
10/25/2018 42.62 23920 42.58 42.68 41.82
10/24/2018 42.13 22390 43.07 43.2745 42.13
10/23/2018 42.41 17079 42.62 43.21 42.41
10/22/2018 43.53 7169 43.78 43.78 43.43
10/19/2018 43.39 10551 43.58 43.58 43.04
10/18/2018 42.7 9594 43.2 43.28 42.7
10/17/2018 43.71 4308 43.84 44.56 43.43
10/16/2018 43.9 6297 43.22 43.9 43.14
10/15/2018 43.02 9689 42.94 43.53 42.94
10/12/2018 42.67 14665 43.32 43.32 42.53
10/11/2018 42.61 13293 43 43.4 42.54
10/10/2018 43.72 8941 44.23 44.36 43.71
10/9/2018 44.91 12945 44.43 45.13 44.38
10/8/2018 44.91 9127 44.71 44.9572 44.68
10/5/2018 44.76 7070 44.79 44.79 44.38
10/4/2018 44.88 5854 45.27 45.4961 44.73
10/3/2018 44.73 8434 45.3099 45.3099 44.54
10/2/2018 45.18 8121 45.21 45.25 44.86
10/1/2018 45.76 19197 45.469 45.76 45.33
9/28/2018 45.33 2753 45.62 45.62 45.32
9/27/2018 44.89 7764 45 45.32 44.89
9/26/2018 44.77 2484 44.8 44.999 44.77
9/25/2018 44.84 5587 44.29 44.84 44.29
9/24/2018 44.3 7592 44.46 44.47 44.15
9/21/2018 44.61 13449 44.88 44.99 44.48
9/20/2018 44.03 14918 44.35 44.48 43.32
9/19/2018 43.64 3866 43.11 43.64 43.11
9/18/2018 43.41 6565 43.28 43.52 42.86
9/17/2018 43.59 9106 43.646 43.67 43.28
9/14/2018 43.64 5932 44.09 44.1299 43.63
9/13/2018 44.22 31001 44.9 44.9 44.01
9/12/2018 43.82 6474 43.165 44.07 43.165
9/11/2018 43.5 13826 43.07 43.67 42.825
9/10/2018 42.44 15911 42.74 42.85 42.3327
9/7/2018 42.58 6104 42.59 42.8198 42.51
9/6/2018 42.96 13006 42.17 42.96 42.17
9/5/2018 42.5 14020 42.5 42.52 42.01
9/4/2018 42.89 4564 43.09 43.22 42.79
8/31/2018 43.9 6026 43.83 43.9 43.61
8/30/2018 43.43 9865 43.62 43.89 43.43
8/29/2018 44.96 5480 44.79 45.1399 44.77
8/28/2018 44.61 4783 44.39 44.9995 44.39
