date close volume open high low
12/31/2018 31.58 1882430 31.63 32.07 30.83
12/28/2018 31.51 1541635 32.19 32.53 30.85
12/27/2018 32.1 2504352 30.4 32.1415 30.4
12/26/2018 30.82 1404069 28.53 30.87 28.53
12/24/2018 28.32 1028757 27.9 29.34 27.7123
12/21/2018 28.22 2589246 29.16 29.85 27.935
12/20/2018 29.09 2921670 30.14 30.365 27.95
12/19/2018 30.29 2640724 30.58 31.95 30.08
12/18/2018 30.83 2798872 31.12 31.62 30.46
12/17/2018 30.99 3426510 32.13 32.42 30.8399
12/14/2018 32.38 2632024 32.62 33.11 32
12/13/2018 32.84 4090132 35.15 35.2978 32.12
12/12/2018 35.03 2999401 36.64 37.2307 34.96
12/11/2018 36.01 1877819 36.83 37.32 35.93
12/10/2018 36.1 2620339 36.05 37.45 35.55
12/7/2018 36.1 2966167 36.8 37.9969 35.34
12/6/2018 37.02 3326347 35.48 37.04 34.17
12/4/2018 35.84 2684457 36.57 37.5 35.18
12/3/2018 37.02 3361535 37.55 37.75 35.55
11/30/2018 36.55 4307246 36.4 37.47 36.03
11/29/2018 36.8 4511473 36.06 37.2 35.16
11/28/2018 35.15 5175015 33.71 35.33 33.31
11/27/2018 33.47 5532914 32.59 33.9 31.81
11/26/2018 32.89 8504088 30 32.96 30
11/23/2018 29.39 1201098 28.97 29.72 28.97
11/21/2018 29.18 6105507 29.16 29.8 27.92
11/20/2018 28.23 4844422 26.57 28.4 26.38
11/19/2018 27.16 3629432 28.74 29.05 27.06
11/16/2018 28.91 2758703 28.05 29.275 27.66
11/15/2018 28.05 5017798 28.49 28.64 27
11/14/2018 28.41 4228942 30.81 31.031 28.36
11/13/2018 30.46 3193719 31.39 31.89 30.44
11/12/2018 31.04 4796883 30.15 31.74 29.88
11/9/2018 30.25 4361027 28.98 30.82 28.85
11/8/2018 29.41 10494700 30.12 30.92 29
11/7/2018 29.99 21836540 32.76 33 29.98
11/6/2018 41.04 3931567 40.74 41.93 40.43
11/5/2018 40.45 2822179 41.24 41.2454 39.11
11/2/2018 41.58 2125080 41.41 42.85 41.13
11/1/2018 41.94 2253369 40.15 42.09 40.13
10/31/2018 40.26 2848761 40.12 41.69 39.79
10/30/2018 39.26 2593244 37 39.46 36.81
10/29/2018 37.06 2849170 39.14 39.55 36.52
10/26/2018 38.3 2786381 40.44 40.88 38.13
10/25/2018 41.655 1839524 39.87 41.83 39.61
10/24/2018 39.29 2156539 40.15 41.59 39
10/23/2018 40.6 1715578 39.2 40.91 37.81
10/22/2018 40.02 1688236 39.14 40.35 39.11
10/19/2018 39.22 1283634 40.7 41.01 38.84
