date close volume open high low
2018/12/31 16.1700 1719435.0000 15.7000 16.3200 15.5600
2018/12/28 15.6500 1304764.0000 15.3600 16.0000 15.1100
2018/12/27 15.4500 1579498.0000 15.6500 15.7800 14.5600
2018/12/26 15.8400 2805985.0000 14.3400 15.9150 14.3300
2018/12/24 14.3200 1637598.0000 14.0100 14.6800 14.0100
2018/12/21 14.3300 5123374.0000 15.3000 15.4900 14.2900
2018/12/20 15.2700 3133388.0000 15.7300 16.1000 15.0100
2018/12/19 15.7800 2965677.0000 17.0700 17.6800 15.5600
2018/12/18 17.0400 1750275.0000 17.7300 17.9500 16.6700
2018/12/17 17.5600 1619520.0000 17.6400 18.5900 17.4500
2018/12/14 17.6700 1160846.0000 17.7900 18.2700 17.5600
2018/12/13 17.9300 1691803.0000 18.6100 18.6500 17.6500
2018/12/12 18.4800 1649427.0000 18.7800 19.4700 18.3300
2018/12/11 18.5700 838748.0000 19.0600 19.1300 18.3500
2018/12/10 18.7800 1708043.0000 18.0300 19.0200 17.8200
2018/12/07 18.2100 1979036.0000 18.7400 19.2000 18.0300
2018/12/06 18.9100 1766919.0000 18.6600 19.4300 18.3900
2018/12/04 18.8200 2627847.0000 20.2200 20.7900 18.7500
2018/12/03 20.3000 1802768.0000 19.7200 20.3400 19.1500
2018/11/30 19.0600 2545622.0000 20.0200 20.2899 18.8401
2018/11/29 20.1300 3296833.0000 20.3700 21.0300 19.4100
2018/11/28 20.5300 10319490.0000 19.1600 20.6700 18.3300
2018/11/27 17.0000 4448155.0000 18.2100 18.3500 16.8100
2018/11/26 19.4600 1016068.0000 18.6800 19.5000 18.4700
2018/11/23 18.5100 694898.0000 18.6300 19.3100 18.3500
2018/11/21 18.7800 843750.0000 18.4400 18.8100 18.0700
2018/11/20 18.2400 1564445.0000 17.3600 18.5000 17.3300
2018/11/19 18.1200 1704620.0000 18.8500 19.0900 17.9900
2018/11/16 18.9300 1740949.0000 18.4800 19.2400 18.1221
2018/11/15 18.6300 1481167.0000 17.4000 18.8300 17.4000
2018/11/14 17.5300 2279508.0000 18.1300 18.1800 17.0200
2018/11/13 17.8100 1948692.0000 18.9000 19.4000 17.7700
2018/11/12 18.8600 1660562.0000 18.9200 19.5000 18.6000
2018/11/09 18.8600 2167820.0000 19.1600 19.2000 18.2100
2018/11/08 19.2500 2571643.0000 20.0000 20.9100 19.1700
2018/11/07 20.0000 5127151.0000 23.0000 23.4600 19.6900
2018/11/06 21.8800 2715792.0000 21.5100 22.2000 21.1300
2018/11/05 21.6600 2015047.0000 22.6400 23.0000 21.2900
2018/11/02 22.7300 3099721.0000 22.5000 23.5500 22.1900
2018/11/01 22.3600 3952375.0000 19.6900 22.4800 19.6000
2018/10/31 19.4800 9947377.0000 22.5100 22.7000 19.2800
2018/10/30 21.0900 2104967.0000 21.0700 21.7700 20.1800
2018/10/29 21.1000 1973501.0000 22.3600 22.4000 20.3800
2018/10/26 21.7400 1736049.0000 20.7900 21.9500 20.4100
2018/10/25 21.2700 2201547.0000 19.5100 21.5900 19.2500
2018/10/24 19.2400 3065249.0000 21.9500 22.4600 19.2400
2018/10/23 22.0000 2688045.0000 21.2300 22.6300 20.9200
2018/10/22 21.7600 2121014.0000 22.1700 22.7700 21.1200
2018/10/19 22.2100 4936732.0000 22.5800 23.4800 22.1600
2018/10/18 22.7300 2801560.0000 22.8400 23.0500 22.2300
2018/10/17 22.8700 1898038.0000 22.8900 23.2000 21.8400
2018/10/16 22.9200 3721307.0000 21.5200 23.2000 21.2201
2018/10/15 21.2800 1503868.0000 21.6700 22.0000 20.8300
2018/10/12 21.7200 1880818.0000 21.3800 21.9300 21.1300
2018/10/11 20.9900 2601796.0000 20.2200 21.2400 19.8100
2018/10/10 20.2400 1948747.0000 21.0200 21.2200 20.1500
2018/10/09 21.1600 2651010.0000 21.0300 21.5950 20.7400
2018/10/08 21.1100 2341756.0000 21.2000 21.4200 20.3245
2018/10/05 21.4400 2404688.0000 21.5700 22.0900 20.8900
2018/10/04 21.4700 2475156.0000 20.9500 21.5200 20.6300
2018/10/03 21.1600 1948885.0000 20.3600 21.5000 19.9950
2018/10/02 20.1600 2749867.0000 20.5800 21.0700 19.6500
2018/10/01 20.7900 2021895.0000 20.8200 21.2300 20.2400
2018/09/28 20.7600 6301375.0000 21.7500 22.0400 20.0200
2018/09/27 21.8100 3048609.0000 21.0600 22.2200 21.0233
2018/09/26 21.1000 4000535.0000 21.5100 22.2000 20.8900
2018/09/25 21.4100 5236444.0000 20.0900 21.8459 20.0100
2018/09/24 19.8500 3297687.0000 20.2200 20.6019 19.7100
2018/09/21 20.1700 14721260.0000 20.1000 20.4554 19.1600
2018/09/20 19.1100 15043910.0000 15.2000 19.1900 15.0300
2018/09/19 15.1000 1653641.0000 14.2800 15.1700 14.1870
2018/09/18 14.2800 1451717.0000 14.0200 14.3000 13.9400
2018/09/17 14.0500 1484432.0000 13.9100 14.2500 13.8700
2018/09/14 13.8800 1423956.0000 13.7600 13.9900 13.5300
2018/09/13 13.7600 1137667.0000 13.7700 13.9100 13.5100
2018/09/12 13.7700 1181134.0000 13.5300 13.8200 13.1900
2018/09/11 13.4900 1539854.0000 13.8900 13.9102 13.1700
2018/09/10 13.9500 1603085.0000 14.0500 14.1700 13.7400
2018/09/07 14.0400 1242488.0000 13.9000 14.0700 13.7300
2018/09/06 14.0300 1432896.0000 14.4500 14.4800 13.9200
2018/09/05 14.3800 1244502.0000 14.1400 14.4801 14.0200
2018/09/04 14.2400 1641393.0000 14.1900 14.3000 13.8110
2018/08/31 14.2200 1183102.0000 14.4800 14.5900 14.0100
2018/08/30 14.4200 1640850.0000 14.3900 14.6400 14.3200
2018/08/29 14.4200 782341.0000 14.7000 14.7700 14.4100
2018/08/28 14.6000 830946.0000 14.5200 14.7570 14.4000
2018/08/27 14.5400 1469630.0000 14.4500 14.7200 14.3200
2018/08/24 14.3900 1061427.0000 14.3200 14.4772 14.0800
2018/08/23 14.2600 1825161.0000 14.5500 14.8700 13.9800
2018/08/22 14.1800 1308746.0000 14.0700 14.4100 14.0650
2018/08/21 14.1100 1940743.0000 13.6300 14.2100 13.4600
2018/08/20 13.5700 2809239.0000 13.1000 13.6100 12.8600
2018/08/17 13.0300 2895043.0000 13.3000 13.3000 12.8601
2018/08/16 13.3000 2723893.0000 13.8200 13.8580 13.1500
2018/08/15 13.7900 2317206.0000 14.3100 14.3400 13.6050
2018/08/14 14.3300 1903719.0000 14.5100 14.7863 14.2701
2018/08/13 14.2900 2467964.0000 14.8200 14.9600 14.1800
2018/08/10 14.9200 4294314.0000 13.8300 15.5600 13.8300
2018/08/09 13.9100 11251670.0000 12.8000 15.5400 12.7700
2018/08/08 14.0200 2475388.0000 14.1900 14.3800 14.0100
2018/08/07 14.1900 1620540.0000 14.1200 14.3100 13.8650
2018/08/06 13.9100 5080627.0000 14.6500 14.7500 13.6000
2018/08/03 15.2200 1226112.0000 15.6100 15.6500 15.0800
2018/08/02 15.4900 1685506.0000 15.1900 15.8500 15.0900
2018/08/01 15.3600 1837847.0000 14.9900 15.4300 14.8150
2018/07/31 15.0900 2296187.0000 14.8800 15.1500 14.7150
2018/07/30 14.8100 2915139.0000 15.3300 15.3500 14.6700
2018/07/27 15.4400 2214832.0000 16.1900 16.2600 15.2300
2018/07/26 16.2300 1759581.0000 16.0500 16.4718 15.8600
2018/07/25 16.0500 1808344.0000 15.8600 16.2400 15.8292
2018/07/24 15.9900 2702580.0000 16.5400 16.6500 15.7600
2018/07/23 16.4700 1819355.0000 16.7100 16.8500 16.3500
2018/07/20 16.8400 3009824.0000 17.1100 17.4100 16.6100
2018/07/19 17.0800 2286217.0000 17.4500 17.5801 17.0300
2018/07/18 17.5800 2684202.0000 18.2000 18.3700 17.3900
2018/07/17 18.1600 4101871.0000 16.8700 18.3000 16.8100
2018/07/16 16.8700 2607351.0000 17.5200 17.6300 16.7700
2018/07/13 17.4600 2555813.0000 17.7000 17.9700 17.2400
2018/07/12 17.7600 3716110.0000 16.9800 17.7800 16.7500
2018/07/11 16.8200 1646084.0000 16.5000 16.9500 16.3000
2018/07/10 16.6800 3729380.0000 16.5600 16.9600 16.1001
2018/07/09 16.6300 6897599.0000 17.9600 18.4400 16.0000
2018/07/06 17.8400 4603692.0000 16.7700 18.1500 16.7000
2018/07/05 16.6400 2015727.0000 16.4900 16.9900 16.3200
2018/07/03 16.4000 1485096.0000 16.7200 16.8700 16.2154
2018/07/02 16.7100 4240291.0000 15.1600 16.7500 15.1310
2018/06/29 15.2700 7956560.0000 16.5500 17.1400 15.1850
2018/06/28 15.0700 3601199.0000 15.8400 15.8700 14.7200
2018/06/27 15.8700 2548424.0000 16.3600 16.5000 15.8700
2018/06/26 16.3000 2913084.0000 16.0000 16.5800 15.6000
2018/06/25 16.0700 2591847.0000 16.2800 16.3400 15.5700
2018/06/22 16.3300 13520530.0000 16.0100 16.3650 15.7800
2018/06/21 15.9500 3311987.0000 17.0500 17.3400 15.9000
2018/06/20 17.0500 1951446.0000 16.3300 17.0600 16.3300
2018/06/19 16.3300 6013748.0000 16.1500 17.4700 16.0900
2018/06/18 15.8300 1878160.0000 15.5600 15.9400 15.3900
2018/06/15 15.7300 5194964.0000 15.1900 15.9100 14.9039
2018/06/14 15.3500 3781280.0000 16.4000 16.4500 15.3100
2018/06/13 16.1800 5367067.0000 17.7000 17.8500 15.6900
2018/06/12 17.6700 1623278.0000 17.9400 18.3900 17.4700
2018/06/11 17.8700 2050509.0000 17.5700 17.9800 17.5000
2018/06/08 17.6000 1667012.0000 17.5000 17.7300 17.0500
2018/06/07 17.5000 1555668.0000 17.6300 17.8500 17.2300
2018/06/06 17.5200 1153466.0000 17.5100 17.6000 17.2100
2018/06/05 17.4300 1626680.0000 17.4100 17.7500 17.2800
2018/06/04 17.4400 1848215.0000 18.3453 18.4481 17.2710
2018/06/01 18.3400 1475845.0000 18.1300 18.5600 18.0000
2018/05/31 18.1000 1333266.0000 18.0900 18.3400 17.7700
2018/05/30 18.1100 1260485.0000 17.8300 18.1400 17.6700
2018/05/29 17.7600 1350462.0000 17.5500 17.8400 17.2300
2018/05/25 17.6900 1033776.0000 17.4200 17.8300 17.2600
2018/05/24 17.4700 1997496.0000 16.9700 17.7000 16.6100
2018/05/23 17.0000 2949356.0000 17.2300 17.7600 16.9600
2018/05/22 17.2500 3290729.0000 17.8400 17.9050 17.2000
2018/05/21 17.6700 1660223.0000 18.0200 18.2500 17.5900
2018/05/18 18.0000 1792106.0000 18.0400 18.3300 17.8600
2018/05/17 18.1300 1957484.0000 18.5700 18.7500 17.9400
2018/05/16 18.5000 2491085.0000 18.6000 18.9700 18.4150
2018/05/15 18.5800 1755550.0000 19.0700 19.1942 18.4400
2018/05/14 19.1400 1435738.0000 18.6500 19.4300 18.6500
2018/05/11 18.5500 1164951.0000 18.1500 18.6400 18.0500
2018/05/10 18.2600 1325487.0000 18.5900 18.7600 18.2200
2018/05/09 18.5800 1380598.0000 18.1400 18.6500 18.0000
2018/05/08 18.1100 1755960.0000 18.4000 18.4100 17.8405
2018/05/07 18.5400 3190722.0000 17.7700 18.7300 17.5000
2018/05/04 17.8000 6734436.0000 17.5000 18.2000 16.4900
2018/05/03 16.0400 4970129.0000 16.7300 17.1900 15.5810
2018/05/02 16.8800 3091140.0000 16.4000 17.1400 16.4000
2018/05/01 16.4800 2497924.0000 15.8400 16.8800 15.6500
2018/04/30 15.8100 2872874.0000 16.3800 16.5400 15.7300
2018/04/27 16.2800 7182274.0000 15.6780 16.6200 15.5000
2018/04/26 15.1200 7648653.0000 15.5000 16.1300 15.0100
2018/04/25 15.2000 18266170.0000 19.4000 20.0400 14.5100
2018/04/24 19.4700 1767279.0000 20.0000 20.0378 19.3200
2018/04/23 19.9200 1746995.0000 19.9500 20.4400 19.6100
2018/04/20 19.9000 2793307.0000 19.7600 20.0000 19.2000
2018/04/19 19.6600 2237960.0000 19.7300 20.0000 19.2000
2018/04/18 19.9800 1934936.0000 19.8500 20.2000 19.5600
2018/04/17 19.8800 1388876.0000 19.1700 19.9899 19.0800
2018/04/16 18.9800 1568909.0000 18.9000 19.3200 18.7110
2018/04/13 18.9000 2225824.0000 19.3700 19.3750 18.6800
2018/04/12 19.2900 3115268.0000 19.0900 19.6700 18.2900
2018/04/11 19.1000 6179073.0000 17.6000 19.4700 17.4010
2018/04/10 17.7400 8751838.0000 16.6800 18.1900 16.3201
2018/04/09 16.5000 23841230.0000 17.6000 17.7800 15.7400
2018/04/06 21.5300 1128213.0000 21.8900 22.3300 21.4400
2018/04/05 22.1300 1463755.0000 22.4500 22.5600 21.8900
2018/04/04 22.3400 1729967.0000 20.7600 22.4800 20.6201
2018/04/03 21.2000 1330112.0000 21.0600 21.5200 20.6700
2018/04/02 20.8800 2309218.0000 22.1700 22.3100 20.6700
2018/03/29 22.4700 3835971.0000 23.1000 23.1550 21.8100
2018/03/28 23.1100 1699761.0000 22.7200 23.3300 22.2800
2018/03/27 22.6800 1360775.0000 23.6900 23.8216 22.5150
2018/03/26 23.5400 1616772.0000 23.0200 23.6400 22.5400
2018/03/23 22.5700 2395270.0000 23.6300 23.9500 22.4700
2018/03/22 23.8500 1274434.0000 24.4500 24.7890 23.7600
2018/03/21 24.6600 1116576.0000 24.5300 24.9400 24.2500
2018/03/20 24.5100 1024287.0000 24.7400 24.7400 24.1200
2018/03/19 24.5800 1366676.0000 25.7000 25.7900 24.3299
2018/03/16 25.7500 2017201.0000 25.1700 25.8800 25.1100
2018/03/15 25.2100 1134395.0000 25.2600 25.3500 24.8500
2018/03/14 25.0500 1598378.0000 25.0200 25.1900 24.7000
2018/03/13 24.9800 2076323.0000 26.0100 26.2300 24.6800
2018/03/12 25.8900 1576563.0000 25.4600 26.0199 25.3000
2018/03/09 25.3300 1531218.0000 25.3100 25.5700 25.0300
2018/03/08 25.2500 1427489.0000 25.3300 25.4843 24.9700
2018/03/07 25.4000 2586212.0000 24.6900 25.9500 24.6300
2018/03/06 25.1100 1645158.0000 24.8500 25.1600 24.2100
2018/03/05 24.8300 2633947.0000 24.2600 24.9300 23.7517
2018/03/02 23.6800 3803424.0000 22.6800 23.7900 22.3500
2018/03/01 22.9800 6700882.0000 25.4100 25.4400 22.6850
2018/02/28 24.9150 11605030.0000 27.7700 27.7700 24.5000
2018/02/27 31.1600 1923558.0000 32.1300 32.5300 31.1200
2018/02/26 32.3300 1527940.0000 31.6800 32.4300 31.6100
2018/02/23 31.5200 1501873.0000 30.3800 31.7000 30.3600
2018/02/22 30.2400 1719429.0000 30.7500 31.7000 30.2200
2018/02/21 30.4300 1852674.0000 31.0300 31.3600 30.1800
2018/02/20 31.0500 1124940.0000 30.7000 31.7100 30.5000
2018/02/16 30.9200 620415.0000 31.0000 31.5500 30.8094
2018/02/15 31.0600 859695.0000 31.0000 31.2000 30.5000
2018/02/14 30.6000 1705370.0000 29.1400 30.7900 28.9700
2018/02/13 29.5050 879760.0000 28.8800 29.5100 28.4800
2018/02/12 28.8700 924502.0000 28.5800 29.1800 27.8900
2018/02/09 28.2700 1884311.0000 28.6200 28.9999 26.7300
2018/02/08 28.3500 1879782.0000 29.5100 29.7800 28.0700
2018/02/07 29.3200 1749138.0000 28.5300 29.6400 28.4600
2018/02/06 28.8000 2646957.0000 26.7300 28.8400 26.4300
2018/02/05 26.9100 1902249.0000 28.5500 28.9600 26.9100
2018/02/02 28.9600 1055422.0000 30.0000 30.4300 28.8300
2018/02/01 30.2600 883683.0000 29.6100 30.4900 29.5000
2018/01/31 29.9100 1155389.0000 30.6800 30.9600 29.5000
2018/01/30 30.6500 1152938.0000 30.9800 31.7000 30.5700
2018/01/29 31.7400 1848708.0000 32.2000 32.9900 31.6100
2018/01/26 32.1300 1915266.0000 30.9000 32.1400 30.5900
2018/01/25 30.6800 1276391.0000 31.0000 31.0000 29.8500
2018/01/24 30.5700 3628700.0000 30.7500 31.7600 29.9100
2018/01/23 30.3200 4035546.0000 29.0000 30.9900 28.8400
2018/01/22 28.9300 3433034.0000 27.3500 28.9900 27.0500
2018/01/19 26.9200 3534786.0000 27.8200 28.0900 26.8500
2018/01/18 27.7800 1140525.0000 28.2500 28.3000 27.7283
2018/01/17 28.2500 1262221.0000 28.4300 28.4700 28.0500
2018/01/16 28.1500 1539171.0000 28.5800 28.7300 28.0700
2018/01/12 28.3700 1694294.0000 27.8000 28.4400 27.6000
2018/01/11 27.9000 1721152.0000 28.6000 28.7500 27.6000
2018/01/10 28.6300 1546276.0000 28.1700 28.7600 27.7500
2018/01/09 28.2900 2154333.0000 27.1100 28.7200 27.0700
2018/01/08 27.1100 3351356.0000 28.9700 29.2520 27.0600
2018/01/05 28.9000 1371036.0000 28.8800 29.0500 28.5000
2018/01/04 28.7800 2745992.0000 29.6400 29.8145 28.3500
2018/01/03 29.5100 2208351.0000 30.5200 31.2400 29.4500
2018/01/02 30.4300 1800671.0000 30.3900 30.5800 29.7000
2017/12/29 30.1100 852547.0000 31.1800 31.2000 30.0800
2017/12/28 31.1800 726532.0000 30.7200 31.2300 30.5300
2017/12/27 30.7000 1142137.0000 30.5000 30.8800 30.2100
2017/12/26 30.4600 2318128.0000 29.1000 30.7100 29.1000
2017/12/22 29.2600 1327949.0000 28.6600 29.3500 28.6500
