"date" "close" "volume" "open" "high" "low"
"12/31/2018" "226.24" "2864787" "225.56" "227.33" "223.235"
"12/28/2018" "223.13" "3159377" "227.58" "228.11" "220.87"
"12/27/2018" "225.14" "3737396" "219.99" "225.17" "214.16"
"12/26/2018" "222.95" "5890305" "206.53" "222.96" "206.25"
"12/24/2018" "205.16" "2940454" "206.9" "212.58" "204.95"
"12/21/2018" "208.8" "8595366" "219.55" "222.26" "207.37"
"12/20/2018" "218.65" "6077922" "223" "224.85" "212.83"
"12/19/2018" "224.65" "6106460" "225.92" "231.02" "221.11"
"12/18/2018" "226.18" "5254382" "222.53" "228.13" "221.55"
"12/17/2018" "221.38" "6953743" "226.93" "230.63" "220.48"
"12/14/2018" "230" "12183820" "240.76" "240.92" "229.91"
"12/13/2018" "248.08" "5300276" "248.15" "251.6" "245.2"
"12/12/2018" "245.55" "4064416" "249.99" "251.56" "245.04"
"12/11/2018" "245.34" "3168230" "251.43" "251.75" "242.7845"
"12/10/2018" "244.09" "3174744" "237.46" "245.395" "237.0101"
"12/7/2018" "238" "3906283" "248.39" "249.26" "237.65"
"12/6/2018" "250.63" "3922516" "240" "250.68" "237.96"
"12/4/2018" "245.82" "4024037" "253.22" "254.71" "244.98"
"12/3/2018" "255.26" "4279352" "260.71" "260.72" "251.8172"
"11/30/2018" "250.89" "5152441" "250.23" "251.57" "247.09"
"11/29/2018" "249.09" "3649540" "246.36" "252.25" "244.31"
"11/28/2018" "249.21" "6345165" "237.9" "250.41" "237.74"
"11/27/2018" "232.25" "2875774" "230.77" "232.78" "228.68"
"11/26/2018" "231.96" "3568366" "229.19" "233.3" "227.91"
"11/23/2018" "225.56" "1691015" "222.71" "227.74" "222.51"
"11/21/2018" "225.98" "4846354" "225.33" "228.99" "222.24"
"11/20/2018" "219.73" "6177056" "209.41" "222.84" "207.02"
"11/19/2018" "219.69" "7563739" "237.5" "238.65" "218.72"
"11/16/2018" "238.89" "2888654" "239.52" "240.14" "235.37"
"11/15/2018" "239.95" "3374695" "233.98" "241.43" "231.33"
"11/14/2018" "235.22" "3245850" "242.16" "242.91" "231.9101"
"11/13/2018" "238.74" "3997175" "238.38" "243" "235.8501"
"11/12/2018" "236.67" "3474744" "244.14" "244.8" "235.36"
"11/9/2018" "244.84" "2763403" "247.56" "248.29" "241.16"
"11/8/2018" "249.96" "2377200" "253.31" "254.13" "247.74"
"11/7/2018" "253.43" "3789181" "244.8" "253.961" "243.81"
"11/6/2018" "240.56" "2413984" "240.48" "244.64" "237.76"
"11/5/2018" "239.89" "3194004" "240" "241" "233.62"
"11/2/2018" "239.64" "4294936" "246.57" "247.47" "237.8"
"11/1/2018" "245.28" "3178528" "245.69" "247.55" "241.49"
"10/31/2018" "245.76" "4422315" "245.41" "249.6" "243.6662"
"10/30/2018" "238.41" "5621923" "238.99" "242.5" "231.7"
"10/29/2018" "239.75" "4650555" "250.67" "254.53" "233.395"
"10/26/2018" "245.8" "4503521" "243.85" "252.18" "241.405"
"10/25/2018" "252.92" "5277080" "242.17" "253.59" "241.66"
"10/24/2018" "238.44" "4850012" "250.61" "254.5991" "238.23"
"10/23/2018" "251.76" "4983077" "246.19" "254.91" "242.56"
"10/22/2018" "251.06" "3397893" "246" "251.635" "242.8029"
"10/19/2018" "245.03" "4064390" "252.73" "252.89" "243.64"
"10/18/2018" "250.35" "5315098" "256.19" "257.21" "246.01"
"10/17/2018" "258.91" "4242832" "261.21" "261.89" "255.26"
"10/16/2018" "260.67" "8490084" "252.5" "261.73" "251.77"
"10/15/2018" "238.01" "5054922" "248.34" "248.37" "238"
"10/12/2018" "248.87" "4772822" "247.74" "249.91" "242.7827"
"10/11/2018" "238.59" "7018210" "236.41" "245.72" "234.72"
