date close volume open high low
2019/04/16 4.2500 297796.0000 4.2800 4.3100 4.2000
2019/04/15 4.2700 328153.0000 4.4100 4.4300 4.2400
2019/04/12 4.4000 444217.0000 4.3500 4.4800 4.3281
2019/04/11 4.3200 1439971.0000 4.3900 4.4000 4.2350
2019/04/10 4.4000 988275.0000 4.5500 4.5600 4.3700
2019/04/09 4.5500 631351.0000 4.5900 4.5900 4.4600
2019/04/08 4.5900 527316.0000 4.4400 4.6100 4.4316
2019/04/05 4.4900 647334.0000 4.5800 4.5900 4.4700
2019/04/04 4.5700 500142.0000 4.6500 4.6900 4.4500
2019/04/03 4.6400 812520.0000 4.5700 4.7100 4.4200
2019/04/02 4.5500 476261.0000 4.5400 4.5500 4.4800
2019/04/01 4.5700 495077.0000 4.7500 4.8300 4.5400
2019/03/29 4.7700 580316.0000 4.7100 4.7850 4.6900
2019/03/28 4.7000 542604.0000 4.6900 4.7600 4.5700
2019/03/27 4.6700 457976.0000 4.6100 4.6800 4.4500
2019/03/26 4.6300 426915.0000 4.7000 4.7800 4.6000
2019/03/25 4.6400 297622.0000 4.7000 4.7300 4.5800
2019/03/22 4.7100 663093.0000 4.7800 4.8900 4.7100
2019/03/21 4.8000 663328.0000 4.8200 4.9600 4.7500
2019/03/20 4.8500 396673.0000 4.8200 4.9050 4.7200
2019/03/19 4.8100 508870.0000 4.7000 4.8400 4.6300
2019/03/18 4.6700 814230.0000 4.4000 4.6800 4.3900
2019/03/15 4.4600 5724901.0000 4.4100 4.5700 4.3150
2019/03/14 4.4100 1446465.0000 4.5600 4.6000 4.4000
2019/03/13 4.5800 1324126.0000 4.6500 4.7400 4.5150
2019/03/12 4.6300 1415498.0000 4.7200 4.7800 4.5185
2019/03/11 4.7200 1389766.0000 4.8000 4.8300 4.5800
2019/03/08 4.7700 868195.0000 4.8800 4.9500 4.7100
2019/03/07 4.9200 491337.0000 4.9900 4.9900 4.8300
2019/03/06 5.0000 505531.0000 5.1100 5.1287 4.9250
2019/03/05 5.1200 613854.0000 5.0800 5.2100 5.0100
2019/03/04 5.1400 671439.0000 5.1700 5.1758 4.9900
2019/03/01 5.1600 781500.0000 4.8400 5.2100 4.8400
2019/02/28 4.8200 593064.0000 4.9500 5.0100 4.8100
2019/02/27 4.9600 433996.0000 5.0000 5.0500 4.9500
2019/02/26 5.0300 587314.0000 5.1900 5.2000 4.9700
2019/02/25 5.1900 549121.0000 5.3000 5.3300 5.1600
2019/02/22 5.2800 946299.0000 5.2800 5.4000 5.1850
2019/02/21 5.2700 1172257.0000 5.1700 5.2800 5.1100
2019/02/20 5.1700 588376.0000 5.0900 5.1900 5.0600
2019/02/19 5.1000 571464.0000 4.9400 5.1250 4.9000
2019/02/15 4.9300 623399.0000 4.8400 4.9600 4.8000
2019/02/14 4.8100 568059.0000 4.9100 4.9800 4.7500
2019/02/13 4.9100 914404.0000 5.0000 5.0600 4.9000
2019/02/12 5.0000 1231898.0000 5.2500 5.3268 4.9400
2019/02/11 5.2500 1439347.0000 5.1100 5.2800 5.0500
2019/02/08 5.1200 1320795.0000 4.9000 5.1300 4.8500
2019/02/07 4.9400 1285627.0000 4.9200 4.9500 4.7400
2019/02/06 4.9400 1329528.0000 4.7500 4.9700 4.6500
2019/02/05 4.7400 1197214.0000 4.5700 4.7500 4.5400
2019/02/04 4.5700 1178256.0000 4.3700 4.5750 4.3000
2019/02/01 4.3300 521131.0000 4.4000 4.4300 4.2900
2019/01/31 4.4000 656614.0000 4.3900 4.5000 4.3700
2019/01/30 4.4100 472650.0000 4.4800 4.5000 4.3200
2019/01/29 4.4400 944303.0000 4.3500 4.4850 4.2077
2019/01/28 4.2500 1151465.0000 4.4800 4.6198 4.2200
2019/01/25 4.4700 1739318.0000 4.2800 4.5200 4.1775
2019/01/24 4.2500 849428.0000 4.4100 4.4100 4.1340
2019/01/23 4.4200 3011379.0000 4.5000 4.6100 4.1200
2019/01/22 3.9700 797525.0000 3.9100 4.0600 3.8800
2019/01/18 3.8700 1078470.0000 3.8200 3.9300 3.5500
2019/01/17 3.8400 453685.0000 3.8600 3.9100 3.7300
2019/01/16 3.8800 885414.0000 3.9800 4.0500 3.7950
2019/01/15 3.9400 661970.0000 3.9400 4.0174 3.8300
2019/01/14 3.9400 939636.0000 3.9800 4.0600 3.8600
2019/01/11 4.0000 1208463.0000 3.8100 4.1200 3.7800
2019/01/10 3.8500 407455.0000 3.7000 3.9300 3.7000
2019/01/09 3.7400 372517.0000 3.6400 3.7500 3.6000
2019/01/08 3.6200 315230.0000 3.5900 3.6700 3.5400
2019/01/07 3.5500 557083.0000 3.4300 3.5950 3.4200
2019/01/04 3.4300 385177.0000 3.3600 3.4800 3.3101
2019/01/03 3.3200 508339.0000 3.4600 3.5200 3.2900
2019/01/02 3.5000 695671.0000 3.3600 3.5500 3.2800
2018/12/31 3.4100 503860.0000 3.4500 3.4900 3.3400
2018/12/28 3.4500 758068.0000 3.3100 3.5000 3.2300
2018/12/27 3.3100 629387.0000 3.2400 3.3800 3.2300
