date close volume open high low

2019/04/12 8.4800 463479.0000 8.7100 8.8000 8.4500
2019/04/11 8.6900 534195.0000 8.5800 8.7100 8.5400
2019/04/10 8.6200 611097.0000 8.7500 8.7800 8.4800
2019/04/09 8.6000 586492.0000 8.5100 8.6600 8.3142
2019/04/08 8.4500 842995.0000 8.3900 8.7685 8.2400
2019/04/05 8.3400 543222.0000 8.5200 8.5700 8.2128
2019/04/04 8.4500 590116.0000 8.5000 8.6700 8.2800
2019/04/03 8.5000 1676175.0000 8.3100 9.0800 8.2300
2019/04/02 8.2300 796142.0000 7.8100 8.2400 7.7300
2019/04/01 7.8900 700222.0000 7.6400 7.9600 7.4400
2019/03/29 7.4500 715915.0000 7.8500 7.9000 7.2500
2019/03/28 7.8400 471929.0000 7.6000 7.9300 7.4000
2019/03/27 7.6000 763205.0000 7.2100 7.7200 7.0100
2019/03/26 7.2000 319846.0000 7.2500 7.3200 7.0800
2019/03/25 7.1700 539355.0000 7.0000 7.3700 6.9100
2019/03/22 6.9600 582678.0000 7.1500 7.3700 6.8500
2019/03/21 7.1800 782438.0000 7.3900 7.4600 7.0486
2019/03/20 7.3700 1217450.0000 7.0900 7.5800 6.9680
2019/03/19 6.9800 809701.0000 6.5100 7.1500 6.5100
2019/03/18 6.5300 1344242.0000 6.0600 7.0800 6.0100
2019/03/15 6.2300 2922365.0000 5.3500 6.4800 5.3500
2019/03/14 4.9000 148218.0000 4.6200 4.9300 4.5700
2019/03/13 4.6000 91072.0000 4.6100 4.7500 4.5700
2019/03/12 4.5800 48082.0000 4.6300 4.6900 4.5700
2019/03/11 4.6200 98086.0000 4.4500 4.7100 4.4500
2019/03/08 4.4300 102350.0000 4.4200 4.4999 4.3700
2019/03/07 4.4100 231697.0000 4.6300 4.6500 4.4100
2019/03/06 4.6500 85700.0000 4.8100 4.8300 4.5900
2019/03/05 4.8000 78701.0000 4.7700 4.8300 4.7000
2019/03/04 4.7400 50659.0000 4.8000 4.8600 4.7200
2019/03/01 4.7900 67487.0000 4.8000 4.8100 4.6700
2019/02/28 4.7500 60748.0000 4.7400 4.8100 4.7000
2019/02/27 4.7500 70484.0000 4.7600 4.7700 4.6100
2019/02/26 4.7800 127941.0000 4.5900 4.8500 4.5300
2019/02/25 4.6100 173984.0000 4.7000 4.7900 4.6100
2019/02/22 4.6900 269748.0000 4.4900 4.7600 4.4300
2019/02/21 4.8900 257133.0000 4.9400 4.9500 4.8700
2019/02/20 4.9500 270939.0000 4.9700 5.0200 4.9300
2019/02/19 4.9800 96819.0000 4.9500 5.0200 4.9300
2019/02/15 4.9700 130551.0000 5.0000 5.0800 4.9500
2019/02/14 4.9800 55179.0000 4.9500 5.0000 4.8800
2019/02/13 4.9500 53108.0000 5.0000 5.0200 4.9300
2019/02/12 5.0000 56840.0000 4.9700 5.0100 4.9200
2019/02/11 4.9500 71092.0000 5.0000 5.0100 4.8700
2019/02/08 5.0000 115442.0000 5.0000 5.0450 4.8200
2019/02/07 5.0800 95433.0000 5.0600 5.0800 4.9500
2019/02/06 5.1200 92560.0000 4.9500 5.1200 4.9500
2019/02/05 4.9600 80958.0000 4.8800 4.9800 4.8600
2019/02/04 4.8500 91817.0000 4.8700 4.9350 4.8000
2019/02/01 4.8600 86353.0000 4.7800 4.9000 4.7400
2019/01/31 4.7600 192852.0000 4.5900 4.7800 4.5800
2019/01/30 4.6000 212478.0000 4.5800 4.6800 4.3900
2019/01/29 4.4900 122563.0000 4.5400 4.5500 4.4600
2019/01/28 4.5300 139419.0000 4.5700 4.5900 4.3700
2019/01/25 4.6100 101062.0000 4.6700 4.7100 4.5700
2019/01/24 4.6500 124374.0000 4.5900 4.7300 4.5600
2019/01/23 4.5900 125339.0000 4.7400 4.8100 4.5700
2019/01/22 4.7100 175229.0000 4.8300 4.9200 4.6600
2019/01/18 4.8300 132513.0000 4.7400 4.8400 4.6714
2019/01/17 4.7100 150872.0000 4.7600 4.7900 4.5900
2019/01/16 4.7800 107630.0000 4.8000 4.8400 4.6262
2019/01/15 4.7700 114954.0000 4.6700 4.8050 4.6400
2019/01/14 4.6500 119511.0000 4.7000 4.7160 4.5500
2019/01/11 4.7500 126068.0000 4.7900 4.9300 4.7000
2019/01/10 4.7900 79738.0000 4.6800 4.8000 4.6600
2019/01/09 4.7200 316626.0000 4.7500 4.8100 4.5900
2019/01/08 4.7500 219463.0000 4.8500 4.9500 4.7050
2019/01/07 4.8100 162486.0000 4.7100 4.8200 4.7000
2019/01/04 4.7100 153945.0000 4.6500 4.8200 4.5600
2019/01/03 4.5600 200142.0000 4.6200 4.7800 4.4400
2019/01/02 4.6200 122262.0000 4.6900 4.7100 4.5700
2018/12/31 4.7500 144252.0000 4.9000 4.9100 4.6700
2018/12/28 4.8200 178814.0000 4.6500 4.9500 4.5900
2018/12/27 4.6500 379423.0000 4.8500 4.9150 4.4350
2018/12/26 4.8700 286743.0000 4.9600 5.2000 4.6900
2018/12/24 4.8000 133523.0000 4.9500 4.9600 4.7700
2018/12/21 5.0100 336897.0000 5.2200 5.2939 5.0000
2018/12/20 5.2100 266855.0000 5.6000 5.6600 5.2100
2018/12/19 5.5900 116501.0000 5.8500 5.9200 5.5800
2018/12/18 5.8300 167991.0000 6.0900 6.0900 5.8000
2018/12/17 6.0100 162242.0000 6.3500 6.3700 5.9700
2018/12/14 6.3300 180398.0000 6.3700 6.4500 6.2539
2018/12/13 6.4500 205917.0000 6.5000 6.6200 6.4400
2018/12/12 6.4500 329631.0000 6.3400 6.5000 6.3400
2018/12/11 6.3300 214785.0000 6.2000 6.4300 6.2000
