"date","close","volume","open","high","low"
"12:59","365.0385","5,006,213","368.16","368.79","362.92"
"2019/04/09","369.0400","7968918.0000","370.2900","372.2400","367.7500"
"2019/04/08","374.5200","14426690.0000","376.2000","379.8000","371.8600"
"2019/04/05","391.9300","6779065.0000","398.0700","398.6600","390.9500"
"2019/04/04","395.8600","9353815.0000","385.9900","397.0600","385.1000"
"2019/04/03","384.7400","7142180.0000","389.6800","391.5386","384.0700"
"2019/04/02","390.7500","6387191.0000","388.5000","394.8299","388.5000"
"2019/04/01","391.5400","7664944.0000","385.8000","392.9000","383.1000"
"2019/03/29","381.4200","7601981.0000","376.5200","382.1800","374.7400"
"2019/03/28","374.4400","4694369.0000","376.6000","376.6600","372.3300"
"2019/03/27","374.2100","9584062.0000","371.8900","376.6600","365.5500"
"2019/03/26","370.3800","6389226.0000","375.5800","375.6000","367.6000"
"2019/03/25","370.4600","7929773.0000","365.0000","371.2100","362.8900"
"2019/03/22","362.1700","10114430.0000","368.7900","369.8600","361.5250"
"2019/03/21","372.7000","6769802.0000","374.0400","377.0000","372.2300"
"2019/03/20","376.1600","8708531.0000","374.7000","380.8000","373.6800"
"2019/03/19","373.4300","9562268.0000","371.1400","378.7700","371.0100"
"2019/03/18","372.2800","12936200.0000","370.0000","373.0700","367.2000"
"2019/03/15","378.9900","26667600.0000","370.8800","385.7100","366.4500"
"2019/03/14","373.3000","13463440.0000","374.9900","380.3900","372.1000"
"2019/03/13","377.1400","32346260.0000","378.4300","381.7700","363.3300"
"2019/03/12","375.4100","36876030.0000","384.7050","390.0000","368.0000"
"2019/03/11","400.0100","34693990.0000","371.2700","402.6700","365.5500"
"2019/03/08","422.5400","3792444.0000","416.7700","423.4262","415.5000"
"2019/03/07","422.5600","4890237.0000","423.3600","427.7000","416.4400"
"2019/03/06","424.4600","4155960.0000","429.7000","432.0000","422.0800"
"2019/03/05","430.1200","2793681.0000","431.0400","433.8500","428.6435"
"2019/03/04","432.6900","5964211.0000","443.2200","444.5000","426.6300"
"2019/03/01","440.6200","5026579.0000","446.0100","446.0100","440.1900"
"2019/02/28","439.9600","5047437.0000","438.7000","441.4200","437.0800"
"2019/02/27","435.4400","4596769.0000","427.1700","436.3300","427.1500"
"2019/02/26","426.7700","2501946.0000","426.0000","429.0000","424.2500"
"2019/02/25","426.8700","3271944.0000","427.4900","429.9200","426.5200"
"2019/02/22","424.0500","3131021.0000","419.7000","424.4700","419.1400"
"2019/02/21","417.5800","2852142.0000","421.5800","422.4088","415.6766"
"2019/02/20","421.5500","3986787.0000","417.1400","421.8400","417.1100"
"2019/02/19","416.2600","3049091.0000","415.5000","417.9400","414.5400"
"2019/02/15","417.9700","4010186.0000","412.4800","418.0500","411.4300"
"2019/02/14","409.8200","2722991.0000","408.9300","412.2200","407.8000"
"2019/02/13","410.5800","3076999.0000","412.5200","412.7200","407.6700"
"2019/02/12","410.7200","3260355.0000","407.0000","411.2100","405.3950"
"2019/02/11","403.9500","3044502.0000","408.1000","409.8300","402.6900"
"2019/02/08","404.9100","4568627.0000","400.0000","404.9600","397.8000"
"2019/02/07","405.1700","5199193.0000","407.9300","410.3500","402.2900"
"2019/02/06","411.1100","5352849.0000","411.5100","413.8800","405.6600"
"2019/02/05","410.1800","7219815.0000","400.7500","410.7500","399.5500"
"2019/02/04","397.0000","4245082.0000","388.9700","397.0700","388.1200"
"2019/02/01","387.4300","5370880.0000","386.1100","392.8000","384.7263"
"2019/01/31","385.6200","6870250.0000","387.1600","388.9850","382.0800"
"2019/01/30","387.7200","12685760.0000","387.4000","391.9690","380.5000"
"2019/01/29","364.9100","3188020.0000","363.0700","367.7800","362.4100"
"2019/01/28","362.9700","3125283.0000","360.6500","363.1650","357.5000"
"2019/01/25","364.2000","3185289.0000","362.4900","366.9400","360.3300"
"2019/01/24","358.2700","2800739.0000","358.9100","363.1800","356.9000"
"2019/01/23","358.6100","2923731.0000","361.9100","362.1995","353.6700"
"2019/01/22","357.9000","4333433.0000","362.8600","364.1950","354.2300"
"2019/01/18","364.7300","4255247.0000","363.8800","367.3156","361.3200"
"2019/01/17","359.0900","4257940.0000","350.7500","363.8300","350.7300"
"2019/01/16","352.0600","2722590.0000","352.5000","355.0000","351.5600"
"2019/01/15","352.2400","2937425.0000","352.0000","353.3150","347.9800"
"2019/01/14","350.3600","2467951.0000","348.2000","352.8100","347.0100"
"2019/01/11","352.9000","3153714.0000","348.5600","354.3600","348.0900"
"2019/01/10","352.6100","5350503.0000","346.5100","353.4662","343.0000"
"2019/01/09","343.8300","4203403.0000","342.9600","347.2000","340.8669"
"2019/01/08","340.5300","4728585.0000","334.1100","341.2500","332.6500"
"2019/01/07","328.1100","3945977.0000","330.5200","330.6900","323.3500"
"2019/01/04","327.0800","4436810.0000","316.6900","328.4400","316.0800"
"2019/01/03","310.9000","5573882.0000","319.4900","319.7400","309.4000"
"2019/01/02","323.8100","3248934.0000","316.1900","323.9500","313.7100"
"2018/12/31","322.5000","3551601.0000","320.5000","323.6400","318.7500"
"2018/12/28","316.3800","3723516.0000","319.7400","321.5300","315.1500"
"2018/12/27","317.1400","4274032.0000","309.0400","317.1400","302.2400"
"2018/12/26","313.9300","4708122.0000","298.6100","314.0899","292.4704"
"2018/12/24","294.1600","3435304.0000","300.6500","303.0000","294.1600"
"2018/12/21","304.5500","7636934.0000","309.0900","314.9700","304.0100"
"2018/12/20","313.0500","5324626.0000","317.0000","321.8210","308.0000"
"2018/12/19","319.5500","4756365.0000","329.3300","333.4800","316.1000"
"2018/12/18","328.0600","5858387.0000","325.4600","332.0899","323.2000"
"2018/12/17","316.1300","4933460.0000","316.9100","327.2162","314.4400"
"2018/12/14","318.7500","3296349.0000","322.4500","323.9100","315.5600"
"2018/12/13","325.4700","2246510.0000","328.4000","328.7400","324.1730"
"2018/12/12","326.6900","3420076.0000","327.3800","331.9000","324.6600"
"2018/12/11","322.0300","3563031.0000","333.2500","334.4900","318.7518"
