"date","close","volume","open","high","low"
"12:58","45.30","2,386,729","45.12","45.35","45.0038"
"2019/04/09","44.9900","3558171.0000","45.1300","45.1600","44.8800"
"2019/04/08","45.2300","6982004.0000","44.9300","45.3800","44.9100"
"2019/04/05","44.5300","4285797.0000","44.3500","44.6000","44.2343"
"2019/04/04","44.1500","2855451.0000","44.2100","44.2332","43.8750"
"2019/04/03","44.2300","4135314.0000","44.4800","44.4800","44.0700"
"2019/04/02","44.2300","6283439.0000","44.2600","44.4650","44.1000"
"2019/04/01","44.0900","4949935.0000","44.2600","44.2600","44.0700"
"2019/03/29","43.7200","4633417.0000","44.0800","44.0800","43.5200"
"2019/03/28","43.6300","3265735.0000","43.3800","43.7100","43.3500"
"2019/03/27","43.5900","3689725.0000","43.6700","43.8050","43.1990"
"2019/03/26","43.8200","5008626.0000","44.1200","44.2900","43.6800"
"2019/03/25","43.5300","4258055.0000","43.8100","43.9000","43.3450"
"2019/03/22","43.9500","6327582.0000","44.2000","44.2500","43.6900"
"2019/03/21","44.5300","3946879.0000","44.5500","44.6700","44.3100"
"2019/03/20","44.5300","4614862.0000","44.3000","44.7500","44.0200"
"2019/03/19","44.4700","6930689.0000","44.8900","44.9700","44.3800"
"2019/03/18","44.2400","4804361.0000","43.9200","44.3100","43.9200"
"2019/03/15","43.8700","4308538.0000","43.8500","44.0362","43.7450"
"2019/03/14","43.9500","4611584.0000","43.9200","44.2671","43.8700"
"2019/03/13","43.8300","9854036.0000","43.1000","43.9500","43.0400"
"2019/03/12","42.4600","4624700.0000","42.1300","42.6100","42.1300"
"2019/03/11","42.3300","5620312.0000","42.1800","42.4000","42.1800"
"2019/03/08","42.2500","4669416.0000","42.0400","42.2750","41.8400"
"2019/03/07","42.6300","3770205.0000","42.7500","42.7800","42.4900"
"2019/03/06","42.7000","3669081.0000","42.7400","42.7900","42.5300"
"2019/03/05","42.7400","3337402.0000","42.6200","42.7600","42.5800"
"2019/03/04","42.6400","4180389.0000","42.6200","42.7500","42.3144"
"2019/03/01","42.5800","4715772.0000","42.6400","42.7800","42.3900"
"2019/02/28","42.6500","4508087.0000","42.8100","42.8500","42.6000"
"2019/02/27","42.8400","8271106.0000","42.7700","43.0200","42.6900"
"2019/02/26","42.5200","4706698.0000","42.3500","42.6900","42.3100"
"2019/02/25","42.5100","5949114.0000","42.5600","42.6800","42.3500"
"2019/02/22","42.4600","5143866.0000","42.3800","42.5400","42.2137"
"2019/02/21","42.2900","4209506.0000","42.2400","42.4200","42.1400"
"2019/02/20","42.4800","4374793.0000","42.4000","42.7400","42.3800"
"2019/02/19","42.3800","4014032.0000","41.8900","42.4900","41.8900"
"2019/02/15","42.2900","3462123.0000","42.1900","42.3550","42.0801"
"2019/02/14","41.8700","4628236.0000","41.7100","42.0700","41.6700"
"2019/02/13","42.6400","4790761.0000","42.5800","42.8500","42.5500"
"2019/02/12","42.4200","5017410.0000","42.5400","42.6400","42.3300"
"2019/02/11","42.2100","4728473.0000","42.2200","42.3200","42.0600"
"2019/02/08","42.4900","4965242.0000","42.4000","42.5000","42.1500"
"2019/02/07","42.7000","8112614.0000","43.2300","43.2600","42.4500"
"2019/02/06","43.0400","9899659.0000","43.3600","43.4100","43.0350"
"2019/02/05","42.8200","11116580.0000","42.6800","42.8900","42.5200"
"2019/02/04","41.3900","8254269.0000","41.1800","41.4050","40.8600"
"2019/02/01","41.3400","5712076.0000","41.1200","41.4000","40.9800"
"2019/01/31","41.1200","7784849.0000","41.2500","41.6700","40.9600"
"2019/01/30","40.6700","8403435.0000","40.3000","40.8500","40.2700"
"2019/01/29","40.2000","8913394.0000","39.9400","40.4000","39.7350"
"2019/01/28","39.5700","6034704.0000","39.4800","39.6000","39.1744"
"2019/01/25","40.1100","5031874.0000","40.3900","40.4100","40.0750"
"2019/01/24","40.1100","4760650.0000","39.9000","40.3600","39.8400"
"2019/01/23","40.1200","4603304.0000","40.2800","40.3300","39.8600"
"2019/01/22","40.0800","6172400.0000","40.1000","40.2559","39.9100"
"2019/01/18","40.7600","6484469.0000","40.6900","40.9200","40.4800"
"2019/01/17","40.1300","4343180.0000","39.8200","40.3300","39.7450"
"2019/01/16","40.1200","4168918.0000","39.8800","40.2200","39.8640"
"2019/01/15","40.2400","4859390.0000","40.2600","40.6500","39.9600"
"2019/01/14","40.4200","4973776.0000","40.1500","40.6700","40.0900"
"2019/01/11","40.2400","5745338.0000","40.2200","40.4200","40.0700"
"2019/01/10","40.7000","4820659.0000","40.2800","40.7550","40.1300"
"2019/01/09","40.3600","6903749.0000","40.3900","40.6064","40.1500"
"2019/01/08","40.0300","5649225.0000","40.1800","40.2600","39.8300"
"2019/01/07","40.1600","6112535.0000","39.7000","40.3100","39.5800"
"2019/01/04","40.0300","9332690.0000","39.5700","40.0799","39.4250"
"2019/01/03","38.8100","7136262.0000","38.9600","39.0550","38.4800"
"2019/01/02","38.5900","5533861.0000","37.4700","38.7450","37.4050"
"2018/12/31","37.9200","5581252.0000","38.2100","38.4600","37.8000"
"2018/12/28","38.1300","8448369.0000","38.6700","38.6700","38.0100"
"2018/12/27","37.7300","9314936.0000","37.3300","37.7350","36.7300"
"2018/12/26","38.0600","8458663.0000","36.7900","38.0800","36.2800"
"2018/12/24","36.6500","6913219.0000","37.7400","37.7600","36.5800"
"2018/12/21","37.6700","11545240.0000","37.2000","37.9800","37.1200"
"2018/12/20","37.2600","9509428.0000","37.8200","38.0850","36.9700"
"2018/12/19","37.6500","8569572.0000","38.2100","38.6400","37.4800"
"2018/12/18","37.8200","7735915.0000","38.4100","38.4200","37.7600"
"2018/12/17","38.4100","7180264.0000","38.9100","39.0000","38.2250"
"2018/12/14","38.6600","6392044.0000","39.1100","39.3000","38.5400"
"2018/12/13","39.2900","7809998.0000","38.8000","39.4400","38.7850"
"2018/12/12","39.0500","5483200.0000","39.6500","39.7150","39.0300"
"2018/12/11","39.0800","7563173.0000","39.9000","39.9100","38.9100"
"2018/12/10","39.3700","7877764.0000","39.3200","39.5000","38.6500"
"2018/12/07","39.5100","10790180.0000","40.3100","40.5900","39.3400"
"2018/12/06","39.5900","12945620.0000","39.4200","39.5900","38.7100"
"2018/12/04","40.9500","6773088.0000","41.3400","41.4700","40.8800"
"2018/12/03","41.1900","9796135.0000","41.1900","41.3050","40.8800"
