date close volume open high low

2019/04/12 44.7200 383752.0000 44.3200 44.8100 43.9700
2019/04/11 43.9800 391228.0000 44.0900 44.3500 43.7200
2019/04/10 43.9900 447833.0000 43.1800 44.0700 43.1684
2019/04/09 43.2200 309016.0000 43.2100 43.5900 42.9900
2019/04/08 43.4100 504738.0000 43.0900 43.5000 42.6719
2019/04/05 43.2100 492391.0000 42.7200 43.4000 42.7200
2019/04/04 42.8000 747793.0000 42.6200 43.5000 42.3300
2019/04/03 42.6400 842612.0000 41.6500 42.9800 41.4900
2019/04/02 40.9500 544349.0000 40.6500 41.2700 40.3800
2019/04/01 40.5300 1297346.0000 40.3200 40.9200 39.2900
2019/03/29 42.0700 548070.0000 42.0900 42.1792 41.7500
2019/03/28 41.6200 367169.0000 41.9200 42.3500 41.2400
2019/03/27 41.7800 299277.0000 42.4700 42.6700 41.2100
2019/03/26 42.5200 397287.0000 42.3700 43.0800 42.1200
2019/03/25 42.0300 523631.0000 41.5900 42.4700 41.2300
2019/03/22 41.8000 447728.0000 42.9400 43.1200 41.7700
2019/03/21 43.2300 879308.0000 41.4200 43.6100 41.4200
2019/03/20 41.2600 347843.0000 42.0500 42.2600 40.7300
2019/03/19 42.1400 537457.0000 41.8100 42.3500 41.5900
2019/03/18 41.5400 686863.0000 41.4400 41.7000 40.8300
2019/03/15 41.3700 994991.0000 40.6600 41.7400 40.5100
2019/03/14 40.5000 361740.0000 41.1500 41.4000 40.4800
2019/03/13 41.1600 515091.0000 41.3400 41.7241 41.1200
2019/03/12 41.0700 332974.0000 41.5000 41.6800 40.7000
2019/03/11 41.5000 710036.0000 40.2900 41.7050 40.2900
2019/03/08 40.0700 352270.0000 39.2000 40.0900 38.7900
2019/03/07 39.6900 365868.0000 40.1200 40.1370 39.3200
2019/03/06 40.2800 595016.0000 41.2900 41.2966 40.0500
2019/03/05 41.3900 541121.0000 41.5000 42.0000 41.2900
2019/03/04 41.4900 885924.0000 41.1600 41.8700 40.9100
2019/03/01 41.0700 719941.0000 40.7700 41.2600 40.4000
2019/02/28 40.1300 651628.0000 39.3100 40.2300 39.0000
2019/02/27 39.5100 359711.0000 39.2200 39.5700 38.7900
2019/02/26 39.4400 563587.0000 39.8400 39.9700 39.0500
2019/02/25 40.0100 460392.0000 40.2000 40.8250 39.9500
2019/02/22 39.7900 387398.0000 39.6000 40.1900 39.4300
2019/02/21 39.3100 352418.0000 39.3800 39.6100 39.0800
2019/02/20 39.3800 521754.0000 39.2600 39.7050 39.0000
2019/02/19 39.1300 761970.0000 39.7600 40.1100 39.1000
2019/02/15 40.0100 606550.0000 39.5200 40.0100 39.3053
2019/02/14 39.1800 544874.0000 38.5800 39.5000 38.4300
2019/02/13 38.6600 508611.0000 38.5800 38.9500 38.5400
2019/02/12 38.5000 539035.0000 38.5300 38.9600 38.4000
2019/02/11 38.1100 375864.0000 38.1000 38.4200 37.8200
