date close volume open high low

2019/04/12 130.0600 65178990.0000 127.9100 130.9000 126.3600
2019/04/11 116.6000 12754290.0000 117.7300 117.8600 116.3200
2019/04/10 117.1600 13990730.0000 117.5800 118.0300 116.2800
2019/04/09 116.8600 17195390.0000 115.6100 117.1641 115.2800
2019/04/08 114.9600 11050980.0000 115.0000 115.8300 114.6350
2019/04/05 115.0000 10905620.0000 114.9700 115.1300 114.3061
2019/04/04 114.7500 13609210.0000 113.2400 114.8569 113.0300
2019/04/03 112.5200 10414210.0000 112.7000 113.1100 112.2100
2019/04/02 111.9600 9035226.0000 113.1500 113.3050 111.9200
2019/04/01 112.5100 10591290.0000 111.5900 112.8650 111.3800
2019/03/29 111.0300 15963900.0000 111.5600 111.6000 110.3900
2019/03/28 110.7100 10942750.0000 110.6000 111.2700 110.2400
2019/03/27 110.2800 10639410.0000 110.4500 111.0900 109.7329
2019/03/26 110.1400 16651500.0000 108.4000 110.3400 108.2700
2019/03/25 107.7900 18011550.0000 108.4900 109.0700 107.3200
2019/03/22 108.2300 22973940.0000 108.3300 109.0000 107.5100
2019/03/21 108.6600 26929340.0000 110.1000 110.1500 108.3700
2019/03/20 109.9900 35206080.0000 110.3100 110.8800 108.0500
2019/03/19 110.0000 44801760.0000 112.9500 113.7085 109.8000
2019/03/18 113.1200 21707930.0000 113.0300 114.0000 112.4600
2019/03/15 114.9600 14861300.0000 114.5000 115.4800 113.6800
2019/03/14 114.4800 17409280.0000 114.1200 114.7700 113.9300
2019/03/13 114.0900 17909880.0000 114.8400 114.8500 113.7200
2019/03/12 114.7300 9920237.0000 114.7200 115.3000 114.0400
2019/03/11 114.7500 6909175.0000 114.0400 115.0000 114.0300
2019/03/08 113.8100 6546022.0000 113.4600 113.8400 112.9000
2019/03/07 114.0100 6321843.0000 114.8500 114.9000 113.4700
2019/03/06 114.8500 7344958.0000 114.0000 115.0500 114.0000
2019/03/05 114.0000 5121970.0000 114.2300 114.5400 113.7600
2019/03/04 114.3300 6006333.0000 114.4200 114.4200 113.0944
2019/03/01 114.0100 6877406.0000 113.4500 114.4399 113.4500
2019/02/28 112.8400 6711621.0000 112.9000 113.4300 112.7500
2019/02/27 112.7800 7249002.0000 113.0950 113.5099 112.4600
2019/02/26 113.5000 8858402.0000 113.6500 114.0100 112.8500
2019/02/25 113.5900 8788890.0000 115.6200 115.8000 113.4600
2019/02/22 115.2500 8734616.0000 114.6300 115.7700 113.9500
2019/02/21 114.2900 9431197.0000 113.4000 114.5400 112.8700
2019/02/20 113.6800 7078067.0000 113.6000 114.0850 113.2850
2019/02/19 113.5100 8166889.0000 112.9100 113.7700 112.8300
2019/02/15 112.5900 8188106.0000 111.4000 112.6325 111.0300
2019/02/14 110.6600 6324271.0000 109.8500 111.4950 109.5400
2019/02/13 110.2000 6919052.0000 109.2400 110.4800 109.2300
2019/02/12 109.2000 7606635.0000 110.2100 110.8300 109.1500
2019/02/11 109.4400 10864230.0000 111.7700 111.8100 109.2500
2019/02/08 111.5100 6343478.0000 110.4600 111.5400 110.0641
2019/02/07 110.9500 8638374.0000 111.0500 111.1100 109.8100
2019/02/06 111.4100 14220800.0000 113.8500 113.9200 111.0700
2019/02/05 112.6600 13361840.0000 112.0200 112.7400 111.4500
2019/02/04 111.8000 7005285.0000 111.4100 111.9800 110.6800
2019/02/01 111.3000 6510114.0000 111.9700 112.0500 110.9300
2019/01/31 111.5200 8248752.0000 110.1000 111.5400 110.0100
2019/01/30 110.1300 7852571.0000 110.3000 110.5800 108.9600
2019/01/29 110.9000 5250366.0000 110.6500 110.9286 110.0046
2019/01/28 110.8100 6123045.0000 110.7600 110.9900 109.9500
2019/01/25 111.0900 5706862.0000 111.4650 111.5000 110.6600
2019/01/24 110.5500 6713263.0000 111.0000 111.1100 109.9300
2019/01/23 111.1200 6845002.0000 111.1900 111.8400 110.0000
2019/01/22 110.6000 6948627.0000 110.6200 111.3300 109.7500
2019/01/18 111.0400 8552678.0000 111.8600 111.9300 110.8286
2019/01/17 111.0100 5119995.0000 110.7200 111.2550 110.1600
2019/01/16 110.9100 5854799.0000 111.4500 112.0100 110.8100
2019/01/15 111.7600 9663624.0000 112.3000 113.1800 110.6100
2019/01/14 112.4200 6980508.0000 111.6500 112.6950 111.4300
2019/01/11 112.6500 4749165.0000 112.1800 112.9200 111.7300
2019/01/10 112.8000 6097125.0000 111.9900 112.9100 111.5000
2019/01/09 112.6700 5920728.0000 111.8000 112.8000 111.5600
2019/01/08 111.4200 8689079.0000 111.8000 112.5600 111.1700
2019/01/07 110.5600 6352180.0000 109.9100 111.4000 109.3000
2019/01/04 109.6100 10073780.0000 107.9400 110.7500 107.2500
2019/01/03 106.3300 10744350.0000 108.4800 108.6500 105.9436
2019/01/02 108.9700 9711276.0000 108.1000 109.1350 107.7304
2018/12/31 109.6500 7240290.0000 109.1100 109.6700 107.5528
2018/12/28 107.3000 7598070.0000 107.2800 108.5200 106.1901
2018/12/27 106.5200 8078455.0000 104.4100 106.5500 102.7950
2018/12/26 105.8300 9311869.0000 100.4900 105.8500 100.3800
2018/12/24 100.3500 7132955.0000 103.2300 103.9000 100.3500
2018/12/21 104.2200 15523620.0000 106.4700 108.7500 103.8600
2018/12/20 107.0000 9382722.0000 108.7500 109.2100 106.1300
2018/12/19 109.2200 9344297.0000 110.0000 112.1300 108.9461
2018/12/18 109.4500 6673748.0000 110.8700 111.0800 108.9000
2018/12/17 110.6200 7711632.0000 112.2900 112.8900 110.0300
2018/12/14 112.2000 7601873.0000 112.3700 113.9200 112.0500
2018/12/13 113.3900 6570562.0000 112.8700 113.5950 112.3400
2018/12/12 112.2100 7716351.0000 113.0000 113.9800 112.1500
2018/12/11 111.9700 6861110.0000 112.9700 113.7200 111.4300
2018/12/10 111.8600 7329130.0000 111.9900 112.2900 109.5301
2018/12/07 111.9800 8304231.0000 113.8600 113.9900 111.6100
2018/12/06 114.3300 10503440.0000 112.0600 114.3400 111.1600
2018/12/04 112.8700 10804640.0000 115.6200 116.2900 112.6600
2018/12/03 115.7400 9264250.0000 116.6500 116.9200 114.9100
2018/11/30 115.4900 16855210.0000 116.8400 117.0650 115.0600
2018/11/29 116.6100 10259160.0000 115.7500 117.1400 115.2100
2018/11/28 116.1000 9033987.0000 114.3200 116.3000 114.0500
2018/11/27 113.9000 7357404.0000 113.6100 114.1000 112.4100
2018/11/26 112.5500 6996014.0000 113.1800 113.1800 111.9200
2018/11/23 112.0800 3242322.0000 112.2400 112.7900 111.7400
2018/11/21 113.0300 7242441.0000 112.5000 113.9850 112.3000
2018/11/20 111.8700 11193550.0000 113.5200 114.5880 111.5200
2018/11/19 115.4200 9712526.0000 116.0000 117.8300 114.7900
2018/11/16 116.1900 7123863.0000 116.5300 117.3440 115.9900
2018/11/15 117.1100 7087355.0000 116.4900 117.4300 115.7000
2018/11/14 117.1200 7102031.0000 117.4400 118.2200 116.4400
2018/11/13 116.8500 4645737.0000 117.1100 117.7800 116.1800
2018/11/12 116.7000 9169862.0000 118.0000 118.4600 116.6000
2018/11/09 118.0000 16875190.0000 118.2000 120.2000 117.1800
2018/11/08 116.0000 11008440.0000 117.4500 117.8300 115.2100
2018/11/07 117.0500 8239470.0000 116.5700 117.2850 115.1600
2018/11/06 116.7100 5035633.0000 115.7400 116.8400 115.4500
2018/11/05 115.4500 7920295.0000 115.7400 116.2241 115.1200
2018/11/02 115.1800 6365960.0000 116.8300 116.9500 114.3700
2018/11/01 116.1000 6777469.0000 115.2000 116.2800 114.9000
2018/10/31 114.8300 9189266.0000 116.2300 116.5200 114.6800
2018/10/30 114.7600 7337523.0000 113.3900 114.8900 112.4100
2018/10/29 113.0400 9229443.0000 114.4500 114.9400 111.9600
2018/10/26 113.1900 7971695.0000 112.8400 114.1400 112.1010
2018/10/25 114.1600 7404707.0000 112.6200 114.6900 112.1180
2018/10/24 111.6100 11620120.0000 117.0600 117.0600 111.2500
2018/10/23 117.8500 8605640.0000 116.9450 118.4900 115.4100
