date close volume open high low
2018/12/31 234.0000 882.0000 234.0000 234.0000 234.0000
2018/12/28 234.4000 568.0000 234.4000 234.4000 234.4000
2018/12/27 232.0000 469.0000 232.0000 232.0000 232.0000
2018/12/26 227.3000 3695.0000 226.0000 231.7100 225.9000
2018/12/24 226.3000 592.0000 221.5311 226.3000 221.5311
2018/12/21 230.5700 5922.0000 226.2100 236.5700 226.2100
2018/12/20 229.0500 1016.0000 231.9899 231.9899 229.0500
2018/12/19 226.8200 420.0000 226.8200 226.8200 226.8200
2018/12/18 229.0000 418.0000 229.0000 229.0000 229.0000
2018/12/17 223.9000 943.0000 234.4000 234.4000 223.9000
2018/12/14 229.0000 1357.0000 229.0000 229.0000 228.9600
2018/12/13 228.5600 567.0000 228.5600 228.5600 228.5600
2018/12/12 234.4900 1314.0000 230.7101 234.4900 229.9401
2018/12/11 231.8800 0.0000 231.8800 231.8800 231.8800
2018/12/10 231.8800 4077.0000 230.0000 232.0000 229.9999
2018/12/07 237.9600 643.0000 237.9600 237.9600 237.9600
2018/12/06 238.6600 366.0000 238.6600 238.6600 238.6600
2018/12/04 236.9900 842.0000 236.9900 236.9900 236.9900
2018/12/03 236.5000 1038.0000 237.1400 237.1400 236.5000
2018/11/30 236.0000 1907.0000 234.8900 244.3200 234.8900
2018/11/29 234.0000 0.0000 234.0000 234.0000 234.0000
2018/11/28 234.0000 652.0000 234.0000 234.0000 234.0000
2018/11/27 235.6900 510.0000 235.6900 235.6900 235.6900
2018/11/26 233.2000 514.0000 233.2000 233.2000 233.2000
2018/11/23 233.4800 1021.0000 232.0001 236.0100 232.0001
2018/11/21 236.0000 770.0000 236.0000 236.0000 235.9900
2018/11/20 235.0000 895.0000 235.0000 235.0000 234.9900
2018/11/19 235.9900 1211.0000 239.0000 239.0000 235.9900
2018/11/16 234.2000 1065.0000 237.1200 237.1200 234.2000
2018/11/15 237.9700 164.0000 237.9700 237.9700 237.9700
2018/11/14 233.7500 1903.0000 232.0000 233.9900 232.0000
2018/11/13 232.0000 939.0000 233.0000 235.0000 232.0000
2018/11/12 230.0000 2085.0000 230.0000 230.0000 226.2000
2018/11/09 230.5600 677.0000 230.5100 230.5600 230.5100
2018/11/08 230.9600 229.0000 230.9600 230.9600 230.9600
2018/11/07 233.9000 828.0000 225.9000 233.9000 225.9000
2018/11/06 225.0000 10294.0000 238.2300 238.2300 212.2000
2018/11/05 235.3500 1090.0000 240.0000 240.0000 235.3500
2018/11/02 235.1000 333.0000 235.1000 235.1000 235.1000
2018/11/01 238.7500 472.0000 238.7500 238.7500 238.7500
2018/10/31 237.0400 1707.0000 237.0400 237.0400 237.0400
2018/10/30 236.9400 2585.0000 235.4000 238.0000 232.9000
2018/10/29 238.4000 447.0000 239.5000 239.5000 238.4000
2018/10/26 239.0000 691.0000 239.0000 239.0000 239.0000
2018/10/25 239.5000 1071.0000 239.5000 239.5000 239.5000
2018/10/24 233.6000 529.0000 233.6000 233.6000 233.6000
2018/10/23 232.7400 0.0000 232.7400 232.7400 232.7400
