"date" "close" "volume" "open" "high" "low"
"2018/12/31" "114.0200" "33130.0000" "114.7100" "115.4200" "112.9900"
"2018/12/28" "115.0000" "22816.0000" "114.9900" "115.8165" "114.1900"
"2018/12/27" "114.9000" "39496.0000" "112.7700" "114.9000" "111.9500"
"2018/12/26" "116.0700" "27548.0000" "115.3000" "116.0700" "113.1500"
"2018/12/24" "109.8100" "25007.0000" "113.1200" "114.3000" "109.8100"
"2018/12/21" "118.3500" "38015.0000" "120.0200" "121.3099" "118.3500"
"2018/12/20" "119.8700" "17791.0000" "121.2900" "122.4100" "118.1001"
"2018/12/19" "123.1100" "23562.0000" "124.5100" "125.4400" "122.1200"
"2018/12/18" "123.9800" "33797.0000" "122.8400" "124.1500" "122.0500"
"2018/12/17" "122.5800" "18097.0000" "122.6800" "123.9900" "121.9200"
"2018/12/14" "123.0000" "11398.0000" "122.5100" "124.3550" "122.5100"
"2018/12/13" "123.9300" "10124.0000" "124.5700" "124.7200" "123.5600"
"2018/12/12" "124.8000" "15248.0000" "125.6100" "125.8699" "124.5700"
"2018/12/11" "125.8000" "32987.0000" "125.5700" "126.1900" "124.0100"
"2018/12/10" "122.9700" "18827.0000" "121.7200" "122.9800" "121.2900"
"2018/12/07" "120.2600" "7866.0000" "121.0000" "122.5000" "120.0600"
"2018/12/06" "120.7300" "16558.0000" "120.6700" "122.0300" "120.0000"
"2018/12/04" "123.5600" "23806.0000" "125.0500" "125.1200" "123.2200"
"2018/12/03" "125.7300" "12396.0000" "126.1900" "126.4000" "125.2200"
"2018/11/30" "123.2600" "15192.0000" "124.0600" "124.0600" "122.0100"
"2018/11/29" "124.0600" "18506.0000" "125.0800" "125.1900" "122.4500"
"2018/11/28" "125.0900" "13508.0000" "123.5400" "125.4900" "123.5400"
"2018/11/27" "122.8700" "13737.0000" "123.2500" "123.5500" "122.5400"
"2018/11/26" "123.8000" "22019.0000" "120.9700" "123.9800" "120.9700"
"2018/11/23" "120.3700" "7016.0000" "119.8100" "120.7000" "117.8601"
"2018/11/21" "119.3500" "7556.0000" "118.5600" "119.4800" "118.5600"
"2018/11/20" "116.8400" "11743.0000" "115.6900" "117.4700" "115.5100"
"2018/11/19" "117.4000" "15972.0000" "118.6200" "118.6200" "116.9460"
"2018/11/16" "117.6900" "6799.0000" "117.8800" "118.3500" "116.0000"
"2018/11/15" "117.7400" "14936.0000" "116.9500" "117.7400" "115.5600"
"2018/11/14" "117.0100" "17293.0000" "118.9200" "119.3900" "116.1600"
"2018/11/13" "119.5700" "14637.0000" "121.0700" "121.7600" "119.5000"
"2018/11/12" "122.3500" "6386.0000" "124.4900" "124.5200" "121.6100"
"2018/11/09" "124.7000" "13390.0000" "124.3100" "125.2000" "123.3798"
"2018/11/08" "125.0200" "14996.0000" "125.0900" "125.5200" "124.7300"
"2018/11/07" "124.0000" "16333.0000" "122.6600" "124.1300" "122.5200"
"2018/11/06" "121.2500" "10354.0000" "120.9500" "121.3800" "120.5676"
"2018/11/05" "121.4000" "16435.0000" "120.3900" "121.5950" "119.4000"
"2018/11/02" "122.2700" "8403.0000" "123.5300" "123.9999" "121.5115"
"2018/11/01" "123.3700" "18476.0000" "120.1300" "123.4000" "120.1300"
"2018/10/31" "119.4900" "11224.0000" "118.9600" "119.9900" "118.2600"
"2018/10/30" "119.1500" "14480.0000" "117.6000" "119.3000" "117.6000"
"2018/10/29" "117.5900" "15254.0000" "120.2700" "120.3500" "116.4800"
"2018/10/26" "118.4000" "12661.0000" "117.8600" "118.5500" "116.6601"
"2018/10/25" "119.0200" "10975.0000" "118.2800" "119.4000" "118.0500"
"2018/10/24" "118.5200" "24743.0000" "120.1700" "121.7200" "118.1100"
"2018/10/23" "118.7100" "18108.0000" "118.6200" "119.4200" "117.1001"
"2018/10/22" "120.9000" "12496.0000" "121.8600" "122.2900" "120.0000"
"2018/10/19" "121.9000" "9400.0000" "121.1025" "122.0200" "121.1025"
"2018/10/18" "120.2500" "8764.0000" "122.2000" "122.2000" "119.9600"
"2018/10/17" "122.3700" "9955.0000" "122.4200" "122.7900" "121.4000"
"2018/10/16" "122.8900" "17341.0000" "119.9500" "122.8900" "119.9500"
"2018/10/15" "117.5800" "21159.0000" "118.8500" "118.9100" "117.4100"
"2018/10/12" "119.7500" "34225.0000" "118.6000" "120.2000" "117.9400"
"2018/10/11" "117.8200" "24843.0000" "119.6200" "120.2332" "117.1000"
"2018/10/10" "121.0500" "16747.0000" "125.0200" "126.7638" "120.7200"
"2018/10/09" "126.0600" "17515.0000" "127.7300" "127.7300" "125.0200"
"2018/10/08" "126.8600" "13899.0000" "127.7000" "127.7000" "125.8000"
"2018/10/05" "127.4100" "10732.0000" "126.4700" "128.3300" "126.4700"
"2018/10/04" "127.1200" "29439.0000" "129.3500" "129.3500" "126.6853"
"2018/10/03" "128.7900" "18202.0000" "129.4700" "129.4700" "128.4750"
"2018/10/02" "127.1200" "11785.0000" "127.6900" "127.8300" "126.8200"
"2018/10/01" "126.1100" "17904.0000" "126.0000" "126.7500" "125.2300"
"2018/09/28" "125.5200" "10480.0000" "126.3600" "126.7700" "125.1201"
"2018/09/27" "126.8500" "34285.0000" "129.3900" "129.3900" "126.4200"
"2018/09/26" "132.3700" "14099.0000" "133.5700" "133.5700" "132.3400"
"2018/09/25" "135.0000" "16447.0000" "135.0000" "135.0000" "133.8000"
"2018/09/24" "134.0400" "18015.0000" "134.6700" "134.6700" "132.8200"
"2018/09/21" "133.8400" "21402.0000" "134.8500" "134.8500" "133.4600"
"2018/09/20" "134.9100" "25563.0000" "135.9800" "135.9800" "134.2000"
"2018/09/19" "131.1500" "9976.0000" "130.1600" "131.2860" "130.1600"
"2018/09/18" "130.4600" "9347.0000" "129.7500" "130.9900" "129.7500"
"2018/09/17" "129.7000" "26176.0000" "130.2000" "131.0800" "129.5100"
"2018/09/14" "129.4800" "42020.0000" "129.4800" "130.6200" "127.0850"
"2018/09/13" "128.7100" "13587.0000" "128.5100" "128.7100" "127.3600"
"2018/09/12" "129.1000" "11401.0000" "129.5600" "129.6900" "128.3700"
"2018/09/11" "128.7200" "10577.0000" "128.4300" "129.6100" "127.6200"
"2018/09/10" "127.8400" "10757.0000" "126.8400" "128.3500" "126.8400"
"2018/09/07" "127.1100" "7836.0000" "126.7200" "127.4100" "126.7200"
"2018/09/06" "127.5900" "18269.0000" "127.7400" "127.9750" "127.0300"
"2018/09/05" "127.7100" "22255.0000" "127.9100" "128.3800" "127.1600"
"2018/09/04" "127.6500" "33474.0000" "127.8100" "128.0000" "126.7500"
"2018/08/31" "127.6000" "19534.0000" "128.8400" "128.8400" "126.6000"
"2018/08/30" "127.0600" "23194.0000" "128.4500" "128.4500" "126.7200"
"2018/08/29" "128.2500" "27959.0000" "126.5000" "128.2500" "126.4600"
"2018/08/28" "125.0000" "13745.0000" "125.6100" "125.7300" "124.6801"
"2018/08/27" "124.4500" "24287.0000" "124.4000" "124.7700" "124.0400"
"2018/08/24" "121.7400" "26376.0000" "120.9200" "121.9400" "120.7702"
"2018/08/23" "120.9200" "22527.0000" "122.4800" "122.5100" "120.7600"
"2018/08/22" "124.1000" "36869.0000" "124.5900" "124.7700" "123.6210"
"2018/08/21" "125.4000" "54000.0000" "124.0700" "125.5400" "124.0700"
"2018/08/20" "120.8300" "59963.0000" "119.2200" "121.2000" "118.9400"
"2018/08/17" "116.6800" "38360.0000" "116.4600" "117.0600" "115.0500"
"2018/08/16" "115.9400" "119208.0000" "116.7300" "117.1400" "113.5200"
"2018/08/15" "122.7900" "23642.0000" "123.1000" "123.7100" "122.3600"
"2018/08/14" "124.0700" "45813.0000" "123.3400" "124.5300" "122.6900"
"2018/08/13" "121.1900" "21522.0000" "120.7300" "121.3750" "120.2000"
"2018/08/10" "119.3900" "20921.0000" "119.4600" "119.8700" "118.7300"
"2018/08/09" "120.1800" "26087.0000" "122.2600" "122.2600" "120.0000"
"2018/08/08" "123.3400" "45363.0000" "121.3100" "123.7700" "120.1900"
