date close volume open high low
2019/04/12 179.1 12321770.0 178.0 179.63 177.95
2019/04/11 177.51 8048582.0 178.24 178.4 177.0
2019/04/10 177.82 11684940.0 178.18 178.79 176.54
2019/04/09 177.58 19599420.0 175.62 179.19 175.55
2019/04/08 174.93 7287902.0 175.21 175.5 174.23
2019/04/05 175.72 9499559.0 176.88 177.0 175.1
2019/04/04 176.02 17768670.0 176.02 178.0 175.5301
2019/04/03 173.54 27380570.0 174.5 177.96 172.95
2019/04/02 174.2 23926430.0 170.14 174.9 169.55
2019/04/01 168.7 10122200.0 167.83 168.9 167.2789
2019/03/29 166.69 13450640.0 166.39 167.19 164.81
2019/03/28 165.55 10457910.0 164.57 166.72 163.33
2019/03/27 165.87 10603100.0 167.85 168.94 164.79
2019/03/26 167.68 15274610.0 167.35 169.45 166.3499
2019/03/25 166.29 12306150.0 163.0 166.54 162.0
2019/03/22 164.34 16375210.0 165.65 167.42 164.09
2019/03/21 166.08 16049850.0 164.89 166.39 163.75
2019/03/20 165.44 19934930.0 161.5 166.12 161.24
2019/03/19 161.57 24608800.0 161.48 163.82 160.82
2019/03/18 160.47 35094650.0 163.57 163.9 159.28
2019/03/15 165.98 37088870.0 167.16 167.58 162.51
2019/03/14 170.17 17882100.0 169.76 171.15 168.16
2019/03/13 173.37 11514940.0 172.32 174.03 172.12
2019/03/12 171.92 12136730.0 172.09 173.8 171.2178
2019/03/11 172.07 18534610.0 171.6 174.3 171.58
2019/03/08 169.6 12737410.0 166.2 169.62 165.97
2019/03/07 169.13 18200280.0 171.5 171.74 167.61
2019/03/06 172.51 20775850.0 172.9 173.57 171.27
2019/03/05 171.26 26581790.0 167.37 171.88 166.55
2019/03/04 167.37 18864670.0 163.9 167.5 163.83
2019/03/01 162.28 11022100.0 162.6 163.132 161.69
2019/02/28 161.45 11083060.0 162.37 163.5 160.86
2019/02/27 162.81 12685830.0 162.9 163.93 160.41
2019/02/26 164.13 13630540.0 164.335 166.24 163.8
2019/02/25 164.62 17615000.0 163.07 166.07 162.9
2019/02/22 161.89 15845990.0 160.58 162.41 160.31
2019/02/21 160.04 15455630.0 161.93 162.24 159.59
2019/02/20 162.56 11758420.0 162.25 163.72 161.25
2019/02/19 162.29 14320590.0 160.5 164.15 160.33
2019/02/15 162.5 15485430.0 164.51 164.7 160.86
2019/02/14 163.95 12696560.0 163.19 164.8697 162.2468
2019/02/13 164.07 14168500.0 165.38 166.22 163.73
2019/02/12 165.04 16241390.0 166.86 168.34 164.5
2019/02/11 165.79 12694750.0 167.9 168.3 165.08
2019/02/08 167.33 12485700.0 164.47 167.37 164.21
2019/02/07 166.38 17206800.0 168.2 169.24 165.25
2019/02/06 170.49 13254460.0 171.2 172.47 169.27
2019/02/05 171.16 21723960.0 169.15 171.98 168.69
2019/02/04 169.25 19980980.0 165.7 169.3 163.62
2019/02/01 165.71 30742790.0 165.84 169.1 165.66
2019/01/31 166.69 77005780.0 165.6 171.68 165.0
2019/01/30 150.42 41676170.0 146.22 150.95 145.6953
2019/01/29 144.19 17451800.0 148.09 148.1 143.43
2019/01/28 147.47 15242960.0 148.05 148.96 146.21
2019/01/25 149.01 22227160.0 147.48 149.83 146.54
2019/01/24 145.83 20932280.0 144.64 146.44 142.52
2019/01/23 144.3 20060100.0 148.28 148.8 143.055
2019/01/22 147.57 22310570.0 149.2 151.53 146.37
2019/01/18 150.04 30631520.0 149.75 152.43 148.55
2019/01/17 148.3 15480790.0 146.95 149.0 146.5
2019/01/16 147.54 17977150.0 149.0 149.6499 146.9975
2019/01/15 148.95 24036820.0 146.01 150.68 145.99
2019/01/14 145.39 19864680.0 142.0 146.57 141.27
2019/01/11 143.8 12780600.0 143.15 145.36 142.57
2019/01/10 144.2 16057330.0 143.08 144.56 140.84
2019/01/09 144.23 22131500.0 142.95 144.7 141.27
2019/01/08 142.53 26191030.0 139.89 143.14 139.54
2019/01/07 138.05 19988840.0 137.56 138.87 135.91
2019/01/04 137.95 27973370.0 134.01 138.0 133.75
2019/01/03 131.74 22448730.0 134.69 137.17 131.12
2019/01/02 135.68 27967450.0 128.99 137.51 128.56
2018/12/31 131.09 24552820.0 134.45 134.64 129.95
2018/12/28 133.2 22351260.0 135.34 135.92 132.2
2018/12/27 134.52 30305940.0 132.44 134.99 129.67
2018/12/26 134.18 39526860.0 126.0 134.24 125.89
2018/12/24 124.06 22066000.0 123.1 129.74 123.02
2018/12/21 124.95 56624760.0 133.39 134.9 123.42
2018/12/20 133.4 40202130.0 130.7 135.57 130.0
2018/12/19 133.24 57110060.0 141.21 144.91 132.5
2018/12/18 143.66 23678090.0 141.08 145.93 139.8301
2018/12/17 140.19 23838160.0 143.08 144.92 138.42
2018/12/14 144.06 21773500.0 143.34 146.01 142.51
2018/12/13 145.01 18090420.0 145.57 145.85 143.19
2018/12/12 144.5 23349970.0 143.08 147.19 142.51
2018/12/11 142.08 19429850.0 143.88 143.88 141.1
2018/12/10 141.85 26315700.0 139.6 143.05 139.01
2018/12/07 137.42 20583170.0 139.25 140.87 136.6566
2018/12/06 139.63 27625310.0 133.82 139.7 133.67
2018/12/04 137.93 30227750.0 140.73 143.39 137.16
2018/12/03 141.09 24697080.0 143.0 143.6799 140.76
2018/11/30 140.61 25716150.0 138.26 140.966 137.36
2018/11/29 138.68 23935390.0 135.92 139.99 135.66
2018/11/28 136.76 28701670.0 136.28 136.7899 131.85
2018/11/27 135.0 20477390.0 135.75 136.6126 133.71
2018/11/26 136.38 23459920.0 133.0 137.0 132.78
2018/11/23 131.73 11886130.0 133.65 134.5 131.2551
2018/11/21 134.82 25365750.0 134.4 137.19 134.13
2018/11/20 132.43 41888940.0 127.03 134.1592 126.85
2018/11/19 131.55 44051860.0 137.61 137.75 131.21
2018/11/16 139.53 37139590.0 141.07 141.77 137.77
2018/11/15 143.85 29803280.0 142.33 144.84 140.83
2018/11/14 144.22 22019830.0 143.7 145.58 141.55
2018/11/13 142.16 15062230.0 142.0 144.88 141.62
2018/11/12 141.55 18387680.0 144.48 145.04 140.4899
2018/11/09 144.96 17305480.0 146.75 147.76 144.07
2018/11/08 147.87 24061590.0 150.49 150.94 146.74
2018/11/07 151.53 21740210.0 151.57 153.01 149.83
2018/11/06 149.94 16302120.0 149.31 150.97 148.0
2018/11/05 148.68 15894150.0 150.1 150.19 147.44
2018/11/02 150.35 24479290.0 151.8 154.13 148.96
2018/11/01 151.75 25435380.0 151.52 152.75 149.35
2018/10/31 151.79 59983970.0 155.0 156.4 148.96
2018/10/30 146.22 45351650.0 139.935 146.64 139.7419
2018/10/29 142.09 31270990.0 148.5 148.83 139.03
2018/10/26 145.37 31235150.0 145.82 149.0 143.8
2018/10/25 150.95 22000170.0 147.73 152.21 147.0
2018/10/24 146.04 27574300.0 154.28 154.65 145.6
2018/10/23 154.39 19066360.0 151.22 154.77 150.85
2018/10/22 154.78 15381630.0 154.76 157.34 154.46
2018/10/19 154.05 19636460.0 155.86 157.35 153.55
2018/10/18 154.92 21123820.0 158.51 158.66 153.28
2018/10/17 159.42 17307030.0 159.56 160.49 157.95
2018/10/16 158.78 18711620.0 155.4 159.46 155.01
2018/10/15 153.52 15194060.0 153.32 155.57 152.55
2018/10/12 153.74 25209770.0 156.73 156.89 151.2998
2018/10/11 153.35 35225150.0 150.13 154.81 149.16
2018/10/10 151.38 30143210.0 156.82 157.69 151.31
2018/10/09 157.9 18494270.0 157.69 160.59 157.42
2018/10/08 157.25 23825100.0 155.54 158.34 154.39
2018/10/05 157.33 25727470.0 159.21 160.9 156.2
2018/10/04 158.85 25707300.0 161.46 161.46 157.35
2018/10/03 162.43 23086120.0 160.0 163.66 159.53
2018/10/02 159.33 35303190.0 161.58 162.28 158.67
2018/10/01 162.44 26260420.0 163.03 165.88 161.26
2018/09/28 164.46 33786480.0 168.33 168.79 162.56
2018/09/27 168.84 27192570.0 167.55 171.77 167.21
2018/09/26 166.95 24271500.0 164.3 169.3 164.21
2018/09/25 164.91 27430470.0 161.99 165.59 161.15
2018/09/24 165.41 18907320.0 161.03 165.7 160.88
2018/09/21 162.93 45847680.0 166.64 167.25 162.81
2018/09/20 166.02 18812060.0 164.5 166.45 164.4722
2018/09/19 163.06 19568020.0 160.08 163.44 159.48
2018/09/18 160.3 22331470.0 159.39 161.7639 158.8656
2018/09/17 160.58 20951950.0 161.92 162.06 159.77
2018/09/14 162.32 21682850.0 161.715 162.84 160.34
