"date","close","volume","open","high","low"
"12:32","168.95","359,510","169.55","169.83","167.61"
"2019/04/09","169.1700","1035876.0000","171.1700","171.5650","169.0600"
"2019/04/08","172.3000","1159503.0000","170.5200","172.5300","170.0950"
"2019/04/05","171.1200","1240360.0000","169.2600","171.1300","168.5900"
"2019/04/04","169.1700","1062064.0000","168.0000","170.3700","167.8200"
"2019/04/03","167.7500","1483994.0000","170.6000","170.6000","166.7500"
"2019/04/02","169.9400","1365380.0000","171.9200","172.2030","169.5200"
"2019/04/01","172.3100","1027028.0000","170.2500","172.7700","170.0400"
"2019/03/29","169.2800","1333670.0000","168.8700","169.4250","168.5025"
"2019/03/28","167.7600","859052.0000","167.1900","168.2000","166.0600"
"2019/03/27","166.5600","712075.0000","167.2900","168.5800","165.6500"
"2019/03/26","166.9000","905911.0000","167.9200","168.5000","165.9200"
"2019/03/25","166.6200","853973.0000","166.2800","167.2100","165.4300"
"2019/03/22","165.8500","802801.0000","169.4000","169.5400","165.7100"
"2019/03/21","169.8300","702391.0000","168.3500","170.3620","168.1800"
"2019/03/20","168.4900","871286.0000","170.6900","170.9700","168.3600"
"2019/03/19","170.7200","1295554.0000","172.5000","173.4809","170.3634"
"2019/03/18","171.6700","1718762.0000","169.7700","171.9900","169.6700"
"2019/03/15","169.7900","3972069.0000","169.6400","170.9600","168.6570"
"2019/03/14","169.5900","1261296.0000","171.3700","171.7100","169.5300"
"2019/03/13","171.7200","1240015.0000","169.4300","173.1000","169.0300"
"2019/03/12","168.7700","1452310.0000","169.5600","170.5300","168.5000"
"2019/03/11","169.5100","1443691.0000","165.1200","169.8600","164.6800"
"2019/03/08","166.1400","1324098.0000","165.1800","166.3200","164.1200"
"2019/03/07","166.3400","1218271.0000","166.1800","166.5350","163.9317"
"2019/03/06","166.4700","1080720.0000","167.8800","168.8316","166.3900"
"2019/03/05","168.0300","1804168.0000","166.7500","168.3800","166.7500"
"2019/03/04","166.7500","1703775.0000","170.4000","170.4000","166.4600"
"2019/03/01","169.2800","1108019.0000","171.0000","171.0300","168.5700"
"2019/02/28","170.2200","1739628.0000","169.2000","170.9800","168.8900"
"2019/02/27","169.3400","1514829.0000","169.4000","169.9900","168.2271"
"2019/02/26","170.0000","1423977.0000","172.8100","173.0400","169.9000"
"2019/02/25","173.1400","951883.0000","174.0400","174.3600","172.9800"
"2019/02/22","172.5400","1388407.0000","172.1700","172.7200","171.6300"
"2019/02/21","171.6300","979824.0000","174.1800","174.3130","170.8900"
"2019/02/20","174.4500","1038482.0000","174.8800","175.3088","173.4500"
"2019/02/19","174.7800","902419.0000","175.0000","175.4700","173.7200"
"2019/02/15","175.2400","1222893.0000","172.5400","175.4000","171.6900"
"2019/02/14","172.1000","843005.0000","173.0200","173.0800","171.4900"
"2019/02/13","173.4800","1053570.0000","173.4400","174.3800","173.0100"
"2019/02/12","172.7600","1302057.0000","171.6300","173.1900","171.3800"
"2019/02/11","170.9300","1159739.0000","172.4700","172.9000","170.6800"
"2019/02/08","172.1200","2255589.0000","172.8600","173.2650","171.3000"
"2019/02/07","173.5900","1535952.0000","172.1200","173.6400","170.4500"
"2019/02/06","172.7600","1180302.0000","171.9800","174.5299","171.9800"
"2019/02/05","172.2200","1583288.0000","174.6100","174.9500","171.9900"
"2019/02/04","174.6100","1661790.0000","169.3800","174.6100","169.2200"
"2019/02/01","169.0300","1716651.0000","171.3800","172.0000","168.2500"
"2019/01/31","171.1700","2162575.0000","169.1800","173.3000","169.0800"
"2019/01/30","170.9100","4072798.0000","169.8400","171.3500","165.0200"
"2019/01/29","176.0000","1573679.0000","172.7300","176.1600","172.7300"
"2019/01/28","172.1900","1284965.0000","169.6800","172.2600","169.2200"
"2019/01/25","171.2200","1192090.0000","172.6500","172.9000","170.8000"
"2019/01/24","170.8200","1329668.0000","169.1900","172.5000","169.1900"
"2019/01/23","168.8100","1199752.0000","168.4800","169.9100","166.1400"
"2019/01/22","167.2200","1298010.0000","167.6500","168.7900","165.5648"
"2019/01/18","168.5800","1665841.0000","167.0000","170.1300","166.2400"
"2019/01/17","165.7200","976433.0000","162.0000","166.8300","161.7500"
"2019/01/16","163.6000","1085727.0000","162.7900","164.6800","162.6900"
"2019/01/15","163.1400","1906833.0000","164.8500","165.3900","162.3900"
"2019/01/14","164.5300","1364120.0000","162.3000","164.9400","162.2400"
"2019/01/11","163.8100","1239173.0000","161.2800","163.8500","160.9000"
"2019/01/10","162.4300","1130895.0000","160.2700","162.5500","159.3700"
"2019/01/09","160.9000","1483825.0000","159.2600","161.5100","159.1600"
"2019/01/08","158.6600","1346301.0000","159.2900","159.9200","156.7500"
"2019/01/07","158.6500","993098.0000","157.6300","159.6700","155.9300"
"2019/01/04","157.7700","1834362.0000","155.3500","157.8300","154.1200"
"2019/01/03","153.3700","1444200.0000","156.0000","156.7300","152.4400"
"2019/01/02","157.2600","1261403.0000","155.3200","157.4643","153.8200"
"2018/12/31","157.2100","1223231.0000","156.4100","157.2100","155.3895"
"2018/12/28","155.3200","1455723.0000","155.9900","157.3600","154.2700"
"2018/12/27","155.1200","1715965.0000","150.3500","155.1700","148.6300"
"2018/12/26","152.1700","2179172.0000","147.9500","152.2600","143.8700"
"2018/12/24","148.2100","1572169.0000","148.7600","149.6800","145.3400"
"2018/12/21","150.4900","4348252.0000","151.6500","154.9900","149.7700"
"2018/12/20","154.6100","2490856.0000","158.0200","159.1200","153.0100"
"2018/12/19","158.9900","2088729.0000","161.8000","163.7800","157.1648"
"2018/12/18","162.8100","1680243.0000","164.7100","166.5000","161.8249"
"2018/12/17","163.4500","2414223.0000","168.5900","168.8350","162.4700"
"2018/12/14","168.9700","1898213.0000","169.2900","171.4100","168.5400"
"2018/12/13","171.0100","2760726.0000","172.1600","173.1850","170.5000"
"2018/12/12","171.2200","3235232.0000","174.5400","175.3600","171.0000"
"2018/12/11","172.2700","2387934.0000","174.5600","177.6800","170.8800"
"2018/12/10","172.2000","2249902.0000","169.1900","173.6000","168.5450"
"2018/12/07","167.3800","1778694.0000","170.5400","173.5300","166.7100"
"2018/12/06","171.0200","2469138.0000","170.8900","171.9200","165.3000"
"2018/12/04","173.1800","1757154.0000","180.4100","180.8519","172.9700"
"2018/12/03","181.5700","1389274.0000","187.0600","187.4700","180.7900"
"2018/11/30","184.8900","1645815.0000","182.3500","185.0400","182.3500"
"2018/11/29","182.1700","1823136.0000","181.6600","183.2400","180.8400"
"2018/11/28","182.0300","1579825.0000","179.3400","183.7052","179.0400"
"2018/11/27","178.6400","1524829.0000","178.5500","179.4700","176.5000"
"2018/11/26","179.6900","1366515.0000","179.5200","180.5900","177.4500"
"2018/11/23","178.2600","447167.0000","175.9800","179.4600","175.2900"
"2018/11/21","176.7500","1092768.0000","177.0000","178.6300","176.2600"
"2018/11/20","175.9200","1546815.0000","176.5400","177.4900","175.1600"
"2018/11/19","179.3800","983987.0000","183.1600","183.1600","178.4900"
"2018/11/16","183.0600","1583180.0000","181.3400","184.9050","180.8800"
"2018/11/15","182.3400","1204759.0000","178.0000","182.5399","177.5000"
"2018/11/14","179.8400","1789875.0000","181.4400","182.4700","178.9400"
"2018/11/13","180.0800","1298412.0000","181.7600","183.9300","179.4500"
"2018/11/12","181.0100","1146792.0000","184.9600","185.5200","180.5900"
"2018/11/09","184.5000","1245220.0000","183.3600","185.1500","183.0000"
"2018/11/08","184.5600","1313037.0000","185.0200","185.8100","184.0300"
"2018/11/07","185.0300","1879173.0000","184.8200","185.3300","182.1400"
"2018/11/06","182.2000","1637032.0000","177.6800","182.8400","177.6800"
"2018/11/05","177.9700","2455793.0000","177.5400","179.8900","176.8800"
"2018/11/02","176.9800","3479247.0000","178.9700","181.8200","176.4400"
"2018/11/01","178.4000","1837998.0000","173.2700","179.3300","173.1900"
"2018/10/31","172.5800","2214967.0000","173.5100","175.6200","172.2400"
"2018/10/30","171.8900","2405788.0000","167.3800","172.6200","166.4400"
"2018/10/29","167.0400","2577033.0000","170.7200","172.5200","164.7600"
"2018/10/26","169.8600","2877197.0000","168.7100","171.8800","167.2700"
"2018/10/25","170.6000","3254593.0000","172.9800","173.7700","169.3200"
"2018/10/24","173.2400","4886300.0000","184.8400","186.0000","172.8600"
"2018/10/23","187.7500","1914379.0000","187.6200","190.0800","186.7500"
"2018/10/22","190.1400","1138173.0000","190.9100","191.7600","189.0000"
"2018/10/19","190.2600","942810.0000","191.4400","192.3300","190.2300"
"2018/10/18","191.2200","1070502.0000","192.2900","193.6750","190.0000"
"2018/10/17","193.8400","1014936.0000","195.4300","196.0400","193.4100"
"2018/10/16","194.7100","1081877.0000","193.2900","195.1900","191.7700"
"2018/10/15","192.6300","1039293.0000","192.0600","194.4000","191.9200"
"2018/10/12","191.8500","1307433.0000","195.6400","195.6454","189.4200"
"2018/10/11","192.9400","2062921.0000","197.7700","198.1600","192.6600"
"2018/10/10","197.8200","1645917.0000","204.1600","204.1600","197.7200"
"2018/10/09","204.1600","931888.0000","206.5400","207.0000","204.0100"
"2018/10/08","207.1600","1528948.0000","206.0300","207.4700","205.3300"
"2018/10/05","206.3200","1923303.0000","206.0900","207.7200","205.5112"
"2018/10/04","205.9100","970363.0000","204.3000","206.1800","203.8100"
"2018/10/03","205.7200","1095971.0000","205.7100","206.6335","204.6700"
"2018/10/02","204.9800","797261.0000","205.7700","205.9400","204.0600"
"2018/10/01","205.5000","830613.0000","206.0000","206.1900","204.5600"
"2018/09/28","204.7200","1569650.0000","201.9800","204.9900","201.1100"
"2018/09/27","202.0800","947299.0000","202.2700","202.5300","201.0900"
"2018/09/26","201.8600","1223308.0000","203.5000","203.9700","201.4900"
"2018/09/25","203.4800","869906.0000","202.6800","203.8650","201.7300"
"2018/09/24","202.8300","1131189.0000","204.3000","204.6100","202.2800"
"2018/09/21","204.6600","2462278.0000","204.0900","206.1500","203.7600"
"2018/09/20","202.8600","1347655.0000","204.5000","205.1700","200.4500"
"2018/09/19","204.0100","1363916.0000","204.7900","206.3800","203.4300"
"2018/09/18","204.6100","1050855.0000","202.8000","204.9500","202.4300"
"2018/09/17","202.4300","1072419.0000","200.6300","202.8800","200.3382"
"2018/09/14","200.5100","990126.0000","198.6300","200.6300","198.3400"
"2018/09/13","198.5700","945101.0000","197.1300","198.8100","196.9200"
"2018/09/12","196.2000","882594.0000","195.5700","197.0100","195.5035"
"2018/09/11","196.0600","960738.0000","194.7300","196.6000","194.7000"
"2018/09/10","195.6900","1083615.0000","195.1900","196.9000","195.0400"
"2018/09/07","194.7100","998092.0000","194.7700","195.4200","193.7458"
"2018/09/06","195.2400","738434.0000","194.4000","195.9400","194.1982"
"2018/09/05","193.9800","1162459.0000","191.8500","194.3500","191.6400"
"2018/09/04","192.6100","741076.0000","192.4800","193.3800","191.3970"
"2018/08/31","193.4000","1028478.0000","191.5900","193.6000","191.3500"
"2018/08/30","192.5100","1009702.0000","194.4100","196.1495","192.0500"
"2018/08/29","194.7100","976785.0000","195.4300","195.9500","193.7100"
"2018/08/28","195.6200","1015074.0000","196.2000","196.4000","194.9300"
"2018/08/27","195.2900","867894.0000","193.0000","195.7700","193.0000"
"2018/08/24","192.5900","612580.0000","192.0000","192.6510","191.3700"
"2018/08/23","191.5900","855541.0000","192.3800","192.9900","191.4000"
"2018/08/22","192.4800","806720.0000","194.3900","194.9100","192.2700"
"2018/08/21","194.9600","960111.0000","194.6500","195.6185","193.8300"
"2018/08/20","194.9200","936040.0000","194.2500","195.5700","193.8600"
"2018/08/17","193.6800","806396.0000","192.8000","194.0300","192.2250"
"2018/08/16","192.4400","971314.0000","192.6300","194.0600","191.9800"
"2018/08/15","192.3100","1121021.0000","192.8300","193.4700","190.7700"
"2018/08/14","193.6300","779074.0000","192.0000","194.1700","191.7500"
"2018/08/13","191.8400","813117.0000","191.9300","192.7800","190.4800"
"2018/08/10","191.8100","954073.0000","192.3800","192.7700","190.6600"
"2018/08/09","192.5700","861499.0000","194.9800","195.2999","192.4000"
"2018/08/08","195.1300","1051217.0000","196.2700","196.4400","194.0200"
"2018/08/07","196.2800","1208447.0000","194.9700","196.4100","194.2200"
"2018/08/06","193.5200","2042784.0000","193.6800","193.7700","192.1200"
"2018/08/03","194.0900","2613355.0000","194.0400","194.5400","191.8500"
"2018/08/02","194.9400","2200985.0000","194.1800","196.8250","193.2700"
"2018/08/01","196.0100","1464487.0000","199.3900","199.8900","195.5600"
"2018/07/31","199.7600","2239269.0000","198.5500","200.3500","197.6000"
"2018/07/30","196.2600","1064315.0000","198.6500","200.2100","195.9800"
