"date" "close" "volume" "open" "high" "low"
"2018/12/31" "1044.9600" "1654209.0000" "1057.8300" "1062.9900" "1033.0387"
"2018/12/28" "1046.6800" "1718018.0000" "1059.5000" "1064.2300" "1042.0000"
"2018/12/27" "1052.9000" "2265984.0000" "1026.2000" "1053.3400" "1007.0000"
"2018/12/26" "1047.8500" "2306710.0000" "997.9900" "1048.4500" "992.6450"
"2018/12/24" "984.6700" "1817955.0000" "984.3200" "1012.1195" "977.6599"
"2018/12/21" "991.2500" "5225681.0000" "1032.0400" "1037.6700" "981.1900"
"2018/12/20" "1023.5800" "2654268.0000" "1026.0000" "1047.4400" "1007.8648"
"2018/12/19" "1035.4600" "2908506.0000" "1047.2900" "1075.7100" "1019.4300"
"2018/12/18" "1043.4100" "2179044.0000" "1034.0000" "1059.6900" "1030.4800"
"2018/12/17" "1025.6500" "2477016.0000" "1047.0100" "1062.3800" "1016.6300"
"2018/12/14" "1051.7100" "1817086.0000" "1060.0200" "1071.7200" "1049.3700"
"2018/12/13" "1073.5400" "1249235.0000" "1075.6700" "1088.4200" "1064.9940"
"2018/12/12" "1073.7300" "1447393.0000" "1077.0800" "1091.7325" "1071.9700"
"2018/12/11" "1061.6500" "1691864.0000" "1066.9400" "1070.4000" "1050.1000"
"2018/12/10" "1053.1800" "1681872.0000" "1042.9400" "1059.6000" "1033.0000"
"2018/12/07" "1046.5800" "2127531.0000" "1072.2300" "1085.0300" "1039.3700"
"2018/12/06" "1078.0800" "2364581.0000" "1045.0000" "1079.4200" "1042.4800"
"2018/12/04" "1062.4700" "2271452.0000" "1112.9900" "1114.2400" "1060.7750"
"2018/12/03" "1116.3600" "2871472.0000" "1132.1600" "1135.0000" "1111.7300"
"2018/11/30" "1109.6500" "2978017.0000" "1095.6300" "1109.6500" "1083.1800"
"2018/11/29" "1094.5800" "1548754.0000" "1083.5300" "1100.1500" "1082.0000"
"2018/11/28" "1091.7900" "2297670.0000" "1057.4600" "1092.8575" "1042.9500"
"2018/11/27" "1052.2800" "1642116.0000" "1051.3400" "1066.7600" "1045.5000"
"2018/11/26" "1055.9400" "1574870.0000" "1044.0000" "1057.0000" "1039.7700"
"2018/11/23" "1030.1000" "708859.0000" "1033.5000" "1043.0000" "1028.5200"
"2018/11/21" "1043.4300" "1483772.0000" "1045.3100" "1054.7050" "1039.4550"
"2018/11/20" "1030.4500" "2722040.0000" "1007.2900" "1037.3500" "1002.2100"
"2018/11/19" "1027.4200" "2278839.0000" "1063.3900" "1068.0000" "1022.8692"
"2018/11/16" "1068.2700" "1762765.0000" "1065.2300" "1072.4400" "1054.9000"
"2018/11/15" "1071.0500" "2075606.0000" "1051.4600" "1078.8700" "1041.2925"
"2018/11/14" "1054.5800" "1730473.0000" "1060.0000" "1065.7900" "1041.1100"
"2018/11/13" "1047.9700" "1285845.0000" "1054.8100" "1066.6650" "1040.4000"
"2018/11/12" "1049.3600" "1690483.0000" "1073.1300" "1074.1000" "1040.3500"
"2018/11/09" "1077.0200" "1742807.0000" "1084.0200" "1088.3500" "1064.2600"
"2018/11/08" "1094.6300" "1684536.0000" "1107.3000" "1108.2200" "1084.3600"
"2018/11/07" "1108.2400" "2167553.0000" "1083.4900" "1109.9299" "1080.5900"
"2018/11/06" "1069.5700" "1396959.0000" "1055.0200" "1079.8200" "1053.6100"
"2018/11/05" "1055.7300" "2266980.0000" "1072.5300" "1073.3500" "1034.0000"
"2018/11/02" "1071.4900" "2166719.0000" "1089.0000" "1098.0000" "1067.6600"
"2018/11/01" "1085.9800" "1997706.0000" "1091.4000" "1099.9000" "1077.8200"
"2018/10/31" "1090.5800" "3543656.0000" "1068.2000" "1108.0000" "1068.2000"
"2018/10/30" "1049.5100" "2976821.0000" "1020.0100" "1050.9000" "1013.9700"
"2018/10/29" "1034.7300" "4058794.0000" "1096.5400" "1108.8300" "1007.2000"
"2018/10/26" "1083.7500" "5319801.0000" "1048.3300" "1117.0000" "1042.2300"
"2018/10/25" "1103.5900" "3609546.0000" "1080.3000" "1117.8200" "1075.5450"
"2018/10/24" "1057.1200" "2445306.0000" "1115.0000" "1116.6200" "1055.0600"
"2018/10/23" "1114.9100" "1883300.0000" "1091.2900" "1118.0000" "1079.0100"
"2018/10/22" "1111.3700" "1354126.0000" "1112.5100" "1121.6900" "1100.0000"
"2018/10/19" "1105.1800" "2062281.0000" "1103.7100" "1120.9500" "1097.0300"
"2018/10/18" "1097.9100" "2304930.0000" "1130.0000" "1132.3500" "1086.3400"
"2018/10/17" "1127.5900" "1780906.0000" "1140.0000" "1147.0000" "1114.0000"
"2018/10/16" "1133.0800" "1916401.0000" "1113.4800" "1136.3700" "1111.7500"
"2018/10/15" "1102.4400" "1496836.0000" "1118.0000" "1121.7950" "1098.2200"
"2018/10/12" "1120.5400" "2465227.0000" "1119.6400" "1125.8299" "1095.0250"
"2018/10/11" "1090.7400" "3380129.0000" "1079.0400" "1116.0550" "1075.8900"
"2018/10/10" "1092.1600" "2922345.0000" "1136.4000" "1137.0200" "1091.5100"
"2018/10/09" "1145.1700" "1684297.0000" "1151.3100" "1161.5500" "1144.1700"
"2018/10/08" "1155.9200" "2302699.0000" "1160.0000" "1175.8600" "1135.4000"
"2018/10/05" "1167.8300" "1592399.0000" "1176.0000" "1182.0000" "1154.3200"
"2018/10/04" "1177.0700" "2327056.0000" "1205.0300" "1205.9000" "1163.8450"
"2018/10/03" "1211.5300" "1311457.0000" "1212.0000" "1214.1800" "1202.1500"
"2018/10/02" "1207.6400" "1993308.0000" "1206.6700" "1224.5200" "1199.6600"
"2018/10/01" "1208.5300" "1639347.0000" "1213.0000" "1224.2000" "1203.1900"
"2018/09/28" "1207.0800" "1755681.0000" "1204.0900" "1208.4500" "1197.8300"
"2018/09/27" "1207.3600" "1812840.0000" "1200.0000" "1216.8600" "1198.0500"
"2018/09/26" "1194.0600" "1874062.0000" "1193.6900" "1207.2400" "1185.3969"
"2018/09/25" "1193.8900" "1657441.0000" "1184.2500" "1196.8599" "1174.0900"
"2018/09/24" "1179.5600" "1555399.0000" "1159.4100" "1185.1900" "1151.5000"
"2018/09/21" "1172.1200" "4447045.0000" "1194.9200" "1196.5800" "1172.0600"
"2018/09/20" "1191.5700" "1459397.0000" "1180.6700" "1194.0000" "1176.2500"
"2018/09/19" "1174.2700" "1296664.0000" "1168.9600" "1176.2700" "1158.6152"
"2018/09/18" "1167.1100" "1582917.0000" "1162.6600" "1181.3300" "1161.4250"
"2018/09/17" "1159.8300" "1702702.0000" "1177.7700" "1181.8200" "1158.4550"
"2018/09/14" "1177.9800" "1199146.0000" "1188.0000" "1188.0000" "1173.5200"
"2018/09/13" "1182.1400" "1997315.0000" "1179.7000" "1187.8600" "1169.2200"
"2018/09/12" "1171.6000" "1766951.0000" "1182.0000" "1190.6940" "1166.1600"
"2018/09/11" "1189.9900" "1461447.0000" "1171.1000" "1190.9400" "1165.9500"
"2018/09/10" "1175.0600" "1350356.0000" "1184.2000" "1186.6600" "1170.6100"
"2018/09/07" "1177.5900" "1632359.0000" "1172.0000" "1188.5450" "1169.2700"
"2018/09/06" "1183.9900" "2327317.0000" "1198.5700" "1198.9865" "1163.6100"
"2018/09/05" "1199.1000" "2694064.0000" "1209.2200" "1214.8700" "1175.3400"
"2018/09/04" "1211.3100" "2035568.0000" "1222.5200" "1227.8700" "1206.5600"
"2018/08/31" "1231.8000" "2113276.0000" "1252.2100" "1252.5450" "1225.7547"
"2018/08/30" "1254.4400" "1502651.0000" "1263.4000" "1269.4900" "1247.2100"
"2018/08/29" "1264.6500" "1843277.0000" "1255.0000" "1267.1700" "1252.8000"
"2018/08/28" "1245.8600" "1364387.0000" "1255.9000" "1256.5600" "1242.9700"
"2018/08/27" "1256.2700" "1427768.0000" "1244.1400" "1257.8700" "1240.6800"
"2018/08/24" "1236.7500" "1221489.0000" "1226.0000" "1237.4000" "1221.4200"
"2018/08/23" "1221.1600" "1228148.0000" "1219.8800" "1235.1700" "1219.3488"
"2018/08/22" "1221.7500" "1112962.0000" "1214.2200" "1226.5300" "1213.2200"
"2018/08/21" "1217.4100" "1125388.0000" "1223.0200" "1232.7600" "1215.0300"
"2018/08/20" "1221.9500" "1104468.0000" "1220.6600" "1225.9100" "1208.7000"
"2018/08/17" "1215.8500" "1651969.0000" "1222.0400" "1226.9547" "1204.0000"
"2018/08/16" "1224.0600" "1606960.0000" "1241.9900" "1243.6974" "1219.6300"
"2018/08/15" "1232.2200" "1850944.0000" "1244.2800" "1251.9800" "1226.2450"
"2018/08/14" "1258.1400" "1402462.0000" "1252.5000" "1260.5900" "1239.5400"
"2018/08/13" "1248.6400" "1374810.0000" "1251.2000" "1265.9700" "1247.0300"
"2018/08/10" "1252.5100" "1328940.0000" "1259.1800" "1261.2000" "1247.1635"
"2018/08/09" "1264.4600" "1363964.0000" "1262.7300" "1271.9648" "1260.1011"
"2018/08/08" "1261.3300" "1716392.0000" "1256.7200" "1271.7200" "1252.1200"
"2018/08/07" "1255.8400" "2122109.0000" "1252.0100" "1266.0800" "1251.8000"
"2018/08/06" "1237.6700" "1104740.0000" "1241.6100" "1242.4616" "1230.5300"
"2018/08/03" "1238.1600" "1061495.0000" "1245.1800" "1246.5200" "1229.4200"
"2018/08/02" "1241.1300" "1732926.0000" "1218.5000" "1244.4100" "1218.0600"
"2018/08/01" "1232.9900" "1848638.0000" "1239.1100" "1245.9003" "1224.9400"
"2018/07/31" "1227.2200" "1959391.0000" "1231.7100" "1241.2100" "1216.1900"
"2018/07/30" "1230.0400" "2190131.0000" "1245.0500" "1252.8900" "1224.1700"
"2018/07/27" "1252.8900" "2415829.0000" "1289.1200" "1291.4400" "1244.4950"
"2018/07/26" "1285.5000" "2728721.0000" "1267.1800" "1287.4000" "1263.0000"
"2018/07/25" "1275.9400" "2514739.0000" "1252.6200" "1278.2400" "1249.0500"
"2018/07/24" "1258.1500" "5377827.0000" "1271.0000" "1275.0000" "1244.1400"
"2018/07/23" "1211.0000" "3229832.0000" "1195.6600" "1215.1000" "1192.0100"
"2018/07/20" "1197.8800" "1895052.0000" "1199.2400" "1210.7650" "1196.5900"
"2018/07/19" "1199.1000" "1898533.0000" "1206.6500" "1216.4800" "1197.7344"
"2018/07/18" "1212.9100" "1943881.0000" "1208.5300" "1221.5900" "1204.5600"
"2018/07/17" "1213.0800" "2003793.0000" "1182.7400" "1218.7600" "1182.0000"
"2018/07/16" "1196.5100" "1331187.0000" "1203.8100" "1208.7100" "1193.4011"
"2018/07/13" "1204.4200" "1630345.0000" "1202.8000" "1210.4400" "1195.2900"
"2018/07/12" "1201.2600" "2203976.0000" "1174.8600" "1201.9860" "1173.1000"
"2018/07/11" "1171.4600" "1660757.0000" "1155.6200" "1180.4400" "1155.3745"
"2018/07/10" "1167.1400" "1058531.0000" "1169.9900" "1173.5000" "1162.5600"
"2018/07/09" "1167.2800" "1076709.0000" "1160.0000" "1167.9300" "1157.2345"
"2018/07/06" "1155.0800" "1090371.0000" "1141.7700" "1156.2000" "1137.2400"
