"date" "close" "volume" "open" "high" "low"
"2018/12/31" "126.5200" "396936.0000" "126.4400" "126.6800" "124.8900"
"2018/12/28" "125.2800" "406247.0000" "126.9700" "127.2170" "124.0000"
"2018/12/27" "126.2700" "417952.0000" "123.7900" "126.3900" "122.1800"
"2018/12/26" "125.3600" "371909.0000" "122.0100" "125.4200" "120.2000"
"2018/12/24" "121.0700" "326360.0000" "123.0900" "123.7400" "121.0000"
"2018/12/21" "123.5500" "1062685.0000" "126.2000" "128.4600" "123.1400"
"2018/12/20" "126.0100" "757831.0000" "127.0000" "127.7600" "124.2900"
"2018/12/19" "127.2100" "583066.0000" "128.7200" "131.0450" "125.9500"
"2018/12/18" "128.4000" "425680.0000" "129.2400" "130.6400" "127.5700"
"2018/12/17" "128.7500" "458007.0000" "130.8300" "131.5200" "128.1000"
"2018/12/14" "131.3700" "474546.0000" "133.0600" "133.7200" "131.1000"
"2018/12/13" "133.7200" "360362.0000" "135.3100" "135.3100" "132.9800"
"2018/12/12" "134.7400" "413129.0000" "136.2300" "137.1200" "134.6400"
"2018/12/11" "134.4600" "386982.0000" "136.3200" "137.9800" "133.6657"
"2018/12/10" "134.7700" "452442.0000" "133.8400" "136.0000" "132.4400"
"2018/12/07" "133.7500" "564473.0000" "135.2900" "137.1300" "132.7160"
"2018/12/06" "135.9500" "780026.0000" "135.2000" "136.0700" "133.7400"
"2018/12/04" "137.1600" "577370.0000" "140.7000" "141.5750" "136.8000"
"2018/12/03" "141.3000" "777645.0000" "141.5100" "142.0700" "139.0500"
"2018/11/30" "139.7000" "927507.0000" "138.1700" "139.8400" "138.0200"
"2018/11/29" "139.1300" "838765.0000" "140.3700" "140.7500" "138.0800"
"2018/11/28" "140.7500" "674767.0000" "136.8400" "140.7900" "136.5550"
"2018/11/27" "136.0200" "706542.0000" "136.3900" "137.2500" "135.0800"
"2018/11/26" "137.1100" "537385.0000" "137.0000" "137.6000" "136.0100"
"2018/11/23" "135.7600" "210484.0000" "135.6700" "136.6800" "135.2600"
"2018/11/21" "136.1900" "405514.0000" "135.3000" "137.3050" "134.8450"
"2018/11/20" "134.8100" "814782.0000" "134.0300" "135.7350" "132.7000"
"2018/11/19" "135.2700" "629574.0000" "138.6200" "138.6200" "134.7000"
"2018/11/16" "138.9300" "512462.0000" "138.0100" "139.4900" "136.3370"
"2018/11/15" "138.6500" "703472.0000" "135.5500" "138.6800" "134.6100"
"2018/11/14" "135.7000" "1096387.0000" "140.0000" "140.5000" "135.5300"
"2018/11/13" "138.7100" "1230683.0000" "142.3000" "143.1900" "137.9900"
"2018/11/12" "141.3100" "19334740.0000" "141.7500" "142.5900" "139.6900"
"2018/11/09" "141.5000" "1372216.0000" "142.3800" "142.8900" "140.4701"
"2018/11/08" "143.1000" "2003422.0000" "142.7000" "144.7000" "142.0100"
"2018/11/07" "146.6500" "833848.0000" "150.0000" "150.0000" "144.9900"
"2018/11/06" "150.7400" "417801.0000" "149.6800" "151.5100" "149.4900"
"2018/11/05" "149.7200" "354574.0000" "149.2200" "150.6700" "148.2270"
"2018/11/02" "149.2100" "490313.0000" "150.0000" "151.2100" "148.2700"
"2018/11/01" "149.6200" "511658.0000" "150.2800" "152.4074" "148.1500"
"2018/10/31" "149.8300" "740637.0000" "149.4900" "152.4100" "147.2800"
"2018/10/30" "147.8400" "628406.0000" "146.0700" "149.1500" "144.5638"
"2018/10/29" "146.0800" "717273.0000" "151.3000" "151.4400" "144.3100"
"2018/10/26" "148.9500" "500889.0000" "147.6900" "150.1400" "146.0000"
"2018/10/25" "150.4300" "596621.0000" "150.0300" "151.4300" "148.5750"
"2018/10/24" "148.8500" "739367.0000" "151.1100" "152.0500" "148.8500"
"2018/10/23" "151.8100" "417831.0000" "151.1500" "152.9200" "149.1900"
"2018/10/22" "153.9200" "317629.0000" "153.7900" "155.5300" "152.0700"
"2018/10/19" "152.9500" "326157.0000" "154.0500" "154.8800" "152.1200"
"2018/10/18" "152.9400" "305888.0000" "154.9500" "155.3200" "152.1100"
"2018/10/17" "154.8200" "464429.0000" "154.2800" "155.0827" "153.2600"
"2018/10/16" "154.2300" "260503.0000" "151.1700" "154.4300" "150.2700"
"2018/10/15" "149.7700" "394396.0000" "149.5700" "151.1900" "148.3150"
"2018/10/12" "150.0800" "451119.0000" "149.8200" "152.3500" "147.6900"
"2018/10/11" "147.3200" "658171.0000" "150.0000" "151.4900" "147.1500"
"2018/10/10" "150.0400" "593312.0000" "156.2700" "156.9500" "149.8100"
"2018/10/09" "156.5800" "436165.0000" "154.5600" "157.7800" "153.6948"
