date close volume open high low
2018/12/31 4.8900 252716.0000 5.0600 5.2400 4.8300
2018/12/28 5.0200 177153.0000 4.9300 5.0500 4.8200
2018/12/27 4.9100 252645.0000 4.5900 4.9200 4.5100
2018/12/26 4.6000 264592.0000 4.6300 4.8600 4.4350
2018/12/24 4.6000 173619.0000 4.0600 4.6900 4.0300
2018/12/21 4.2900 567561.0000 4.6000 4.6000 4.2100
2018/12/20 4.5900 243868.0000 4.6200 4.8400 4.5304
2018/12/19 4.7600 218626.0000 4.9700 5.1650 4.7050
2018/12/18 4.9700 215317.0000 5.0100 5.2200 4.9200
2018/12/17 5.0100 282508.0000 5.2300 5.3200 4.9600
2018/12/14 5.1500 213174.0000 5.4300 5.5000 5.1400
2018/12/13 5.5100 144927.0000 5.7400 5.9100 5.4500
2018/12/12 5.7200 126329.0000 5.8300 6.0000 5.6500
2018/12/11 5.7200 92493.0000 5.8500 5.8913 5.5600
2018/12/10 5.7600 132352.0000 5.6500 5.7700 5.4900
2018/12/07 5.6400 212900.0000 5.9500 6.1300 5.5800
2018/12/06 5.9700 183491.0000 6.0200 6.1500 5.8400
2018/12/04 6.0200 173501.0000 6.2800 6.4000 6.0000
2018/12/03 6.3000 126293.0000 6.3800 6.4000 6.1500
2018/11/30 6.3000 191802.0000 6.0900 6.3500 6.0900
2018/11/29 6.0900 166399.0000 6.3500 6.4800 6.0600
2018/11/28 6.3400 257261.0000 6.0200 6.4300 5.8200
2018/11/27 6.0500 167489.0000 6.1600 6.1600 6.0200
2018/11/26 6.2200 119866.0000 6.2300 6.4100 6.1300
2018/11/23 6.1800 87460.0000 6.3300 6.5300 6.1300
2018/11/21 6.4500 84279.0000 6.2000 6.5400 6.1300
2018/11/20 6.1000 210602.0000 6.1800 6.3600 6.0100
2018/11/19 6.2700 285439.0000 6.6000 6.6200 6.2100
2018/11/16 6.6200 120704.0000 6.5800 6.8200 6.3700
2018/11/15 6.6100 131664.0000 6.3600 6.6200 6.2000
2018/11/14 6.3400 296197.0000 6.6400 6.7400 6.1294
2018/11/13 6.5600 210828.0000 6.4700 6.8650 6.4700
2018/11/12 6.4700 461767.0000 7.1400 7.3800 6.3900
2018/11/09 7.2000 200214.0000 7.5500 7.5500 7.1100
2018/11/08 7.6500 148815.0000 7.2000 8.1100 7.2000
2018/11/07 7.6100 119281.0000 7.6000 7.7200 7.3600
2018/11/06 7.5000 363119.0000 7.4100 7.6800 7.2905
2018/11/05 7.4600 147628.0000 7.6600 7.7522 7.2200
2018/11/02 7.6000 251133.0000 7.7900 8.0696 7.4050
