date close volume open high low
2018/12/31 9.5300 454294.0000 9.3000 9.8200 9.0500
2018/12/28 9.2900 160759.0000 8.9600 9.3400 8.8700
2018/12/27 8.9800 136249.0000 8.7600 9.0300 8.4600
2018/12/26 8.8500 166718.0000 9.0300 9.0900 8.7700
2018/12/24 8.8000 132729.0000 8.3300 9.0200 8.2500
2018/12/21 8.3600 474535.0000 9.0800 9.2250 8.3300
2018/12/20 9.0900 229192.0000 9.1800 9.4100 9.0100
2018/12/19 9.1700 142399.0000 9.3400 9.5600 9.1500
2018/12/18 9.3000 234415.0000 9.6200 9.6200 9.2200
2018/12/17 9.6200 293968.0000 10.2400 10.2500 9.6000
2018/12/14 10.2500 116420.0000 10.2800 10.5000 10.1600
2018/12/13 10.3600 143801.0000 10.6400 10.6900 10.2400
2018/12/12 10.6600 144134.0000 10.6200 10.8800 10.5300
2018/12/11 10.5400 110890.0000 10.4700 10.5800 10.2700
2018/12/10 10.3500 163434.0000 10.4300 10.7300 10.3200
2018/12/07 10.4300 170064.0000 10.8100 11.0000 10.3500
2018/12/06 10.8200 188781.0000 10.8700 10.9800 10.6200
2018/12/04 11.1400 242796.0000 10.8700 11.2000 10.7524
2018/12/03 10.8500 408616.0000 10.9400 11.4800 10.8000
2018/11/30 10.8500 962833.0000 10.0000 11.2000 9.7300
2018/11/29 10.1000 1593705.0000 8.9600 10.3100 8.6000
2018/11/28 7.5300 1489148.0000 8.5500 8.6215 6.7800
2018/11/27 8.5600 319488.0000 8.9900 9.0300 8.4600
2018/11/26 9.0400 110923.0000 9.2300 9.3667 9.0000
2018/11/23 9.0500 100934.0000 9.0100 9.3100 8.9800
2018/11/21 9.0400 95198.0000 8.7300 9.1300 8.6500
2018/11/20 8.6600 248721.0000 8.9900 9.1100 8.6300
2018/11/19 9.0600 187937.0000 9.2400 9.2500 9.0400
2018/11/16 9.2400 203379.0000 9.4500 9.6100 9.1900
2018/11/15 9.5500 264222.0000 9.2000 9.6200 9.1600
2018/11/14 9.2500 158569.0000 10.0500 10.1400 9.2200
2018/11/13 10.0100 177999.0000 10.5400 10.5800 10.0000
2018/11/12 10.5000 116327.0000 10.4900 10.6000 10.3990
2018/11/09 10.5000 118718.0000 10.5000 10.5600 10.4000
2018/11/08 10.5400 87735.0000 10.4100 10.7900 10.4100
2018/11/07 10.5000 115207.0000 10.4000 10.5300 10.1050
2018/11/06 10.3400 133216.0000 10.2900 10.5400 9.7600
2018/11/05 10.3300 188398.0000 10.4900 10.5800 10.2900
2018/11/02 10.4900 119935.0000 10.3100 10.6166 10.3100
2018/11/01 10.2900 92801.0000 10.0900 10.3100 10.0200
2018/10/31 10.1100 147140.0000 10.3200 10.3200 9.9900
2018/10/30 10.2700 240815.0000 9.6700 10.2900 9.6700
2018/10/29 9.6600 163498.0000 9.5200 9.6600 9.4903
2018/10/26 9.4400 396284.0000 9.4800 9.6500 9.2800
2018/10/25 9.5900 233827.0000 9.3900 9.6800 9.3100
2018/10/24 9.3700 153334.0000 9.5800 9.7100 9.3200
2018/10/23 9.6200 176526.0000 9.3100 9.6400 9.1700
2018/10/22 9.4100 95435.0000 9.4000 9.4500 9.2700
2018/10/19 9.4100 149976.0000 9.5600 9.5600 9.3600
2018/10/18 9.5600 153794.0000 9.5800 9.6750 9.4400
2018/10/17 9.6200 111606.0000 9.5000 9.7300 9.5000
2018/10/16 9.5700 274859.0000 9.4400 9.6086 9.3700
2018/10/15 9.4000 210041.0000 9.4000 9.4500 9.3300
2018/10/12 9.4600 172891.0000 9.5100 9.5400 9.3700
2018/10/11 9.3700 147701.0000 9.3800 9.5769 9.3600
2018/10/10 9.3900 139335.0000 9.4400 9.4600 9.3200
2018/10/09 9.4500 176409.0000 9.5000 9.6800 9.4100
2018/10/08 9.5100 144128.0000 9.6700 9.8300 9.4100
2018/10/05 9.6900 288671.0000 9.9700 9.9800 9.6000
2018/10/04 9.9200 257496.0000 10.2000 10.2800 9.9200
2018/10/03 10.2500 300302.0000 10.0100 10.3700 9.9093
2018/10/02 9.9500 234360.0000 9.9800 10.0650 9.8801
2018/10/01 10.0100 297897.0000 10.1500 10.4300 9.9200
2018/09/28 10.0900 184434.0000 10.3400 10.4100 9.9550
2018/09/27 10.3700 280035.0000 10.3500 10.4699 10.1400
2018/09/26 10.3400 222712.0000 9.9000 10.4300 9.9000
2018/09/25 9.9000 419857.0000 9.4600 10.1100 9.4600
2018/09/24 9.3000 149927.0000 9.3200 9.4400 9.2400
2018/09/21 9.3600 663958.0000 9.3500 9.4500 9.0400
2018/09/20 9.3500 232040.0000 9.2300 9.3900 9.1600
2018/09/19 9.2400 219177.0000 9.2100 9.4200 9.1000
2018/09/18 9.1800 207679.0000 9.0700 9.2500 9.0400
2018/09/17 9.0200 392557.0000 9.5500 9.5537 8.9300
2018/09/14 9.5300 195138.0000 9.3600 9.6700 9.3300
2018/09/13 9.3500 185291.0000 9.6600 9.7200 9.3000
2018/09/12 9.6500 176323.0000 9.6600 9.8000 9.5100
2018/09/11 9.6500 208399.0000 9.6500 9.7127 9.4900
2018/09/10 9.5600 308778.0000 9.4200 9.7000 9.3700
2018/09/07 9.3500 346348.0000 9.0200 9.3700 9.0200
2018/09/06 9.0400 398195.0000 9.0700 9.1000 8.8500
2018/09/05 9.0400 395841.0000 9.0800 9.1700 8.9100
2018/09/04 9.0900 293768.0000 9.0400 9.2700 8.7500
2018/08/31 9.0900 695546.0000 9.5200 9.7500 9.0500
