"date" "close" "volume" "open" "high" "low"
"2018/12/31" "171.4800" "125509.0000" "169.7800" "171.7300" "168.8625"
"2018/12/28" "168.0300" "150714.0000" "168.9200" "174.7800" "164.5200"
"2018/12/27" "168.7800" "171940.0000" "162.4100" "168.8000" "160.8201"
"2018/12/26" "165.7300" "215064.0000" "155.9700" "166.7650" "155.5900"
"2018/12/24" "155.1500" "102122.0000" "158.4000" "161.2000" "155.1500"
"2018/12/21" "160.1000" "298795.0000" "164.5300" "166.8000" "159.8300"
"2018/12/20" "164.1100" "135998.0000" "163.2500" "167.1200" "162.0600"
"2018/12/19" "164.8800" "127940.0000" "165.6700" "172.1600" "164.2100"
"2018/12/18" "165.9900" "138489.0000" "169.4100" "171.2150" "164.8500"
"2018/12/17" "167.4400" "191284.0000" "168.3300" "172.3000" "165.3500"
"2018/12/14" "169.1400" "160450.0000" "172.1300" "174.4500" "168.8800"
"2018/12/13" "173.9100" "133517.0000" "174.7600" "176.9400" "170.1150"
"2018/12/12" "174.6900" "147627.0000" "173.2900" "176.6400" "169.3940"
"2018/12/11" "170.6200" "190806.0000" "174.8300" "178.2300" "170.4800"
"2018/12/10" "172.6700" "139348.0000" "171.8800" "173.9500" "169.3700"
"2018/12/07" "172.5800" "154250.0000" "177.1800" "179.0110" "171.2700"
"2018/12/06" "178.1500" "156632.0000" "179.8800" "180.1876" "175.5500"
"2018/12/04" "183.1300" "117337.0000" "194.4800" "194.4800" "183.1000"
"2018/12/03" "195.0800" "141567.0000" "194.4700" "195.3700" "190.7200"
"2018/11/30" "191.3500" "172730.0000" "187.8900" "192.5800" "186.9000"
"2018/11/29" "187.6400" "123196.0000" "184.6100" "189.0100" "184.2200"
"2018/11/28" "185.1700" "115102.0000" "178.5200" "185.4000" "176.7000"
"2018/11/27" "177.8500" "102684.0000" "180.7700" "180.7700" "177.4700"
"2018/11/26" "181.5700" "90129.0000" "182.5800" "183.7500" "180.1300"
"2018/11/23" "179.4700" "32146.0000" "177.4700" "182.8700" "177.4700"
"2018/11/21" "179.5800" "68328.0000" "179.2400" "182.7000" "178.1800"
"2018/11/20" "177.0000" "97497.0000" "175.0700" "178.7500" "175.0000"
"2018/11/19" "179.2500" "91556.0000" "185.0000" "185.5630" "178.2250"
"2018/11/16" "184.3500" "83392.0000" "182.5200" "186.3912" "181.9950"
"2018/11/15" "184.5200" "105514.0000" "179.8800" "185.3800" "179.8800"
"2018/11/14" "181.1700" "97846.0000" "181.5600" "185.4600" "180.8000"
"2018/11/13" "179.8900" "235345.0000" "182.5500" "185.8500" "178.5100"
"2018/11/12" "182.5500" "133045.0000" "185.3600" "185.5600" "179.6700"
"2018/11/09" "185.5000" "79542.0000" "188.3700" "189.2000" "183.0400"
"2018/11/08" "190.3600" "128139.0000" "190.2700" "193.9900" "189.6800"
"2018/11/07" "192.1500" "176943.0000" "185.3500" "192.3800" "182.8800"
"2018/11/06" "184.9100" "160590.0000" "186.1000" "187.5800" "182.0350"
"2018/11/05" "186.9500" "147432.0000" "192.0300" "194.9300" "185.7700"
"2018/11/02" "191.7500" "277976.0000" "187.4400" "193.5800" "186.3349"
"2018/11/01" "186.6400" "261049.0000" "181.6400" "187.6300" "179.4450"
"2018/10/31" "181.1600" "527130.0000" "185.8600" "189.5100" "173.4700"
"2018/10/30" "169.1100" "293554.0000" "165.2200" "169.6800" "164.1200"
"2018/10/29" "165.0800" "240722.0000" "170.5900" "173.4100" "163.4300"
"2018/10/26" "167.6000" "259648.0000" "167.8100" "171.3800" "165.5400"
"2018/10/25" "171.2200" "290793.0000" "168.9900" "172.6600" "168.6194"
"2018/10/24" "168.0800" "282710.0000" "174.5100" "175.0300" "167.3750"
"2018/10/23" "176.7200" "181343.0000" "174.1500" "177.9000" "172.6600"
"2018/10/22" "177.5600" "88880.0000" "176.3800" "179.8100" "175.3200"
"2018/10/19" "175.2700" "137601.0000" "177.9600" "178.6200" "174.8800"
"2018/10/18" "177.5100" "133134.0000" "181.2500" "184.5300" "176.9000"
"2018/10/17" "182.8500" "158974.0000" "181.9000" "186.0100" "181.2000"
"2018/10/16" "182.6400" "162628.0000" "179.3000" "183.0750" "175.4800"
"2018/10/15" "177.5300" "155070.0000" "176.0700" "178.9100" "174.7100"
"2018/10/12" "176.8600" "171308.0000" "176.9900" "178.4400" "175.0200"
"2018/10/11" "174.3400" "224422.0000" "175.7000" "178.8700" "174.2100"
"2018/10/10" "175.5500" "274493.0000" "181.4400" "181.4400" "175.1100"
"2018/10/09" "182.1500" "263153.0000" "180.5700" "184.2600" "180.0700"
"2018/10/08" "181.7900" "168166.0000" "183.1100" "186.3000" "180.7050"
"2018/10/05" "186.9800" "150025.0000" "192.1900" "196.6199" "185.9200"
"2018/10/04" "192.4600" "142056.0000" "194.9200" "195.7400" "191.7000"
"2018/10/03" "195.5800" "250292.0000" "194.0100" "196.8650" "193.2200"
"2018/10/02" "193.9000" "113809.0000" "194.9500" "196.3606" "193.0700"
"2018/10/01" "195.3300" "142333.0000" "198.2500" "198.7800" "195.1700"
