"date" "close" "volume" "open" "high" "low"
"2018/12/31" "34.1100" "78137.0000" "34.3000" "34.3100" "33.8200"
"2018/12/28" "34.0300" "49076.0000" "34.2000" "34.2997" "33.5400"
"2018/12/27" "33.9700" "138071.0000" "33.8800" "34.1900" "33.5300"
"2018/12/26" "33.0100" "52617.0000" "32.4200" "33.1400" "32.0600"
"2018/12/24" "32.4700" "39877.0000" "32.6400" "32.8800" "32.3300"
"2018/12/21" "33.0000" "90817.0000" "33.4200" "33.5400" "32.7700"
"2018/12/20" "33.2000" "86043.0000" "33.5500" "33.7450" "32.7300"
"2018/12/19" "32.8700" "90060.0000" "33.5500" "34.0500" "32.6300"
"2018/12/18" "32.2000" "58909.0000" "32.1300" "32.4700" "31.9700"
"2018/12/17" "31.7000" "45295.0000" "31.9700" "32.1050" "31.5200"
"2018/12/14" "31.7700" "31611.0000" "31.7300" "32.0200" "31.6900"
"2018/12/13" "32.2600" "28775.0000" "32.5100" "32.5100" "32.1300"
"2018/12/12" "32.3400" "73291.0000" "32.2700" "32.8200" "32.2700"
"2018/12/11" "32.6100" "104028.0000" "33.1500" "33.2300" "32.6100"
"2018/12/10" "32.1000" "121142.0000" "32.2700" "32.3300" "31.5750"
"2018/12/07" "33.4600" "79836.0000" "34.3600" "34.6000" "33.2400"
"2018/12/06" "33.0900" "87627.0000" "32.6000" "33.1300" "32.1500"
"2018/12/04" "33.4200" "90577.0000" "34.4200" "34.5700" "33.3900"
"2018/12/03" "34.8000" "81255.0000" "35.2300" "35.2300" "34.7100"
"2018/11/30" "35.2200" "128407.0000" "35.6000" "35.6386" "35.1100"
"2018/11/29" "35.6200" "115801.0000" "35.9200" "36.1500" "35.1800"
"2018/11/28" "35.3100" "103319.0000" "34.5900" "35.3300" "34.4200"
"2018/11/27" "34.0000" "259031.0000" "33.8600" "34.0200" "33.0600"
"2018/11/26" "30.8600" "138664.0000" "30.0700" "31.1800" "30.0700"
"2018/11/23" "28.5500" "17210.0000" "28.4000" "28.8100" "28.4000"
"2018/11/21" "27.9100" "65213.0000" "27.8600" "28.1600" "27.6700"
"2018/11/20" "27.7900" "83024.0000" "27.9000" "28.1600" "27.6600"
"2018/11/19" "28.4500" "43270.0000" "28.8400" "28.9023" "28.4000"
"2018/11/16" "28.5400" "69757.0000" "28.2700" "28.5400" "28.1000"
"2018/11/15" "28.7500" "57207.0000" "28.2400" "28.8000" "28.2400"
"2018/11/14" "28.4600" "107736.0000" "28.6900" "28.7900" "28.2700"
"2018/11/13" "28.8100" "77991.0000" "29.0000" "29.2600" "28.7100"
"2018/11/12" "29.0300" "72017.0000" "29.4600" "29.4600" "28.9000"
"2018/11/09" "29.4100" "56970.0000" "29.7000" "29.7000" "29.1300"
"2018/11/08" "30.1000" "96101.0000" "30.6300" "30.8300" "29.9700"
"2018/11/07" "31.7600" "54294.0000" "31.7000" "31.8600" "31.5400"
"2018/11/06" "31.2800" "97387.0000" "31.0800" "31.3600" "30.9900"
"2018/11/05" "31.2100" "80305.0000" "31.1500" "31.2305" "30.9100"
"2018/11/02" "31.1100" "163643.0000" "31.2900" "31.5700" "30.8244"
"2018/11/01" "30.2100" "195319.0000" "30.8200" "30.8500" "29.8600"
"2018/10/31" "31.7900" "124381.0000" "31.2900" "31.9000" "31.1700"
"2018/10/30" "30.1200" "77017.0000" "29.8700" "30.2000" "29.7800"
"2018/10/29" "29.2300" "85169.0000" "30.3500" "30.3500" "28.9700"
"2018/10/26" "29.9900" "191918.0000" "30.4200" "30.6400" "29.9400"
"2018/10/25" "32.6800" "146623.0000" "32.3900" "33.1100" "32.0100"
"2018/10/24" "30.7000" "372265.0000" "32.3900" "32.9900" "29.3250"
"2018/10/23" "36.3100" "98007.0000" "35.7500" "36.4900" "35.6800"
"2018/10/22" "35.9600" "31843.0000" "35.7600" "36.1300" "35.7600"
"2018/10/19" "35.6500" "36898.0000" "35.7700" "36.0800" "35.6400"
"2018/10/18" "35.7300" "35489.0000" "36.0000" "36.2900" "35.5300"
"2018/10/17" "36.2900" "34999.0000" "36.6700" "36.6700" "36.2300"
"2018/10/16" "36.6500" "102714.0000" "35.9600" "36.9550" "35.6400"
"2018/10/15" "35.1200" "39203.0000" "35.1800" "35.4000" "35.0100"
"2018/10/12" "35.9400" "81633.0000" "35.7600" "35.9700" "35.3900"
"2018/10/11" "34.8400" "157858.0000" "34.9200" "35.5500" "34.5600"
"2018/10/10" "34.7800" "67587.0000" "35.9900" "35.9900" "34.7600"
"2018/10/09" "36.2200" "113163.0000" "36.1500" "36.2800" "35.6600"
"2018/10/08" "37.5200" "52912.0000" "37.3500" "37.8900" "37.2200"
"2018/10/05" "37.3700" "66411.0000" "37.5000" "37.8100" "37.2250"
"2018/10/04" "37.5800" "128476.0000" "37.9100" "37.9700" "37.5100"
"2018/10/03" "39.4400" "52019.0000" "39.9900" "39.9900" "39.4300"
"2018/10/02" "40.3800" "64781.0000" "40.4500" "40.6115" "40.2110"
"2018/10/01" "42.1100" "38999.0000" "42.2800" "42.3900" "42.0337"
"2018/09/28" "42.1300" "55851.0000" "42.3300" "42.5500" "42.0400"
"2018/09/27" "42.5800" "35054.0000" "42.6100" "42.7900" "42.5000"
"2018/09/26" "43.2000" "34859.0000" "43.1800" "43.5100" "43.1800"
"2018/09/25" "43.1900" "55894.0000" "42.7000" "43.3000" "42.6800"
"2018/09/24" "43.3700" "26817.0000" "43.1200" "43.4300" "43.1000"
"2018/09/21" "43.2300" "39992.0000" "43.5000" "43.6300" "43.2300"
"2018/09/20" "44.0700" "64237.0000" "43.9600" "44.1300" "43.6400"
"2018/09/19" "43.9700" "39340.0000" "43.9300" "44.0000" "43.7100"
