date close volume open high low
2019/04/16 216.9000 1549608.0000 216.5900 217.6700 215.4800
2019/04/15 215.8300 1483270.0000 216.8400 217.3600 214.9000
2019/04/12 217.4200 1922404.0000 215.1000 217.4900 214.3500
2019/04/11 213.5300 1181246.0000 211.7100 213.7100 211.4400
2019/04/10 212.1100 1346476.0000 212.4200 212.7100 210.7200
2019/04/09 211.9600 1516450.0000 214.4200 214.5700 211.8200
2019/04/08 215.0200 1130041.0000 214.7100 215.0700 213.4700
2019/04/05 215.4100 1391067.0000 215.8800 216.4900 214.8000
2019/04/04 215.0300 1560871.0000 213.5000 215.2700 212.3250
2019/04/03 213.1300 1569355.0000 212.9500 213.9300 212.4400
2019/04/02 212.1300 1409956.0000 212.2400 212.7000 211.0027
2019/04/01 211.9400 2458491.0000 209.8900 212.3901 209.2550
2019/03/29 207.7800 2858120.0000 209.2900 209.4950 206.2000
2019/03/28 208.5300 1670589.0000 208.0000 208.7400 206.6400
2019/03/27 207.1600 2000075.0000 207.4000 207.9420 205.1288
2019/03/26 207.2400 1895561.0000 205.0000 207.6400 204.7700
2019/03/25 203.2100 2020649.0000 203.4600 205.4700 202.2500
2019/03/22 204.6600 2715861.0000 208.2900 208.4900 204.4704
2019/03/21 209.6100 2288054.0000 206.8000 210.1600 205.9700
2019/03/20 208.3000 1732893.0000 209.0000 210.5100 207.2900
2019/03/19 209.0200 2338547.0000 209.1000 210.5400 208.3148
2019/03/18 208.4900 1843555.0000 208.4400 208.6000 205.6119
2019/03/15 208.0800 4393793.0000 208.4000 208.6600 206.7900
2019/03/14 207.3800 1793354.0000 206.7000 207.4500 205.7300
2019/03/13 206.6600 2033908.0000 206.8300 207.3000 205.6300
2019/03/12 205.8000 2115091.0000 207.8400 208.3900 205.3750
2019/03/11 207.1000 2384636.0000 201.8800 207.1599 201.6600
2019/03/08 200.8900 1724487.0000 198.3800 201.1700 198.0000
2019/03/07 199.8600 3339598.0000 202.5600 202.5600 198.5000
2019/03/06 202.8000 1825273.0000 204.7300 204.7900 202.7600
2019/03/05 203.8400 2674619.0000 205.5800 207.2500 203.8400
2019/03/04 206.8600 1988997.0000 208.9900 209.9800 205.7384
2019/03/01 207.4900 1754391.0000 208.8100 209.7600 206.9000
2019/02/28 207.3900 2121733.0000 209.0500 209.0500 206.9600
2019/02/27 209.0300 1540581.0000 209.6000 209.6900 208.1600
2019/02/26 209.3800 1671294.0000 210.5800 211.5900 209.3700
2019/02/25 210.5800 2183509.0000 210.4700 211.3500 210.3400
2019/02/22 209.3500 1534158.0000 207.7700 209.6600 207.1500
2019/02/21 207.7700 1734211.0000 208.1600 209.1100 207.2500
2019/02/20 208.5300 1879145.0000 208.9300 208.9700 207.3200
2019/02/19 208.4100 1534443.0000 207.9100 209.1500 207.3900
2019/02/15 208.8600 1999978.0000 206.4600 208.9700 206.0000
2019/02/14 204.9300 2229681.0000 206.5900 207.1200 204.0500
2019/02/13 209.7200 2962423.0000 207.0900 210.4000 206.5900
2019/02/12 206.5700 2619946.0000 202.8700 206.7900 202.1900
2019/02/11 200.9100 1513450.0000 200.9300 201.2000 199.6400
2019/02/08 199.8200 1451827.0000 199.2200 199.8500 197.9000
2019/02/07 199.8400 1938140.0000 201.0200 202.4000 198.8550
2019/02/06 202.5700 1672404.0000 201.2200 203.0800 200.2500
2019/02/05 201.1200 1941605.0000 200.7200 201.1300 199.7252
2019/02/04 200.2100 1967144.0000 199.0100 200.2600 196.2500
2019/02/01 199.1600 2231389.0000 201.4900 201.7700 198.2900
2019/01/31 200.3000 3337686.0000 198.8000 200.8900 197.7400
2019/01/30 199.2700 2168074.0000 198.2200 200.1100 194.6300
