"date","close","volume","open","high","low"
"12:54","270.725","414,143","272.80","273.87","269.42"
"2019/04/09","273.4700","482371.0000","275.2700","276.2200","272.7000"
"2019/04/08","276.9000","607553.0000","275.0000","277.2200","273.4800"
"2019/04/05","276.3000","734388.0000","274.8000","276.3600","272.2200"
"2019/04/04","271.0100","1128611.0000","267.5100","273.1000","266.7400"
"2019/04/03","266.7600","1321537.0000","273.8800","273.8800","264.5000"
"2019/04/02","273.3300","539770.0000","274.3500","275.5400","272.6000"
"2019/04/01","274.1100","738695.0000","271.1300","275.6200","271.1300"
"2019/03/29","269.6000","934956.0000","268.8400","270.6500","268.0700"
"2019/03/28","267.0000","1080003.0000","265.1400","267.5800","263.8200"
"2019/03/27","263.9200","797986.0000","265.8100","268.5000","263.2900"
"2019/03/26","265.8500","994830.0000","270.6000","271.3600","263.9200"
"2019/03/25","268.6000","557316.0000","269.0100","270.0246","266.8500"
"2019/03/22","268.3600","830114.0000","271.9900","271.9900","267.2000"
"2019/03/21","272.4800","521203.0000","269.3300","273.7100","269.2200"
"2019/03/20","270.4600","869093.0000","271.0100","272.7700","268.5100"
"2019/03/19","271.0100","1025694.0000","276.0500","278.6500","270.5700"
"2019/03/18","274.8900","1203952.0000","271.3900","275.8200","270.6200"
"2019/03/15","271.2100","2701634.0000","274.3000","275.5100","270.0800"
"2019/03/14","274.7500","803982.0000","278.4400","280.2100","274.3150"
"2019/03/13","279.1600","896085.0000","275.0200","280.6300","274.4100"
"2019/03/12","275.1700","1013425.0000","279.4100","280.0000","274.4100"
"2019/03/11","279.2200","740779.0000","273.9600","279.3700","272.5800"
"2019/03/08","275.9600","636735.0000","275.5100","276.1700","272.4100"
"2019/03/07","276.4400","1307074.0000","280.0100","280.0100","273.0400"
"2019/03/06","280.4600","547183.0000","283.3100","284.9500","280.3800"
"2019/03/05","282.8700","646837.0000","283.7800","284.9600","282.3000"
"2019/03/04","283.1000","703958.0000","287.5400","290.3300","282.1000"
"2019/03/01","287.0000","787467.0000","291.0000","291.3500","285.6180"
"2019/02/28","289.9600","1037788.0000","286.2000","291.5500","286.0000"
"2019/02/27","286.7700","808963.0000","285.7000","287.3600","284.3796"
"2019/02/26","286.5500","530262.0000","286.7300","289.0300","285.7800"
"2019/02/25","287.0500","548309.0000","290.0000","290.1700","286.5300"
"2019/02/22","288.7100","613753.0000","288.0000","288.9000","286.0000"
"2019/02/21","287.5000","607247.0000","288.3800","288.5100","285.6000"
"2019/02/20","288.2200","1025223.0000","287.8400","288.4300","286.3100"
"2019/02/19","287.3500","651049.0000","285.9900","287.7200","284.5800"
"2019/02/15","286.9800","928636.0000","283.4100","287.0700","282.5500"
"2019/02/14","280.6000","806292.0000","281.6000","282.0300","279.1200"
"2019/02/13","283.3000","643250.0000","285.9500","286.0800","282.7650"
"2019/02/12","284.0800","679292.0000","282.7700","284.9300","281.5400"
"2019/02/11","281.4700","1169673.0000","280.9100","283.1100","280.4600"
"2019/02/08","280.6200","705893.0000","277.4400","280.7100","276.5400"
"2019/02/07","278.5300","817232.0000","279.5100","281.1600","275.7715"
"2019/02/06","280.4100","888538.0000","278.4000","281.6400","278.2050"
"2019/02/05","278.4600","839913.0000","280.0000","281.2000","274.6600"
"2019/02/04","278.7300","1314168.0000","272.9800","278.9100","272.6300"
"2019/02/01","272.9600","1580108.0000","276.9100","278.9700","272.5400"
"2019/01/31","275.5500","1989665.0000","271.6700","284.5500","269.5000"
"2019/01/30","280.8200","1259067.0000","280.5300","283.1700","276.1300"
"2019/01/29","280.1300","1555018.0000","274.2300","281.4900","273.3600"
"2019/01/28","274.3000","761900.0000","269.8300","274.5000","267.8750"
"2019/01/25","272.8400","966338.0000","273.2800","274.2500","270.9994"
"2019/01/24","269.8200","856053.0000","270.6600","271.7000","266.9050"
"2019/01/23","270.2300","1027434.0000","266.9200","273.3800","266.0000"
"2019/01/22","264.7300","529957.0000","266.9100","268.2700","262.7700"
"2019/01/18","267.7500","1505130.0000","266.3100","270.5000","265.5930"
"2019/01/17","264.0800","1407298.0000","254.8800","266.8700","254.5600"
"2019/01/16","255.7400","666311.0000","259.1800","259.1800","255.6100"
"2019/01/15","258.9400","900103.0000","260.2800","261.9203","255.3800"
"2019/01/14","259.9600","963449.0000","256.5000","262.8550","254.8900"
"2019/01/11","256.0500","665181.0000","255.2400","256.2100","252.4400"
"2019/01/10","257.6600","1052474.0000","251.0800","257.8500","250.3500"
"2019/01/09","252.1500","721663.0000","250.9100","253.1950","249.4800"
"2019/01/08","250.9600","1044758.0000","251.4000","253.3900","248.0100"
"2019/01/07","249.8300","1255705.0000","247.6000","251.3550","245.0100"
"2019/01/04","247.9000","841011.0000","243.3700","247.9500","242.5197"
"2019/01/03","239.9200","1142360.0000","244.7700","245.0600","238.3000"
"2019/01/02","246.3700","1483936.0000","241.1700","246.5600","237.0804"
"2018/12/31","244.9000","847496.0000","243.3100","246.9200","241.7182"
"2018/12/28","242.2500","1272119.0000","241.3700","246.2300","239.0800"
"2018/12/27","239.5700","1252929.0000","231.0500","239.6200","228.0000"
"2018/12/26","232.6400","1634675.0000","226.5300","233.0700","223.6301"
"2018/12/24","226.2300","814483.0000","232.6000","234.2099","226.1300"
"2018/12/21","235.2400","3054437.0000","238.2800","242.2700","233.8600"
"2018/12/20","243.6200","1523782.0000","251.4000","253.0000","241.7100"
"2018/12/19","253.3500","1312145.0000","256.8000","261.8464","250.9100"
"2018/12/18","256.9400","1006110.0000","259.2100","261.5600","254.2800"
"2018/12/17","257.2400","1032914.0000","261.1700","263.0499","255.8300"
"2018/12/14","262.7100","1105609.0000","265.0000","267.2300","261.4200"
"2018/12/13","267.8500","1737252.0000","269.6800","270.5600","265.5200"
"2018/12/12","270.1100","1467422.0000","270.1700","272.8400","269.5100"
"2018/12/11","268.0000","1924335.0000","275.0500","279.0300","264.1900"
"2018/12/10","270.2300","3008959.0000","260.6100","272.0000","260.6100"
"2018/12/07","257.5400","1755853.0000","256.9500","261.0200","255.3600"
"2018/12/06","257.0100","2688806.0000","246.5300","257.0100","245.5700"
"2018/12/04","249.8400","2892486.0000","260.2200","261.2100","248.6300"
"2018/12/03","261.4700","2152010.0000","262.4100","265.4700","259.0700"
"2018/11/30","259.8800","4006131.0000","260.5900","260.9100","254.8400"
"2018/11/29","260.6700","1626856.0000","263.1900","263.5200","258.4000"
"2018/11/28","263.1400","1218169.0000","261.1800","263.9834","259.5500"
"2018/11/27","260.3400","1699051.0000","264.2400","264.7600","256.0500"
"2018/11/26","265.9000","1028432.0000","268.0800","270.8000","263.7700"
"2018/11/23","266.5900","413714.0000","266.0800","268.6800","265.3439"
"2018/11/21","267.7100","1328395.0000","268.0800","270.9500","266.4700"
"2018/11/20","266.8100","1493254.0000","262.7700","267.9800","258.8700"
"2018/11/19","269.2600","1749829.0000","272.9900","272.9900","266.5200"
"2018/11/16","272.6400","1021248.0000","271.0300","275.2300","269.8900"
"2018/11/15","272.3500","959877.0000","269.2800","274.9000","267.1700"
"2018/11/14","270.7200","1529982.0000","275.9000","277.1500","270.3800"
"2018/11/13","273.6400","1467696.0000","277.0900","279.1700","273.0200"
"2018/11/12","277.5500","908832.0000","285.5800","285.5800","277.3300"
"2018/11/09","285.7300","786005.0000","281.8400","287.2200","280.0100"
"2018/11/08","284.0300","1461874.0000","286.6200","288.5400","279.5200"
"2018/11/07","285.9100","1503170.0000","284.0000","285.9720","280.3850"
"2018/11/06","282.7400","1924382.0000","278.4000","283.2000","278.4000"
"2018/11/05","279.4400","1279772.0000","275.3700","280.2600","274.7300"
"2018/11/02","273.8000","1812102.0000","274.5300","277.8400","272.2200"
"2018/11/01","273.1500","1808006.0000","263.4700","273.6500","263.2000"
"2018/10/31","261.9500","1550658.0000","263.7400","266.8199","261.6600"
"2018/10/30","261.1000","2443912.0000","254.8800","261.2500","251.6600"
"2018/10/29","256.3000","2506652.0000","273.3900","273.9050","253.1150"
"2018/10/26","269.8400","1971569.0000","267.1100","271.9300","263.5400"
"2018/10/25","269.9800","2737556.0000","286.2300","286.9900","268.5100"
"2018/10/24","285.8600","2414821.0000","310.3800","311.0000","285.1500"
"2018/10/23","304.1200","1336706.0000","302.7400","309.7200","299.5800"
"2018/10/22","306.7500","748541.0000","308.5300","308.5300","305.3400"
"2018/10/19","307.6700","1389338.0000","307.7500","310.2400","306.5500"
"2018/10/18","308.2000","974778.0000","307.9600","310.2500","304.2300"
"2018/10/17","309.5000","1098102.0000","311.5700","312.6200","309.1176"
"2018/10/16","312.0900","1152513.0000","306.4500","312.3400","305.0800"
"2018/10/15","305.6000","862195.0000","303.1000","307.8900","302.7350"
"2018/10/12","302.3700","1362865.0000","300.8700","302.8600","294.9650"
"2018/10/11","297.6200","1373741.0000","307.0800","308.5100","296.2100"
"2018/10/10","309.0500","1449721.0000","313.2400","313.7941","306.8700"
"2018/10/09","314.2000","856175.0000","317.8900","318.1400","314.0700"
"2018/10/08","319.0000","746321.0000","318.6800","320.9000","316.6100"
"2018/10/05","320.3400","1086313.0000","318.5800","321.3400","316.5900"
"2018/10/04","318.0900","783633.0000","317.7600","318.3900","315.6100"
"2018/10/03","317.6300","877453.0000","320.0000","321.7200","317.5000"
"2018/10/02","318.7700","756865.0000","319.1000","319.6600","317.8500"
"2018/10/01","318.5000","830427.0000","318.0500","319.4400","316.1000"
"2018/09/28","317.3700","1015862.0000","316.4100","317.6300","315.0950"
"2018/09/27","316.7700","1285211.0000","314.2800","316.8500","312.4850"
"2018/09/26","314.5800","1492465.0000","315.4900","316.5350","313.0600"
"2018/09/25","314.4100","1134096.0000","306.6800","314.7392","306.1100"
"2018/09/24","306.1100","798609.0000","306.6600","307.1000","304.1000"
"2018/09/21","306.6900","1669525.0000","303.0000","307.9300","302.7600"
"2018/09/20","301.4100","2415255.0000","311.8000","312.8500","296.6634"
"2018/09/19","312.2600","1823268.0000","317.6600","319.1000","310.9700"
"2018/09/18","317.6300","1305374.0000","311.4300","318.0600","311.4300"
"2018/09/17","311.0200","1111682.0000","307.4400","311.5000","307.0122"
"2018/09/14","307.3400","820537.0000","303.8000","307.7300","303.0100"
"2018/09/13","303.4100","1189296.0000","303.5000","308.0400","300.0300"
"2018/09/12","303.5300","899403.0000","302.0500","304.4200","301.4650"
"2018/09/11","302.9700","1252996.0000","302.9000","305.4300","301.8000"
"2018/09/10","303.9400","1731104.0000","300.8800","304.0200","298.5700"
"2018/09/07","300.5200","740651.0000","301.2200","301.3500","298.4200"
"2018/09/06","301.6900","1171012.0000","297.0400","302.1800","297.0400"
"2018/09/05","296.7500","646511.0000","296.9500","298.1500","295.7550"
"2018/09/04","297.6500","1099621.0000","297.6800","298.7100","296.2166"
"2018/08/31","298.4900","1040652.0000","297.5500","299.2500","296.9300"
"2018/08/30","298.6900","1012478.0000","297.0300","299.5000","296.1800"
"2018/08/29","297.1100","1233364.0000","299.3100","300.6000","296.3200"
"2018/08/28","300.4100","797612.0000","300.4400","300.7600","298.1100"
"2018/08/27","300.1300","636201.0000","299.1800","300.8900","298.1500"
"2018/08/24","298.0400","975533.0000","296.3600","299.8500","296.3600"
"2018/08/23","297.5800","1409080.0000","296.6100","299.6600","295.7400"
"2018/08/22","297.2400","984819.0000","297.0900","299.1900","296.7000"
"2018/08/21","298.1800","1648935.0000","296.7900","298.7400","296.6250"
"2018/08/20","297.5000","1164514.0000","295.0000","298.6000","294.2994"
"2018/08/17","294.3900","1121500.0000","291.2400","295.8000","290.7657"
"2018/08/16","291.9900","934994.0000","292.2600","293.7250","291.2650"
"2018/08/15","291.5100","1056051.0000","292.5700","293.1900","290.0000"
"2018/08/14","293.8600","949521.0000","292.9800","296.3000","292.0300"
"2018/08/13","292.0200","896415.0000","291.2300","293.4150","290.2900"
"2018/08/10","291.3200","987545.0000","290.8300","294.7000","289.3000"
"2018/08/09","291.4300","1632679.0000","295.7000","295.7200","289.8610"
"2018/08/08","294.9500","675614.0000","295.3900","295.8000","293.2500"
"2018/08/07","295.2600","1072387.0000","295.6900","297.8200","293.0150"
"2018/08/06","295.4300","996978.0000","296.5100","297.0400","292.3800"
"2018/08/03","297.2500","704030.0000","298.4300","298.6700","295.0000"
"2018/08/02","298.6900","924289.0000","297.7000","300.1200","296.7200"
