"date","close","volume","open","high","low"
"13:11","5.04","561,216","N/A","5.07","5.04"
"2019/04/09","4.9550","697760.0000","4.9900","5.0000","4.9500"
"2019/04/08","4.8950","747136.0000","4.8800","4.9000","4.8600"
"2019/04/05","4.8100","222300.0000","4.8000","4.8400","4.8000"
"2019/04/04","4.7750","290821.0000","4.7500","4.8000","4.7500"
"2019/04/03","4.7300","620867.0000","4.7590","4.7900","4.7200"
"2019/04/02","4.6800","296069.0000","4.6700","4.7100","4.6500"
"2019/04/01","4.6850","170816.0000","4.6400","4.7000","4.6350"
"2019/03/29","4.5200","552501.0000","4.5650","4.5700","4.4900"
"2019/03/28","4.5650","296234.0000","4.5300","4.5800","4.5300"
"2019/03/27","4.5550","171453.0000","4.5800","4.5900","4.5500"
"2019/03/26","4.6200","259831.0000","4.6800","4.6800","4.6000"
"2019/03/25","4.6900","90757.0000","4.6500","4.7000","4.6500"
"2019/03/22","4.6400","159069.0000","4.7050","4.7200","4.6100"
"2019/03/21","4.8000","188651.0000","4.7900","4.8200","4.7700"
"2019/03/20","4.8200","408993.0000","4.7700","4.8300","4.7600"
"2019/03/19","4.7700","479852.0000","4.7800","4.7900","4.7475"
"2019/03/18","4.7900","395433.0000","4.7800","4.8000","4.7700"
"2019/03/15","4.6600","904924.0000","4.6300","4.6800","4.6100"
"2019/03/14","4.6350","223029.0000","4.6300","4.6500","4.6000"
"2019/03/13","4.5900","463634.0000","4.5700","4.6400","4.5700"
"2019/03/12","4.5700","128230.0000","4.5400","4.5900","4.5400"
"2019/03/11","4.5700","423361.0000","4.5300","4.5800","4.5200"
"2019/03/08","4.4950","345613.0000","4.4700","4.5000","4.4700"
"2019/03/07","4.5100","431565.0000","4.6000","4.6000","4.5100"
"2019/03/06","4.6200","252402.0000","4.6400","4.6400","4.5900"
"2019/03/05","4.6150","208544.0000","4.6250","4.6400","4.6000"
"2019/03/04","4.6400","228559.0000","4.6600","4.6800","4.6000"
"2019/03/01","4.6900","245619.0000","4.7050","4.7200","4.6600"
"2019/02/28","4.7200","252886.0000","4.7800","4.7800","4.7100"
"2019/02/27","4.6950","180034.0000","4.6900","4.7100","4.6600"
"2019/02/26","4.6900","89089.0000","4.6600","4.7200","4.6450"
"2019/02/25","4.6700","415587.0000","4.6700","4.7050","4.6500"
"2019/02/22","4.6500","316561.0000","4.6800","4.6900","4.6500"
"2019/02/21","4.6350","448800.0000","4.6450","4.6600","4.6300"
"2019/02/20","4.6650","560296.0000","4.6300","4.6850","4.6300"
"2019/02/19","4.6500","399962.0000","4.6000","4.6500","4.5800"
"2019/02/15","4.7400","464921.0000","4.6950","4.7500","4.6900"
"2019/02/14","4.6400","361214.0000","4.6000","4.6600","4.5794"
"2019/02/13","4.7000","461579.0000","4.8200","4.8400","4.6800"
"2019/02/12","4.8950","388420.0000","4.9100","4.9400","4.8800"
"2019/02/11","4.8500","288180.0000","4.8300","4.8800","4.8200"
"2019/02/08","4.8000","98050.0000","4.8200","4.8396","4.7800"
"2019/02/07","4.7750","237543.0000","4.8000","4.8260","4.7300"
"2019/02/06","4.8900","234727.0000","4.9360","4.9400","4.8900"
"2019/02/05","4.9500","140093.0000","4.9400","4.9700","4.9300"
"2019/02/04","4.9250","235980.0000","4.9200","4.9500","4.9100"
"2019/02/01","4.9600","264169.0000","4.9150","4.9600","4.9100"
"2019/01/31","4.8950","261638.0000","4.9300","4.9400","4.8800"
"2019/01/30","4.9750","557883.0000","4.9500","5.0000","4.9400"
"2019/01/29","4.8480","301391.0000","4.8550","4.8800","4.8400"
"2019/01/28","4.7900","353380.0000","4.8200","4.8300","4.7700"
"2019/01/25","4.8720","89124.0000","4.8600","4.8800","4.8400"
"2019/01/24","4.8600","384576.0000","4.8000","4.8600","4.7900"
"2019/01/23","4.7800","551875.0000","4.7500","4.7950","4.7300"
"2019/01/22","4.7050","481828.0000","4.7100","4.7400","4.6800"
"2019/01/18","4.7450","371098.0000","4.7500","4.7700","4.7200"
"2019/01/17","4.7000","183744.0000","4.6340","4.7200","4.6300"
"2019/01/16","4.6750","442051.0000","4.6500","4.7000","4.6500"
"2019/01/15","4.6800","854929.0000","4.6700","4.7125","4.6600"
"2019/01/14","4.7400","361482.0000","4.7300","4.7700","4.7200"
"2019/01/11","4.7650","171556.0000","4.7650","4.7800","4.7400"
"2019/01/10","4.7700","115568.0000","4.7000","4.7700","4.7000"
"2019/01/09","4.7880","196337.0000","4.7500","4.8200","4.7400"
"2019/01/08","4.7150","121330.0000","4.6750","4.7300","4.6700"
"2019/01/07","4.7150","256609.0000","4.7000","4.7300","4.6800"
"2019/01/04","4.6600","149498.0000","4.6000","4.6900","4.6000"
"2019/01/03","4.5600","234949.0000","4.5500","4.5700","4.5100"
"2019/01/02","4.4950","591702.0000","4.3900","4.5500","4.3900"
"2018/12/31","4.4200","360321.0000","4.4200","4.4500","4.3800"
"2018/12/28","4.3800","788662.0000","4.4150","4.4300","4.3550"
"2018/12/27","4.3200","274411.0000","4.3660","4.3800","4.2900"
"2018/12/26","4.3850","270381.0000","4.3150","4.3850","4.2800"
"2018/12/24","4.3350","220983.0000","4.3500","4.3700","4.3125"
"2018/12/21","4.3650","731342.0000","4.3800","4.4250","4.3500"
"2018/12/20","4.4000","447985.0000","4.4500","4.4800","4.4000"
"2018/12/19","4.4800","992189.0000","4.5000","4.5700","4.4300"
"2018/12/18","4.5150","877594.0000","4.5200","4.5400","4.5100"
"2018/12/17","4.5400","598998.0000","4.6300","4.6350","4.5200"
"2018/12/14","4.6300","407357.0000","4.6510","4.6600","4.6100"
"2018/12/13","4.7060","312269.0000","4.6900","4.7100","4.6600"
"2018/12/12","4.6850","1879142.0000","4.6900","4.7101","4.6500"
"2018/12/11","4.7500","306954.0000","4.8300","4.8400","4.7000"
"2018/12/10","4.8050","333587.0000","4.8300","4.8600","4.7800"
"2018/12/07","4.8500","471499.0000","4.8950","4.9400","4.8500"
"2018/12/06","4.7900","468626.0000","4.7800","4.8200","4.7500"
"2018/12/04","4.8400","297789.0000","4.8800","4.9200","4.8200"
"2018/12/03","4.9400","482997.0000","4.9550","5.0025","4.9200"
"2018/11/30","4.8150","431449.0000","4.8200","4.8300","4.7600"
"2018/11/29","4.9500","393481.0000","5.0000","5.0100","4.9400"
"2018/11/28","4.9900","1371984.0000","4.8950","5.0000","4.8700"
"2018/11/27","4.5950","171999.0000","4.5720","4.6300","4.5700"
"2018/11/26","4.5100","324589.0000","4.4500","4.5100","4.4400"
"2018/11/23","4.6100","72415.0000","4.5850","4.6100","4.5700"
"2018/11/21","4.6525","153587.0000","4.6300","4.6600","4.6120"
"2018/11/20","4.5950","165222.0000","4.6280","4.6400","4.5600"
"2018/11/19","4.7100","462248.0000","4.6950","4.7140","4.6600"
"2018/11/16","4.6400","115120.0000","4.6400","4.6600","4.6020"
"2018/11/15","4.6750","230075.0000","4.6350","4.6900","4.6300"
"2018/11/14","4.5450","295014.0000","4.5100","4.5600","4.4900"
"2018/11/13","4.3800","390770.0000","4.4550","4.4700","4.3800"
"2018/11/12","4.4400","514945.0000","4.5000","4.5000","4.4300"
"2018/11/09","4.5450","479825.0000","4.5400","4.5500","4.5100"
