date close volume open high low
2019/04/16 110.8500 506536.0000 111.4800 111.5000 110.8100
2019/04/15 111.1800 593675.0000 111.2900 111.5200 110.9805
2019/04/12 111.1200 949372.0000 111.9900 112.1600 111.0500
2019/04/11 111.7400 2051791.0000 112.9800 112.9800 110.8900
2019/04/10 112.8800 859257.0000 112.7400 112.8800 112.6600
2019/04/09 112.7800 704346.0000 112.7000 112.8700 112.6200
2019/04/08 112.8100 762599.0000 112.7000 112.8800 112.5500
2019/04/05 112.5700 1366762.0000 112.8200 113.0000 112.5200
2019/04/04 112.7200 1252265.0000 113.0600 113.0700 112.6800
2019/04/03 112.9000 2131754.0000 112.8400 113.0600 112.6250
2019/04/02 114.0100 838301.0000 114.0000 114.1100 113.8600
2019/04/01 114.0100 1721480.0000 114.0700 114.1100 113.6700
2019/03/29 113.8800 1162892.0000 113.7400 113.9300 113.5900
2019/03/28 113.7400 1455300.0000 113.7200 113.7400 113.4600
2019/03/27 113.5000 1538469.0000 113.6600 113.6600 113.3500
2019/03/26 113.7200 871835.0000 113.5400 113.7600 113.3300
2019/03/25 113.5300 3500084.0000 113.1000 113.5600 113.1000
2019/03/22 113.0000 4039410.0000 113.3000 113.4000 112.9700
2019/03/21 113.2700 3635911.0000 113.4200 113.5400 113.2500
2019/03/20 113.5000 1525225.0000 113.7500 113.7600 113.5000
2019/03/19 113.6700 1434673.0000 113.8300 113.8300 113.5500
2019/03/18 113.9600 2232826.0000 113.7400 114.0000 113.6800
2019/03/15 113.5900 2488724.0000 113.7300 113.8700 113.5000
2019/03/14 113.6900 1933557.0000 113.9500 113.9500 113.5700
2019/03/13 113.9200 1472993.0000 113.9500 114.0000 113.8200
2019/03/12 113.8500 1291836.0000 113.8900 114.2000 113.7800
2019/03/11 113.9800 2748941.0000 113.8000 113.9800 113.7300
2019/03/08 113.7900 3379028.0000 113.6300 113.8300 113.5500
2019/03/07 113.7100 2893551.0000 113.7000 113.8700 113.5400
2019/03/06 113.7000 2243260.0000 113.8800 113.8900 113.3100
2019/03/05 113.9000 4598839.0000 113.1000 114.0400 113.0200
2019/03/04 113.0400 6143870.0000 113.3900 113.4300 113.0050
2019/03/01 113.2800 4346278.0000 113.3700 113.5000 113.2300
2019/02/28 113.3000 9002200.0000 113.4000 113.5500 112.7200
2019/02/27 113.4000 9471367.0000 113.4500 113.5400 113.3500
2019/02/26 113.4500 7837365.0000 113.5000 113.6700 113.4450
2019/02/25 113.4800 16196670.0000 113.8400 114.2000 113.4100
2019/02/22 51.5600 523886.0000 50.5800 52.9900 50.2150
2019/02/21 50.6100 534140.0000 50.4000 50.7300 49.0600
2019/02/20 50.8900 396554.0000 51.6400 51.6400 49.7900
