"date" "close" "volume" "open" "high" "low"
"2018/12/31" "154.2600" "52413050.0000" "154.4700" "154.9800" "152.7100"
"2018/12/28" "152.9700" "77812430.0000" "154.0100" "155.5900" "151.7200"
"2018/12/27" "153.0500" "84912580.0000" "150.5700" "153.1800" "147.0800"
"2018/12/26" "152.4600" "98625150.0000" "145.1200" "152.5400" "144.0900"
"2018/12/24" "143.5000" "56163290.0000" "146.1400" "147.9800" "143.4600"
"2018/12/21" "147.5700" "135371500.0000" "153.0600" "154.0900" "146.7200"
"2018/12/20" "152.2900" "98551900.0000" "154.1600" "155.8700" "150.3900"
"2018/12/19" "154.5300" "78048010.0000" "158.2400" "160.7200" "153.3400"
"2018/12/18" "158.4200" "63447140.0000" "158.6700" "159.9500" "157.0400"
"2018/12/17" "157.4300" "74500530.0000" "160.4100" "161.6700" "156.1700"
"2018/12/14" "161.0800" "56059030.0000" "163.1900" "163.8100" "160.7000"
"2018/12/13" "165.1000" "46207260.0000" "166.0600" "166.8200" "164.0300"
"2018/12/12" "165.0500" "53653420.0000" "166.0600" "167.6000" "164.9600"
"2018/12/11" "163.6100" "56510140.0000" "165.6600" "165.7700" "162.2300"
"2018/12/10" "163.0700" "73807880.0000" "161.1100" "163.7800" "159.4100"
"2018/12/07" "161.3800" "80326350.0000" "166.1300" "167.1200" "160.8600"
"2018/12/06" "166.8900" "71540830.0000" "162.4600" "166.9100" "161.7700"
"2018/12/04" "165.7200" "69388200.0000" "171.3800" "171.9100" "165.5200"
"2018/12/03" "172.3300" "50573210.0000" "173.1000" "173.3100" "169.5101"
"2018/11/30" "169.3700" "36461710.0000" "168.3800" "169.4700" "167.5400"
"2018/11/29" "168.1500" "42859150.0000" "168.0000" "169.2600" "166.8200"
"2018/11/28" "168.7000" "69775250.0000" "164.6200" "168.7000" "163.4719"
"2018/11/27" "163.4400" "36425100.0000" "162.0000" "163.8500" "161.1800"
"2018/11/26" "162.8900" "41679230.0000" "161.4400" "162.9700" "160.7600"
"2018/11/23" "159.2100" "23503730.0000" "159.0900" "160.8400" "159.0900"
"2018/11/21" "160.3700" "42905000.0000" "161.2900" "161.9700" "159.2323"
"2018/11/20" "159.1600" "102350100.0000" "158.3700" "161.3800" "157.1300"
"2018/11/19" "162.0600" "65726860.0000" "166.7400" "166.9000" "161.5400"
"2018/11/16" "167.5000" "61888670.0000" "166.4900" "168.3100" "165.7800"
"2018/11/15" "168.0900" "72896350.0000" "164.8400" "168.5400" "163.4600"
"2018/11/14" "165.2000" "73728310.0000" "168.0900" "168.7000" "164.2500"
"2018/11/13" "166.4700" "63724300.0000" "167.1500" "169.4800" "166.0000"
"2018/11/12" "166.3300" "62297440.0000" "170.3300" "170.6400" "166.1800"
"2018/11/09" "171.5200" "50565460.0000" "172.8300" "173.2500" "170.1600"
"2018/11/08" "174.4600" "40198700.0000" "174.7600" "175.3020" "173.6300"
"2018/11/07" "175.5800" "51052200.0000" "172.2500" "175.5800" "171.8700"
"2018/11/06" "170.2400" "33454230.0000" "168.9300" "171.1900" "168.7200"
"2018/11/05" "168.9600" "39281540.0000" "169.6100" "169.6600" "167.0800"
"2018/11/02" "169.3800" "75443570.0000" "171.5300" "172.5500" "168.2200"
"2018/11/01" "172.0600" "51725200.0000" "170.0800" "172.2400" "168.7800"
"2018/10/31" "169.8200" "73099220.0000" "168.5500" "171.2500" "168.5400"
"2018/10/30" "165.9200" "91523860.0000" "162.8000" "166.0350" "162.0150"
"2018/10/29" "163.2300" "110804000.0000" "169.1600" "169.8600" "160.0900"
"2018/10/26" "166.6600" "129811600.0000" "165.2400" "169.9600" "164.2300"
"2018/10/25" "171.0600" "82562710.0000" "167.9900" "172.0800" "167.1600"
"2018/10/24" "165.3400" "101626000.0000" "173.1200" "173.3600" "165.0400"
"2018/10/23" "173.2700" "77296800.0000" "170.7900" "174.1300" "168.8200"
"2018/10/22" "173.9100" "52567250.0000" "174.0600" "175.2485" "172.5900"
"2018/10/19" "173.0200" "82901160.0000" "174.3900" "176.0700" "172.3900"
"2018/10/18" "173.1800" "82224190.0000" "176.6000" "176.6800" "172.4400"
"2018/10/17" "177.2900" "66877610.0000" "178.1400" "178.2585" "175.4700"
"2018/10/16" "177.2200" "71686270.0000" "174.0200" "177.6500" "173.7000"
"2018/10/15" "172.2100" "64645800.0000" "173.6900" "174.0400" "171.5600"
"2018/10/12" "174.3200" "101609500.0000" "173.9900" "174.8600" "170.9328"
"2018/10/11" "169.6000" "141994900.0000" "171.0400" "173.4000" "167.8100"
"2018/10/10" "171.7300" "113121100.0000" "178.5300" "178.6200" "171.5000"
"2018/10/09" "179.6300" "49046720.0000" "179.2000" "181.0200" "178.7500"
"2018/10/08" "179.0500" "66788520.0000" "179.3700" "180.6427" "176.9300"
"2018/10/05" "180.1500" "83295960.0000" "182.3900" "182.9700" "178.4300"
"2018/10/04" "182.3800" "80436330.0000" "185.2200" "185.3200" "181.0600"
"2018/10/03" "185.9500" "29031810.0000" "186.5200" "186.9700" "185.6600"
"2018/10/02" "185.7500" "25536870.0000" "185.9500" "187.1750" "185.3200"
"2018/10/01" "186.1700" "27318030.0000" "186.8200" "187.5300" "185.7000"
"2018/09/28" "185.7900" "27743730.0000" "185.2500" "186.2800" "184.9700"
"2018/09/27" "185.8300" "33071560.0000" "185.0400" "186.4900" "184.9200"
"2018/09/26" "184.2700" "35918610.0000" "184.2500" "185.9900" "183.9050"
"2018/09/25" "184.1400" "24736100.0000" "183.7800" "184.2800" "183.1800"
"2018/09/24" "183.8900" "34428710.0000" "182.0500" "183.9600" "181.3000"
"2018/09/21" "183.7100" "38085660.0000" "185.2700" "185.4800" "183.4800"
"2018/09/20" "184.7200" "33187840.0000" "183.9500" "184.9700" "183.5199"
"2018/09/19" "182.7000" "31757560.0000" "182.8600" "183.3000" "181.5100"
"2018/09/18" "182.8400" "31813390.0000" "181.5200" "183.7300" "181.4000"
"2018/09/17" "181.3400" "32830800.0000" "183.6600" "183.8100" "181.1700"
"2018/09/14" "183.9900" "30654680.0000" "184.6600" "184.9450" "183.2600"
"2018/09/13" "184.5300" "31104030.0000" "183.6700" "184.8800" "183.6401"
"2018/09/12" "182.5800" "36127660.0000" "182.8700" "182.9800" "181.0100"
"2018/09/11" "183.1200" "29870220.0000" "180.9700" "183.4200" "180.5200"
"2018/09/10" "181.7200" "26068010.0000" "182.1200" "182.2500" "180.7250"
"2018/09/07" "181.1100" "46410060.0000" "180.5300" "182.6700" "180.4400"
"2018/09/06" "181.8100" "45971350.0000" "183.5400" "183.7500" "180.5800"
"2018/09/05" "183.4500" "42581490.0000" "185.5500" "185.5500" "182.8200"
"2018/09/04" "185.8500" "29006610.0000" "186.1000" "186.4000" "184.8500"
"2018/08/31" "186.6500" "28432350.0000" "186.1800" "187.1800" "185.9800"
"2018/08/30" "186.4100" "29266740.0000" "186.4100" "187.5199" "185.7900"
"2018/08/29" "186.7400" "29117530.0000" "184.9100" "186.8400" "184.8600"
"2018/08/28" "184.6100" "20215210.0000" "184.8000" "185.0200" "184.2200"
"2018/08/27" "184.3400" "28923070.0000" "183.4300" "184.3400" "183.1100"
"2018/08/24" "182.4800" "23124510.0000" "181.4000" "182.6300" "181.3600"
"2018/08/23" "180.8000" "25755720.0000" "180.7700" "182.0450" "180.5000"
"2018/08/22" "181.0600" "17929550.0000" "179.9600" "181.2700" "179.7500"
"2018/08/21" "180.3600" "24547850.0000" "180.2600" "181.4400" "180.1300"
"2018/08/20" "179.7000" "23551400.0000" "180.2800" "180.3251" "179.0000"
"2018/08/17" "179.8600" "36062090.0000" "179.3600" "180.3100" "178.2679"
"2018/08/16" "179.8200" "27598180.0000" "180.5700" "180.9900" "179.4700"
"2018/08/15" "179.2300" "58190130.0000" "180.0900" "180.5800" "178.1200"
"2018/08/14" "181.4500" "20867960.0000" "181.0100" "181.6600" "180.0400"
"2018/08/13" "180.3200" "26047610.0000" "180.8500" "182.0100" "180.2410"
"2018/08/10" "180.5200" "33796070.0000" "180.6800" "181.2200" "179.8400"
"2018/08/09" "181.9100" "18748400.0000" "181.9400" "182.6300" "181.6400"
"2018/08/08" "182.0200" "22559320.0000" "181.5500" "182.3500" "181.0600"
"2018/08/07" "181.8000" "29734460.0000" "181.6300" "182.1400" "181.2600"
"2018/08/06" "181.1400" "24785650.0000" "179.9700" "181.1900" "179.7400"
"2018/08/03" "180.0800" "28516090.0000" "179.8000" "180.0900" "179.0800"
"2018/08/02" "179.5300" "47075790.0000" "175.8700" "179.7400" "175.7900"
"2018/08/01" "177.1200" "37060650.0000" "176.8700" "177.6500" "176.0967"
"2018/07/31" "176.4500" "46321680.0000" "175.7500" "177.1300" "174.8200"
"2018/07/30" "175.1100" "60034900.0000" "177.6600" "177.7300" "174.2700"
"2018/07/27" "177.6200" "59433870.0000" "181.2600" "181.3100" "176.6000"
"2018/07/26" "180.0500" "40492100.0000" "180.3500" "180.9200" "179.8100"
"2018/07/25" "182.8200" "33918800.0000" "180.3600" "182.9300" "180.2900"
"2018/07/24" "180.3000" "36857020.0000" "181.3900" "182.0500" "179.5600"
"2018/07/23" "179.5600" "21926920.0000" "178.4500" "179.6400" "177.7400"
"2018/07/20" "178.9900" "35886100.0000" "179.5700" "180.1700" "178.7900"
"2018/07/19" "179.0300" "30822830.0000" "179.3400" "179.8800" "178.8200"
"2018/07/18" "179.9300" "23170600.0000" "180.2800" "180.4400" "179.3800"
"2018/07/17" "180.2700" "30968280.0000" "177.3000" "180.6500" "177.2800"
"2018/07/16" "179.1800" "21142350.0000" "179.6400" "179.9500" "178.8800"
"2018/07/13" "179.6100" "28049260.0000" "179.4200" "179.9000" "178.9500"
"2018/07/12" "179.4600" "27851930.0000" "177.2100" "179.4600" "177.0800"
"2018/07/11" "176.4200" "30211570.0000" "175.9600" "177.0700" "175.8000"
"2018/07/10" "177.3200" "23505970.0000" "177.4100" "177.7200" "176.7100"
"2018/07/09" "177.1900" "26197520.0000" "176.4900" "177.2300" "175.8200"
"2018/07/06" "175.6100" "36100400.0000" "173.3100" "175.7400" "173.0000"
"2018/07/05" "172.9200" "31521250.0000" "171.9100" "173.0600" "171.0300"
"2018/07/03" "170.8000" "25512710.0000" "173.4100" "173.4500" "170.6300"
"2018/07/02" "172.8000" "31692200.0000" "170.0400" "172.8500" "169.6700"
"2018/06/29" "171.6500" "36286310.0000" "172.0000" "172.9200" "171.3950"
"2018/06/28" "171.1900" "46338350.0000" "169.5200" "171.7700" "169.1700"
"2018/06/27" "169.7300" "52724500.0000" "172.7700" "173.5800" "169.6100"
"2018/06/26" "172.0700" "38959490.0000" "171.9900" "173.0585" "171.3700"
"2018/06/25" "171.3700" "77651470.0000" "173.7600" "173.9900" "169.8100"
"2018/06/22" "175.3200" "30055890.0000" "176.3100" "176.3690" "174.6900"
"2018/06/21" "175.7100" "43392150.0000" "177.6900" "177.8800" "175.3700"
"2018/06/20" "177.2500" "32958420.0000" "176.7900" "177.9800" "176.6500"
"2018/06/19" "176.0000" "37636330.0000" "174.2600" "176.0400" "173.7100"
"2018/06/18" "176.5000" "31432960.0000" "175.5300" "176.6500" "174.9400"
"2018/06/15" "176.9800" "49073490.0000" "176.9800" "177.3250" "176.1100"
"2018/06/14" "177.6000" "35590310.0000" "176.6200" "177.8900" "176.5000"
"2018/06/13" "175.8200" "37793920.0000" "176.0900" "177.1400" "175.4300"
"2018/06/12" "175.8300" "22435740.0000" "175.1500" "176.0000" "174.9600"
"2018/06/11" "174.9100" "22275480.0000" "174.3000" "175.3400" "174.2800"
"2018/06/08" "174.4400" "31768760.0000" "173.5700" "174.8803" "173.1800"
"2018/06/07" "174.4300" "39548600.0000" "175.9100" "175.9300" "173.5500"
"2018/06/06" "175.8600" "24972980.0000" "175.0250" "175.8900" "174.1400"
"2018/06/05" "174.8400" "24739120.0000" "174.6900" "175.1300" "174.0650"
"2018/06/04" "174.3000" "19984280.0000" "173.1600" "174.3400" "173.0700"
"2018/06/01" "172.7400" "45446770.0000" "170.8800" "172.8400" "170.8700"
"2018/05/31" "170.0700" "35517240.0000" "170.1300" "171.2000" "169.6300"
"2018/05/30" "170.1800" "21578370.0000" "169.6300" "170.4800" "169.2200"
"2018/05/29" "168.9700" "41124480.0000" "168.9100" "169.9200" "167.9600"
"2018/05/25" "169.7200" "27427230.0000" "169.5400" "170.3300" "169.2100"
"2018/05/24" "169.5500" "27625230.0000" "169.5600" "169.8500" "167.8400"
"2018/05/23" "169.6000" "26528830.0000" "166.9000" "169.6200" "166.8800"
"2018/05/22" "168.1800" "19414170.0000" "169.1500" "169.4500" "167.8800"
"2018/05/21" "168.4000" "22936470.0000" "168.7300" "169.5000" "167.6800"
"2018/05/18" "167.4600" "26201580.0000" "167.7100" "168.2600" "167.2100"
"2018/05/17" "168.3300" "27408700.0000" "168.4000" "169.6100" "167.5100"
"2018/05/16" "168.9800" "22900740.0000" "168.1000" "169.3700" "168.0100"
"2018/05/15" "167.8700" "49317430.0000" "168.4000" "168.5000" "166.9800"
"2018/05/14" "169.7500" "21772820.0000" "169.8400" "170.8200" "169.4700"
