"date" "close" "volume" "open" "high" "low"
"2018/12/31" "26.5100" "393397.0000" "26.4500" "26.5600" "26.2302"
"2018/12/28" "26.2100" "622693.0000" "26.3600" "26.6100" "26.0900"
"2018/12/27" "26.2700" "821841.0000" "25.6000" "26.2900" "25.3300"
"2018/12/26" "26.0700" "553755.0000" "25.0000" "26.0700" "24.7401"
"2018/12/24" "24.7600" "156609.0000" "25.1200" "25.3000" "24.7600"
"2018/12/21" "25.3500" "363998.0000" "25.8800" "26.2699" "25.3300"
"2018/12/20" "25.8250" "685321.0000" "26.1100" "26.3299" "25.5710"
"2018/12/19" "26.2100" "465374.0000" "26.6200" "27.0700" "26.0700"
"2018/12/18" "26.6698" "273920.0000" "26.7900" "27.0331" "26.5200"
"2018/12/17" "26.8100" "360917.0000" "27.1000" "27.3510" "26.6600"
"2018/12/14" "27.2500" "276048.0000" "27.3800" "27.6500" "27.2200"
"2018/12/13" "27.7200" "313099.0000" "27.9300" "28.0900" "27.6300"
"2018/12/12" "27.8800" "254177.0000" "28.0000" "28.2404" "27.8700"
"2018/12/11" "27.6900" "98941.0000" "28.2000" "28.3000" "27.5667"
"2018/12/10" "27.7800" "249443.0000" "27.8900" "27.9415" "27.2531"
"2018/12/07" "27.8700" "407824.0000" "28.4800" "28.8200" "27.7699"
"2018/12/06" "28.6300" "208605.0000" "28.3100" "28.6400" "27.8661"
"2018/12/04" "28.8600" "207190.0000" "29.8300" "29.9400" "28.8200"
"2018/12/03" "30.0400" "181262.0000" "30.2600" "30.2600" "29.7801"
"2018/11/30" "29.7500" "157130.0000" "29.5900" "29.7890" "29.5201"
"2018/11/29" "29.5000" "326787.0000" "29.6700" "29.6900" "29.3929"
"2018/11/28" "29.7100" "165997.0000" "29.0900" "29.7182" "29.0600"
"2018/11/27" "29.0400" "107658.0000" "29.0200" "29.0700" "28.8800"
"2018/11/26" "29.1100" "212404.0000" "28.8600" "29.1200" "28.8600"
"2018/11/23" "28.6200" "29546.0000" "28.6000" "28.8071" "28.5300"
"2018/11/21" "28.7300" "238757.0000" "28.8200" "28.9800" "28.6765"
"2018/11/20" "28.5400" "188292.0000" "28.6500" "28.8850" "28.4300"
"2018/11/19" "29.0600" "121509.0000" "29.5200" "29.5200" "28.9537"
