"date","close","volume","open","high","low"
"12:55","178.41","667,014","179.41","179.59","177.6403"
"2019/04/09","179.0400","1497275.0000","180.0800","180.5400","178.8600"
"2019/04/08","181.6300","1793737.0000","179.5200","181.7900","178.6700"
"2019/04/05","179.6300","2395516.0000","177.1700","179.7200","176.1200"
"2019/04/04","176.9500","2572388.0000","177.5800","179.9000","176.4350"
"2019/04/03","177.3700","4278712.0000","184.0200","184.9700","176.9600"
"2019/04/02","185.8100","3126434.0000","185.5700","187.4100","185.1200"
"2019/04/01","184.7600","1262519.0000","183.5500","185.0700","183.0000"
"2019/03/29","182.0800","1296731.0000","181.8700","182.4800","180.7300"
"2019/03/28","180.9600","1014767.0000","180.5300","181.0000","179.1600"
"2019/03/27","179.8200","1230826.0000","181.5200","182.2850","179.2400"
"2019/03/26","180.9100","1088464.0000","181.5200","182.5800","179.7200"
"2019/03/25","180.6200","1021284.0000","180.1000","181.7900","179.5796"
"2019/03/22","179.9900","1745994.0000","181.1300","181.6250","179.9500"
"2019/03/21","181.9300","1098813.0000","179.6700","182.4800","179.0200"
"2019/03/20","180.0200","2085422.0000","179.5300","181.7100","178.7700"
"2019/03/19","180.1700","1933746.0000","180.9800","183.1050","179.4400"
"2019/03/18","180.2300","1790281.0000","178.3100","180.7500","178.1100"
"2019/03/15","177.9500","3626648.0000","180.0700","180.4100","177.6000"
"2019/03/14","180.2500","1108781.0000","181.6800","182.2400","180.1000"
"2019/03/13","181.5900","1486522.0000","180.9700","183.0500","180.2650"
"2019/03/12","179.9700","1166762.0000","182.2000","182.2000","179.8000"
"2019/03/11","182.1400","1391632.0000","179.3300","182.4200","178.8200"
"2019/03/08","180.7600","1103595.0000","178.8500","180.9200","177.7862"
"2019/03/07","180.2200","2328883.0000","181.0200","181.5000","177.1000"
"2019/03/06","181.5900","1757368.0000","183.0000","184.2200","181.4200"
"2019/03/05","182.6200","2293289.0000","183.7500","184.5500","182.4729"
"2019/03/04","183.7000","2536280.0000","186.4900","187.4600","182.0000"
"2019/03/01","186.1900","1588533.0000","187.5700","187.5800","185.3100"
"2019/02/28","186.5000","2736285.0000","185.2000","188.1000","185.1500"
"2019/02/27","185.3600","1509834.0000","185.0200","186.1457","183.6800"
"2019/02/26","185.2400","1571386.0000","185.7500","186.4100","184.8301"
"2019/02/25","186.2500","1602459.0000","187.9200","188.3400","186.0800"
"2019/02/22","186.6100","1165670.0000","186.2400","186.6600","185.2000"
"2019/02/21","185.3800","1539067.0000","186.8600","187.0000","184.8500"
"2019/02/20","187.2900","2169808.0000","184.9500","187.9000","184.0600"
"2019/02/19","184.6200","1561447.0000","184.2000","185.3000","183.0100"
"2019/02/15","184.6100","2973609.0000","182.4400","185.0000","182.3800"
"2019/02/14","181.1300","1297505.0000","180.5400","181.6800","180.0900"
"2019/02/13","180.9400","1999074.0000","181.7300","182.4500","180.4800"
"2019/02/12","181.1200","2260778.0000","178.9300","181.8100","178.7800"
"2019/02/11","177.8300","2394436.0000","176.1300","178.5050","176.0200"
"2019/02/08","175.9200","1964683.0000","175.3000","176.3900","173.9800"
"2019/02/07","176.0800","1805460.0000","173.2800","176.2600","173.0700"
"2019/02/06","175.0700","1772074.0000","175.5800","176.6100","174.4600"
"2019/02/05","175.9800","2783166.0000","175.7300","176.3800","174.2806"
"2019/02/04","174.6500","2877401.0000","166.1600","174.7500","166.0000"
"2019/02/01","165.9600","3130603.0000","165.9900","169.6100","165.3700"
"2019/01/31","164.7600","4724032.0000","168.3200","168.8800","164.7005"
"2019/01/30","171.4600","2039429.0000","171.3800","172.8000","168.2200"
"2019/01/29","171.2300","1933945.0000","168.7800","172.0700","168.3800"
"2019/01/28","168.6500","1593039.0000","166.2700","169.2599","165.2350"
"2019/01/25","167.6100","1359138.0000","168.0000","168.4400","166.9500"
"2019/01/24","166.3200","2341007.0000","166.4900","167.4300","165.3300"
"2019/01/23","165.2000","1665018.0000","164.6500","167.0800","163.5600"
"2019/01/22","163.7100","1698551.0000","164.6300","165.8200","162.6700"
"2019/01/18","165.4100","3099033.0000","164.5100","167.4500","164.3300"
"2019/01/17","162.8400","2328426.0000","158.7200","163.3800","158.5570"
"2019/01/16","159.3800","1833234.0000","160.3200","160.3200","158.1600"
"2019/01/15","160.1400","1226047.0000","161.2100","161.2100","158.6300"
"2019/01/14","160.5100","1994275.0000","158.0600","161.4000","157.5700"
"2019/01/11","159.1700","1513772.0000","158.6100","159.3100","156.5900"
"2019/01/10","159.5800","1875298.0000","157.5000","159.7400","156.3600"
"2019/01/09","157.9300","1529850.0000","158.3600","158.9600","157.2200"
"2019/01/08","157.2100","1646886.0000","156.9300","157.8400","155.7900"
"2019/01/07","155.3600","1582176.0000","154.0200","155.9000","152.6114"
"2019/01/04","153.7400","1972778.0000","151.6700","153.8400","150.7850"
"2019/01/03","149.7900","2858464.0000","153.1100","153.7200","149.2600"
"2019/01/02","154.1400","1392977.0000","150.9900","154.1800","149.6300"
"2018/12/31","153.3500","1844678.0000","152.9900","154.3700","151.7400"
"2018/12/28","152.9200","2120000.0000","154.9800","154.9800","152.0700"
"2018/12/27","153.5700","2465925.0000","147.9300","153.5700","147.3300"
"2018/12/26","149.4900","2809271.0000","146.9100","149.6100","144.2700"
"2018/12/24","146.6700","1585247.0000","150.1500","150.5500","146.6000"
"2018/12/21","151.5200","3750087.0000","151.0100","157.4300","151.0100"
"2018/12/20","157.9500","2892381.0000","160.9000","162.4600","154.8700"
"2018/12/19","162.3300","2092953.0000","165.0000","167.8150","160.6600"
"2018/12/18","164.8400","1644769.0000","167.5700","168.7500","164.1600"
"2018/12/17","165.9400","1948585.0000","169.3200","170.5000","164.9000"
"2018/12/14","169.8500","1773316.0000","170.2400","171.6700","168.8400"
"2018/12/13","172.4300","1444292.0000","172.4300","173.7900","171.0000"
"2018/12/12","171.8100","2982514.0000","173.0700","174.8300","171.5400"
"2018/12/11","171.0300","2067344.0000","174.6100","174.8500","169.6900"
"2018/12/10","171.2100","2928082.0000","168.5000","172.3400","166.4101"
"2018/12/07","165.1100","2458671.0000","167.7900","169.9500","165.0974"
"2018/12/06","168.1800","3519777.0000","163.9300","168.4100","162.3100"
"2018/12/04","165.6800","3234836.0000","172.0900","173.8150","165.3800"
"2018/12/03","172.8700","2336769.0000","178.0100","178.0100","172.2300"
"2018/11/30","175.3400","2602839.0000","173.7400","175.5300","172.6100"
"2018/11/29","173.5800","1446368.0000","173.4400","174.5800","172.7100"
"2018/11/28","173.6100","1658779.0000","172.0600","174.1634","171.3200"
"2018/11/27","171.6700","1921416.0000","173.6600","174.2800","169.0631"
"2018/11/26","174.6300","1481578.0000","174.0700","175.7000","172.7000"
"2018/11/23","173.5800","774117.0000","171.5000","174.6300","171.5000"
"2018/11/21","172.2800","1531647.0000","174.3800","174.7900","172.1300"
"2018/11/20","174.0200","2067653.0000","173.2400","175.3200","171.5700"
"2018/11/19","176.4400","2106445.0000","182.2300","182.6100","175.5800"
"2018/11/16","182.0800","1377931.0000","182.4800","182.8800","180.0800"
"2018/11/15","183.2000","1471459.0000","179.6600","183.8200","178.6100"
"2018/11/14","180.5800","1675763.0000","182.0300","183.2300","180.2811"
"2018/11/13","180.6200","1543518.0000","182.3000","183.7200","179.5900"
"2018/11/12","182.0300","1593772.0000","188.0100","188.2900","181.5900"
"2018/11/09","188.0200","1381860.0000","185.6200","188.6600","185.3400"
"2018/11/08","186.6600","1630800.0000","187.0700","188.2000","185.6300"
"2018/11/07","187.3200","1945566.0000","185.5100","187.5000","183.9100"
"2018/11/06","184.8000","2109181.0000","183.7400","185.7400","183.6000"
"2018/11/05","183.0600","2348848.0000","182.9500","184.3100","182.0701"
"2018/11/02","181.5500","3300966.0000","181.8500","184.8100","180.9100"
"2018/11/01","180.8300","2748926.0000","176.0700","181.4300","176.0500"
"2018/10/31","175.0400","2980621.0000","174.6200","178.4600","174.6200"
"2018/10/30","173.1400","3837779.0000","167.5100","174.3600","165.0010"
"2018/10/29","168.3500","3597865.0000","178.8200","178.9400","165.7900"
"2018/10/26","176.8900","4137500.0000","173.3300","177.5900","170.7300"
"2018/10/25","176.5200","4353088.0000","185.1600","186.4800","174.1900"
"2018/10/24","182.1100","2935999.0000","192.0200","192.3700","181.7900"
"2018/10/23","191.3800","2426076.0000","189.0300","193.0350","188.3600"
"2018/10/22","191.1000","1359171.0000","192.1200","192.7000","189.7900"
"2018/10/19","191.0100","1123747.0000","191.7200","192.9100","190.6800"
"2018/10/18","191.6600","1663818.0000","192.0000","192.7500","189.6975"
"2018/10/17","193.1200","1186221.0000","195.8000","195.8400","192.8900"
"2018/10/16","195.9200","1668298.0000","193.1900","196.2200","193.0100"
"2018/10/15","192.2600","1236498.0000","192.4200","193.7900","191.4200"
"2018/10/12","191.6900","1486619.0000","193.2800","194.4900","189.3700"
"2018/10/11","190.9900","2304452.0000","196.4200","198.3600","190.8800"
"2018/10/10","197.6000","1690153.0000","204.2000","204.2000","197.4600"
"2018/10/09","204.5900","1371186.0000","205.4400","206.8100","204.5000"
"2018/10/08","206.8200","1216595.0000","206.5600","207.4300","205.6400"
"2018/10/05","206.7500","1097161.0000","208.2900","209.0700","205.4000"
"2018/10/04","208.2100","982401.0000","206.4800","208.3600","206.2650"
"2018/10/03","206.9700","1079023.0000","209.1200","209.1800","206.7100"
"2018/10/02","208.0400","1145408.0000","207.5100","208.4700","206.2400"
"2018/10/01","207.5100","1253260.0000","207.3300","207.6700","205.7000"
"2018/09/28","206.6600","1352045.0000","205.9900","206.7800","205.2650"
"2018/09/27","205.9400","1422188.0000","205.4700","206.8700","204.1500"
"2018/09/26","205.2400","998785.0000","205.4000","206.7500","204.5100"
"2018/09/25","205.1800","1169666.0000","202.9300","205.5100","201.7200"
"2018/09/24","202.3600","810647.0000","202.6600","203.2200","201.1900"
"2018/09/21","203.4600","2487769.0000","201.4200","203.8300","201.3200"
"2018/09/20","200.8100","2219052.0000","205.4600","205.8200","198.1800"
"2018/09/19","205.1700","1576041.0000","207.9000","210.8900","203.4900"
"2018/09/18","207.9000","1334841.0000","205.4700","208.2850","205.2000"
