date close volume open high low
2018/12/31 0.8500 310567.0000 0.8200 0.8577 0.8000
2018/12/28 0.8109 240489.0000 0.8190 0.8300 0.7860
2018/12/27 0.7869 243406.0000 0.8100 0.8620 0.7800
2018/12/26 0.8000 183198.0000 0.7610 0.8360 0.7600
2018/12/24 0.7650 220135.0000 0.8100 0.8500 0.7600
2018/12/21 0.8445 237769.0000 0.8200 0.8445 0.8100
2018/12/20 0.8511 415153.0000 0.9050 0.9054 0.8200
2018/12/19 0.9397 332997.0000 1.0000 1.0000 0.9192
2018/12/18 1.0200 161259.0000 1.0500 1.0549 1.0100
2018/12/17 1.0300 158778.0000 1.0300 1.0800 1.0200
2018/12/14 1.0300 199269.0000 1.0800 1.1000 1.0300
2018/12/13 1.0800 62040.0000 1.1000 1.1100 1.0700
2018/12/12 1.1100 145753.0000 1.0500 1.1100 1.0300
2018/12/11 1.0700 140883.0000 1.0900 1.1000 1.0500
2018/12/10 1.1000 180265.0000 1.0800 1.1000 1.0600
2018/12/07 1.0800 283236.0000 1.1000 1.1300 1.0800
2018/12/06 1.1200 1140568.0000 1.1500 1.2000 1.0650
2018/12/04 1.1300 137004.0000 1.1600 1.1700 1.1100
2018/12/03 1.1500 321039.0000 1.1700 1.1993 1.1300
2018/11/30 1.1500 317017.0000 1.1200 1.1700 1.1024
2018/11/29 1.1200 119554.0000 1.0800 1.1300 1.0800
2018/11/28 1.1100 146761.0000 1.1000 1.1245 1.0700
2018/11/27 1.1000 254569.0000 1.0800 1.1300 1.0700
2018/11/26 1.1200 470282.0000 1.1600 1.1800 1.0800
2018/11/23 1.1300 346383.0000 1.1000 1.1700 1.1000
2018/11/21 1.1000 679798.0000 1.0600 1.1500 1.0600
2018/11/20 1.0700 213211.0000 1.0700 1.0900 1.0600
2018/11/19 1.0600 264034.0000 1.0900 1.1022 1.0400
2018/11/16 1.0800 214989.0000 1.1200 1.1200 1.0800
2018/11/15 1.1300 248975.0000 1.1300 1.1300 1.0800
2018/11/14 1.0950 818246.0000 1.1400 1.1600 1.0700
2018/11/13 1.1500 241708.0000 1.2000 1.2199 1.1500
2018/11/12 1.1900 952040.0000 1.2100 1.2500 1.1200
2018/11/09 1.1500 332167.0000 1.1900 1.2000 1.1300
2018/11/08 1.2000 408420.0000 1.1800 1.2200 1.1600
2018/11/07 1.1900 289124.0000 1.1800 1.2000 1.1800
2018/11/06 1.1800 350783.0000 1.2300 1.2700 1.1800
2018/11/05 1.2500 284008.0000 1.2200 1.2500 1.2000
2018/11/02 1.2200 340143.0000 1.2500 1.2600 1.1800
2018/11/01 1.2900 1721112.0000 1.1700 1.3200 1.1700
2018/10/31 1.1800 455519.0000 1.1300 1.2000 1.1300
2018/10/30 1.1700 735821.0000 1.1000 1.2000 1.0500
2018/10/29 1.1700 887242.0000 1.2300 1.2600 1.1300
2018/10/26 1.2200 1104353.0000 1.1300 1.2460 1.1100
2018/10/25 1.1700 728329.0000 1.1500 1.1800 1.1000
2018/10/24 1.1400 777651.0000 1.2000 1.2700 1.1200
2018/10/23 1.2200 636646.0000 1.2200 1.2600 1.1900
2018/10/22 1.2400 914165.0000 1.2700 1.3171 1.1800
2018/10/19 1.2900 1087153.0000 1.3600 1.4200 1.2600
