date close volume open high low
2019/04/16 1.3500 11860370.0000 1.1500 1.5100 1.1000
2019/04/15 1.1300 3353169.0000 1.0300 1.1500 1.0000
2019/04/12 1.0300 2082403.0000 0.9782 1.0500 0.9740
2019/04/11 0.9702 355238.0000 1.0000 1.0000 0.9516
2019/04/10 0.9984 915195.0000 0.9900 0.9985 0.9303
2019/04/09 0.9520 685520.0000 0.9800 0.9800 0.9316
2019/04/08 0.9762 979652.0000 1.0200 1.0200 0.9620
2019/04/05 1.0100 554685.0000 1.0200 1.0300 1.0000
2019/04/04 1.0200 566203.0000 1.0500 1.0500 1.0000
2019/04/03 1.0300 800295.0000 1.0300 1.0400 1.0100
2019/04/02 1.0100 1263817.0000 1.0000 1.0400 0.9500
2019/04/01 1.0000 822530.0000 1.0300 1.0500 0.9900
2019/03/29 1.0300 2313001.0000 0.9700 1.0500 0.9700
2019/03/28 0.9600 1410232.0000 0.9001 0.9750 0.8901
2019/03/27 0.9002 970705.0000 0.8894 0.9100 0.8670
2019/03/26 0.9000 360782.0000 0.8800 0.9099 0.8512
2019/03/25 0.8711 557987.0000 0.8905 0.8905 0.8400
2019/03/22 0.8800 1157349.0000 0.9100 0.9100 0.8550
2019/03/21 0.9090 1437516.0000 0.9600 0.9650 0.8860
2019/03/20 0.9636 487237.0000 0.9833 0.9897 0.9560
2019/03/19 0.9803 1039808.0000 0.9615 0.9920 0.9600
2019/03/18 0.9590 577277.0000 0.9700 0.9897 0.9501
2019/03/15 0.9654 634450.0000 0.9893 1.0100 0.9500
2019/03/14 0.9827 667290.0000 1.0200 1.0200 0.9800
2019/03/13 1.0100 946983.0000 1.0200 1.0200 0.9800
2019/03/12 1.0100 1428273.0000 0.9800 1.0200 0.9600
2019/03/11 0.9582 1134625.0000 0.9225 0.9800 0.9100
2019/03/08 0.9289 832134.0000 0.8709 0.9646 0.8709
2019/03/07 0.8646 643440.0000 0.8750 0.8779 0.8500
2019/03/06 0.8701 1825284.0000 0.9200 0.9233 0.8500
2019/03/05 0.9160 955795.0000 0.9237 0.9694 0.9102
2019/03/04 0.9500 4995936.0000 1.1000 1.1000 0.9100
2019/03/01 1.0200 3519247.0000 0.9610 1.0500 0.9200
2019/02/28 0.9500 2256759.0000 1.0400 1.0600 0.9001
2019/02/27 1.0000 2670306.0000 1.0500 1.0700 0.9655
2019/02/26 1.0500 5592977.0000 0.8900 1.0600 0.8800
2019/02/25 0.8307 1074355.0000 0.8100 0.8450 0.8010
2019/02/22 0.8120 523736.0000 0.8300 0.8378 0.8000
2019/02/21 0.8285 869071.0000 0.8100 0.8369 0.8000
2019/02/20 0.8123 1294513.0000 0.8501 0.8556 0.8002
2019/02/19 0.8401 1356937.0000 0.8800 0.8888 0.8351
2019/02/15 0.8401 1555797.0000 0.8100 0.8599 0.8000
2019/02/14 0.7929 1289368.0000 0.8147 0.8147 0.7715
2019/02/13 0.8151 677941.0000 0.8200 0.8299 0.7950
2019/02/12 0.8146 614705.0000 0.8000 0.8200 0.8000
2019/02/11 0.7953 702950.0000 0.8150 0.8200 0.7802
2019/02/08 0.8235 748923.0000 0.7700 0.8338 0.7601
2019/02/07 0.7657 870915.0000 0.8220 0.8456 0.7640
2019/02/06 0.8211 896592.0000 0.8500 0.8680 0.8191
2019/02/05 0.8203 1379025.0000 0.7568 0.8423 0.7568
2019/02/04 0.7600 629337.0000 0.7428 0.7600 0.7274
2019/02/01 0.7501 804058.0000 0.7240 0.7615 0.7175
2019/01/31 0.7290 596965.0000 0.7450 0.7450 0.7000
2019/01/30 0.7110 810201.0000 0.7200 0.7538 0.6900
2019/01/29 0.7000 592578.0000 0.7200 0.7200 0.6850
2019/01/28 0.7136 1399049.0000 0.7600 0.7600 0.6881
2019/01/25 0.7540 538086.0000 0.7750 0.7750 0.7380
2019/01/24 0.7580 1034100.0000 0.7510 0.7798 0.7400
2019/01/23 0.7370 888441.0000 0.7490 0.7700 0.7150
2019/01/22 0.7355 1285632.0000 0.7100 0.7598 0.7099
2019/01/18 0.7049 2456344.0000 0.7200 0.7200 0.6609
2019/01/17 0.6892 4422485.0000 0.7500 0.7760 0.6789
2019/01/16 0.7518 2218348.0000 0.8000 0.8100 0.7450
2019/01/15 0.7830 1453366.0000 0.8320 0.8360 0.7700
2019/01/14 0.7900 1735632.0000 0.7500 0.8489 0.7300
2019/01/11 0.7625 2549585.0000 0.7901 0.7985 0.7400
2019/01/10 0.7904 1887310.0000 0.8200 0.8200 0.7825
2019/01/09 0.8201 2851295.0000 0.8600 0.8800 0.7944
2019/01/08 0.8701 2509031.0000 0.8700 0.9088 0.8530
2019/01/07 0.8523 3489548.0000 0.8710 0.9000 0.8500
2019/01/04 0.8600 5234631.0000 0.9380 0.9473 0.8200
2019/01/03 0.9299 11049360.0000 1.0900 1.0900 0.9100
2019/01/02 1.4700 2063791.0000 1.4400 1.5500 1.3799
2018/12/31 1.4200 1690103.0000 1.5000 1.5400 1.3500
2018/12/28 1.4200 1630688.0000 1.3400 1.4769 1.2700
2018/12/27 1.3100 1968657.0000 1.3000 1.4385 1.2400
2018/12/26 1.2300 1199380.0000 1.0200 1.2500 1.0200
2018/12/24 1.0400 396260.0000 0.9450 1.0400 0.9200
2018/12/21 0.9601 1267165.0000 1.0200 1.0900 0.9401
2018/12/20 1.0300 1244321.0000 1.1400 1.1600 1.0000
2018/12/19 1.0900 1286652.0000 1.1300 1.2600 1.0800
2018/12/18 1.1300 2394748.0000 1.3200 1.3600 1.0200
2018/12/17 1.3100 1597713.0000 1.4100 1.4100 1.2700
2018/12/14 1.4000 530271.0000 1.4300 1.4600 1.3800
2018/12/13 1.4400 1212929.0000 1.5300 1.5900 1.3800
2018/12/12 1.5300 1194698.0000 1.5300 1.5900 1.4700
2018/12/11 1.5200 1057940.0000 1.6000 1.6250 1.5000
2018/12/10 1.5800 816991.0000 1.5400 1.6000 1.5200
2018/12/07 1.5500 906806.0000 1.6000 1.6221 1.5200
2018/12/06 1.6000 1030258.0000 1.6100 1.6275 1.5700
2018/12/04 1.6400 787298.0000 1.6800 1.6900 1.6200
2018/12/03 1.7000 1558506.0000 1.7700 1.7911 1.6300
2018/11/30 1.7300 940184.0000 1.7500 1.7500 1.6900
2018/11/29 1.7400 1796929.0000 1.6600 1.7700 1.6600
2018/11/28 1.6800 1174859.0000 1.6700 1.7500 1.6200
2018/11/27 1.6600 1018248.0000 1.7700 1.7900 1.6500
2018/11/26 1.7300 1471349.0000 1.8300 1.8600 1.7200
2018/11/23 1.8300 1713643.0000 1.6600 1.8700 1.6600
2018/11/21 1.6600 1703222.0000 1.7100 1.7500 1.6000
2018/11/20 1.7000 1073371.0000 1.6600 1.7400 1.6400
2018/11/19 1.7400 1248350.0000 1.7500 1.8100 1.7100
2018/11/16 1.7000 1905194.0000 1.6000 1.7800 1.5600
2018/11/15 1.5900 630512.0000 1.5800 1.6400 1.5500
2018/11/14 1.6000 1148894.0000 1.7300 1.7400 1.5627
2018/11/13 1.6900 668879.0000 1.7300 1.7900 1.6700
2018/11/12 1.7300 687491.0000 1.8000 1.8000 1.6900
2018/11/09 1.7900 1345702.0000 1.9000 1.9400 1.7400
2018/11/08 1.8600 5161258.0000 1.7500 1.9400 1.6700
2018/11/07 1.5400 395864.0000 1.5500 1.5900 1.5000
2018/11/06 1.5600 468046.0000 1.5800 1.6000 1.5100
2018/11/05 1.5900 391059.0000 1.6100 1.6300 1.5200
2018/11/02 1.6000 621411.0000 1.5800 1.6300 1.5500
2018/11/01 1.5800 799028.0000 1.4800 1.5900 1.4400
2018/10/31 1.4800 907425.0000 1.4500 1.4800 1.4100
2018/10/30 1.4600 1014967.0000 1.4200 1.4700 1.3800
2018/10/29 1.4500 661584.0000 1.5000 1.5400 1.4100
2018/10/26 1.4800 913453.0000 1.5100 1.5500 1.4100
2018/10/25 1.5600 1285034.0000 1.4500 1.6200 1.3600
2018/10/24 1.4400 955060.0000 1.5600 1.5600 1.4400
2018/10/23 1.5500 941736.0000 1.5800 1.5900 1.5000
2018/10/22 1.5900 753339.0000 1.6500 1.6500 1.5600
2018/10/19 1.6200 910179.0000 1.6600 1.7200 1.6100
2018/10/18 1.6500 601702.0000 1.6900 1.7000 1.6100
2018/10/17 1.7100 645985.0000 1.8000 1.8000 1.6800
2018/10/16 1.7800 370638.0000 1.7300 1.7904 1.7200
2018/10/15 1.7300 648764.0000 1.7600 1.7900 1.7000
2018/10/12 1.7600 635997.0000 1.8400 1.8400 1.7400
2018/10/11 1.7700 785372.0000 1.7300 1.8900 1.7300
2018/10/10 1.7500 1077906.0000 1.8000 1.8510 1.7500
2018/10/09 1.8100 533969.0000 1.8300 1.8500 1.7700
2018/10/08 1.8500 879243.0000 1.8800 1.8800 1.7600
2018/10/05 1.8700 767333.0000 1.9100 1.9300 1.8200
2018/10/04 1.9000 847132.0000 1.9600 1.9899 1.8900
2018/10/03 1.9800 857592.0000 2.0500 2.0500 1.9100
2018/10/02 2.0400 853396.0000 2.0200 2.1000 1.9700
2018/10/01 2.0400 1106333.0000 2.2200 2.2200 1.9950
2018/09/28 2.1500 1407816.0000 2.1600 2.2400 2.1200
2018/09/27 2.1400 1701136.0000 1.9900 2.1700 1.9400
2018/09/26 1.9800 970778.0000 2.0600 2.0700 1.9300
2018/09/25 2.0400 1259010.0000 2.1000 2.1175 1.9800
2018/09/24 2.0900 844481.0000 2.0800 2.1500 2.0600
2018/09/21 2.0900 966330.0000 2.1000 2.1300 2.0300
2018/09/20 2.0700 762511.0000 2.1600 2.1700 2.0600
2018/09/19 2.1000 935545.0000 2.0600 2.1890 2.0400
