date close volume open high low

2019/04/12 6.1000 19812530.0000 6.0700 6.1300 6.0400
2019/04/11 6.0500 22738320.0000 6.0000 6.0600 5.9800
2019/04/10 5.9900 25846660.0000 5.9700 6.0050 5.9300
2019/04/09 5.9700 23070400.0000 5.9400 5.9950 5.8800
2019/04/08 5.9800 25665170.0000 5.9400 6.0000 5.9200
2019/04/05 5.9400 29703710.0000 5.9500 5.9850 5.8700
2019/04/04 5.9600 25840860.0000 5.9300 5.9750 5.8900
2019/04/03 5.9200 29873520.0000 5.8900 5.9600 5.8800
2019/04/02 5.8700 32953570.0000 5.7900 5.8850 5.7600
2019/04/01 5.7900 38537460.0000 5.7000 5.8400 5.6800
2019/03/29 5.6700 30649820.0000 5.7000 5.7200 5.6300
2019/03/28 5.6900 21798310.0000 5.6500 5.7350 5.6500
2019/03/27 5.6600 29827950.0000 5.7300 5.7600 5.6500
2019/03/26 5.7000 37830530.0000 5.7700 5.8000 5.6950
2019/03/25 5.7500 36737260.0000 5.7500 5.7700 5.6900
2019/03/22 5.7600 64380750.0000 5.9300 5.9500 5.7500
2019/03/21 5.9800 28304370.0000 6.0000 6.0700 5.9600
2019/03/20 6.0200 35860690.0000 6.0700 6.0900 5.9200
2019/03/19 6.1100 22305230.0000 6.0800 6.1400 6.0300
2019/03/18 6.0600 26404140.0000 6.1400 6.1690 6.0400
2019/03/15 6.1700 32031950.0000 6.1800 6.1800 6.0800
2019/03/14 6.1300 21761390.0000 6.0700 6.1600 6.0600
2019/03/13 6.0900 32377630.0000 6.1000 6.1800 6.0400
2019/03/12 6.1400 43644670.0000 5.9800 6.1700 5.9300
2019/03/11 5.9700 21219620.0000 5.9200 6.0000 5.9000
2019/03/08 5.9400 22651260.0000 5.9400 5.9800 5.9100
2019/03/07 5.9900 31766460.0000 5.9900 6.0300 5.9400
2019/03/06 6.0000 21437390.0000 6.0100 6.0450 5.9700
2019/03/05 6.0300 26984770.0000 5.9800 6.0400 5.9600
2019/03/04 6.0000 30357660.0000 6.0400 6.0600 5.8800
2019/03/01 5.9900 21445460.0000 5.9500 6.0200 5.9200
2019/02/28 5.9300 29615980.0000 5.9300 6.0100 5.9100
2019/02/27 5.9200 18661780.0000 5.8800 5.9400 5.8550
2019/02/26 5.9200 32536670.0000 6.0000 6.0200 5.8600
2019/02/25 6.0200 17134430.0000 6.0800 6.1000 6.0000
2019/02/22 6.0600 21134190.0000 6.1000 6.1300 6.0300
2019/02/21 6.0800 22647930.0000 6.0500 6.0900 5.9900
2019/02/20 6.0400 27607660.0000 5.9900 6.0900 5.9900
2019/02/19 6.0000 27746680.0000 6.0000 6.0600 5.9600
2019/02/15 6.0300 21061450.0000 5.9700 6.0400 5.9600
2019/02/14 5.9200 28787590.0000 5.8600 5.9700 5.8500
2019/02/13 5.9000 21127910.0000 5.9200 5.9300 5.8050
2019/02/12 5.9000 27949930.0000 5.8900 5.9300 5.8400
2019/02/11 5.8600 18536210.0000 5.9300 6.0000 5.8600
2019/02/08 5.9300 22480150.0000 5.8500 5.9500 5.8400
2019/02/07 5.8900 30516760.0000 5.9400 5.9600 5.8100
2019/02/06 5.9700 30667980.0000 6.0500 6.0700 5.9300
2019/02/05 6.0200 43613740.0000 6.0400 6.1900 6.0000
2019/02/04 6.0400 35342220.0000 5.9500 6.0600 5.9300
2019/02/01 5.9800 43963810.0000 5.8700 6.0400 5.8600
2019/01/31 5.8300 82620390.0000 5.9300 6.1400 5.8200
2019/01/30 5.9200 50051670.0000 5.9000 6.0700 5.7700
2019/01/29 5.7400 33596010.0000 5.7300 5.8200 5.6700
2019/01/28 5.7500 26608320.0000 5.8300 5.8300 5.7000
2019/01/25 5.8200 30377470.0000 5.8000 5.8500 5.7200
2019/01/24 5.7500 22459790.0000 5.8400 5.8500 5.6900
2019/01/23 5.8400 23338240.0000 5.9000 5.9000 5.6900
2019/01/22 5.8500 23297620.0000 6.0400 6.0400 5.8100
2019/01/18 6.0500 15918970.0000 6.1000 6.1600 6.0400
2019/01/17 6.0500 15041360.0000 6.0200 6.0700 5.9900
2019/01/16 6.0200 14500280.0000 5.9800 6.0600 5.9500
2019/01/15 5.9800 18583560.0000 5.9500 6.0000 5.9100
2019/01/14 5.9500 17693560.0000 6.0500 6.0600 5.9150
2019/01/11 6.0700 16562600.0000 6.0700 6.0800 5.9800
2019/01/10 6.0700 21115560.0000 6.0600 6.1000 5.9600
2019/01/09 6.0600 43691800.0000 6.3600 6.3700 6.0000
2019/01/08 6.3500 23744550.0000 6.2600 6.3500 6.2200
2019/01/07 6.2200 31692000.0000 6.1200 6.2900 6.1100
2019/01/04 6.1700 25437290.0000 6.0400 6.2200 5.9950
2019/01/03 5.9400 22281760.0000 5.8200 6.0000 5.7600
2019/01/02 5.9000 23853620.0000 5.6900 5.9450 5.6900
2018/12/31 5.7100 16576480.0000 5.7500 5.7650 5.6350
2018/12/28 5.7200 13832120.0000 5.7600 5.7700 5.6313
2018/12/27 5.7300 19616150.0000 5.7400 5.7600 5.5200
2018/12/26 5.7300 21299970.0000 5.5200 5.7350 5.4800
2018/12/24 5.5100 16571520.0000 5.5200 5.6200 5.4813
2018/12/21 5.5900 35098670.0000 5.9100 5.9800 5.5401
2018/12/20 5.8900 28613540.0000 6.0200 6.0700 5.8400
2018/12/19 6.0200 30783200.0000 6.1600 6.2000 5.9700
2018/12/18 6.1500 31576770.0000 6.1500 6.2000 6.0750
2018/12/17 6.1200 24676630.0000 6.1600 6.2400 6.0900
2018/12/14 6.1700 29325220.0000 6.1600 6.3350 6.1500
2018/12/13 6.2400 30894570.0000 6.3100 6.3750 6.1300
2018/12/12 6.3200 27689020.0000 6.3400 6.4300 6.2900
2018/12/11 6.2600 27307740.0000 6.2800 6.3600 6.2350
2018/12/10 6.2000 27675600.0000 6.2400 6.2900 6.1500
2018/12/07 6.2200 30784830.0000 6.2800 6.3900 6.2100
2018/12/06 6.3500 39700390.0000 6.1300 6.3700 6.0700
2018/12/04 6.1900 31755760.0000 6.3100 6.3800 6.1700
2018/12/03 6.3200 27342040.0000 6.3000 6.3200 6.1500
2018/11/30 6.2300 32283910.0000 6.3400 6.3600 6.2000
2018/11/29 6.3200 34516840.0000 6.1500 6.3400 6.1100
2018/11/28 6.1900 23495040.0000 6.0700 6.2000 6.0700
2018/11/27 6.1000 31510380.0000 6.1200 6.1800 6.0100
2018/11/26 6.1400 26521000.0000 6.1200 6.2100 6.0400
2018/11/23 6.0600 10598420.0000 5.9900 6.1300 5.9701
2018/11/21 6.0400 23087580.0000 5.9000 6.0700 5.8800
2018/11/20 5.8700 33504880.0000 6.0000 6.0300 5.8300
2018/11/19 6.0500 30233950.0000 6.2500 6.2600 6.0300
2018/11/16 6.2700 32363860.0000 6.3100 6.3400 6.1900
2018/11/15 6.3200 31067140.0000 6.2200 6.3400 6.1900
2018/11/14 6.2500 27658420.0000 6.1500 6.3000 6.1500
2018/11/13 6.1500 38076060.0000 6.1800 6.2950 6.1100
2018/11/12 6.1200 28236780.0000 6.1900 6.2200 6.1000
2018/11/09 6.2100 19570100.0000 6.1700 6.2400 6.1400
2018/11/08 6.2100 21964160.0000 6.2500 6.3400 6.1650
2018/11/07 6.3000 28097150.0000 6.3700 6.3800 6.2200
2018/11/06 6.3400 30000380.0000 6.1200 6.3700 6.0999
2018/11/05 6.1100 23865220.0000 6.1400 6.1700 6.0550
2018/11/02 6.1100 26974160.0000 6.1400 6.1700 6.0100
2018/11/01 6.1100 21874990.0000 5.9900 6.1200 5.9300
2018/10/31 6.0200 35596780.0000 5.8900 6.0800 5.8700
2018/10/30 5.8600 47492670.0000 5.6400 5.8700 5.5900
2018/10/29 5.6200 27426710.0000 5.7500 5.8400 5.5500
2018/10/26 5.6700 36754810.0000 5.6200 5.7900 5.6200
2018/10/25 5.7900 30231670.0000 5.7400 5.8800 5.6700
2018/10/24 5.6500 43813790.0000 6.0500 6.1500 5.6500
2018/10/23 5.9500 30387830.0000 6.0000 6.0400 5.8800
2018/10/22 6.0300 26090020.0000 6.0300 6.1200 5.9600
2018/10/19 6.0100 27174420.0000 6.2300 6.2600 6.0100
2018/10/18 6.1600 26116320.0000 6.3700 6.3750 6.1300
2018/10/17 6.2500 17779010.0000 6.3000 6.3400 6.2300
2018/10/16 6.3100 16630830.0000 6.1900 6.3600 6.1500
2018/10/15 6.1400 18826040.0000 6.1500 6.2300 6.0900
2018/10/12 6.1900 36176580.0000 6.1100 6.1900 6.0500
2018/10/11 5.9700 30474960.0000 5.9700 6.1250 5.9500
2018/10/10 5.9500 26608420.0000 6.1400 6.1850 5.9500
2018/10/09 6.1800 27201380.0000 6.2200 6.2800 6.1600
2018/10/08 6.1950 17223930.0000 6.1300 6.2100 6.1000
2018/10/05 6.1300 29616700.0000 6.2400 6.3300 6.0650
2018/10/04 6.2100 33177340.0000 6.2500 6.2900 6.1500
2018/10/03 6.2600 32043130.0000 6.2500 6.3400 6.2000
2018/10/02 6.2300 26563220.0000 6.2700 6.3100 6.1600
2018/10/01 6.3000 24958060.0000 6.3400 6.3600 6.2300
2018/09/28 6.3200 33960670.0000 6.3700 6.4000 6.3100
2018/09/27 6.3600 28772080.0000 6.3800 6.4100 6.3200
2018/09/26 6.3800 49048060.0000 6.2800 6.4900 6.2600
2018/09/25 6.2700 42803000.0000 6.3600 6.3600 6.1601
2018/09/24 6.2600 111398500.0000 6.6900 6.8150 6.2300
2018/09/21 6.9800 30028270.0000 7.0200 7.0400 6.9500
2018/09/20 7.0100 16380910.0000 7.0200 7.0500 6.9800
2018/09/19 7.0000 19023710.0000 7.0500 7.0900 6.9500
2018/09/18 7.0400 23557610.0000 7.0900 7.1400 7.0350
2018/09/17 7.0600 15405600.0000 7.1400 7.1500 7.0300
2018/09/14 7.1300 14014290.0000 7.2100 7.2300 7.1300
2018/09/13 7.1900 11844120.0000 7.1500 7.2500 7.1300
2018/09/12 7.1200 15219790.0000 7.1800 7.1900 7.1100
2018/09/11 7.1800 15855330.0000 7.1100 7.2400 7.1000
2018/09/10 7.1400 11525830.0000 7.0000 7.1450 6.9900
2018/09/07 6.9800 16037770.0000 6.9900 7.0800 6.9600
2018/09/06 7.0200 13673990.0000 6.9900 7.0700 6.9600
2018/09/05 7.0000 20670040.0000 7.1500 7.1600 6.9950
2018/09/04 7.1500 13337790.0000 7.0700 7.1900 7.0300
2018/08/31 7.1000 12430350.0000 7.0400 7.1100 7.0250
2018/08/30 7.0600 10577960.0000 7.0900 7.1100 7.0400
2018/08/29 7.1000 10200270.0000 6.9900 7.1100 6.9900
2018/08/28 7.0000 10491100.0000 7.0100 7.0500 6.9700
2018/08/27 7.0200 13243220.0000 6.9600 7.0650 6.9500
2018/08/24 6.9600 11368210.0000 6.9100 7.0000 6.9000
2018/08/23 6.9000 9229396.0000 6.9800 7.0000 6.9000
2018/08/22 7.0000 9949642.0000 6.9500 7.0000 6.9350
2018/08/21 6.9400 15631130.0000 6.9800 6.9900 6.9400
2018/08/20 6.9500 9766679.0000 6.9900 7.0100 6.9400
2018/08/17 6.9700 11452330.0000 6.9400 7.0200 6.9100
2018/08/16 6.9400 9579125.0000 6.9300 7.0100 6.9300
2018/08/15 6.9000 12195800.0000 6.9400 6.9600 6.8400
2018/08/14 6.9600 11308250.0000 6.9500 7.0100 6.9500
2018/08/13 6.9500 9980473.0000 6.9600 7.0000 6.9400
2018/08/10 6.9600 9785730.0000 6.9600 7.0300 6.9000
2018/08/09 6.9950 12734400.0000 6.9500 7.0500 6.9300
2018/08/08 6.9500 12849840.0000 6.8600 6.9600 6.8600
2018/08/07 6.8600 12615800.0000 6.8800 6.9700 6.8500
2018/08/06 6.8900 19249380.0000 6.8400 6.9400 6.8400
2018/08/03 6.8700 14571730.0000 6.9400 7.0100 6.8500
2018/08/02 6.9600 14103350.0000 6.8200 6.9700 6.8100
2018/08/01 6.8600 17909540.0000 6.9900 7.0350 6.8400
2018/07/31 7.0200 13943890.0000 7.0000 7.0900 6.9950
2018/07/30 6.9900 14547120.0000 7.0700 7.1100 6.9400
2018/07/27 7.0800 15998010.0000 7.2300 7.2550 7.0400
2018/07/26 7.2000 13907410.0000 7.1800 7.2900 7.1300
2018/07/25 7.1400 16137220.0000 7.1000 7.2000 7.0550
2018/07/24 6.9800 17344800.0000 7.1500 7.1700 6.9700
2018/07/23 7.1200 8425228.0000 7.0700 7.1400 7.0700
2018/07/20 7.1100 11547610.0000 7.1500 7.1500 7.0700
2018/07/19 7.1400 12568720.0000 7.1100 7.1800 7.0850
2018/07/18 7.1300 14751860.0000 7.0800 7.2500 7.0600
2018/07/17 7.0700 10965870.0000 7.0000 7.1000 6.9900
2018/07/16 7.0400 10467680.0000 7.1000 7.1300 7.0100
2018/07/13 7.1000 8986134.0000 7.1200 7.1500 7.0500
2018/07/12 7.1100 11031240.0000 7.0500 7.1100 7.0200
2018/07/11 7.0500 12556260.0000 7.0300 7.0900 6.9800
2018/07/10 7.0200 11969430.0000 7.0600 7.0800 6.9400
2018/07/09 7.0400 12534240.0000 7.0500 7.0600 6.9600
2018/07/06 7.0000 9529020.0000 6.8800 7.0000 6.8650
2018/07/05 6.9000 13986490.0000 6.7900 6.9550 6.7400
2018/07/03 6.7500 9431598.0000 6.8900 6.9400 6.7450
2018/07/02 6.8200 11170040.0000 6.7500 6.8400 6.7200
2018/06/29 6.7700 17976170.0000 6.9200 6.9200 6.7700
2018/06/28 6.8200 38416340.0000 6.6900 6.8300 6.6200
2018/06/27 6.6500 41522430.0000 6.8900 6.9000 6.6100
2018/06/26 6.9200 29653670.0000 6.8800 6.9800 6.6200
2018/06/25 7.0600 19863020.0000 7.1500 7.1900 7.0100
2018/06/22 7.1400 31098920.0000 7.2000 7.2400 7.1300
2018/06/21 7.1600 30525470.0000 7.2800 7.3000 7.0400
2018/06/20 7.5100 13009130.0000 7.4700 7.5200 7.4100
2018/06/19 7.4700 23843550.0000 7.5400 7.5700 7.4100
2018/06/18 7.6400 16515400.0000 7.6000 7.7000 7.5400
2018/06/15 7.5800 29512570.0000 7.4500 7.5900 7.3800
2018/06/14 7.3800 14974180.0000 7.3500 7.4200 7.3200
2018/06/13 7.3100 12427730.0000 7.3000 7.3700 7.2700
2018/06/12 7.2700 12986870.0000 7.2500 7.3450 7.2200
2018/06/11 7.2200 12287060.0000 7.2300 7.3300 7.2129
2018/06/08 7.2400 9319910.0000 7.1900 7.2400 7.1100
2018/06/07 7.1800 10476100.0000 7.1700 7.2300 7.1300
2018/06/06 7.1500 13325400.0000 7.0500 7.2000 7.0300
2018/06/05 7.0600 12671720.0000 7.1100 7.1300 7.0310
2018/06/04 7.1000 13960170.0000 7.0800 7.1300 7.0300
2018/06/01 7.0700 15531810.0000 7.1300 7.1400 7.0500
2018/05/31 7.1000 35176600.0000 7.1500 7.2300 7.0800
2018/05/30 7.1200 25792290.0000 7.0100 7.1500 6.9600
2018/05/29 6.9800 11310610.0000 6.9300 7.0000 6.9200
2018/05/25 6.9500 8118175.0000 6.9200 6.9700 6.9100
2018/05/24 6.9200 12361150.0000 6.9500 6.9800 6.8500
2018/05/23 6.9300 12569810.0000 6.9100 6.9600 6.9000
2018/05/22 6.9400 14596900.0000 7.0300 7.0750 6.9300
2018/05/21 7.0000 12252100.0000 6.9900 7.0300 6.9100
2018/05/18 6.9700 15498200.0000 6.9300 6.9900 6.9000
2018/05/17 6.8900 14191460.0000 6.9300 7.0100 6.8700
2018/05/16 6.9300 21332940.0000 6.9000 7.0100 6.8310
2018/05/15 6.8700 13639900.0000 6.8100 6.9000 6.7800
2018/05/14 6.8500 9618233.0000 6.7800 6.9000 6.7800
2018/05/11 6.7900 11460010.0000 6.8300 6.8750 6.7700
2018/05/10 6.8200 18595790.0000 6.7700 6.9200 6.7600
2018/05/09 6.7700 19562290.0000 6.6500 6.7800 6.5800
2018/05/08 6.6300 16634020.0000 6.6800 6.7000 6.5600
2018/05/07 6.7100 18361330.0000 6.6600 6.7500 6.6400
2018/05/04 6.6700 30705350.0000 6.4500 6.7200 6.4400
2018/05/03 6.5000 25112500.0000 6.3100 6.5400 6.3100
2018/05/02 6.3200 15295760.0000 6.3200 6.4000 6.3000
2018/05/01 6.3200 11356070.0000 6.3400 6.3400 6.2100
2018/04/30 6.3300 10949690.0000 6.3400 6.3800 6.2800
2018/04/27 6.3000 14600470.0000 6.3100 6.4000 6.2700
2018/04/26 6.3100 14568130.0000 6.2800 6.3800 6.2400
2018/04/25 6.2500 21009070.0000 6.3000 6.3300 6.2000
2018/04/24 6.2700 24969090.0000 6.3200 6.4000 6.2600
2018/04/23 6.3300 16565620.0000 6.3100 6.3600 6.2800
2018/04/20 6.3100 14045350.0000 6.3500 6.3700 6.2800
2018/04/19 6.3400 19870880.0000 6.3300 6.5000 6.2800
2018/04/18 6.3600 9708801.0000 6.2500 6.3600 6.2500
2018/04/17 6.2500 13296140.0000 6.2200 6.3000 6.1900
2018/04/16 6.1700 14948960.0000 6.2000 6.2100 6.1200
2018/04/13 6.1900 12990410.0000 6.2300 6.2800 6.1600
2018/04/12 6.2300 11609060.0000 6.2600 6.3050 6.2100
2018/04/11 6.2500 11900560.0000 6.2700 6.3000 6.2300
2018/04/10 6.2700 18041780.0000 6.3200 6.3400 6.2450
2018/04/09 6.2600 14528850.0000 6.2900 6.3500 6.2400
2018/04/06 6.2600 15783170.0000 6.2700 6.3400 6.2100
2018/04/05 6.3100 9779206.0000 6.3200 6.3600 6.2800
2018/04/04 6.2900 16058660.0000 6.1400 6.3250 6.1200
2018/04/03 6.1600 14542140.0000 6.1200 6.2300 6.1200
2018/04/02 6.1100 16677780.0000 6.2100 6.2600 6.0800
2018/03/29 6.2400 18102760.0000 6.2100 6.3150 6.2000
2018/03/28 6.1750 16768640.0000 6.2200 6.2700 6.1600
2018/03/27 6.2000 19673330.0000 6.3500 6.3700 6.1600
2018/03/26 6.3200 16233630.0000 6.2650 6.3200 6.2000
2018/03/23 6.1700 17364730.0000 6.2600 6.3250 6.1700
2018/03/22 6.2600 14365070.0000 6.2400 6.3400 6.2400
2018/03/21 6.3700 15094420.0000 6.3200 6.4300 6.3200
2018/03/20 6.3200 12409170.0000 6.3400 6.3800 6.3100
2018/03/19 6.3400 15844620.0000 6.4500 6.4500 6.3000
2018/03/16 6.4800 21325470.0000 6.4600 6.4900 6.4100
2018/03/15 6.4000 12329140.0000 6.4900 6.5000 6.3900
2018/03/14 6.4800 22275280.0000 6.5600 6.5600 6.4000
2018/03/13 6.5300 13297350.0000 6.6200 6.6200 6.5100
2018/03/12 6.6000 12999740.0000 6.5400 6.6100 6.4900
2018/03/09 6.5400 12370600.0000 6.4800 6.5500 6.4700
2018/03/08 6.4800 11205010.0000 6.5000 6.5100 6.4400
2018/03/07 6.4700 20257400.0000 6.3700 6.5400 6.3300
2018/03/06 6.3600 15601030.0000 6.3500 6.3750 6.2700
2018/03/05 6.3200 12715010.0000 6.2600 6.3500 6.2400
2018/03/02 6.3000 22370170.0000 6.2300 6.3200 6.2100
