date close volume open high low
2019/04/16 2.0000 76324.0000 2.0000 2.0000 1.9401
2019/04/15 1.9500 142655.0000 2.0500 2.1500 1.9300
2019/04/12 2.0600 121991.0000 2.2100 2.2100 2.0306
2019/04/11 2.1800 44192.0000 2.2400 2.2500 2.1600
2019/04/10 2.2600 95113.0000 2.2000 2.2600 2.1500
2019/04/09 2.2200 120632.0000 2.2400 2.2400 2.1362
2019/04/08 2.2100 134886.0000 2.0700 2.2100 2.0148
2019/04/05 2.0700 135126.0000 2.1200 2.1700 2.0143
2019/04/04 2.1000 230562.0000 2.1000 2.1800 2.0700
2019/04/03 2.0900 244956.0000 1.9600 2.2000 1.9419
2019/04/02 1.9800 227703.0000 1.9100 2.0300 1.8610
2019/04/01 1.9300 597191.0000 2.0300 2.0900 1.9200
2019/03/29 2.0600 214317.0000 2.1000 2.1400 2.0301
2019/03/28 2.1000 229973.0000 2.0300 2.1500 1.9200
2019/03/27 2.0400 490249.0000 2.1800 2.2500 1.9500
2019/03/26 2.1800 339225.0000 2.3400 2.4701 2.1600
2019/03/25 2.3400 349214.0000 2.4200 2.4200 2.2420
2019/03/22 2.4050 812951.0000 2.1700 2.6200 2.1600
2019/03/21 2.3500 2024009.0000 2.1900 2.5500 2.1000
2019/03/20 2.0500 767485.0000 2.1500 2.2000 2.0300
2019/03/19 2.2800 1358730.0000 2.4900 2.6296 2.0000
2019/03/18 2.5800 6434724.0000 2.2500 3.1900 2.1500
2019/03/15 2.6800 79766410.0000 2.9100 5.0700 2.5000
2019/03/14 1.3500 463064.0000 1.3800 1.3800 1.1100
2019/03/13 1.4000 255835.0000 1.5200 1.5300 1.3000
2019/03/12 1.5300 11827.0000 1.4800 1.5300 1.4800
2019/03/11 1.4700 48642.0000 1.5600 1.6200 1.4700
2019/03/08 1.5000 12406.0000 1.6020 1.6300 1.5000
2019/03/07 1.5500 24553.0000 1.5100 1.6600 1.5035
2019/03/06 1.5035 23249.0000 1.5300 1.6000 1.5035
2019/03/05 1.5300 9984.0000 1.5100 1.5300 1.4601
2019/03/04 1.5000 37716.0000 1.5400 1.5597 1.4600
