"date" "close" "volume" "open" "high" "low"
"2018/12/31" "28.5400" "46145770.0000" "28.5700" "28.6400" "28.0900"
"2018/12/28" "28.4600" "47551440.0000" "28.1900" "28.8000" "28.1700"
"2018/12/27" "28.1500" "54472190.0000" "27.8100" "28.1600" "27.1700"
"2018/12/26" "28.0800" "57312080.0000" "27.5000" "28.1000" "26.8000"
"2018/12/24" "27.3600" "41110050.0000" "28.2100" "28.2900" "27.3600"
"2018/12/21" "28.3100" "79245500.0000" "28.3400" "29.2400" "28.1400"
"2018/12/20" "28.6500" "76531800.0000" "29.8400" "29.8600" "28.1900"
"2018/12/19" "29.8200" "51402090.0000" "29.9200" "30.3000" "29.6137"
"2018/12/18" "29.7500" "41917530.0000" "29.6300" "30.0200" "29.6000"
"2018/12/17" "29.8600" "42144270.0000" "30.1300" "30.2400" "29.6000"
"2018/12/14" "30.2200" "41617010.0000" "29.8300" "30.4000" "29.7000"
"2018/12/13" "29.9100" "45950780.0000" "30.0900" "30.1900" "29.5500"
"2018/12/12" "30.1600" "40880430.0000" "30.1100" "30.2900" "29.9250"
"2018/12/11" "29.7000" "44363070.0000" "30.4400" "30.6700" "29.5850"
"2018/12/10" "29.9100" "41001380.0000" "30.0800" "30.0900" "29.1700"
"2018/12/07" "30.1400" "34446060.0000" "30.2200" "30.8800" "30.0100"
"2018/12/06" "30.5300" "50009080.0000" "30.4800" "30.5600" "29.8500"
"2018/12/04" "30.7300" "44761940.0000" "31.7300" "32.0100" "30.6700"
"2018/12/03" "31.7100" "43524530.0000" "31.7400" "31.9000" "31.3100"
"2018/11/30" "31.2400" "80460330.0000" "30.7100" "31.4300" "30.6800"
"2018/11/29" "30.5700" "30640050.0000" "30.3700" "30.7100" "30.2000"
"2018/11/28" "30.7400" "32857930.0000" "30.4400" "30.8700" "30.3500"
"2018/11/27" "30.4400" "32149040.0000" "29.8400" "30.4900" "29.7200"
"2018/11/26" "29.9500" "33335760.0000" "29.6500" "30.1500" "29.6400"
"2018/11/23" "29.3600" "13401040.0000" "29.7600" "29.7600" "29.3500"
"2018/11/21" "29.7700" "30303120.0000" "29.5000" "30.0250" "29.4100"
"2018/11/20" "29.4200" "41386970.0000" "29.9700" "30.1800" "29.4000"
"2018/11/19" "30.3500" "27769390.0000" "30.3400" "30.6950" "30.2100"
"2018/11/16" "30.2900" "28593290.0000" "30.0700" "30.4200" "29.9500"
"2018/11/15" "30.1200" "38505970.0000" "30.3500" "30.3700" "29.9000"
"2018/11/14" "30.5100" "31224830.0000" "30.5500" "30.7150" "30.1100"
"2018/11/13" "30.3300" "25210780.0000" "30.8500" "30.9000" "30.2800"
"2018/11/12" "30.7800" "25019880.0000" "30.7000" "31.2300" "30.6500"
"2018/11/09" "30.6900" "39991630.0000" "30.9800" "31.0800" "30.4400"
"2018/11/08" "31.0400" "29506690.0000" "31.0800" "31.1600" "30.8800"
"2018/11/07" "31.1000" "30818620.0000" "30.9900" "31.1300" "30.6900"
"2018/11/06" "30.9600" "24303810.0000" "30.6400" "30.9700" "30.5100"
"2018/11/05" "30.6300" "26541190.0000" "30.6300" "30.8600" "30.5700"
"2018/11/02" "30.5200" "32971570.0000" "30.6300" "30.9100" "30.3500"
"2018/11/01" "30.4900" "35226470.0000" "30.9900" "31.0500" "30.3800"
"2018/10/31" "30.6800" "44808230.0000" "30.6900" "30.9800" "30.1200"
"2018/10/30" "30.4700" "49056750.0000" "29.8500" "30.5900" "29.8200"
"2018/10/29" "29.6400" "48435420.0000" "29.5900" "30.3200" "29.2900"
"2018/10/26" "29.0900" "77623070.0000" "29.8900" "29.9300" "28.8500"
"2018/10/25" "29.9800" "76731610.0000" "30.6500" "30.7100" "29.7600"
"2018/10/24" "30.3600" "118749700.0000" "31.7300" "31.8000" "30.2600"
"2018/10/23" "33.0200" "53401040.0000" "32.7000" "33.2800" "32.0500"
"2018/10/22" "32.6700" "23086140.0000" "32.9100" "32.9600" "32.5900"
"2018/10/19" "32.8700" "34763550.0000" "32.4500" "32.9500" "32.3100"
"2018/10/18" "32.5000" "30340820.0000" "32.5700" "32.8500" "32.2400"
"2018/10/17" "32.5700" "28344690.0000" "32.4100" "32.7200" "32.2800"
"2018/10/16" "32.3900" "26482600.0000" "32.3700" "32.4650" "32.1500"
"2018/10/15" "32.3600" "33160930.0000" "32.2700" "32.6700" "32.2100"
"2018/10/12" "32.2500" "42852810.0000" "32.1900" "32.3600" "31.8500"
"2018/10/11" "31.7500" "63539290.0000" "32.8300" "33.0600" "31.6600"
"2018/10/10" "32.8500" "45493240.0000" "33.6300" "33.9900" "32.8400"
"2018/10/09" "33.5000" "27848960.0000" "33.6900" "33.7000" "33.5000"
"2018/10/08" "34.1100" "27827930.0000" "34.0100" "34.1800" "33.7800"
"2018/10/05" "33.9900" "28664690.0000" "34.1900" "34.3000" "33.8622"
"2018/10/04" "34.1200" "27506170.0000" "33.8300" "34.1400" "33.5350"
"2018/10/03" "33.9200" "26695960.0000" "34.0800" "34.1200" "33.7700"
"2018/10/02" "33.9200" "29994190.0000" "33.5300" "33.9300" "33.4750"
"2018/10/01" "33.4900" "22437670.0000" "33.6600" "33.7500" "33.3900"
"2018/09/28" "33.5800" "22041620.0000" "33.4100" "33.6800" "33.3101"
"2018/09/27" "33.4200" "24827550.0000" "33.4310" "33.7700" "33.2700"
"2018/09/26" "33.3500" "32627480.0000" "33.8300" "33.9100" "33.3400"
"2018/09/25" "33.7600" "30354620.0000" "33.7800" "34.1900" "33.6900"
"2018/09/24" "33.9100" "35523400.0000" "34.2500" "34.2800" "33.7500"
"2018/09/21" "33.7800" "130145000.0000" "34.0500" "34.2400" "33.7800"
"2018/09/20" "33.4400" "24765170.0000" "33.4900" "33.5300" "33.1500"
"2018/09/19" "33.3700" "30990210.0000" "33.9300" "33.9600" "33.2500"
"2018/09/18" "33.7200" "33650990.0000" "33.5600" "33.9200" "33.3824"
"2018/09/17" "33.6200" "25302040.0000" "33.6000" "33.8100" "33.4302"
"2018/09/14" "33.6000" "32722990.0000" "33.6100" "33.6500" "33.3000"
"2018/09/13" "33.6800" "34480190.0000" "33.4400" "33.6900" "33.0850"
"2018/09/12" "33.4200" "49448450.0000" "32.8400" "33.6500" "32.8400"
"2018/09/11" "32.6700" "26309980.0000" "32.4800" "32.8000" "32.4700"
"2018/09/10" "32.3900" "26264430.0000" "32.2800" "32.6900" "32.2000"
"2018/09/07" "32.1200" "25746530.0000" "32.1600" "32.3900" "32.0900"
"2018/09/06" "32.1800" "25642680.0000" "32.1300" "32.3100" "32.0000"
"2018/09/05" "32.0200" "26698180.0000" "31.7500" "32.0500" "31.5400"
"2018/09/04" "31.8600" "25152300.0000" "31.7800" "31.9400" "31.4800"
"2018/08/31" "31.9400" "31238500.0000" "31.9500" "31.9900" "31.7200"
"2018/08/30" "31.9600" "25546310.0000" "32.2000" "32.3200" "31.8700"
"2018/08/29" "32.2300" "25154620.0000" "32.6600" "32.7000" "32.2100"
"2018/08/28" "32.6700" "16461510.0000" "32.8100" "32.8300" "32.6300"
"2018/08/27" "32.8300" "17589230.0000" "32.7400" "33.0300" "32.7200"
"2018/08/24" "32.6400" "16224140.0000" "32.4600" "32.7400" "32.4600"
"2018/08/23" "32.4900" "21443960.0000" "32.6900" "32.7900" "32.4100"
"2018/08/22" "32.6800" "34136650.0000" "33.2000" "33.2000" "32.6600"
"2018/08/21" "33.4000" "27542210.0000" "33.3300" "33.5800" "33.3100"
"2018/08/20" "33.1100" "23486750.0000" "33.1400" "33.2500" "33.0100"
"2018/08/17" "33.0300" "26117150.0000" "33.0600" "33.2600" "32.9600"
"2018/08/16" "33.0900" "37376870.0000" "32.5300" "33.1400" "32.5300"
"2018/08/15" "32.4700" "29624580.0000" "32.2800" "32.5500" "32.1300"
"2018/08/14" "32.2400" "18002280.0000" "32.2400" "32.3800" "32.2100"
"2018/08/13" "32.2100" "22766150.0000" "32.2600" "32.3400" "32.1800"
"2018/08/10" "32.2600" "21470700.0000" "32.3900" "32.4050" "32.1600"
"2018/08/09" "32.4900" "16907060.0000" "32.4000" "32.5000" "32.2450"
"2018/08/08" "32.3600" "21947940.0000" "32.4800" "32.5300" "32.3000"
"2018/08/07" "32.4000" "27329200.0000" "32.0900" "32.4400" "31.9700"
"2018/08/06" "32.1100" "30060840.0000" "32.2100" "32.3200" "32.0000"
"2018/08/03" "32.2700" "26561240.0000" "31.9000" "32.2800" "31.7600"
"2018/08/02" "31.8500" "31192830.0000" "31.8500" "32.1000" "31.7650"
"2018/08/01" "31.9000" "31350040.0000" "32.2000" "32.2700" "31.8050"
"2018/07/31" "31.9700" "47508270.0000" "32.1400" "32.3400" "31.9400"
"2018/07/30" "32.0000" "64007780.0000" "31.5600" "32.1300" "31.4500"
"2018/07/27" "31.0800" "46026850.0000" "30.4500" "31.2100" "30.3532"
"2018/07/26" "30.3500" "44321640.0000" "30.3600" "30.5600" "30.3000"
"2018/07/25" "30.2500" "96399200.0000" "31.1000" "31.1800" "30.1300"
"2018/07/24" "31.6800" "50731640.0000" "31.2500" "31.6800" "31.0100"
"2018/07/23" "31.0000" "37253410.0000" "31.1400" "31.2000" "30.8000"
"2018/07/20" "31.1000" "36630770.0000" "31.3300" "31.3800" "31.0400"
"2018/07/19" "31.2700" "51622890.0000" "31.7300" "31.7800" "31.2500"
"2018/07/18" "31.7100" "44548180.0000" "31.8200" "31.9500" "31.7000"
"2018/07/17" "31.7600" "36403310.0000" "31.8700" "32.1100" "31.7100"
"2018/07/16" "31.9000" "33202580.0000" "31.7100" "31.9850" "31.6500"
"2018/07/13" "31.6700" "53335160.0000" "31.8800" "31.9200" "31.5000"
"2018/07/12" "32.2300" "44265080.0000" "32.0600" "32.3100" "31.9000"
"2018/07/11" "31.8700" "39139740.0000" "32.2800" "32.3500" "31.8600"
"2018/07/10" "32.5000" "38783710.0000" "32.2400" "32.5000" "32.1300"
"2018/07/09" "32.1500" "43430270.0000" "32.2400" "32.3700" "32.1100"
"2018/07/06" "32.6800" "41189420.0000" "32.6600" "32.7400" "32.4500"
"2018/07/05" "32.6000" "35316250.0000" "32.7500" "32.8000" "32.4600"
"2018/07/03" "32.7100" "33880390.0000" "32.2500" "32.7900" "32.1800"
"2018/07/02" "32.2100" "37739580.0000" "32.1600" "32.3100" "32.0000"
"2018/06/29" "32.1100" "42004320.0000" "32.2500" "32.4900" "32.0500"
"2018/06/28" "32.1900" "42212680.0000" "31.7500" "32.3200" "31.6600"
"2018/06/27" "31.6500" "46379170.0000" "31.9800" "32.0500" "31.6400"
"2018/06/26" "31.6200" "44616500.0000" "31.7300" "31.8100" "31.4000"
