"date" "close" "volume" "open" "high" "low"
"2018/12/31" "27.1800" "230691.0000" "26.4700" "27.4900" "26.1950"
"2018/12/28" "26.3100" "390990.0000" "26.4700" "26.6500" "25.5400"
"2018/12/27" "26.4300" "189810.0000" "26.0000" "26.4300" "25.2600"
"2018/12/26" "26.3300" "192319.0000" "25.6500" "26.7300" "25.3000"
"2018/12/24" "25.5400" "75416.0000" "25.2200" "26.1100" "25.1200"
"2018/12/21" "25.7500" "471815.0000" "27.2200" "27.2200" "25.5100"
"2018/12/20" "27.1700" "298291.0000" "27.5400" "27.5400" "25.5600"
"2018/12/19" "27.5400" "462388.0000" "27.5500" "28.8300" "27.2100"
"2018/12/18" "27.5200" "125106.0000" "27.2200" "27.8200" "26.8100"
"2018/12/17" "26.9400" "171094.0000" "28.5500" "28.5600" "26.7300"
"2018/12/14" "28.5600" "276552.0000" "28.3700" "28.8100" "27.8364"
"2018/12/13" "28.7400" "212587.0000" "28.3200" "29.6800" "27.6361"
"2018/12/12" "27.4400" "75081.0000" "27.5000" "27.9400" "27.3200"
"2018/12/11" "27.0100" "170329.0000" "27.3600" "27.9000" "26.8700"
"2018/12/10" "27.3600" "51368.0000" "27.1100" "27.5900" "26.7300"
"2018/12/07" "27.1000" "106007.0000" "27.9900" "28.1200" "26.8100"
"2018/12/06" "27.9800" "153471.0000" "26.3600" "28.0800" "26.0300"
"2018/12/04" "27.0000" "177764.0000" "27.9800" "28.3000" "26.5300"
"2018/12/03" "28.1800" "159413.0000" "28.8300" "28.8650" "27.9350"
"2018/11/30" "28.0800" "385614.0000" "29.2700" "29.6800" "27.8600"
"2018/11/29" "29.2600" "135567.0000" "29.5200" "29.6400" "28.9500"
"2018/11/28" "29.6800" "135174.0000" "28.5700" "29.7000" "28.4500"
"2018/11/27" "28.3500" "194555.0000" "28.6400" "29.0000" "28.2500"
"2018/11/26" "29.0700" "185548.0000" "28.4200" "29.1800" "27.9700"
"2018/11/23" "28.0000" "67854.0000" "27.6600" "28.2500" "27.5700"
"2018/11/21" "28.1000" "181174.0000" "28.0600" "28.4500" "27.5500"
"2018/11/20" "27.7300" "180776.0000" "26.6700" "28.4900" "26.3700"
"2018/11/19" "27.7100" "259122.0000" "30.2400" "30.8600" "27.4200"
"2018/11/16" "30.5000" "145029.0000" "30.3500" "31.1100" "30.1450"
"2018/11/15" "30.6900" "271381.0000" "29.0600" "30.7900" "29.0500"
"2018/11/14" "29.2700" "116795.0000" "29.8200" "30.0000" "29.1900"
"2018/11/13" "29.5000" "156919.0000" "29.2700" "29.9400" "28.8500"
"2018/11/12" "29.2300" "296283.0000" "31.7300" "31.7300" "28.7101"
"2018/11/09" "32.0000" "241942.0000" "32.8900" "34.7500" "31.2300"
"2018/11/08" "32.0900" "139164.0000" "32.5300" "32.8000" "31.4400"
"2018/11/07" "32.5400" "192709.0000" "30.5400" "32.6500" "30.5400"
"2018/11/06" "30.3500" "156893.0000" "30.4500" "31.2500" "30.0500"
"2018/11/05" "30.6100" "287197.0000" "32.5500" "32.6200" "29.9500"
"2018/11/02" "32.5500" "424582.0000" "32.3800" "33.6000" "32.3200"
"2018/11/01" "32.3500" "133499.0000" "31.6300" "32.3900" "31.1000"
"2018/10/31" "31.5400" "131030.0000" "30.9100" "31.6600" "30.7600"
"2018/10/30" "30.3100" "177164.0000" "29.1400" "30.3600" "28.7001"
"2018/10/29" "29.1400" "170719.0000" "30.5800" "31.5150" "28.7900"
"2018/10/26" "29.9900" "90035.0000" "29.8900" "30.7100" "29.1000"
"2018/10/25" "30.5500" "120069.0000" "29.5400" "30.8900" "29.5100"
"2018/10/24" "29.1400" "213293.0000" "31.7000" "31.7800" "29.1000"
"2018/10/23" "31.7400" "110904.0000" "30.8700" "32.0000" "30.6800"
"2018/10/22" "31.5000" "150039.0000" "31.4900" "32.3900" "31.0700"
"2018/10/19" "31.2800" "140758.0000" "33.0700" "33.2826" "31.1600"
"2018/10/18" "33.0300" "77842.0000" "34.0600" "34.1500" "32.6700"
"2018/10/17" "34.2700" "75538.0000" "34.3700" "34.3700" "33.3200"
"2018/10/16" "34.4500" "110703.0000" "33.1500" "34.5700" "32.7800"
"2018/10/15" "32.8200" "122550.0000" "32.1700" "33.3110" "31.5500"
"2018/10/12" "32.2000" "130876.0000" "32.1800" "33.0077" "31.6400"
"2018/10/11" "31.6500" "211090.0000" "32.2500" "32.8400" "31.3700"
"2018/10/10" "32.5800" "275147.0000" "35.0300" "35.2706" "32.5000"
"2018/10/09" "35.0200" "156523.0000" "35.1800" "35.8400" "34.6501"
"2018/10/08" "35.2100" "174463.0000" "36.5800" "36.5800" "34.6640"
"2018/10/05" "36.6700" "332251.0000" "35.4000" "37.0000" "35.3600"
"2018/10/04" "35.2600" "344615.0000" "34.6200" "36.1000" "34.2500"
"2018/10/03" "34.3200" "505175.0000" "33.1600" "34.8800" "33.0300"
"2018/10/02" "30.9100" "127862.0000" "32.3500" "32.3500" "30.8100"
"2018/10/01" "32.4300" "209933.0000" "32.4300" "33.1000" "32.2300"
"2018/09/28" "32.3100" "182862.0000" "31.3200" "32.3200" "31.0000"
"2018/09/27" "31.4600" "205073.0000" "32.1300" "32.3100" "31.2400"
"2018/09/26" "32.0900" "139519.0000" "32.7100" "33.0850" "32.0000"
"2018/09/25" "32.6700" "99929.0000" "32.8800" "33.3200" "32.5400"
"2018/09/24" "32.8600" "156771.0000" "33.3200" "33.3871" "32.2000"
"2018/09/21" "33.4500" "376168.0000" "34.0900" "34.1850" "33.2500"
"2018/09/20" "34.0500" "89701.0000" "33.7200" "34.1100" "33.4400"
"2018/09/19" "33.5000" "191654.0000" "34.0000" "34.0000" "33.2700"
"2018/09/18" "34.0600" "141491.0000" "33.4100" "34.4300" "33.2700"
"2018/09/17" "33.5400" "148569.0000" "34.8200" "34.8350" "33.4400"
"2018/09/14" "34.8150" "102602.0000" "35.1300" "35.5900" "34.7100"
"2018/09/13" "35.1300" "124965.0000" "35.6000" "35.8250" "35.0000"
"2018/09/12" "35.4000" "125222.0000" "35.7100" "36.0200" "34.9100"
"2018/09/11" "35.7100" "112190.0000" "35.8200" "36.7500" "35.4700"
"2018/09/10" "35.9500" "248846.0000" "35.1500" "35.9600" "34.8700"
"2018/09/07" "35.0500" "185050.0000" "35.3200" "35.7322" "34.9500"
"2018/09/06" "35.4700" "96039.0000" "35.5900" "35.7900" "35.0500"
"2018/09/05" "35.6500" "239349.0000" "35.8400" "35.9200" "34.4100"
"2018/09/04" "36.0000" "321358.0000" "37.2200" "37.2200" "35.5700"
