date close volume open high low
2019/04/12 7.06 248091.0 7.12 7.1895 6.9229
2019/04/11 7.04 138202.0 7.19 7.35 7.01
2019/04/10 7.14 124795.0 6.97 7.16 6.86
2019/04/09 6.94 194368.0 7.08 7.08 6.84
2019/04/08 7.09 154093.0 7.24 7.32 7.03
2019/04/05 7.29 225019.0 7.06 7.45 7.06
2019/04/04 7.06 324760.0 6.88 7.2 6.86
2019/04/03 6.86 130212.0 7.0 7.2 6.8
2019/04/02 6.94 272575.0 7.01 7.25 6.79
2019/04/01 7.0 427894.0 6.71 7.07 6.65
2019/03/29 6.61 527175.0 6.66 6.7399 6.34
2019/03/28 6.6 281220.0 6.4 6.64 6.16
2019/03/27 6.36 241032.0 6.42 6.55 6.27
2019/03/26 6.46 407568.0 6.44 6.69 6.21
2019/03/25 6.35 267782.0 6.54 6.77 6.31
2019/03/22 6.61 726133.0 7.19 7.19 6.51
2019/03/21 7.24 243621.0 7.26 7.5878 7.15
2019/03/20 7.27 471717.0 7.61 7.64 7.17
2019/03/19 7.67 461452.0 8.27 8.27 7.61
2019/03/18 8.22 225425.0 8.53 8.59 8.12
2019/03/15 8.53 781732.0 8.54 8.75 8.43
2019/03/14 8.52 237601.0 8.66 8.66 8.4
2019/03/13 8.57 122945.0 8.64 8.87 8.53
2019/03/12 8.61 150928.0 8.56 8.65 8.27
2019/03/11 8.52 235226.0 8.1 8.58 8.09
2019/03/08 8.07 203094.0 7.79 8.12 7.75
2019/03/07 7.87 157150.0 7.9 7.95 7.75
2019/03/06 7.9 210807.0 8.02 8.05 7.76
2019/03/05 7.95 344943.0 8.3 8.3585 7.9
2019/03/04 8.28 318297.0 9.03 9.03 8.26
2019/03/01 9.08 228390.0 8.89 9.28 8.75
2019/02/28 8.75 169413.0 8.96 9.0 8.6998
2019/02/27 8.99 139881.0 9.14 9.22 8.96
2019/02/26 9.12 223551.0 9.23 9.4 9.1
2019/02/25 9.24 177409.0 9.36 9.6 9.23
2019/02/22 9.25 221462.0 9.4 9.4 9.1
2019/02/21 9.4 284915.0 9.38 9.46 9.1
2019/02/20 9.3 196154.0 9.41 9.63 9.24
2019/02/19 9.4 201990.0 9.42 9.67 9.32
2019/02/15 9.43 185122.0 9.6 9.77 9.3
2019/02/14 9.55 185156.0 9.81 9.86 9.48
2019/02/13 9.84 306806.0 9.33 9.87 9.15
2019/02/12 9.33 364220.0 9.1 9.64 9.0
2019/02/11 8.93 629331.0 8.45 9.11 8.45
2019/02/08 8.38 1103508.0 7.8 9.2 7.72
2019/02/07 7.76 260547.0 7.9 8.06 7.54
2019/02/06 8.01 410486.0 7.85 8.09 7.75
2019/02/05 7.81 242284.0 7.77 7.85 7.63
2019/02/04 7.69 426309.0 7.58 7.76 7.4
2019/02/01 7.28 234690.0 7.4 7.4 7.1301
2019/01/31 7.38 641024.0 7.57 7.63 7.36
2019/01/30 7.57 268567.0 7.44 7.59 7.205
2019/01/29 7.36 280644.0 7.2 7.46 7.045
2019/01/28 7.17 320834.0 7.49 7.49 7.1
2019/01/25 7.56 526511.0 7.63 7.805 7.3
2019/01/24 7.56 148833.0 7.43 7.64 7.36
2019/01/23 7.41 242730.0 7.3 7.485 7.26
2019/01/22 7.32 291789.0 7.32 7.45 7.15
2019/01/18 7.4 490154.0 7.23 7.73 7.1
2019/01/17 7.15 164490.0 7.03 7.2 6.945
2019/01/16 6.96 234649.0 6.85 7.22 6.8026
2019/01/15 6.87 347245.0 6.97 7.0 6.4101
2019/01/14 6.95 269236.0 6.92 7.29 6.8
2019/01/11 7.0 418278.0 7.02 7.04 6.8
2019/01/10 7.1 810246.0 6.75 7.115 6.63
2019/01/09 6.82 725849.0 6.65 6.88 6.4
2019/01/08 6.55 809774.0 5.94 6.56 5.93
2019/01/07 5.86 327158.0 5.9 5.93 5.72
2019/01/04 5.9 364803.0 5.87 5.95 5.61
2019/01/03 5.73 291844.0 5.85 6.0599 5.535
2019/01/02 5.82 354813.0 5.45 6.18 5.43
2018/12/31 5.61 379036.0 5.49 5.64 5.31
2018/12/28 5.43 481093.0 5.39 5.6 5.27
2018/12/27 5.42 422882.0 5.26 5.43 5.1
2018/12/26 5.38 861902.0 4.94 5.6499 4.92
2018/12/24 4.94 254057.0 4.93 5.1 4.89
2018/12/21 5.05 583163.0 4.99 5.14 4.9
2018/12/20 4.96 755202.0 4.97 5.05 4.83
2018/12/19 4.95 803029.0 5.14 5.44 4.92
2018/12/18 5.1 983156.0 5.13 5.445 5.08
2018/12/17 5.14 693617.0 5.5 5.54 5.1
2018/12/14 5.5 437609.0 5.72 5.73 5.42
2018/12/13 5.72 509380.0 6.05 6.15 5.61
2018/12/12 6.08 451063.0 6.49 6.49 6.0
2018/12/11 6.33 398699.0 6.2 6.67 6.1
2018/12/10 6.0 756288.0 6.43 6.43 5.84
2018/12/07 6.37 407507.0 6.83 7.03 6.36
2018/12/06 6.86 648608.0 7.04 7.12 6.65
2018/12/04 7.03 799836.0 8.13 8.13 6.95
2018/12/03 8.19 484432.0 8.43 8.59 8.12
2018/11/30 8.23 429411.0 7.6 8.3 7.59
2018/11/29 7.64 170746.0 7.69 7.74 7.41
2018/11/28 7.66 181233.0 7.28 7.68 7.13
2018/11/27 7.28 151270.0 7.44 7.53 7.24
2018/11/26 7.45 156005.0 7.49 7.59 7.31
2018/11/23 7.43 100358.0 7.34 7.47 7.31
2018/11/21 7.35 238224.0 7.48 7.66 7.21
2018/11/20 7.47 590306.0 7.77 7.89 7.45
2018/11/19 7.91 331196.0 7.75 7.92 7.55
2018/11/16 7.79 186782.0 7.73 7.87 7.5
2018/11/15 7.79 235164.0 7.7 7.8054 7.36
2018/11/14 7.7 259854.0 7.54 7.92 7.54
2018/11/13 7.45 204148.0 7.49 7.62 7.36
2018/11/12 7.44 237415.0 7.6 7.73 7.31
2018/11/09 7.67 557780.0 8.31 8.31 7.48
2018/11/08 8.31 426140.0 8.23 8.69 7.89
2018/11/07 8.26 3531074.0 8.08 8.68 8.08
2018/11/06 8.02 1783721.0 7.0 8.03 6.97
2018/11/05 6.95 1546468.0 7.42 7.5 6.8001
2018/11/02 7.1 2917153.0 9.0 9.0 6.54
2018/11/01 10.14 830862.0 9.66 10.33 9.47
2018/10/31 9.63 574677.0 9.74 9.82 9.21
2018/10/30 9.65 148104.0 9.36 9.66 9.28
2018/10/29 9.38 133720.0 9.54 9.64 9.28
2018/10/26 9.42 107037.0 9.69 9.69 9.31
2018/10/25 9.82 137963.0 9.61 9.93 9.54
2018/10/24 9.54 252557.0 9.86 10.21 9.5
2018/10/23 9.85 165147.0 9.85 9.99 9.64
2018/10/22 10.01 274393.0 10.0 10.23 9.72
2018/10/19 9.96 199382.0 9.99 10.3203 9.65
2018/10/18 9.99 467907.0 10.67 10.67 9.9
2018/10/17 10.75 231519.0 11.27 11.27 10.63
2018/10/16 11.3 247164.0 11.38 11.58 11.02
2018/10/15 11.31 185089.0 11.05 11.44 10.9377
2018/10/12 11.19 427546.0 11.45 11.45 10.73
2018/10/11 11.24 397910.0 11.7 11.92 11.13
2018/10/10 11.79 421543.0 12.2 12.295 11.72
2018/10/09 12.27 355445.0 12.34 12.55 12.07
2018/10/08 12.39 257107.0 12.55 12.63 12.2
2018/10/05 12.61 425226.0 13.25 13.38 12.34
2018/10/04 13.28 132955.0 13.58 13.76 13.27
2018/10/03 13.58 237267.0 13.4 13.76 13.31
2018/10/02 13.39 454950.0 13.55 13.67 13.31
2018/10/01 13.62 361813.0 14.0 14.0 13.51
2018/09/28 13.8 311708.0 13.61 13.97 13.41
2018/09/27 13.67 212998.0 13.71 13.72 13.4
2018/09/26 13.7 202246.0 13.91 14.03 13.68
2018/09/25 13.89 291592.0 14.02 14.15 13.81
2018/09/24 14.02 314840.0 14.02 14.21 13.78
2018/09/21 14.09 3198605.0 14.5 14.561 13.88
2018/09/20 14.49 357467.0 14.68 15.0 14.46
2018/09/19 14.66 327305.0 15.03 15.08 14.58
2018/09/18 15.06 264692.0 15.18 15.41 14.79
2018/09/17 15.14 540187.0 14.99 15.48 14.771
2018/09/14 15.01 206400.0 14.79 15.125 14.73
2018/09/13 14.89 681078.0 15.62 15.62 14.5
2018/09/12 15.67 459414.0 15.79 16.2 15.47
2018/09/11 15.92 748936.0 16.01 16.15 15.225
2018/09/10 16.11 598956.0 15.93 16.3402 15.93
2018/09/07 15.78 345988.0 15.15 15.84 15.15
2018/09/06 15.21 421000.0 15.08 15.44 14.705
2018/09/05 15.01 277745.0 14.82 15.08 14.55
2018/09/04 14.82 311831.0 14.69 14.97 14.63
2018/08/31 14.79 106711.0 14.76 14.9481 14.57
2018/08/30 14.78 105087.0 14.88 14.95 14.72
2018/08/29 14.82 226509.0 14.73 15.05 14.63
2018/08/28 14.77 149650.0 14.91 14.99 14.5755
2018/08/27 14.88 146792.0 14.63 15.04 14.57
2018/08/24 14.54 127483.0 14.62 14.85 14.39
2018/08/23 14.38 179688.0 14.42 14.6601 14.35
2018/08/22 14.42 348537.0 14.27 14.49 14.1483
2018/08/21 14.28 339376.0 14.19 14.32 14.12
2018/08/20 14.17 169225.0 14.03 14.25 13.91
2018/08/17 14.0 143854.0 13.96 14.07 13.77
2018/08/16 14.07 262406.0 14.03 14.24 13.8
2018/08/15 14.0 183972.0 14.11 14.25 13.61
2018/08/14 14.18 182663.0 14.01 14.32 13.81
2018/08/13 13.99 111723.0 14.07 14.1 13.8322
2018/08/10 14.04 256496.0 13.95 14.1 13.61
2018/08/09 14.05 191045.0 14.08 14.16 13.71
2018/08/08 14.09 340808.0 13.87 14.17 13.87
2018/08/07 13.92 455817.0 13.72 14.08 13.625
2018/08/06 13.66 300246.0 13.45 13.74 13.43
2018/08/03 13.33 255985.0 13.76 13.86 13.0
2018/08/02 13.48 257781.0 13.0 13.5 12.91
2018/08/01 13.02 158437.0 12.95 13.24 12.77
2018/07/31 13.1 294013.0 12.9 13.35 12.75
2018/07/30 13.07 175129.0 13.03 13.33 12.85
2018/07/27 13.09 221169.0 13.23 13.64 12.7
2018/07/26 13.1 305024.0 13.31 13.34 12.66
2018/07/25 13.34 977739.0 14.22 14.22 13.25
2018/07/24 14.16 323463.0 15.43 15.43 13.82
2018/07/23 15.29 97132.0 15.06 15.49 14.6501
2018/07/20 14.85 137368.0 14.7 15.14 14.59
2018/07/19 14.79 186044.0 14.9 15.3 14.0
2018/07/18 14.84 180079.0 14.4 15.11 14.3384
2018/07/17 14.42 350868.0 14.56 14.74 14.4
2018/07/16 14.71 498044.0 15.61 15.67 14.33
2018/07/13 15.64 190234.0 15.56 15.83 14.9755
2018/07/12 15.59 362857.0 16.0 16.0 15.4
2018/07/11 15.82 235074.0 15.6 16.07 15.35
2018/07/10 15.64 310826.0 15.5 15.88 15.36
2018/07/09 15.49 747985.0 16.03 16.04 15.3
2018/07/06 15.77 316676.0 15.44 15.79 15.35
2018/07/05 15.33 223082.0 15.37 15.4504 15.15
2018/07/03 15.31 146051.0 15.3 15.6 15.27
2018/07/02 15.2 199695.0 15.12 15.3 14.71
2018/06/29 15.14 871177.0 13.58 15.55 13.58
2018/06/28 13.67 769690.0 12.79 13.72 12.61
2018/06/27 12.66 857112.0 13.44 13.95 12.63
2018/06/26 13.52 615017.0 14.38 14.5 13.46
2018/06/25 14.46 517204.0 15.38 15.44 14.34
2018/06/22 15.3 282196.0 15.57 15.6 15.05
2018/06/21 15.63 194125.0 15.8 15.9399 15.3866
2018/06/20 15.79 851054.0 15.2 15.8 15.15
2018/06/19 15.11 950469.0 15.89 15.89 15.0
2018/06/18 16.1 282132.0 16.44 16.5 16.03
2018/06/15 16.62 639197.0 16.45 16.83 16.05
2018/06/14 16.68 6312376.0 16.3 16.94 16.07
2018/06/13 20.1 0.0 20.1 20.1 20.1
2018/06/12 20.1 0.0 20.1 20.1 20.1
2018/06/11 20.1 0.0 20.1 20.1 20.1
2018/06/08 20.1 0.0 20.1 20.1 20.1
2018/06/07 20.1 0.0 20.1 20.1 20.1
2018/06/06 20.1 0.0 20.1 20.1 20.1
2018/06/05 20.1 0.0 20.1 20.1 20.1
2018/06/04 20.1 0.0 20.1 20.1 20.1
2018/06/01 20.1 0.0 20.1 20.1 20.1
2018/05/31 20.1 0.0 20.1 20.1 20.1
2018/05/30 20.1 0.0 20.1 20.1 20.1
2018/05/29 20.1 0.0 20.1 20.1 20.1
2018/05/25 20.1 0.0 20.1 20.1 20.1
2018/05/24 20.1 0.0 20.1 20.1 20.1
2018/05/23 20.1 0.0 20.1 20.1 20.1
2018/05/22 20.1 0.0 20.1 20.1 20.1
2018/05/21 20.1 0.0 20.1 20.1 20.1
2018/05/18 20.1 0.0 20.1 20.1 20.1
2018/05/17 20.1 0.0 20.1 20.1 20.1
2018/05/16 20.1 0.0 20.1 20.1 20.1
2018/05/15 20.1 0.0 20.1 20.1 20.1
2018/05/14 20.1 0.0 20.1 20.1 20.1
2018/05/11 20.1 0.0 20.1 20.1 20.1
2018/05/10 20.1 0.0 20.1 20.1 20.1
2018/05/09 20.1 0.0 20.1 20.1 20.1
2018/05/08 20.1 0.0 20.1 20.1 20.1
2018/05/07 20.1 0.0 20.1 20.1 20.1
2018/05/04 20.1 0.0 20.1 20.1 20.1
2018/05/03 20.1 0.0 20.1 20.1 20.1
2018/05/02 20.1 0.0 20.1 20.1 20.1
2018/05/01 20.1 0.0 20.1 20.1 20.1
2018/04/30 20.1 0.0 20.1 20.1 20.1
2018/04/27 20.1 0.0 20.1 20.1 20.1
2018/04/26 20.1 0.0 20.1 20.1 20.1
2018/04/25 20.1 0.0 20.1 20.1 20.1
2018/04/24 20.1 0.0 20.1 20.1 20.1
