"date","close","volume","open","high","low"
"12:32","131.61","1,225,912","132.70","132.33","130.26"
"2019/04/09","132.2500","2083344.0000","132.6500","132.9100","131.2000"
"2019/04/08","133.5600","2717699.0000","132.3300","133.6300","131.1900"
"2019/04/05","133.7200","2499404.0000","133.1600","133.8000","132.5600"
"2019/04/04","132.7000","2194631.0000","131.5000","133.2700","130.8500"
"2019/04/03","131.3100","2839922.0000","132.6100","132.7224","130.6100"
"2019/04/02","131.9000","2786776.0000","133.0700","133.3700","131.5500"
"2019/04/01","133.1900","5214555.0000","129.9900","133.4300","129.9900"
"2019/03/29","128.8900","3045667.0000","128.2600","129.0900","127.4800"
"2019/03/28","127.2700","1867369.0000","126.7100","127.4000","126.1900"
"2019/03/27","126.3000","2718822.0000","126.1200","127.1400","125.6400"
"2019/03/26","126.1400","3204202.0000","126.1800","126.9500","125.0600"
"2019/03/25","125.4000","2270903.0000","124.9600","125.8300","124.5900"
"2019/03/22","125.1500","3862760.0000","126.0000","126.3300","123.4500"
"2019/03/21","126.8800","2597839.0000","124.5500","127.1800","124.3300"
"2019/03/20","125.3100","2939027.0000","126.4400","126.5000","124.5300"
"2019/03/19","126.5100","2941166.0000","127.6200","128.1700","125.9100"
"2019/03/18","126.9000","3529922.0000","126.1100","127.0000","125.5300"
"2019/03/15","125.9200","9689372.0000","127.1700","127.4300","125.9000"
"2019/03/14","126.8900","3559676.0000","126.6400","126.9400","125.7100"
"2019/03/13","126.6400","4853924.0000","124.9700","127.2755","124.9700"
"2019/03/12","124.6700","3844226.0000","125.7100","126.9100","124.5200"
"2019/03/11","126.0100","4619913.0000","121.5800","126.1900","121.4800"
"2019/03/08","124.0200","3091534.0000","123.8500","124.1400","122.2900"
"2019/03/07","124.4600","4163867.0000","125.0100","125.0900","122.9200"
"2019/03/06","125.3900","3519476.0000","126.1800","126.8600","125.3700"
"2019/03/05","125.9400","3148155.0000","125.6400","126.8400","125.6400"
"2019/03/04","125.7400","3474416.0000","126.2900","127.4000","125.0971"
"2019/03/01","125.7700","3821941.0000","126.9800","127.3500","125.2400"
"2019/02/28","125.6700","4416175.0000","126.6900","127.3300","125.5700"
"2019/02/27","126.9000","2497953.0000","127.0800","127.3500","126.1000"
"2019/02/26","127.1900","3396965.0000","127.7800","128.4500","126.7700"
"2019/02/25","128.2700","2672137.0000","128.7000","129.1200","128.1600"
"2019/02/22","127.7700","3158092.0000","128.0500","128.3489","126.8000"
"2019/02/21","126.3200","3234407.0000","128.1500","128.5900","125.8300"
"2019/02/20","128.4300","6301071.0000","128.7000","129.6400","127.8300"
"2019/02/19","128.6400","6092475.0000","127.3800","129.1400","126.8600"
"2019/02/15","127.7600","6828137.0000","125.6000","127.9100","125.0300"
"2019/02/14","124.1300","3747015.0000","123.1500","124.3850","122.7100"
"2019/02/13","124.4200","2462818.0000","124.3500","124.8900","124.2200"
"2019/02/12","123.9800","3539493.0000","123.3600","124.3500","122.7100"
"2019/02/11","122.7200","3915932.0000","122.9000","123.1118","121.5100"
"2019/02/08","122.4900","3904402.0000","120.2900","122.5200","120.2200"
"2019/02/07","120.7200","4643462.0000","120.3600","120.9900","118.9900"
"2019/02/06","121.3600","3477796.0000","120.8600","121.7300","120.3400"
"2019/02/05","120.7700","3576993.0000","119.8200","120.7900","119.0800"
"2019/02/04","119.1400","4935733.0000","118.9900","119.2500","117.8800"
"2019/02/01","118.9800","4127709.0000","119.5900","120.0300","118.1100"
"2019/01/31","118.0700","6080628.0000","119.5700","119.5700","117.6250"
"2019/01/30","119.1200","7155074.0000","118.6000","120.2500","117.2500"
"2019/01/29","117.8400","10828570.0000","115.5700","118.2200","115.5000"
"2019/01/28","115.0800","8377185.0000","115.2000","115.2600","113.7700"
"2019/01/25","115.8100","4641289.0000","116.3400","116.9000","115.0800"
"2019/01/24","115.5600","9021029.0000","117.7500","119.3500","114.5400"
"2019/01/23","117.0400","12523630.0000","117.3000","119.3400","114.3500"
"2019/01/22","111.0600","5684952.0000","113.0100","113.1600","110.6500"
"2019/01/18","113.9000","4635984.0000","114.2900","114.7000","112.9000"
"2019/01/17","112.7700","3192829.0000","110.3700","113.5000","110.3000"
"2019/01/16","110.8700","3855192.0000","111.0900","111.5900","110.4500"
"2019/01/15","111.0600","2797248.0000","110.7500","111.2200","109.5400"
"2019/01/14","110.8500","3155359.0000","109.2000","111.4750","108.8000"
"2019/01/11","109.9500","3624803.0000","109.5600","109.9800","108.6200"
"2019/01/10","110.4100","3287089.0000","108.7600","110.5400","108.7314"
"2019/01/09","109.3200","4233360.0000","109.5600","109.6400","108.5400"
"2019/01/08","108.9000","3702836.0000","108.8400","109.4500","107.3500"
"2019/01/07","106.9700","5221505.0000","107.0600","107.4100","105.5400"
