date close volume open high low
2018/12/31 2.3400 1158433.0000 2.3700 2.4000 2.3100
2018/12/28 2.3500 1134834.0000 2.3500 2.3900 2.3200
2018/12/27 2.3600 2047338.0000 2.3500 2.4100 2.2900
2018/12/26 2.3600 3116237.0000 2.2500 2.3700 2.2000
2018/12/24 2.2100 1161977.0000 2.1900 2.2500 2.1700
2018/12/21 2.2200 6866593.0000 2.2800 2.3100 2.2000
2018/12/20 2.2750 6335488.0000 2.3100 2.3350 2.2600
2018/12/19 2.2800 6723111.0000 2.2800 2.3800 2.2600
2018/12/18 2.2750 5758367.0000 2.3300 2.3500 2.2600
2018/12/17 2.2800 15535060.0000 2.4100 2.4200 2.2800
2018/12/14 2.4000 5701993.0000 2.5400 2.5700 2.3500
2018/12/13 2.4600 1806847.0000 2.5500 2.5500 2.4600
2018/12/12 2.5100 1994634.0000 2.4900 2.5400 2.4700
2018/12/11 2.4900 2875065.0000 2.5100 2.5900 2.4800
2018/12/10 2.4700 2218645.0000 2.4900 2.4900 2.4390
2018/12/07 2.5100 3017754.0000 2.5800 2.6550 2.5100
2018/12/06 2.5400 3321781.0000 2.6000 2.6400 2.5200
2018/12/04 2.6300 1718854.0000 2.7300 2.7500 2.6100
2018/12/03 2.7400 1691654.0000 2.7500 2.7500 2.6900
2018/11/30 2.7200 1710410.0000 2.7200 2.7500 2.6600
2018/11/29 2.6900 3392061.0000 2.5700 2.7700 2.5700
2018/11/28 2.5700 3106938.0000 2.6700 2.6800 2.5400
2018/11/27 2.6500 2242261.0000 2.6600 2.7000 2.5827
2018/11/26 2.7000 4028518.0000 2.7400 2.8000 2.6850
2018/11/23 2.7500 1080815.0000 2.8100 2.8100 2.7500
2018/11/21 2.8100 1673177.0000 2.7700 2.8300 2.7500
2018/11/20 2.7700 1519905.0000 2.7700 2.7900 2.7400
2018/11/19 2.7900 1638924.0000 2.8100 2.8300 2.7800
2018/11/16 2.8200 796025.0000 2.8300 2.8400 2.8000
2018/11/15 2.8300 1615673.0000 2.8000 2.8700 2.7900
2018/11/14 2.7900 1670784.0000 2.8000 2.8600 2.7700
2018/11/13 2.8200 2279010.0000 2.7700 2.8400 2.7500
2018/11/12 2.7500 2562068.0000 2.8300 2.8700 2.7300
2018/11/09 2.8200 3177918.0000 2.8500 2.8500 2.7050
2018/11/08 2.9000 1200228.0000 2.9200 2.9700 2.8700
2018/11/07 2.9000 5465858.0000 2.8800 2.9200 2.8000
2018/11/06 2.8400 1148672.0000 2.8500 2.8700 2.8050
2018/11/05 2.8700 953961.0000 2.8500 2.9100 2.8400
2018/11/02 2.8700 1776989.0000 2.8300 2.9300 2.8300
2018/11/01 2.9000 4031855.0000 2.8200 2.9150 2.8200
2018/10/31 2.8100 1955614.0000 2.8600 2.9000 2.8000
2018/10/30 2.8500 1885870.0000 2.8100 2.8700 2.7700
2018/10/29 2.8100 1318797.0000 2.8600 2.9050 2.7950
2018/10/26 2.8400 1492777.0000 2.9700 2.9801 2.8100
2018/10/25 2.9000 1305693.0000 2.9000 2.9150 2.8591
2018/10/24 2.9100 2017307.0000 2.9500 2.9500 2.9100
2018/10/23 2.9300 2412442.0000 2.8600 2.9300 2.8300
2018/10/22 2.8800 826884.0000 2.9200 2.9400 2.8800
2018/10/19 2.9200 1331997.0000 2.9000 2.9300 2.8700
2018/10/18 2.9400 2216500.0000 2.9100 2.9500 2.8600
2018/10/17 2.9300 3829903.0000 2.8400 2.9500 2.8300
2018/10/16 2.8300 3829624.0000 2.8200 2.8800 2.8200
2018/10/15 2.7900 2233940.0000 2.7600 2.8500 2.7500
2018/10/12 2.7500 4684167.0000 2.7400 2.8185 2.6900
2018/10/11 2.7700 4547257.0000 2.8200 2.8200 2.7600
2018/10/10 2.8000 2760595.0000 2.8400 2.8900 2.7800
2018/10/09 2.8400 852967.0000 2.8600 2.8987 2.8300
2018/10/08 2.8700 1902043.0000 2.8900 2.9250 2.8450
2018/10/05 2.9000 3763076.0000 2.9100 2.9300 2.8600
2018/10/04 2.8900 3177523.0000 2.8800 2.9100 2.8250
2018/10/03 2.8700 2862103.0000 2.9100 2.9300 2.8500
2018/10/02 2.9100 5752109.0000 2.9000 2.9400 2.8900
2018/10/01 2.8800 2200273.0000 2.9000 2.9100 2.8500
