date close volume open high low
2018/12/31 4.0000 8200.0000 4.1600 4.3400 4.0000
2018/12/28 4.1000 4725.0000 3.9597 4.1000 3.9597
2018/12/27 3.9900 13864.0000 3.9300 4.0000 3.9300
2018/12/26 3.9800 3052.0000 3.9700 3.9900 3.9300
2018/12/24 3.9300 1282.0000 4.0400 4.0400 3.9300
2018/12/21 3.9800 9679.0000 4.0100 4.0150 3.9700
2018/12/20 4.0000 24019.0000 4.0250 4.0300 3.9700
2018/12/19 3.9700 33925.0000 4.1010 4.2300 3.7500
2018/12/18 4.1000 309.0000 4.1000 4.1000 4.1000
2018/12/17 4.0100 10285.0000 4.0000 4.2300 3.9800
2018/12/14 3.8550 14501.0000 4.3000 4.3000 3.7500
2018/12/13 4.2800 830.0000 4.3200 4.3200 4.0803
2018/12/12 4.3700 0.0000 4.3700 4.3700 4.3700
2018/12/11 4.3700 774.0000 4.3700 4.4000 4.3700
2018/12/10 4.4000 1886.0000 4.3680 4.4000 4.3200
2018/12/07 4.3900 302.0000 4.3800 4.3900 4.3800
2018/12/06 4.3200 2154.0000 4.2600 4.3300 4.2600
2018/12/04 4.4000 1801.0000 4.3200 4.4000 4.3200
2018/12/03 4.4000 1887.0000 4.3999 4.4000 4.3452
2018/11/30 4.3900 23877.0000 4.3550 4.4400 4.3200
2018/11/29 4.4000 0.0000 4.4000 4.4000 4.4000
2018/11/28 4.4000 490.0000 4.4000 4.4000 4.4000
2018/11/27 4.3950 11818.0000 4.3722 4.4000 4.2701
2018/11/26 4.3600 2279.0000 4.3100 4.3600 4.1300
2018/11/23 4.4000 145.0000 4.4000 4.4000 4.4000
2018/11/21 4.4000 2243.0000 4.3200 4.4000 4.2650
2018/11/20 4.2600 7197.0000 4.1100 4.3199 4.0584
2018/11/19 4.3300 13963.0000 4.1300 4.3300 4.0500
2018/11/16 4.3800 2075.0000 4.3000 4.4200 4.3000
2018/11/15 4.3600 4175.0000 4.3200 4.5100 4.3200
2018/11/14 4.5200 1252.0000 4.3200 4.5200 4.3100
2018/11/13 4.3300 2277.0000 4.1800 4.3300 4.1800
2018/11/12 4.1100 2603.0000 4.3900 4.3900 4.1100
2018/11/09 4.3100 472.0000 4.4300 4.4300 4.3100
2018/11/08 4.3800 8098.0000 4.2800 4.3800 4.0900
2018/11/07 4.3100 760.0000 4.4600 4.4600 4.3100
2018/11/06 4.3800 3318.0000 4.4000 4.4800 4.3800
2018/11/05 4.4100 10199.0000 4.3372 4.5300 4.3025
2018/11/02 4.4500 1813.0000 4.3200 4.5200 4.3200
2018/11/01 4.3200 0.0000 4.3200 4.3200 4.3200
2018/10/31 4.3200 312.0000 4.3100 4.3200 4.3100
2018/10/30 4.3300 1182.0000 4.1854 4.3300 4.1205
2018/10/29 4.2800 10610.0000 4.0000 4.2800 3.9600
2018/10/26 3.8800 9327.0000 4.0000 4.0965 3.8800
2018/10/25 4.0500 5163.0000 3.9400 4.0900 3.9400
2018/10/24 3.9000 5802.0000 3.9400 3.9799 3.9000
2018/10/23 3.9200 2627.0000 4.0000 4.0000 3.9200
2018/10/22 3.9300 6481.0000 3.9113 3.9992 3.9113
2018/10/19 3.9304 4167.0000 3.9600 3.9600 3.9200
2018/10/18 3.9400 3836.0000 3.9710 3.9900 3.9400
2018/10/17 3.9500 8012.0000 3.9400 3.9985 3.9400
2018/10/16 3.9400 10755.0000 4.0900 4.0999 3.9400
