"date" "close" "volume" "open" "high" "low"
"2018/12/31" "114.5000" "281837.0000" "114.3500" "114.5000" "113.3100"
"2018/12/28" "113.5500" "207441.0000" "114.1800" "114.9600" "112.8700"
"2018/12/27" "113.5100" "242727.0000" "111.2900" "113.5100" "109.4500"
"2018/12/26" "112.5000" "207067.0000" "108.0800" "112.5000" "107.0500"
"2018/12/24" "107.2100" "118775.0000" "109.2400" "109.8400" "107.2100"
"2018/12/21" "110.1500" "175192.0000" "112.9300" "114.1300" "109.8600"
"2018/12/20" "112.4500" "295061.0000" "113.8200" "114.4000" "111.3500"
"2018/12/19" "114.2500" "106386.0000" "116.2200" "117.9500" "113.5200"
"2018/12/18" "116.1500" "99588.0000" "117.0900" "117.3300" "115.3800"
"2018/12/17" "116.0800" "92265.0000" "118.0500" "118.5790" "115.4900"
"2018/12/14" "118.5800" "62651.0000" "119.7800" "120.1053" "118.3200"
"2018/12/13" "120.8100" "44511.0000" "121.4700" "121.6400" "120.3000"
"2018/12/12" "121.4900" "35045.0000" "122.4200" "123.0200" "121.4900"
"2018/12/11" "120.8900" "112095.0000" "122.6800" "122.6800" "120.2300"
"2018/12/10" "121.0900" "58915.0000" "120.9100" "121.3800" "118.5800"
"2018/12/07" "120.8100" "77572.0000" "123.6400" "124.0600" "120.3500"
"2018/12/06" "123.5600" "88557.0000" "121.9700" "123.5600" "120.2700"
"2018/12/04" "123.8100" "44087.0000" "127.4300" "127.5900" "123.7000"
"2018/12/03" "127.6700" "38124.0000" "128.4300" "128.4300" "127.1400"
"2018/11/30" "126.4400" "557788.0000" "125.5000" "126.5300" "125.3700"
"2018/11/29" "125.4600" "39766.0000" "125.3300" "126.1300" "124.8200"
"2018/11/28" "125.6600" "41656.0000" "123.3600" "125.6600" "123.0900"
"2018/11/27" "122.8000" "78079.0000" "122.0900" "122.8600" "121.7900"
"2018/11/26" "122.5800" "28920.0000" "121.9100" "122.6100" "121.7300"
"2018/11/23" "120.7361" "11880.0000" "120.6100" "121.2400" "120.5800"
"2018/11/21" "121.4100" "42633.0000" "121.7400" "122.3293" "121.4100"
"2018/11/20" "121.0100" "110967.0000" "121.1600" "122.0000" "120.4700"
"2018/11/19" "123.1400" "38592.0000" "125.0000" "125.0300" "122.7500"
"2018/11/16" "125.2800" "57347.0000" "124.3900" "125.5500" "124.2320"
"2018/11/15" "124.9300" "80546.0000" "123.0100" "125.1600" "122.2800"
"2018/11/14" "123.5900" "81196.0000" "125.4300" "125.6700" "123.0000"
"2018/11/13" "124.5500" "38042.0000" "124.8100" "125.9300" "124.2100"
"2018/11/12" "124.6300" "15623.0000" "126.9000" "126.9000" "124.4700"
"2018/11/09" "127.2500" "24962.0000" "127.6800" "127.7600" "126.4200"
"2018/11/08" "128.2600" "28681.0000" "128.2900" "128.7100" "128.0000"
"2018/11/07" "128.6400" "28950.0000" "127.0100" "128.6700" "127.0100"
"2018/11/06" "126.1100" "20885.0000" "125.1200" "126.1100" "125.1200"
"2018/11/05" "125.3100" "32728.0000" "124.8200" "125.5600" "124.6797"
"2018/11/02" "124.5800" "52565.0000" "125.8700" "126.1398" "123.6900"
"2018/11/01" "125.4500" "29887.0000" "124.3300" "125.4600" "123.9300"
"2018/10/31" "123.9400" "44769.0000" "123.9400" "125.1200" "123.9200"
"2018/10/30" "122.6600" "66869.0000" "120.4400" "122.6600" "120.4400"
"2018/10/29" "120.6700" "64661.0000" "123.0200" "123.6900" "119.0900"
"2018/10/26" "121.4000" "88325.0000" "121.6400" "122.9700" "120.0900"
"2018/10/25" "123.5400" "38377.0000" "122.1800" "124.2859" "121.8800"
"2018/10/24" "121.3600" "40520.0000" "125.2000" "125.2000" "121.1800"
"2018/10/23" "125.1600" "52581.0000" "123.9200" "125.7800" "123.0300"
"2018/10/22" "125.9200" "17880.0000" "126.8100" "126.9200" "125.7200"
"2018/10/19" "126.4700" "23177.0000" "127.1200" "127.8850" "126.1800"
"2018/10/18" "126.6600" "32409.0000" "127.9800" "128.2400" "126.1500"
"2018/10/17" "128.4900" "18026.0000" "128.6200" "128.7700" "127.3700"
"2018/10/16" "128.5400" "16820.0000" "126.7700" "128.5800" "126.6200"
"2018/10/15" "125.8000" "36924.0000" "126.4000" "126.8400" "125.7382"
"2018/10/12" "126.4000" "42401.0000" "126.8700" "126.8700" "124.9100"
"2018/10/11" "124.7400" "85997.0000" "127.0300" "127.6400" "124.0100"
"2018/10/10" "127.3400" "44537.0000" "131.3100" "131.3100" "127.2600"
"2018/10/09" "131.5500" "23056.0000" "131.5300" "132.0400" "131.4300"
"2018/10/08" "131.8000" "14481.0000" "131.7100" "131.9900" "130.9310"
"2018/10/05" "131.9100" "26765.0000" "132.8100" "132.9700" "131.1568"
"2018/10/04" "132.7001" "21572.0000" "133.5500" "133.5500" "131.9200"
"2018/10/03" "133.8800" "17875.0000" "134.1000" "134.3505" "133.6500"
"2018/10/02" "133.7400" "18024.0000" "133.8000" "134.0298" "133.5701"
"2018/10/01" "133.7800" "19566.0000" "134.4400" "134.4400" "133.6000"
"2018/09/28" "133.4600" "8759.0000" "133.0600" "133.6600" "133.0600"
"2018/09/27" "133.4300" "14367.0000" "133.5900" "133.9750" "133.2200"
"2018/09/26" "132.9400" "24984.0000" "133.6600" "134.1700" "132.9400"
"2018/09/25" "134.1200" "22004.0000" "134.4100" "134.4500" "134.0600"
"2018/09/24" "134.2100" "187865.0000" "134.5300" "134.5300" "133.9900"
"2018/09/21" "134.7700" "15233.0000" "135.0800" "135.2600" "134.6700"
"2018/09/20" "134.8665" "48412.0000" "134.5000" "134.9810" "134.4400"
"2018/09/19" "133.8200" "5949.0000" "133.7800" "133.9298" "133.6850"
"2018/09/18" "133.7900" "16153.0000" "133.1300" "133.9800" "133.1300"
"2018/09/17" "132.9142" "9403.0000" "133.8800" "133.8800" "132.9142"
"2018/09/14" "133.8900" "7673.0000" "133.8900" "133.9574" "133.5500"
"2018/09/13" "133.7200" "48634.0000" "133.5400" "133.8300" "133.4357"
"2018/09/12" "133.0573" "12938.0000" "132.9900" "133.1714" "132.6230"
"2018/09/11" "133.0150" "13772.0000" "132.1100" "133.1200" "132.1100"
"2018/09/10" "132.5093" "11449.0000" "132.6900" "132.7707" "132.4200"
"2018/09/07" "132.2800" "14201.0000" "132.0000" "132.7400" "132.0000"
"2018/09/06" "132.5600" "10995.0000" "132.9800" "132.9900" "132.1000"
"2018/09/05" "132.9300" "19225.0000" "133.2600" "133.2600" "132.4500"
"2018/09/04" "133.3400" "11687.0000" "133.4700" "133.5500" "132.9127"
"2018/08/31" "133.5700" "8254.0000" "133.3100" "133.6900" "133.2498"
"2018/08/30" "133.5300" "13144.0000" "133.9100" "133.9900" "133.2900"
"2018/08/29" "134.1100" "12429.0000" "133.4000" "134.1400" "133.4000"
"2018/08/28" "133.2800" "8357.0000" "133.6300" "133.6300" "133.1400"
"2018/08/27" "133.1900" "8897.0000" "132.7600" "133.3078" "132.7600"
"2018/08/24" "132.2632" "13023.0000" "131.8900" "132.3400" "131.8000"
"2018/08/23" "131.4200" "39292.0000" "131.5800" "131.8600" "131.3700"
"2018/08/22" "131.7000" "9034.0000" "131.6300" "131.8292" "131.4400"
"2018/08/21" "131.7200" "11502.0000" "131.5700" "132.0870" "131.5700"
"2018/08/20" "131.3400" "9088.0000" "131.1300" "131.4400" "131.0003"
"2018/08/17" "130.9500" "19879.0000" "130.3300" "131.1124" "130.3300"
"2018/08/16" "130.5700" "13830.0000" "130.3800" "131.0100" "130.3800"
"2018/08/15" "129.4900" "24040.0000" "129.7800" "129.7800" "128.8000"
"2018/08/14" "130.5750" "12417.0000" "130.1900" "130.6200" "129.9700"
"2018/08/13" "129.6697" "9464.0000" "130.2300" "130.5600" "129.6697"
"2018/08/10" "130.2200" "14776.0000" "130.3200" "130.6000" "129.9600"
"2018/08/09" "131.0800" "20392.0000" "131.2000" "131.4650" "131.0300"
"2018/08/08" "131.2600" "12088.0000" "131.2000" "131.3372" "131.0100"
"2018/08/07" "131.2400" "15503.0000" "131.1300" "131.3850" "131.1300"
"2018/08/06" "130.8200" "19081.0000" "130.5500" "130.9100" "130.1800"
"2018/08/03" "130.2400" "35156.0000" "129.8400" "130.3000" "129.8200"
"2018/08/02" "129.8400" "25356.0000" "128.4600" "129.8500" "128.3600"
"2018/08/01" "129.0180" "73114.0000" "129.2800" "129.5500" "128.6800"
"2018/07/31" "129.1700" "21343.0000" "128.9400" "129.5200" "128.7600"
"2018/07/30" "128.3900" "25927.0000" "129.4000" "129.4000" "128.2750"
"2018/07/27" "129.2500" "18888.0000" "130.4500" "130.4500" "128.8300"
"2018/07/26" "130.2400" "26151.0000" "129.7600" "130.5000" "129.7600"
"2018/07/25" "130.4100" "24324.0000" "129.2900" "130.5400" "129.2900"
"2018/07/24" "129.3100" "11150.0000" "129.5900" "129.8700" "128.9800"
"2018/07/23" "128.9400" "9355.0000" "128.5500" "129.0000" "128.4714"
"2018/07/20" "128.8280" "16430.0000" "128.9200" "128.9880" "128.7100"
"2018/07/19" "128.9300" "14330.0000" "129.0500" "129.2000" "128.8200"
"2018/07/18" "129.3600" "18146.0000" "129.1800" "129.4000" "128.9400"
"2018/07/17" "129.0400" "11057.0000" "128.0300" "129.2200" "128.0300"
"2018/07/16" "128.5100" "11485.0000" "128.8900" "128.8900" "128.3081"
"2018/07/13" "128.7300" "8216.0000" "128.5100" "128.8483" "128.5080"
"2018/07/12" "128.3900" "15157.0000" "128.1500" "128.5200" "127.8500"
"2018/07/11" "127.5400" "22431.0000" "127.6000" "128.0000" "127.4685"
"2018/07/10" "128.4000" "10168.0000" "128.2700" "128.4500" "128.0900"
"2018/07/09" "127.9300" "9147.0000" "127.4600" "127.9500" "127.4600"
"2018/07/06" "126.8800" "23399.0000" "125.7500" "127.0200" "125.6700"
"2018/07/05" "125.7500" "23669.0000" "125.2800" "125.7800" "124.8500"
"2018/07/03" "124.6000" "14530.0000" "126.0100" "126.0100" "124.5800"
"2018/07/02" "125.2000" "25889.0000" "124.1800" "125.2000" "124.1488"
"2018/06/29" "124.8800" "120067.0000" "125.5300" "125.9100" "124.8800"
"2018/06/28" "124.7500" "26612.0000" "123.9100" "125.0200" "123.5600"
"2018/06/27" "124.5200" "32569.0000" "126.0600" "126.5900" "124.5100"
"2018/06/26" "125.5800" "16829.0000" "125.6800" "126.0300" "125.2400"
"2018/06/25" "125.3700" "33411.0000" "126.4300" "126.5100" "124.5506"
"2018/06/22" "127.0500" "46066.0000" "127.5600" "127.5600" "127.0500"
"2018/06/21" "126.9300" "19715.0000" "127.7300" "127.7300" "126.7000"
"2018/06/20" "127.7500" "19129.0000" "128.0400" "128.0700" "127.6400"
"2018/06/19" "127.5000" "27332.0000" "126.9900" "127.5800" "126.6800"
"2018/06/18" "128.0200" "28618.0000" "127.5500" "128.0400" "127.3800"
"2018/06/15" "128.2000" "36608.0000" "127.8100" "128.3000" "127.4100"
"2018/06/14" "128.3178" "20498.0000" "128.4700" "128.6200" "128.1450"
"2018/06/13" "127.9700" "19196.0000" "128.6500" "128.6900" "127.9700"
"2018/06/12" "128.4900" "9320.0000" "128.4300" "128.6314" "128.3600"
"2018/06/11" "128.3500" "21106.0000" "128.3300" "128.6300" "128.2500"
"2018/06/08" "128.1100" "24189.0000" "127.6300" "128.1100" "127.4600"
"2018/06/07" "127.7300" "19349.0000" "128.1300" "128.1300" "127.2800"
"2018/06/06" "127.7600" "23473.0000" "127.1800" "127.7600" "126.7100"
"2018/06/05" "126.7000" "13039.0000" "126.7260" "126.8100" "126.3300"
"2018/06/04" "126.5300" "13665.0000" "126.5800" "126.6200" "126.2500"
"2018/06/01" "125.9000" "20380.0000" "125.5000" "126.0100" "125.4000"
"2018/05/31" "124.7500" "17832.0000" "125.2400" "125.3290" "124.5522"
"2018/05/30" "125.4500" "17085.0000" "124.4800" "125.7000" "124.4800"
"2018/05/29" "123.9300" "17173.0000" "124.5200" "124.7300" "123.3425"
"2018/05/25" "125.2900" "21735.0000" "125.1800" "125.4800" "125.0000"
"2018/05/24" "125.4900" "18581.0000" "125.7700" "125.7700" "124.6900"
"2018/05/23" "125.7100" "52766.0000" "124.8200" "125.7100" "124.7150"
"2018/05/22" "125.3400" "8088.0000" "126.1100" "126.1100" "125.3000"
"2018/05/21" "125.7200" "9121.0000" "125.8800" "125.9600" "125.5000"
"2018/05/18" "124.8700" "6598.0000" "124.8600" "125.0200" "124.7400"
