date close volume open high low
2019/04/16 179.7400 900208.0000 183.6300 184.8000 179.5900
2019/04/15 182.4900 826703.0000 182.2700 184.3200 180.2400
2019/04/12 182.7800 1044145.0000 185.4200 186.4700 182.3100
2019/04/11 185.1200 1971928.0000 191.0800 191.4200 184.2200
2019/04/10 190.3700 1137794.0000 188.3200 191.7100 187.0650
2019/04/09 188.3100 973261.0000 188.0100 189.7000 187.7500
2019/04/08 188.9300 910148.0000 189.2700 189.9500 186.6700
2019/04/05 188.8900 2288985.0000 184.4900 189.3500 184.2404
2019/04/04 184.1500 1135468.0000 188.2200 188.3400 182.4900
2019/04/03 187.8900 829373.0000 187.9000 188.9800 187.0100
2019/04/02 187.1100 781927.0000 185.9600 189.4300 184.9050
2019/04/01 186.0500 981087.0000 185.2000 187.3800 184.6800
2019/03/29 183.9500 1274722.0000 184.2900 184.8600 181.9150
2019/03/28 182.4200 1610808.0000 186.0100 186.9400 181.4900
2019/03/27 185.8200 1176246.0000 190.0000 190.0050 185.6200
2019/03/26 189.9100 1373728.0000 185.2400 190.0700 184.8300
2019/03/25 183.8500 1754503.0000 181.6700 185.0600 181.4400
2019/03/22 181.5300 1603045.0000 182.0700 183.8500 181.0400
2019/03/21 182.5600 1156209.0000 178.2200 182.7400 178.2200
2019/03/20 179.9800 1039315.0000 181.5300 182.4600 179.5400
2019/03/19 181.7600 1522791.0000 184.6400 185.0000 181.1800
2019/03/18 187.4800 1516671.0000 188.0000 189.2100 185.5300
2019/03/15 188.0900 2768606.0000 186.8800 189.3500 186.3700
2019/03/14 186.1100 778717.0000 185.6200 186.6600 184.4500
2019/03/13 185.6600 1167910.0000 183.3700 186.7750 182.2100
2019/03/12 182.5700 1545252.0000 181.1500 183.2300 179.8500
2019/03/11 180.5200 1341713.0000 177.9400 180.5600 177.7800
2019/03/08 177.2600 1451474.0000 177.2600 177.6200 173.5900
2019/03/07 178.6100 1432023.0000 181.3600 181.8300 177.4500
2019/03/06 181.1100 1378169.0000 188.1800 188.6950 180.5600
2019/03/05 187.8000 1374089.0000 190.1600 190.5100 187.5200
2019/03/04 190.0400 1204987.0000 193.0300 193.8900 186.7100
2019/03/01 192.1600 887620.0000 189.9500 192.6900 189.2800
2019/02/28 188.7500 1176168.0000 189.7400 190.0400 188.2300
2019/02/27 189.8100 633221.0000 187.9700 189.8700 186.4400
2019/02/26 188.9200 1475214.0000 186.2600 189.9900 184.8900
2019/02/25 186.3300 1255162.0000 186.7400 188.1000 185.6300
2019/02/22 185.7600 1027432.0000 184.3300 185.8400 182.9350
2019/02/21 183.0600 1086952.0000 187.7000 188.1200 182.1600
2019/02/20 187.8400 1066102.0000 186.0600 188.6400 185.6500
2019/02/19 186.8600 1823670.0000 187.9000 189.0900 185.8300
2019/02/15 188.0700 1408240.0000 185.6700 188.5600 185.6700
2019/02/14 185.7200 917787.0000 184.5200 186.8400 183.5300
2019/02/13 185.2500 1240723.0000 185.0000 186.2500 184.3500
2019/02/12 184.0100 1316645.0000 181.4400 184.3000 181.4400
2019/02/11 181.5300 1503304.0000 182.0500 182.1700 178.4000
2019/02/08 181.3400 980589.0000 178.7600 181.4500 178.7600
2019/02/07 180.1800 1454119.0000 181.5000 182.5900 178.9900
2019/02/06 182.3900 1895052.0000 193.0000 193.0000 182.0600
2019/02/05 187.0200 1642394.0000 185.8100 190.7400 185.4400
2019/02/04 187.9800 1479467.0000 189.1900 189.2750 184.4900
2019/02/01 191.5200 892708.0000 190.9200 193.0300 189.9200
2019/01/31 190.9100 898966.0000 187.1700 190.9800 186.8600
2019/01/30 187.0500 1372707.0000 185.8400 187.9200 184.5000
2019/01/29 186.3800 1024329.0000 188.1600 188.2640 184.7000
2019/01/28 188.0900 1497223.0000 188.9400 188.9842 185.7600
2019/01/25 189.5000 1404751.0000 188.1600 190.3900 186.2700
2019/01/24 186.5800 1825062.0000 189.6400 190.2250 186.4700
2019/01/23 189.8900 2015422.0000 194.6700 195.2000 187.7803
2019/01/22 193.8800 1950007.0000 193.4800 195.8100 192.3900
2019/01/18 194.7000 2148042.0000 192.6300 194.7800 189.4100
2019/01/17 190.5200 1549859.0000 185.7700 191.4243 184.7050
2019/01/16 186.1500 2247996.0000 186.2100 188.3400 184.1300
2019/01/15 186.6800 1308438.0000 184.3700 186.7550 183.0600
2019/01/14 183.9100 1884130.0000 186.7100 186.9900 183.7800
2019/01/11 188.1600 2214267.0000 184.6200 188.8600 183.4255
2019/01/10 186.0300 1987831.0000 181.8500 186.0900 180.2600
2019/01/09 182.3000 2298516.0000 179.1400 182.7000 178.2500
2019/01/08 178.1900 1618009.0000 177.0000 178.4100 174.7200
2019/01/07 175.8500 1293455.0000 173.0500 176.7800 170.8700
2019/01/04 172.7000 1836115.0000 165.9000 173.3100 164.8994
2019/01/03 163.7300 1679271.0000 165.8300 169.3200 163.1800
2019/01/02 164.0800 1446120.0000 161.2100 165.1400 160.9500
2018/12/31 165.7100 1367096.0000 162.8000 166.2100 162.0048
2018/12/28 161.4200 952474.0000 163.5200 164.8390 160.3800
2018/12/27 162.3700 1468831.0000 158.9500 162.5800 156.2700
2018/12/26 161.8400 1637051.0000 152.9800 161.8700 152.4000
2018/12/24 151.9100 1158155.0000 155.4000 158.4700 151.8000
2018/12/21 156.5000 2668840.0000 161.9400 165.0700 156.3011
2018/12/20 161.3000 1985336.0000 158.5200 163.4800 157.6986
2018/12/19 158.6600 1877572.0000 163.0400 164.4200 156.3000
2018/12/18 163.4300 1546659.0000 168.0600 169.6200 161.3500
2018/12/17 166.1700 1584655.0000 169.6400 171.4100 164.4848
2018/12/14 170.0600 915828.0000 171.3800 171.9950 169.6300
2018/12/13 173.4200 967525.0000 175.0600 177.4900 171.6000
2018/12/12 175.4500 904998.0000 176.2000 178.6200 174.7200
2018/12/11 173.2300 828909.0000 176.2900 176.5600 170.8600
2018/12/10 173.7800 896030.0000 172.9800 174.3650 167.6300
2018/12/07 172.2100 1627291.0000 178.0300 179.5500 170.9000
2018/12/06 179.6100 1655618.0000 175.3700 179.7600 174.0000
2018/12/04 177.9300 1312888.0000 184.7400 187.7600 177.4100
2018/12/03 184.6500 1692900.0000 182.6000 186.7850 181.9150
2018/11/30 180.7900 1094482.0000 179.6000 181.0000 178.3300
2018/11/29 179.4500 970980.0000 176.8900 181.6500 176.8900
2018/11/28 178.3800 1441029.0000 175.5100 178.4200 172.3375
2018/11/27 175.4500 2327610.0000 168.4300 176.6000 168.4300
2018/11/26 167.4000 1550078.0000 164.3000 167.7000 162.8900
2018/11/23 160.3900 346829.0000 158.7600 161.9900 157.4000
2018/11/21 160.2500 874187.0000 160.5700 162.4800 159.0600
2018/11/20 159.7600 1634453.0000 161.3500 161.9200 157.2850
2018/11/19 161.0700 1353417.0000 164.7600 165.5700 159.7700
2018/11/16 165.1100 1854889.0000 166.2600 167.9900 164.6700
2018/11/15 166.6700 1587296.0000 163.7500 167.6900 162.6700
2018/11/14 164.5800 1500649.0000 171.9800 173.3242 163.1340
2018/11/13 170.3100 869620.0000 174.0700 175.8000 170.0700
2018/11/12 172.8500 1728040.0000 180.5500 181.4500 171.7000
2018/11/09 180.5500 1845491.0000 179.6100 180.5600 176.7900
2018/11/08 180.2600 1063918.0000 183.9100 185.5700 179.6300
2018/11/07 183.8800 1474493.0000 177.3400 184.1400 176.5600
2018/11/06 175.2300 918782.0000 175.2100 178.3500 174.1200
2018/11/05 174.5900 785093.0000 172.0800 175.1500 171.7010
2018/11/02 173.2900 1333940.0000 175.3600 177.2500 171.1100
2018/11/01 175.1900 1360596.0000 169.5100 175.7500 169.2500
2018/10/31 169.4600 1589783.0000 172.6200 174.2800 169.4200
2018/10/30 171.4900 1436817.0000 171.6700 173.4600 168.4600
2018/10/29 170.3400 2525160.0000 173.4900 174.9800 167.3500
2018/10/26 169.4800 2658752.0000 162.1000 171.3900 160.6800
2018/10/25 165.6100 2708109.0000 157.0000 167.0000 153.0000
2018/10/24 163.0900 2051947.0000 175.0200 175.7350 162.5300
2018/10/23 174.1700 1960346.0000 175.8600 177.0300 170.8000
2018/10/22 177.4000 1502950.0000 175.5300 178.6100 172.6972
2018/10/19 175.6900 1844809.0000 179.3500 181.1300 175.0500
2018/10/18 178.9000 2640449.0000 184.2900 184.2900 173.8010
2018/10/17 185.4800 827226.0000 185.2600 185.8400 181.7200
2018/10/16 185.4500 1132705.0000 178.8700 185.7800 178.4500
2018/10/15 177.6500 1038329.0000 180.8000 180.9950 177.5900
2018/10/12 181.3200 1198957.0000 177.2000 182.1900 175.9000
2018/10/11 175.6600 2381997.0000 175.4900 177.8400 171.6600
2018/10/10 176.4300 1497085.0000 184.9200 185.6100 176.2200
2018/10/09 185.6600 1087261.0000 185.3400 187.9600 184.7800
2018/10/08 185.3400 824321.0000 186.9500 187.7000 183.6338
2018/10/05 188.0500 856751.0000 188.6400 191.5000 185.3700
2018/10/04 188.6200 934633.0000 191.5800 192.6200 187.1000
2018/10/03 192.2100 1000926.0000 192.1300 193.0600 191.3500
2018/10/02 191.9300 905673.0000 191.8400 192.6200 190.7900
2018/10/01 191.5700 1841366.0000 193.2400 194.9200 191.3900
2018/09/28 192.7400 2144746.0000 189.7400 193.7800 189.4400
2018/09/27 189.7400 1373823.0000 188.0000 190.0000 187.5000
2018/09/26 186.6500 1632744.0000 182.6700 189.2900 182.6700
2018/09/25 182.6500 738425.0000 183.4800 184.1600 182.2800
2018/09/24 182.1700 696998.0000 179.4300 182.5000 179.4300
2018/09/21 180.0800 1616246.0000 181.3000 182.0000 179.3350
2018/09/20 180.5200 784813.0000 177.3900 181.3800 177.3900
2018/09/19 176.6000 649337.0000 177.3400 177.5500 175.8000
2018/09/18 177.1200 862306.0000 175.8800 178.4600 174.2300
2018/09/17 175.8000 865387.0000 179.0000 179.5900 175.4700
2018/09/14 179.0100 819621.0000 180.5100 181.8800 177.7700
2018/09/13 179.8600 808458.0000 179.3700 181.1100 178.0050
2018/09/12 178.3400 855290.0000 179.4600 179.9800 177.0900
2018/09/11 178.6100 1073789.0000 178.9300 180.2500 177.3400
2018/09/10 179.2800 796351.0000 180.0000 180.5700 177.9800
2018/09/07 179.4700 1194168.0000 178.7600 180.7900 177.0100
2018/09/06 180.0500 890712.0000 182.5100 183.3200 178.2000
2018/09/05 183.2100 1025387.0000 183.0000 184.7400 181.5000
2018/09/04 183.3100 1369019.0000 183.2300 184.5900 181.6729
2018/08/31 184.4000 1298874.0000 185.1600 185.8800 183.7200
2018/08/30 186.0300 957612.0000 185.0000 186.1900 184.3700
2018/08/29 184.8600 1272593.0000 180.9000 186.4400 180.9000
2018/08/28 180.8700 1257608.0000 180.3600 182.2200 178.8300
2018/08/27 179.3200 825518.0000 177.9800 179.6400 177.6000
2018/08/24 176.8400 903260.0000 176.4500 177.2800 175.1000
2018/08/23 176.0200 681020.0000 177.7200 177.7200 174.6000
2018/08/22 177.7200 616391.0000 176.8100 178.2250 176.0200
2018/08/21 176.8600 887217.0000 175.7400 178.4290 175.0400
2018/08/20 175.7100 893369.0000 176.6200 176.8300 173.6200
2018/08/17 176.0800 981076.0000 174.6600 177.0000 173.5900
2018/08/16 174.9600 720792.0000 174.1800 176.2800 173.0900
2018/08/15 173.0000 884095.0000 174.3800 175.6500 171.8100
2018/08/14 175.9300 534722.0000 175.3100 177.3000 175.3100
2018/08/13 175.0500 775116.0000 175.1300 176.1500 174.1800
2018/08/10 174.8200 516358.0000 174.4100 175.9600 173.8600
2018/08/09 175.0500 827518.0000 175.7400 177.4500 174.9500
2018/08/08 175.3000 887604.0000 177.2500 178.3959 175.2500
2018/08/07 177.5100 983311.0000 175.9400 178.0000 175.4800
2018/08/06 174.9100 761473.0000 175.5500 175.9900 173.2550
2018/08/03 174.5400 1117993.0000 174.2000 178.0900 173.7550
2018/08/02 177.8900 1651456.0000 174.5900 179.8600 173.5100
2018/08/01 177.8700 1345610.0000 175.2600 177.9300 174.0400
2018/07/31 175.0500 1527539.0000 175.0500 175.7400 173.5781
2018/07/30 174.4200 1457586.0000 170.6500 175.3400 169.9675
2018/07/27 172.1000 1343475.0000 175.1800 176.2850 169.5200
2018/07/26 175.8700 2374561.0000 178.6100 178.8500 169.3300
2018/07/25 176.8100 1521997.0000 174.7800 177.4200 173.9900
2018/07/24 174.8800 1690293.0000 178.4400 178.6700 174.3900
2018/07/23 176.5400 1352357.0000 176.2900 178.6700 176.1600
2018/07/20 177.4000 1606406.0000 180.1200 180.1400 176.7100
2018/07/19 180.1200 1067623.0000 180.1300 180.9325 178.5200
2018/07/18 181.1300 1028493.0000 182.0000 182.3400 180.5800
2018/07/17 182.5900 1133031.0000 180.5800 183.3900 179.8200
2018/07/16 181.2200 1960413.0000 179.8500 182.4079 179.5500
2018/07/13 180.5000 1434449.0000 178.3500 181.6000 177.9000
2018/07/12 178.2700 1181060.0000 175.0200 178.3300 175.0200
2018/07/11 175.0100 1509877.0000 173.8300 175.6900 173.0000
2018/07/10 175.1100 1599998.0000 174.9100 175.7100 172.9500
2018/07/09 174.1600 1331153.0000 174.3700 174.6150 171.8100
2018/07/06 173.4500 1513417.0000 170.0000 173.6400 169.4200
2018/07/05 169.4900 1135363.0000 168.3800 169.9500 166.7100
2018/07/03 167.7300 1059865.0000 170.0000 170.0000 167.2800
2018/07/02 169.6100 2095576.0000 168.4000 169.6600 164.7000
2018/06/29 169.9600 6617145.0000 161.5000 172.0000 161.5000
2018/06/28 147.5900 1350138.0000 147.7900 148.5200 145.3700
2018/06/27 147.5000 1954040.0000 151.7600 151.8950 147.2200
2018/06/26 151.5000 1808369.0000 154.4100 155.5000 151.0100
2018/06/25 154.7600 1491803.0000 158.7200 160.1700 152.9100
2018/06/22 159.1900 2168370.0000 157.0900 160.2800 155.7600
2018/06/21 156.5700 795843.0000 157.8800 157.8800 155.5800
2018/06/20 157.6300 1320749.0000 154.4600 158.1900 153.7500
2018/06/19 154.5000 1538879.0000 150.0100 155.0800 149.6700
2018/06/18 151.6900 1225004.0000 153.9000 153.9700 151.4100
2018/06/15 155.0200 2866231.0000 155.5100 156.3000 154.1100
2018/06/14 154.9900 1384510.0000 152.4400 155.5858 152.0000
2018/06/13 151.9400 1194759.0000 151.1100 153.3900 150.5250
2018/06/12 150.9900 1529996.0000 148.8800 151.7300 148.1700
2018/06/11 148.6300 1456038.0000 150.6700 151.2850 147.4300
2018/06/08 150.5500 1657602.0000 145.9800 151.2600 145.9800
2018/06/07 145.7500 2182941.0000 147.1000 149.6894 145.5600
2018/06/06 145.9700 3055138.0000 145.7200 146.9500 144.0700
2018/06/05 145.7200 2868363.0000 149.7100 150.4000 144.1400
2018/06/04 149.6500 2573871.0000 152.0500 153.0000 148.2000
2018/06/01 152.0500 2176758.0000 154.8600 154.9900 150.5000
2018/05/31 154.0000 1632635.0000 155.4900 157.0700 153.5200
2018/05/30 156.6400 1158690.0000 156.1400 157.5700 155.5500
2018/05/29 155.2400 1142294.0000 156.6000 157.7600 153.2700
2018/05/25 157.5000 633571.0000 157.0000 157.9000 156.2200
2018/05/24 156.9700 604919.0000 156.9900 157.7100 155.5300
2018/05/23 156.9800 787252.0000 155.5000 157.3150 155.3100
2018/05/22 156.2800 875720.0000 157.1000 158.2200 155.8000
2018/05/21 156.2200 1196973.0000 157.8400 158.1550 155.3302
2018/05/18 157.2400 998525.0000 156.6100 157.5200 155.3300
2018/05/17 156.3400 1105895.0000 156.1900 157.1600 155.2900
2018/05/16 156.1600 1077117.0000 155.7900 156.4500 154.4000
2018/05/15 155.5400 1370149.0000 155.7800 155.7900 153.9410
2018/05/14 157.4600 1442379.0000 156.1100 158.4600 155.3900
2018/05/11 155.9700 2242866.0000 150.7500 157.5300 150.6200
2018/05/10 151.0100 1259813.0000 150.1300 151.6600 149.0800
2018/05/09 149.0700 1411902.0000 148.6500 150.1400 146.6650
2018/05/08 148.2700 1138362.0000 149.4500 150.0000 146.9500
2018/05/07 149.5000 1445281.0000 150.5400 151.8100 148.6400
2018/05/04 149.3900 2195876.0000 148.2600 152.1400 147.7900
2018/05/03 149.6400 1490859.0000 148.3200 150.3000 145.7800
2018/05/02 149.4700 2504660.0000 151.3200 153.1600 148.9600
2018/05/01 152.4800 1648558.0000 153.1400 154.7000 150.4000
2018/04/30 153.1600 1710871.0000 157.1600 157.7900 153.1500
2018/04/27 156.0500 1866585.0000 157.5000 159.0500 153.3300
2018/04/26 158.8100 1987134.0000 156.6000 160.8450 155.8300
2018/04/25 155.1500 1237613.0000 155.4900 157.4150 154.1301
2018/04/24 155.6700 1384346.0000 160.2700 160.5000 154.6900
2018/04/23 158.6900 1154618.0000 158.7100 160.1300 157.7400
2018/04/20 158.1500 1526854.0000 159.6100 160.7800 157.0900
2018/04/19 159.5500 1230318.0000 162.3300 162.8200 159.0400
2018/04/18 163.3600 1089590.0000 165.0000 166.1200 162.6600
2018/04/17 164.9900 2393758.0000 160.5400 165.6000 159.4500
2018/04/16 158.7000 1472703.0000 163.0100 163.7100 158.0700
2018/04/13 161.3900 1453200.0000 163.0800 163.0800 160.4100
2018/04/12 161.9800 1078381.0000 159.5400 163.4500 159.5400
2018/04/11 158.8900 1390443.0000 159.5200 162.9400 158.1000
2018/04/10 161.1700 1264286.0000 159.0400 161.7200 157.7700
2018/04/09 156.7600 1235369.0000 156.2600 160.3900 155.6700
2018/04/06 154.2500 1430478.0000 155.7400 157.5900 152.6050
2018/04/05 157.6600 1326827.0000 162.8200 163.4900 157.1200
2018/04/04 162.1200 1818378.0000 156.3700 162.4500 154.6000
2018/04/03 158.3600 1542061.0000 155.8600 159.5500 153.9100
2018/04/02 156.3100 1795318.0000 161.5300 161.9900 153.4250
2018/03/29 162.9800 1526874.0000 159.8300 165.5100 158.7600
2018/03/28 159.5800 1442275.0000 160.9300 162.5899 158.3600
2018/03/27 160.3400 1232750.0000 167.6300 168.2800 159.2900
2018/03/26 166.1000 1313691.0000 163.8500 166.3500 160.2700
2018/03/23 160.9300 1319136.0000 165.8300 166.7000 160.7400
2018/03/22 166.1000 1074447.0000 167.8300 170.3800 165.5500
2018/03/21 170.3400 996768.0000 171.9400 172.4152 168.6000
2018/03/20 171.4700 1588159.0000 171.9200 172.6700 169.6400
2018/03/19 170.7700 1145092.0000 174.6200 175.2800 168.1200
2018/03/16 175.6600 2309229.0000 174.8400 176.4200 173.2500
2018/03/15 173.9700 949344.0000 174.5700 176.6500 173.0650
2018/03/14 174.3800 1036433.0000 176.1500 176.4800 172.8200
2018/03/13 174.9600 1989486.0000 177.3600 178.2500 174.5400
2018/03/12 177.1300 1255961.0000 176.5000 178.1500 174.8000
2018/03/09 176.2600 1414718.0000 173.2600 176.3100 171.7600
2018/03/08 171.8800 1091590.0000 170.3900 171.9800 169.1800
2018/03/07 170.1700 1215683.0000 167.9400 170.7700 167.9060
2018/03/06 168.7200 2163294.0000 173.3300 173.8500 166.0500
2018/03/05 173.1600 1876587.0000 168.4900 173.4500 167.1700
2018/03/02 170.0600 2111167.0000 163.0800 170.2200 161.8900
2018/03/01 165.8300 2019686.0000 165.6800 168.0000 163.6100
2018/02/28 166.0300 2011119.0000 166.7000 169.5409 164.6300
2018/02/27 165.8800 1632028.0000 168.9900 170.8900 165.7200
2018/02/26 169.5400 1779326.0000 166.9200 170.3600 166.0300
2018/02/23 165.9000 1581472.0000 159.0100 165.9800 158.1000
2018/02/22 157.5900 1635012.0000 161.5000 162.3200 157.0000
2018/02/21 157.8900 1158005.0000 160.6300 161.7200 157.8300
2018/02/20 160.9800 1130289.0000 158.4900 164.0100 158.0100
2018/02/16 160.7200 1001947.0000 160.8500 162.0700 159.3900
2018/02/15 160.9400 1227134.0000 158.3600 161.0800 157.1600
2018/02/14 157.2600 1986439.0000 152.6300 158.2400 152.3200
2018/02/13 154.1400 1566933.0000 151.4000 155.4900 150.9900
2018/02/12 152.0100 2173760.0000 153.4100 154.1800 148.6100
2018/02/09 152.9600 2717959.0000 152.9200 154.6300 146.2100
2018/02/08 151.6000 2853270.0000 155.3200 157.6200 151.5900
2018/02/07 155.6700 1812036.0000 157.1000 160.1100 155.6150
2018/02/06 159.2700 3033597.0000 152.6300 159.7900 151.3500
2018/02/05 155.1400 2868148.0000 163.0800 165.8700 155.0300
2018/02/02 166.2400 3371140.0000 169.4200 169.9600 163.6400
2018/02/01 172.9900 5087964.0000 174.1100 174.9550 163.1700
2018/01/31 166.8700 2310836.0000 166.7200 168.5850 164.5300
2018/01/30 166.5400 2154923.0000 166.3700 168.0800 164.0000
2018/01/29 167.1400 1823456.0000 169.1300 171.2600 166.4171
2018/01/26 169.2100 1487423.0000 167.1400 169.3000 166.1000
2018/01/25 166.2400 1270109.0000 168.6900 169.1100 165.9400
2018/01/24 167.4500 2488397.0000 167.0800 169.2900 165.3800
2018/01/23 166.5800 3024113.0000 163.7000 167.3100 163.2400
2018/01/22 161.9100 1679672.0000 158.7600 161.9500 157.9750
2018/01/19 157.9700 2074605.0000 157.3000 159.5000 156.3200
2018/01/18 157.1900 1244078.0000 156.3600 157.5100 154.2245
2018/01/17 156.9900 1270114.0000 157.7400 157.9400 155.2600
2018/01/16 155.7100 1789201.0000 158.2800 159.8700 155.1400
2018/01/12 157.9300 1561110.0000 157.1600 158.4200 156.3500
2018/01/11 158.4000 948526.0000 158.0000 159.0499 156.6200
2018/01/10 157.3800 1700048.0000 156.0000 157.8700 154.2101
2018/01/09 156.0100 1471280.0000 156.8100 157.8800 154.5150
2018/01/08 156.8900 1986931.0000 155.1500 157.2100 153.3500
2018/01/05 155.6900 1939849.0000 155.5400 157.3500 154.1000
2018/01/04 153.0700 1343214.0000 153.3900 153.9700 151.6300
2018/01/03 152.0100 1603979.0000 153.5000 153.5000 148.5800
2018/01/02 152.9100 1327206.0000 150.0000 153.3000 147.7200
2017/12/29 149.8600 881799.0000 150.4500 151.6600 149.7500
2017/12/28 151.1700 957374.0000 152.1900 152.4900 148.7500
2017/12/27 151.5500 938930.0000 151.1300 152.7000 150.3000
2017/12/26 150.6000 777710.0000 149.5000 151.4900 149.5000
2017/12/22 149.9700 1459966.0000 148.2000 151.1000 147.8000
2017/12/21 148.8200 2283628.0000 145.2300 149.9800 144.6801
