date close volume open high low
2018/12/31 4.8100 448348.0000 4.5900 4.8300 4.4200
2018/12/28 4.6400 262947.0000 4.8300 4.8600 4.6000
2018/12/27 4.8000 482160.0000 4.5000 4.8300 4.4400
2018/12/26 4.5100 330925.0000 4.4200 4.6800 4.4200
2018/12/24 4.4700 316679.0000 4.5800 4.6250 4.2600
2018/12/21 4.7300 509793.0000 5.2000 5.2200 4.7200
2018/12/20 5.1800 193967.0000 5.2600 5.4200 5.1628
2018/12/19 5.2600 302832.0000 5.1800 5.5200 5.1200
2018/12/18 5.1300 226602.0000 5.3000 5.3400 5.0600
2018/12/17 5.2600 275017.0000 5.5000 5.5700 5.2100
2018/12/14 5.5000 161549.0000 5.5500 5.7300 5.4800
2018/12/13 5.6300 118638.0000 5.7800 5.7800 5.5700
2018/12/12 5.6200 204973.0000 5.5400 5.6911 5.4600
2018/12/11 5.5100 100112.0000 5.5700 5.6900 5.3600
2018/12/10 5.5100 170331.0000 5.5800 5.7000 5.4000
2018/12/07 5.6400 183544.0000 5.4400 5.7100 5.4400
2018/12/06 5.4400 332367.0000 5.5700 5.6500 5.3800
2018/12/04 5.6600 226621.0000 5.9000 6.1300 5.6400
2018/12/03 5.9000 243724.0000 5.6700 5.9100 5.5200
2018/11/30 5.5400 313537.0000 5.8100 5.8300 5.4700
2018/11/29 5.8300 138491.0000 5.8300 5.9900 5.7860
2018/11/28 5.8300 177750.0000 5.6500 5.8700 5.6200
2018/11/27 5.6600 89674.0000 5.7800 5.7800 5.6500
2018/11/26 5.8000 149119.0000 5.6400 5.9299 5.6400
2018/11/23 5.6100 71629.0000 5.6000 5.8000 5.6000
2018/11/21 5.6200 146112.0000 5.4500 5.6527 5.4500
2018/11/20 5.4100 283432.0000 5.7200 5.8500 5.3900
2018/11/19 5.7600 228503.0000 6.0000 6.0818 5.7100
2018/11/16 6.0200 139481.0000 6.0000 6.1000 5.8000
2018/11/15 6.1000 234591.0000 5.8300 6.1950 5.7500
2018/11/14 5.8300 132479.0000 5.9100 5.9400 5.7300
2018/11/13 5.8500 181609.0000 5.8700 5.9918 5.7300
2018/11/12 5.8600 285359.0000 5.9900 6.0900 5.6700
2018/11/09 6.0500 313934.0000 6.1600 6.2000 5.8394
2018/11/08 6.1400 293812.0000 6.4400 6.5900 6.0800
2018/11/07 6.4300 348788.0000 6.0200 6.5550 5.9541
2018/11/06 6.0200 100268.0000 5.9600 6.0700 5.8800
2018/11/05 5.9800 162250.0000 6.0300 6.0800 5.8600
2018/11/02 6.0900 174377.0000 6.0600 6.1700 5.9500
2018/11/01 6.0800 343774.0000 6.1000 6.3300 5.9700
2018/10/31 6.0800 180724.0000 5.9900 6.1350 5.9400
2018/10/30 5.9100 283708.0000 5.9800 6.2300 5.8000
2018/10/29 6.0200 232632.0000 6.0900 6.2000 5.8900
2018/10/26 6.0300 511792.0000 5.9200 6.2000 5.6200
2018/10/25 6.0600 310849.0000 5.9900 6.2425 5.9322
2018/10/24 6.0000 248603.0000 6.2200 6.4000 5.9600
2018/10/23 6.2300 310954.0000 6.2600 6.3500 6.0700
2018/10/22 6.3300 216458.0000 6.2000 6.4000 6.1500
2018/10/19 6.1900 257381.0000 6.4800 6.5598 6.0800
2018/10/18 6.4900 196781.0000 6.4700 6.5999 6.2300
2018/10/17 6.4800 255345.0000 6.2200 6.5400 6.0400
2018/10/16 6.2300 546385.0000 5.9300 6.2600 5.6219
2018/10/15 5.9000 447859.0000 6.2000 6.2310 5.7800
2018/10/12 6.2000 359444.0000 6.5100 6.6300 6.1500
2018/10/11 6.4300 347013.0000 6.2500 6.8000 6.2500
2018/10/10 6.3200 482055.0000 6.9700 7.1000 6.2200
2018/10/09 6.9600 870362.0000 7.0000 7.3000 6.7601
2018/10/08 6.8900 340684.0000 6.5100 6.9250 6.4700
2018/10/05 6.5800 287363.0000 6.2000 6.6200 6.2000
