"date" "close" "volume" "open" "high" "low"
"2018/12/31" "28.1800" "698759.0000" "27.5200" "28.3800" "26.9500"
"2018/12/28" "27.4700" "154832.0000" "27.1300" "27.8700" "26.4100"
"2018/12/27" "26.9900" "270178.0000" "26.7000" "27.0000" "25.7100"
"2018/12/26" "27.2500" "286382.0000" "26.3300" "27.4700" "26.3300"
"2018/12/24" "26.0900" "134435.0000" "26.1300" "26.5000" "25.2700"
"2018/12/21" "26.2800" "552300.0000" "27.5700" "28.1300" "26.0000"
"2018/12/20" "27.4500" "299307.0000" "28.7000" "29.2800" "26.3250"
"2018/12/19" "28.6900" "346459.0000" "29.2400" "29.9600" "28.5000"
"2018/12/18" "28.8200" "278065.0000" "29.2200" "29.7600" "28.7650"
"2018/12/17" "29.0500" "592614.0000" "30.5300" "30.5300" "28.4425"
"2018/12/14" "30.6000" "228923.0000" "31.9500" "31.9700" "30.5600"
"2018/12/13" "32.2000" "294497.0000" "32.0000" "32.5300" "31.0400"
"2018/12/12" "32.0300" "191676.0000" "31.6500" "32.6100" "31.6500"
"2018/12/11" "31.2400" "244357.0000" "31.1900" "31.3000" "30.3000"
"2018/12/10" "30.8400" "224497.0000" "30.6500" "31.1750" "30.1250"
"2018/12/07" "30.7600" "231959.0000" "30.0200" "30.8100" "29.7800"
"2018/12/06" "30.1000" "269900.0000" "28.9900" "30.1300" "28.0014"
"2018/12/04" "29.4300" "283569.0000" "30.1600" "30.4900" "29.3500"
"2018/12/03" "30.1800" "274493.0000" "30.3900" "31.0300" "29.3100"
"2018/11/30" "30.0100" "236356.0000" "29.9700" "30.2550" "29.4150"
"2018/11/29" "29.8800" "194017.0000" "30.0400" "30.2100" "29.7550"
"2018/11/28" "30.1100" "349871.0000" "29.1000" "31.0000" "28.8150"
"2018/11/27" "28.9600" "247033.0000" "29.0500" "29.5200" "28.2600"
"2018/11/26" "29.3200" "293084.0000" "29.9400" "30.4000" "28.9850"
"2018/11/23" "29.7600" "88817.0000" "28.9700" "30.4000" "28.9700"
"2018/11/21" "29.1500" "112206.0000" "28.6900" "29.4750" "28.5300"
"2018/11/20" "28.6800" "193923.0000" "29.4400" "29.5750" "28.2200"
"2018/11/19" "29.7000" "214042.0000" "31.1300" "31.1500" "29.5000"
"2018/11/16" "31.1700" "138636.0000" "30.2800" "31.3000" "29.6100"
"2018/11/15" "30.5300" "280037.0000" "30.5000" "31.1800" "29.1400"
"2018/11/14" "30.7200" "387536.0000" "30.5000" "31.3300" "30.0800"
"2018/11/13" "30.2900" "263187.0000" "29.7500" "30.7500" "29.7300"
"2018/11/12" "29.7500" "219636.0000" "30.8800" "31.0200" "29.3400"
"2018/11/09" "31.1600" "206691.0000" "32.1000" "32.2831" "30.8000"
"2018/11/08" "32.5900" "269626.0000" "32.4600" "32.8700" "31.6575"
"2018/11/07" "32.7800" "364569.0000" "32.8800" "33.8100" "32.0608"
"2018/11/06" "32.6400" "1229671.0000" "27.2200" "32.7900" "27.2200"
"2018/11/05" "27.1900" "1627738.0000" "29.8200" "30.3700" "25.7000"
"2018/11/02" "28.9100" "422355.0000" "29.3400" "29.8500" "28.1200"
"2018/11/01" "29.2800" "330112.0000" "28.3300" "29.4600" "27.9500"
"2018/10/31" "28.0600" "395181.0000" "27.7900" "28.2200" "27.4800"
"2018/10/30" "27.6300" "263336.0000" "27.1900" "28.0350" "27.1500"
"2018/10/29" "27.1600" "355492.0000" "26.8700" "27.7600" "26.7900"
"2018/10/26" "26.6700" "213135.0000" "26.8200" "27.1700" "26.0705"
"2018/10/25" "27.2500" "807004.0000" "26.9700" "27.4600" "26.2400"
"2018/10/24" "26.8800" "492692.0000" "28.2500" "28.5900" "26.8700"
"2018/10/23" "28.0400" "709893.0000" "27.2100" "28.4900" "27.2100"
"2018/10/22" "27.7000" "529836.0000" "28.2200" "28.2200" "26.7700"
"2018/10/19" "28.0800" "385451.0000" "29.4200" "29.8200" "27.9500"
"2018/10/18" "29.4100" "368674.0000" "29.8700" "30.2800" "29.1600"
"2018/10/17" "29.8800" "241834.0000" "29.5700" "30.3350" "29.3500"
"2018/10/16" "29.5800" "409986.0000" "29.9300" "29.9600" "28.5600"
"2018/10/15" "29.9200" "278766.0000" "30.3400" "30.5550" "29.2300"
"2018/10/12" "30.5100" "326799.0000" "30.6600" "30.9200" "29.5900"
"2018/10/11" "30.2400" "356300.0000" "29.8900" "30.4700" "29.8100"
"2018/10/10" "30.0300" "381609.0000" "29.3000" "30.2800" "29.0900"
"2018/10/09" "29.3300" "232120.0000" "28.4000" "29.7300" "28.4000"
"2018/10/08" "28.3400" "247089.0000" "27.8100" "28.4800" "27.7600"
"2018/10/05" "28.0800" "390804.0000" "28.1600" "28.5200" "27.6000"
"2018/10/04" "28.0600" "351497.0000" "29.2600" "29.6900" "27.8000"
"2018/10/03" "29.4300" "284850.0000" "30.0400" "30.0400" "29.0000"
"2018/10/02" "29.9400" "623394.0000" "28.5100" "31.2000" "28.4200"
"2018/10/01" "28.7300" "525839.0000" "28.8400" "29.4300" "28.2600"
"2018/09/28" "28.7500" "315569.0000" "28.3500" "28.9000" "28.3500"
"2018/09/27" "28.4500" "164177.0000" "28.5500" "28.6500" "27.9500"
"2018/09/26" "28.4500" "243578.0000" "29.0500" "29.0500" "27.7000"
"2018/09/25" "29.0500" "334334.0000" "29.3500" "29.3500" "28.7500"
"2018/09/24" "29.2500" "267735.0000" "29.5000" "29.9499" "28.7500"
"2018/09/21" "29.6000" "412723.0000" "29.4500" "29.9000" "29.3125"
