date close volume open high low
2019/04/16 42.7700 236285.0000 42.7900 43.6000 42.3800
2019/04/15 42.5000 279540.0000 42.8200 43.2600 42.2300
2019/04/12 42.6900 334286.0000 43.6600 43.8205 42.3700
2019/04/11 43.4200 316901.0000 44.8300 44.8300 43.4000
2019/04/10 44.7400 436923.0000 43.7700 45.3000 43.7700
2019/04/09 43.7600 389553.0000 45.4600 45.7750 43.5650
2019/04/08 45.6700 295621.0000 46.7000 47.2400 45.1900
2019/04/05 46.9200 303891.0000 46.3300 47.1700 46.1500
2019/04/04 46.2600 182805.0000 46.9600 47.3500 45.7150
2019/04/03 46.9300 242714.0000 47.4800 47.6700 46.4200
2019/04/02 46.9000 199299.0000 47.2900 48.1100 46.6600
2019/04/01 46.9200 261323.0000 46.9700 47.3550 46.1800
2019/03/29 46.5700 405096.0000 45.3300 47.0200 44.8600
2019/03/28 45.0200 171999.0000 44.1100 45.1788 43.9500
2019/03/27 44.0200 236897.0000 45.1700 45.4700 43.9200
2019/03/26 45.3900 226999.0000 45.0100 45.7200 44.5900
2019/03/25 44.8800 228787.0000 44.2000 45.1200 43.3900
2019/03/22 44.1600 335386.0000 46.8700 47.3700 44.1000
2019/03/21 47.0700 321480.0000 44.8600 47.1300 44.6200
2019/03/20 45.2300 253711.0000 46.3400 46.6700 44.5900
2019/03/19 46.2700 190691.0000 47.0200 47.2400 46.0500
2019/03/18 46.9100 333495.0000 46.9400 47.9800 46.2900
2019/03/15 47.1300 1422193.0000 46.4400 47.6050 46.1775
2019/03/14 46.1800 304222.0000 46.6000 47.0600 46.0300
2019/03/13 46.6300 250775.0000 45.8600 46.9200 45.4800
2019/03/12 45.7300 203697.0000 46.3800 46.6400 45.4700
2019/03/11 46.3800 366814.0000 44.2500 46.4200 44.2500
2019/03/08 43.9600 254410.0000 43.7200 44.3200 43.3531
2019/03/07 44.1400 315924.0000 44.1100 44.8700 43.2300
2019/03/06 44.1800 476988.0000 46.3000 46.9250 44.0800
2019/03/05 46.2500 460949.0000 46.2500 47.2500 45.8000
2019/03/04 46.2400 510795.0000 46.2300 46.8400 44.9675
2019/03/01 45.9400 427775.0000 44.3000 46.0200 44.0000
2019/02/28 44.0400 873664.0000 45.5000 46.1770 41.3900
2019/02/27 45.8800 589627.0000 44.6700 46.1000 43.7200
2019/02/26 45.1600 936729.0000 43.0400 46.3200 42.8200
2019/02/25 42.2900 535419.0000 43.0500 43.8700 41.9650
2019/02/22 42.7400 219744.0000 42.0200 42.7700 41.8800
2019/02/21 41.9800 239371.0000 41.9400 42.6400 41.7500
2019/02/20 42.0000 312436.0000 42.1400 42.4050 41.3200
2019/02/19 42.1700 341216.0000 42.4600 43.2140 41.9800
2019/02/15 42.4600 504851.0000 41.9200 42.6900 41.3600
