"date" "close" "volume" "open" "high" "low"
"2018/12/31" "4.2900" "2217540.0000" "4.4400" "4.6077" "4.1100"
"2018/12/28" "4.3900" "2155209.0000" "4.5000" "4.6500" "4.3400"
"2018/12/27" "4.4700" "4185311.0000" "4.3000" "4.6450" "4.2450"
"2018/12/26" "4.4000" "4902141.0000" "3.9400" "4.4200" "3.7900"
"2018/12/24" "3.8800" "2565937.0000" "4.0600" "4.2400" "3.8600"
"2018/12/21" "4.1100" "10089010.0000" "4.3900" "4.4700" "4.0200"
"2018/12/20" "4.3500" "6136024.0000" "4.3500" "4.4700" "4.1800"
"2018/12/19" "4.3900" "7685911.0000" "4.5900" "4.6800" "4.3300"
"2018/12/18" "4.5600" "7108582.0000" "4.6600" "4.7300" "4.4300"
"2018/12/17" "4.6400" "4271001.0000" "4.7200" "4.8600" "4.5700"
"2018/12/14" "4.8000" "3727053.0000" "5.1400" "5.1900" "4.7900"
"2018/12/13" "5.2500" "2112178.0000" "5.3100" "5.3750" "5.1700"
"2018/12/12" "5.3300" "1830538.0000" "5.3400" "5.5400" "5.3000"
"2018/12/11" "5.2500" "1743695.0000" "5.3200" "5.4650" "5.1600"
"2018/12/10" "5.2200" "3033214.0000" "5.4400" "5.5500" "5.1200"
"2018/12/07" "5.5500" "3766637.0000" "5.5000" "5.7250" "5.4200"
"2018/12/06" "5.5400" "4086343.0000" "5.8300" "5.8400" "5.4100"
"2018/12/04" "5.9800" "3032313.0000" "6.1700" "6.2800" "5.9400"
"2018/12/03" "6.2000" "4300444.0000" "5.9000" "6.2500" "5.9000"
"2018/11/30" "5.7000" "4099022.0000" "5.8200" "5.9100" "5.4300"
"2018/11/29" "5.9800" "3824515.0000" "5.9700" "6.0500" "5.7800"
"2018/11/28" "5.9500" "2952698.0000" "6.0500" "6.0800" "5.7000"
"2018/11/27" "6.0300" "4392012.0000" "6.2500" "6.3100" "5.9750"
"2018/11/26" "6.3300" "2464817.0000" "6.5800" "6.6400" "6.2400"
"2018/11/23" "6.4600" "1306484.0000" "6.6500" "6.7250" "6.4300"
"2018/11/21" "6.9100" "2506385.0000" "6.7500" "7.0000" "6.6500"
"2018/11/20" "6.6600" "6754737.0000" "6.8000" "7.0400" "6.5599"
"2018/11/19" "7.0100" "7167403.0000" "6.8100" "7.0200" "6.5700"
"2018/11/16" "6.7500" "4320320.0000" "7.0100" "7.0100" "6.6000"
"2018/11/15" "6.9900" "4108146.0000" "6.9400" "7.3000" "6.8650"
"2018/11/14" "7.0300" "4625839.0000" "7.2400" "7.4600" "6.8700"
"2018/11/13" "7.0600" "6116473.0000" "7.2300" "7.4300" "6.8950"
"2018/11/12" "7.1300" "5968138.0000" "8.4500" "8.5500" "7.1100"
"2018/11/09" "8.4250" "2911130.0000" "8.4900" "8.5300" "8.0000"
"2018/11/08" "8.6450" "6511213.0000" "9.1000" "9.1690" "8.4025"
"2018/11/07" "9.4400" "16095080.0000" "10.0100" "10.3100" "9.0700"
"2018/11/06" "8.6900" "6334040.0000" "8.9200" "8.9600" "8.5400"
"2018/11/05" "8.7200" "4495736.0000" "8.2900" "8.8300" "8.2800"
"2018/11/02" "8.2500" "5069720.0000" "8.4100" "8.4900" "7.9700"
"2018/11/01" "8.3300" "4815905.0000" "8.0500" "8.3400" "7.9200"
"2018/10/31" "7.9900" "3936653.0000" "7.7200" "8.2400" "7.6700"
"2018/10/30" "7.6600" "6900470.0000" "7.3200" "7.7000" "7.2250"
"2018/10/29" "7.3300" "4618413.0000" "7.6200" "7.8100" "7.2000"
"2018/10/26" "7.6100" "5156493.0000" "7.9000" "7.9000" "7.5200"
"2018/10/25" "7.9700" "6711365.0000" "8.1300" "8.2200" "7.9300"
"2018/10/24" "8.0600" "6856247.0000" "8.1800" "8.4900" "8.0200"
"2018/10/23" "8.1300" "4661795.0000" "8.3800" "8.5000" "7.7700"
"2018/10/22" "8.6450" "6206553.0000" "9.0100" "9.1500" "8.4100"
"2018/10/19" "9.0900" "12193390.0000" "9.1500" "9.2200" "8.8000"
"2018/10/18" "10.4800" "3581206.0000" "10.6800" "10.6800" "10.0300"
"2018/10/17" "10.8100" "2703566.0000" "10.9500" "11.0900" "10.7000"
"2018/10/16" "11.0000" "1952930.0000" "11.0500" "11.2800" "10.8900"
"2018/10/15" "10.9600" "1802435.0000" "10.6600" "11.0300" "10.6200"
"2018/10/12" "10.6900" "2057099.0000" "10.5900" "10.8600" "10.3700"
"2018/10/11" "10.4000" "1971819.0000" "10.5800" "10.7600" "10.2500"
"2018/10/10" "10.5900" "2382474.0000" "10.9100" "11.0150" "10.5300"
