"date" "close" "volume" "open" "high" "low"
"2018/12/31" "6.6200" "186745.0000" "6.5300" "6.7900" "6.5287"
"2018/12/28" "6.5200" "154933.0000" "6.3000" "6.7700" "6.3000"
"2018/12/27" "6.3800" "144125.0000" "6.3800" "6.5000" "6.2200"
"2018/12/26" "6.4200" "159864.0000" "6.0500" "6.4800" "5.9800"
"2018/12/24" "6.0600" "81863.0000" "5.7800" "6.1100" "5.7340"
"2018/12/21" "5.8200" "302052.0000" "6.5400" "6.5600" "5.8200"
"2018/12/20" "6.5600" "139027.0000" "6.3300" "6.6500" "6.2500"
"2018/12/19" "6.2200" "109028.0000" "6.3100" "6.6650" "6.1300"
"2018/12/18" "6.3200" "89342.0000" "6.3000" "6.4400" "6.2000"
"2018/12/17" "6.2800" "156099.0000" "6.5600" "6.7400" "6.2400"
"2018/12/14" "6.5500" "206794.0000" "6.8800" "6.8800" "6.4900"
"2018/12/13" "6.8800" "108895.0000" "7.1100" "7.3472" "6.7400"
"2018/12/12" "7.1200" "134608.0000" "7.3200" "7.5300" "6.9401"
"2018/12/11" "7.1500" "152448.0000" "7.3100" "7.4250" "6.9600"
"2018/12/10" "7.2500" "252460.0000" "7.5600" "7.6400" "7.1700"
"2018/12/07" "7.5600" "118284.0000" "7.9500" "8.0800" "7.5150"
"2018/12/06" "7.9500" "161729.0000" "7.6800" "7.9800" "7.6000"
"2018/12/04" "7.8600" "81951.0000" "7.9500" "8.2350" "7.8300"
"2018/12/03" "7.9500" "124090.0000" "8.1200" "8.2094" "7.6800"
"2018/11/30" "8.1600" "70648.0000" "7.7800" "8.2300" "7.7800"
"2018/11/29" "7.8200" "70284.0000" "7.9200" "8.0587" "7.6900"
"2018/11/28" "7.9800" "105769.0000" "8.0900" "8.3100" "7.9400"
"2018/11/27" "8.1100" "215219.0000" "8.3400" "8.8899" "7.9100"
"2018/11/26" "8.3800" "133445.0000" "8.4200" "8.5526" "8.1550"
"2018/11/23" "8.3800" "30714.0000" "8.3600" "8.8550" "8.3300"
"2018/11/21" "8.5300" "74601.0000" "8.7300" "9.0000" "8.4300"
"2018/11/20" "8.7500" "207407.0000" "8.8800" "9.0700" "8.6600"
"2018/11/19" "9.1700" "105912.0000" "9.8000" "9.9290" "9.0900"
"2018/11/16" "9.8800" "114282.0000" "9.9000" "10.0700" "9.2600"
"2018/11/15" "10.0600" "142324.0000" "9.7600" "10.1300" "9.6050"
"2018/11/14" "9.9300" "168605.0000" "9.6100" "10.0900" "9.5050"
"2018/11/13" "9.5700" "162871.0000" "9.5900" "9.8400" "9.5300"
"2018/11/12" "9.6700" "219124.0000" "9.4400" "9.9400" "9.0700"
"2018/11/09" "9.4400" "206514.0000" "9.0100" "9.5325" "8.6200"
"2018/11/08" "9.0900" "877829.0000" "8.0000" "9.7083" "7.9500"
"2018/11/07" "7.4600" "122024.0000" "7.3400" "7.5000" "7.2400"
"2018/11/06" "7.3400" "135140.0000" "7.0900" "7.3900" "7.0900"
"2018/11/05" "7.1100" "50721.0000" "7.1700" "7.1918" "6.9900"
"2018/11/02" "7.1600" "130483.0000" "6.8900" "7.2010" "6.8900"
"2018/11/01" "6.9000" "139442.0000" "6.6900" "7.0600" "6.4625"
"2018/10/31" "6.6000" "207172.0000" "6.8600" "6.9400" "6.4600"
"2018/10/30" "6.8700" "184466.0000" "6.5200" "7.0000" "6.5200"
"2018/10/29" "6.5800" "230729.0000" "6.9200" "6.9200" "6.4600"
"2018/10/26" "6.7800" "198765.0000" "6.8200" "6.9700" "6.6800"
"2018/10/25" "6.9100" "179212.0000" "6.9100" "7.1000" "6.8800"
"2018/10/24" "6.9100" "281528.0000" "7.1000" "7.3800" "6.9000"
"2018/10/23" "7.0300" "903547.0000" "7.8100" "8.0100" "6.8900"
"2018/10/22" "8.1300" "286032.0000" "8.5700" "9.2100" "8.1000"
"2018/10/19" "8.7400" "296688.0000" "9.3800" "9.4999" "8.7300"
"2018/10/18" "9.3700" "140728.0000" "9.6100" "9.6800" "9.3100"
"2018/10/17" "9.7400" "196955.0000" "9.5900" "9.8429" "9.2600"
"2018/10/16" "9.6000" "202497.0000" "9.5900" "9.6900" "9.3700"
"2018/10/15" "9.5800" "164670.0000" "9.8300" "9.8300" "9.4000"
"2018/10/12" "9.5200" "176361.0000" "9.4300" "9.5500" "9.2500"
"2018/10/11" "9.1200" "152002.0000" "8.5800" "9.2100" "8.5800"
"2018/10/10" "8.7100" "235380.0000" "9.6600" "9.6600" "8.7001"
"2018/10/09" "9.7100" "109537.0000" "9.8200" "9.9862" "9.5600"
"2018/10/08" "9.8100" "115887.0000" "9.9700" "10.2599" "9.6400"
"2018/10/05" "9.9800" "208203.0000" "10.0200" "10.2500" "9.7300"
"2018/10/04" "10.0000" "315153.0000" "10.5000" "10.5000" "9.7900"
"2018/10/03" "10.5900" "837457.0000" "9.0800" "10.9400" "8.7900"
"2018/10/02" "9.0900" "207509.0000" "8.8100" "9.3800" "8.4200"
"2018/10/01" "9.3500" "118295.0000" "9.5200" "9.7300" "9.2578"
"2018/09/28" "9.4800" "86099.0000" "9.6300" "9.7300" "9.4600"
"2018/09/27" "9.6900" "131276.0000" "9.6300" "9.7800" "9.4400"
"2018/09/26" "9.6400" "83711.0000" "9.8300" "9.8300" "9.6200"
"2018/09/25" "9.8000" "103696.0000" "9.4600" "9.8300" "9.3900"
"2018/09/24" "9.4400" "62466.0000" "9.4500" "9.5319" "9.2800"
"2018/09/21" "9.5300" "57891.0000" "9.6000" "9.6700" "9.4400"
"2018/09/20" "9.5400" "92315.0000" "9.6000" "9.6800" "9.4500"
"2018/09/19" "9.5800" "143010.0000" "9.5000" "9.6449" "9.3900"
"2018/09/18" "9.4800" "199416.0000" "9.7000" "9.8242" "9.4500"
"2018/09/17" "9.6900" "246322.0000" "9.4800" "9.8400" "9.3800"
"2018/09/14" "9.3500" "134804.0000" "9.1100" "9.4994" "9.0131"
"2018/09/13" "9.0700" "143620.0000" "8.9600" "9.2492" "8.9600"
"2018/09/12" "8.9300" "128739.0000" "8.5300" "8.9600" "8.3900"
"2018/09/11" "8.5200" "134410.0000" "8.3500" "8.5700" "8.1200"
"2018/09/10" "8.3600" "38546.0000" "8.5000" "8.5000" "8.3000"
"2018/09/07" "8.4700" "72812.0000" "8.3300" "8.5200" "8.0600"
"2018/09/06" "8.4100" "81407.0000" "8.5200" "8.5200" "8.3000"
"2018/09/05" "8.4800" "106668.0000" "8.5000" "8.5579" "8.3101"
"2018/09/04" "8.5400" "216303.0000" "8.8000" "8.8000" "8.3000"
"2018/08/31" "8.8300" "91547.0000" "8.8200" "8.9100" "8.7100"
"2018/08/30" "8.8800" "121181.0000" "8.8300" "8.9800" "8.8000"
"2018/08/29" "8.8400" "166439.0000" "8.7800" "8.9500" "8.6100"
"2018/08/28" "8.7200" "79755.0000" "8.7600" "8.8300" "8.6500"
"2018/08/27" "8.7000" "96165.0000" "8.5000" "8.8000" "8.4100"
"2018/08/24" "8.4800" "118510.0000" "8.4700" "8.5900" "8.3500"
"2018/08/23" "8.4100" "172915.0000" "8.4100" "8.7000" "8.2800"
"2018/08/22" "8.4900" "212991.0000" "8.4000" "8.5900" "8.2600"
"2018/08/21" "8.4000" "195984.0000" "8.1400" "8.4000" "8.1195"
"2018/08/20" "8.1400" "285051.0000" "7.7600" "8.1700" "7.4800"
"2018/08/17" "7.4700" "106530.0000" "7.5000" "7.6200" "7.4300"
"2018/08/16" "7.5500" "149103.0000" "7.3000" "7.6300" "7.2625"
"2018/08/15" "7.2700" "162358.0000" "7.1000" "7.3500" "6.9200"
"2018/08/14" "7.1600" "235770.0000" "6.7000" "7.1900" "6.6800"
"2018/08/13" "6.7500" "315302.0000" "6.6100" "6.7500" "6.3400"
"2018/08/10" "6.7200" "591243.0000" "6.7000" "7.1576" "6.5300"
"2018/08/09" "8.0100" "328588.0000" "8.1600" "8.2500" "7.7510"
"2018/08/08" "8.0000" "696311.0000" "7.4000" "8.1800" "7.4000"
"2018/08/07" "7.1700" "74788.0000" "7.3400" "7.4400" "7.1365"
"2018/08/06" "7.3100" "117835.0000" "7.1300" "7.3800" "7.1000"
"2018/08/03" "7.1300" "52091.0000" "7.2500" "7.4400" "7.0300"
"2018/08/02" "7.2000" "72899.0000" "7.0800" "7.3550" "7.0571"
"2018/08/01" "7.0900" "41129.0000" "6.9500" "7.1890" "6.9500"
"2018/07/31" "6.9200" "53379.0000" "6.8300" "6.9800" "6.7382"
"2018/07/30" "6.8200" "121447.0000" "7.0800" "7.2000" "6.7600"
"2018/07/27" "7.1000" "151798.0000" "7.3600" "7.3852" "7.0300"
"2018/07/26" "7.3900" "80803.0000" "7.5500" "7.6500" "7.3357"
"2018/07/25" "7.5500" "79493.0000" "7.4000" "7.5800" "7.3700"
"2018/07/24" "7.4400" "222201.0000" "7.6800" "7.7500" "7.2400"
"2018/07/23" "7.6100" "84437.0000" "7.5400" "7.6130" "7.3429"
"2018/07/20" "7.5900" "66911.0000" "7.4100" "7.6100" "7.3400"
"2018/07/19" "7.4300" "80684.0000" "7.3200" "7.5300" "7.3200"
"2018/07/18" "7.3900" "67789.0000" "7.2500" "7.4200" "7.1400"
"2018/07/17" "7.2700" "52235.0000" "7.1300" "7.3340" "7.1300"
"2018/07/16" "7.1700" "90662.0000" "7.3300" "7.3500" "7.0600"
"2018/07/13" "7.3500" "87251.0000" "7.3800" "7.5900" "7.2500"
"2018/07/12" "7.3800" "89278.0000" "7.3000" "7.4400" "7.1000"
"2018/07/11" "7.2200" "97384.0000" "7.3900" "7.5700" "7.1500"
"2018/07/10" "7.4900" "190516.0000" "7.5600" "7.8400" "7.3400"
"2018/07/09" "7.6500" "129501.0000" "7.6400" "7.7714" "7.5400"
"2018/07/06" "7.5400" "118653.0000" "7.3900" "7.5900" "7.2970"
"2018/07/05" "7.3800" "89255.0000" "7.2400" "7.3900" "7.1493"
"2018/07/03" "7.2300" "49063.0000" "7.2100" "7.2400" "7.0200"
"2018/07/02" "7.1900" "147420.0000" "7.0600" "7.2850" "6.9000"
"2018/06/29" "7.0800" "208628.0000" "7.2100" "7.2900" "6.8900"
"2018/06/28" "7.1600" "160227.0000" "7.2900" "7.3700" "7.0600"
"2018/06/27" "7.2700" "209845.0000" "7.5000" "7.5850" "7.1000"
"2018/06/26" "7.5000" "200125.0000" "7.0600" "7.6400" "7.0600"
"2018/06/25" "7.0300" "322902.0000" "7.7900" "7.7900" "7.0000"
"2018/06/22" "7.7900" "1357008.0000" "7.6900" "8.0400" "7.6500"
"2018/06/21" "7.9200" "296264.0000" "8.0300" "8.3288" "7.8000"
"2018/06/20" "8.0300" "675146.0000" "7.6700" "8.3400" "7.3900"
"2018/06/19" "7.6000" "288224.0000" "7.1500" "7.7000" "7.0100"
"2018/06/18" "7.2700" "346657.0000" "6.4700" "7.5000" "6.4600"
"2018/06/15" "6.4700" "476643.0000" "6.6000" "6.6800" "6.4200"
"2018/06/14" "6.6300" "328883.0000" "6.6700" "6.8100" "6.3500"
"2018/06/13" "6.6700" "223540.0000" "7.0000" "7.0200" "6.6500"
"2018/06/12" "7.0400" "117301.0000" "7.1700" "7.2800" "6.9600"
"2018/06/11" "7.1300" "135200.0000" "6.6500" "7.1400" "6.5900"
"2018/06/08" "6.6600" "72560.0000" "6.7500" "6.8200" "6.5800"
"2018/06/07" "6.7800" "81699.0000" "7.0000" "7.0000" "6.7500"
"2018/06/06" "6.9500" "135054.0000" "6.7400" "7.0000" "6.6600"
"2018/06/05" "6.7000" "84949.0000" "6.5300" "6.7100" "6.4900"
"2018/06/04" "6.5400" "119976.0000" "6.6400" "6.7850" "6.4900"
"2018/06/01" "6.6400" "94002.0000" "6.8500" "6.9499" "6.5700"
"2018/05/31" "6.7700" "146497.0000" "6.8000" "6.9300" "6.6300"
"2018/05/30" "6.8100" "340049.0000" "6.3700" "6.8500" "6.3000"
"2018/05/29" "6.3000" "147136.0000" "6.2700" "6.3400" "6.2090"
"2018/05/25" "6.2900" "105375.0000" "6.3000" "6.3900" "6.1600"
"2018/05/24" "6.3300" "110746.0000" "6.4100" "6.5100" "6.2500"
"2018/05/23" "6.3400" "178541.0000" "6.4200" "6.4488" "6.2300"
"2018/05/22" "6.4000" "156738.0000" "6.5700" "6.5731" "6.3700"
