"date" "close" "volume" "open" "high" "low"
"2018/12/31" "18.3900" "402699.0000" "18.9000" "19.1800" "18.2520"
"2018/12/28" "18.7400" "436234.0000" "18.5300" "19.1250" "18.4200"
"2018/12/27" "18.5500" "586694.0000" "18.0400" "18.5800" "17.8320"
"2018/12/26" "18.3700" "522431.0000" "17.1000" "18.3700" "17.0000"
"2018/12/24" "16.9300" "396703.0000" "16.7200" "17.4100" "16.7200"
"2018/12/21" "16.9100" "1370149.0000" "17.7000" "17.7300" "16.6700"
"2018/12/20" "17.4400" "736360.0000" "16.7900" "17.6600" "16.7900"
"2018/12/19" "16.8800" "675760.0000" "17.6400" "17.6700" "16.5137"
"2018/12/18" "17.6900" "742493.0000" "17.4700" "17.9900" "17.3250"
"2018/12/17" "17.2900" "601177.0000" "17.2000" "17.5800" "17.0500"
"2018/12/14" "17.3800" "388654.0000" "17.5100" "17.8700" "17.0700"
"2018/12/13" "17.7200" "491322.0000" "18.3000" "18.5700" "17.7000"
"2018/12/12" "18.2900" "523253.0000" "18.4900" "18.8700" "18.2800"
"2018/12/11" "18.3000" "1182424.0000" "18.7500" "19.2500" "18.0200"
"2018/12/10" "18.3700" "3961335.0000" "17.8500" "18.9900" "17.1100"
"2018/12/07" "12.7800" "344887.0000" "13.3400" "13.5600" "12.6100"
"2018/12/06" "13.3500" "403630.0000" "13.7500" "13.9200" "13.1000"
"2018/12/04" "14.0300" "310623.0000" "14.3400" "14.3900" "13.8200"
"2018/12/03" "14.4900" "244358.0000" "14.3600" "14.7300" "14.1400"
"2018/11/30" "14.1000" "423212.0000" "13.6000" "14.1000" "13.3100"
"2018/11/29" "13.6400" "318715.0000" "13.6400" "13.9100" "13.4800"
"2018/11/28" "13.7500" "303927.0000" "13.6300" "13.8000" "13.2600"
"2018/11/27" "13.4900" "198310.0000" "13.6000" "13.7400" "13.3700"
"2018/11/26" "13.9100" "290569.0000" "13.7900" "14.1400" "13.6500"
"2018/11/23" "13.6500" "115320.0000" "13.3100" "13.7900" "13.2700"
"2018/11/21" "13.3700" "293801.0000" "13.2200" "13.8300" "13.2100"
"2018/11/20" "13.1300" "310422.0000" "13.3000" "13.4900" "13.0200"
"2018/11/19" "13.5100" "216782.0000" "14.0600" "14.1000" "13.4600"
"2018/11/16" "14.1100" "239530.0000" "13.9700" "14.1500" "13.6479"
"2018/11/15" "14.2900" "249939.0000" "13.6200" "14.3600" "13.6200"
"2018/11/14" "13.6500" "189773.0000" "13.6400" "13.9513" "13.5300"
"2018/11/13" "13.4600" "369959.0000" "13.6700" "14.0000" "13.3600"
"2018/11/12" "13.6100" "411117.0000" "14.0000" "14.1707" "13.4400"
"2018/11/09" "14.1600" "348610.0000" "14.3600" "14.7950" "13.9400"
