"date" "close" "volume" "open" "high" "low"
"2018/12/31" "9.7800" "418299.0000" "9.3600" "9.7900" "9.0700"
"2018/12/28" "9.3200" "294349.0000" "9.0600" "9.5400" "9.0600"
"2018/12/27" "9.0300" "231368.0000" "8.8800" "9.2400" "8.6400"
"2018/12/26" "9.1000" "628166.0000" "8.3400" "9.1100" "8.3400"
"2018/12/24" "8.2400" "197203.0000" "8.5000" "8.7399" "7.9590"
"2018/12/21" "8.6300" "606967.0000" "9.0200" "9.1300" "8.5500"
"2018/12/20" "9.0100" "417595.0000" "9.2000" "9.4200" "8.8500"
"2018/12/19" "9.1950" "318177.0000" "9.7300" "9.8600" "9.0300"
"2018/12/18" "9.7800" "311343.0000" "9.7200" "10.0500" "9.7100"
"2018/12/17" "9.5500" "594118.0000" "9.7500" "9.9500" "9.5000"
"2018/12/14" "9.7500" "349412.0000" "9.5300" "9.8200" "9.5300"
"2018/12/13" "9.6600" "262902.0000" "9.6400" "9.6800" "9.3700"
"2018/12/12" "9.6300" "265580.0000" "9.8300" "10.0167" "9.6200"
"2018/12/11" "9.6800" "340314.0000" "9.8800" "10.1700" "9.5900"
"2018/12/10" "9.7100" "320677.0000" "9.8400" "9.9000" "9.5600"
"2018/12/07" "9.7900" "227336.0000" "10.1700" "10.3500" "9.7800"
"2018/12/06" "10.2100" "286850.0000" "10.2000" "10.5050" "9.9500"
"2018/12/04" "10.3300" "291610.0000" "11.0100" "11.0900" "10.2900"
"2018/12/03" "11.0500" "508303.0000" "10.3000" "11.1437" "10.2600"
"2018/11/30" "10.0500" "530907.0000" "9.6700" "10.2400" "9.6400"
"2018/11/29" "9.6400" "186184.0000" "9.6800" "9.8400" "9.5400"
"2018/11/28" "9.7700" "421780.0000" "9.8800" "10.0100" "9.5400"
"2018/11/27" "9.8000" "303063.0000" "10.1300" "10.2400" "9.6700"
"2018/11/26" "10.2400" "315967.0000" "10.8000" "10.8000" "10.1000"
"2018/11/23" "10.6400" "82372.0000" "10.3800" "10.8100" "10.3800"
"2018/11/21" "10.4600" "194422.0000" "10.2300" "10.5900" "10.1901"
"2018/11/20" "10.0900" "293958.0000" "9.6100" "10.3045" "9.6100"
"2018/11/19" "10.3100" "277491.0000" "10.6200" "10.8799" "10.2500"
"2018/11/16" "10.6900" "423943.0000" "10.4900" "10.7400" "10.1500"
"2018/11/15" "10.6700" "297495.0000" "10.5800" "10.7600" "10.4400"
"2018/11/14" "10.6900" "313252.0000" "10.9000" "11.0100" "10.6400"
"2018/11/13" "10.8200" "294123.0000" "10.7800" "11.0000" "10.5200"
"2018/11/12" "10.7200" "298620.0000" "11.2900" "11.2900" "10.7100"
"2018/11/09" "11.4600" "348390.0000" "11.5700" "11.6100" "11.2300"
"2018/11/08" "11.6400" "408357.0000" "11.3400" "11.8800" "11.2900"
"2018/11/07" "11.3900" "1198774.0000" "11.9700" "12.3200" "10.6050"
"2018/11/06" "12.2500" "269645.0000" "11.9800" "12.3700" "11.6100"
"2018/11/05" "12.0500" "227390.0000" "12.6400" "12.6500" "11.9950"
"2018/11/02" "12.6300" "288292.0000" "13.0900" "13.0900" "12.3800"
"2018/11/01" "12.9700" "308785.0000" "12.1600" "13.0600" "12.1600"
"2018/10/31" "12.1100" "251596.0000" "12.0800" "12.2101" "11.8600"
"2018/10/30" "11.8300" "404692.0000" "11.7700" "12.0650" "11.6279"
"2018/10/29" "11.8300" "274958.0000" "12.2000" "12.2650" "11.7500"
"2018/10/26" "12.0500" "286068.0000" "11.7200" "12.1800" "11.5651"
"2018/10/25" "11.9400" "496061.0000" "11.5400" "12.1300" "11.5300"
"2018/10/24" "11.4600" "658751.0000" "12.3400" "12.5300" "11.3500"
"2018/10/23" "12.3600" "301753.0000" "11.9800" "12.4600" "11.5500"
"2018/10/22" "12.2000" "339973.0000" "12.3500" "12.5760" "12.0369"
"2018/10/19" "12.3700" "324682.0000" "13.0900" "13.2100" "12.2900"
"2018/10/18" "13.0800" "203500.0000" "13.3700" "13.5800" "13.0700"
"2018/10/17" "13.4500" "160612.0000" "13.7700" "13.7732" "13.3200"
"2018/10/16" "13.7700" "266040.0000" "13.5600" "13.8150" "13.3300"
"2018/10/15" "13.4800" "155513.0000" "13.2500" "13.6800" "13.0200"
"2018/10/12" "13.2900" "265395.0000" "13.6400" "13.6600" "13.0300"
"2018/10/11" "13.3400" "284582.0000" "13.1800" "13.7900" "13.1000"
"2018/10/10" "13.2500" "278757.0000" "13.9800" "13.9800" "13.1900"
"2018/10/09" "14.0700" "287403.0000" "14.1900" "14.4500" "13.9050"
"2018/10/08" "14.2100" "231240.0000" "13.9900" "14.2700" "13.8650"
"2018/10/05" "14.0200" "307406.0000" "14.0400" "14.1992" "13.7600"
"2018/10/04" "13.9800" "809884.0000" "13.7000" "14.2400" "13.3200"
"2018/10/03" "13.7200" "658789.0000" "13.7900" "14.2500" "13.3400"
"2018/10/02" "13.8000" "328892.0000" "14.5400" "14.5400" "13.7500"
"2018/10/01" "14.5500" "222166.0000" "14.9000" "14.9500" "14.5200"
"2018/09/28" "14.7500" "430289.0000" "14.8000" "14.9500" "14.6500"
"2018/09/27" "14.8500" "272874.0000" "14.7500" "15.0000" "14.5000"
"2018/09/26" "14.7000" "231662.0000" "14.7000" "14.9500" "14.4000"
"2018/09/25" "14.6000" "460546.0000" "14.3000" "14.6500" "14.0500"
"2018/09/24" "14.3500" "493676.0000" "15.6000" "15.6000" "14.2050"
"2018/09/21" "15.6500" "446318.0000" "15.6500" "15.9000" "15.6000"
"2018/09/20" "15.8000" "179209.0000" "15.8000" "15.9000" "15.6500"
"2018/09/19" "15.6000" "215868.0000" "15.7000" "15.9500" "15.5500"
"2018/09/18" "15.8000" "163858.0000" "15.5500" "15.9000" "15.5500"
"2018/09/17" "15.5500" "211276.0000" "15.9000" "16.0000" "15.5500"
"2018/09/14" "15.9000" "183389.0000" "15.5000" "16.1000" "15.4500"
"2018/09/13" "15.5000" "245283.0000" "15.1500" "15.5750" "15.1500"
"2018/09/12" "15.1500" "254722.0000" "15.6500" "15.7500" "15.0000"
"2018/09/11" "15.7000" "246357.0000" "15.6000" "15.8500" "15.4000"
"2018/09/10" "15.7500" "174598.0000" "15.3500" "15.9000" "15.2000"
"2018/09/07" "15.1000" "175071.0000" "15.3000" "15.5300" "15.0500"
"2018/09/06" "15.4000" "129145.0000" "15.6000" "15.8000" "15.2500"
"2018/09/05" "15.6500" "261927.0000" "15.7000" "15.7500" "15.2000"
"2018/09/04" "15.8000" "159940.0000" "16.2000" "16.3000" "15.8000"
"2018/08/31" "16.2000" "169840.0000" "16.3000" "16.5500" "16.0500"
"2018/08/30" "16.2500" "247436.0000" "16.5000" "16.5000" "16.0500"
"2018/08/29" "16.4500" "212929.0000" "15.9000" "16.4500" "15.7000"
"2018/08/28" "15.8000" "278301.0000" "15.9000" "16.0000" "15.6000"
"2018/08/27" "16.0000" "212629.0000" "16.6000" "16.7000" "15.9000"
"2018/08/24" "16.5500" "383777.0000" "16.2500" "16.7000" "16.0458"
"2018/08/23" "16.1500" "241068.0000" "16.3000" "16.4500" "16.1500"
"2018/08/22" "16.3000" "305158.0000" "16.0000" "16.4000" "15.9000"
"2018/08/21" "16.0000" "285789.0000" "15.7000" "16.2000" "15.6500"
"2018/08/20" "15.6500" "260720.0000" "15.3500" "15.8000" "15.1500"
"2018/08/17" "15.3500" "313338.0000" "15.0500" "15.5000" "14.9000"
"2018/08/16" "15.0500" "217174.0000" "14.6500" "15.2000" "14.6000"
"2018/08/15" "14.6000" "227773.0000" "15.0000" "15.2000" "14.3000"
"2018/08/14" "15.0000" "278356.0000" "15.1500" "15.3200" "14.8500"
"2018/08/13" "15.1000" "333981.0000" "14.9000" "15.2000" "14.8000"
"2018/08/10" "14.9000" "319774.0000" "15.3500" "15.5000" "14.8750"
"2018/08/09" "15.4000" "342148.0000" "15.2500" "15.6500" "15.1500"
"2018/08/08" "15.2500" "756555.0000" "14.7500" "15.4000" "14.6000"
"2018/08/07" "14.8500" "363581.0000" "14.9500" "15.1500" "14.7000"
"2018/08/06" "14.9000" "296422.0000" "14.7500" "15.0500" "14.6500"
"2018/08/03" "14.7000" "461356.0000" "15.0000" "15.2500" "14.4500"
"2018/08/02" "15.0000" "389844.0000" "14.1000" "15.1500" "14.1000"
"2018/08/01" "14.2500" "1262782.0000" "13.7000" "14.4500" "12.3000"
"2018/07/31" "14.9000" "500754.0000" "14.6000" "15.1950" "14.3050"
"2018/07/30" "14.6500" "471430.0000" "15.3000" "15.4500" "14.5250"
"2018/07/27" "15.3500" "392629.0000" "16.2000" "16.2750" "15.3000"
"2018/07/26" "16.2500" "305087.0000" "16.2500" "16.6000" "16.0500"
"2018/07/25" "16.2000" "547920.0000" "17.0000" "17.0500" "16.0000"
"2018/07/24" "17.0500" "241699.0000" "17.4500" "17.6750" "16.9500"
"2018/07/23" "17.4500" "209938.0000" "17.4500" "17.5500" "17.1000"
"2018/07/20" "17.5500" "214390.0000" "17.5500" "17.7000" "17.4250"
"2018/07/19" "17.5500" "195387.0000" "17.5000" "17.7500" "17.2550"
"2018/07/18" "17.5000" "268042.0000" "17.6500" "17.6500" "17.0500"
"2018/07/17" "17.5500" "367445.0000" "16.8500" "17.7000" "16.7500"
"2018/07/16" "16.9000" "258992.0000" "17.0500" "17.1500" "16.7000"
"2018/07/13" "17.1000" "184567.0000" "17.4000" "17.4950" "17.0500"
"2018/07/12" "17.4500" "268993.0000" "17.4000" "17.5500" "17.1500"
"2018/07/11" "17.2500" "333111.0000" "17.2000" "17.3950" "17.0000"
"2018/07/10" "17.2500" "261099.0000" "17.6500" "17.7500" "16.9250"
"2018/07/09" "17.7000" "305250.0000" "17.6000" "17.8000" "17.4500"
"2018/07/06" "17.4500" "228192.0000" "17.2000" "17.5000" "17.0500"
"2018/07/05" "17.2500" "324554.0000" "16.9500" "17.3000" "16.6000"
"2018/07/03" "17.0000" "175559.0000" "17.1500" "17.3000" "16.6000"
"2018/07/02" "17.1500" "315867.0000" "17.3000" "17.3500" "16.8500"
"2018/06/29" "17.3000" "630191.0000" "17.5500" "17.9500" "16.7750"
"2018/06/28" "17.4000" "534371.0000" "17.4500" "17.6000" "16.9500"
"2018/06/27" "17.5000" "815427.0000" "19.0500" "19.4000" "17.2500"
"2018/06/26" "19.0000" "847815.0000" "18.1500" "19.1500" "18.1500"
"2018/06/25" "18.0500" "493623.0000" "18.4000" "18.4000" "17.8000"
"2018/06/22" "18.2000" "824186.0000" "18.1000" "18.3500" "17.5500"
"2018/06/21" "18.1000" "343451.0000" "18.2500" "18.4250" "18.0000"
"2018/06/20" "18.2000" "346659.0000" "17.6500" "18.2500" "17.4500"
"2018/06/19" "17.5000" "344447.0000" "17.8000" "17.8000" "17.1500"
"2018/06/18" "17.8500" "471478.0000" "17.5000" "17.9500" "17.0550"
"2018/06/15" "17.6000" "481223.0000" "17.7500" "17.9500" "17.4500"
"2018/06/14" "17.6500" "587973.0000" "17.4500" "17.9500" "17.4500"
"2018/06/13" "17.3500" "682014.0000" "17.0000" "17.4500" "17.0000"
"2018/06/12" "16.9500" "423983.0000" "16.6500" "17.1500" "16.6500"
"2018/06/11" "16.6500" "514229.0000" "16.2500" "16.8750" "16.0000"
"2018/06/08" "16.1500" "470602.0000" "15.5500" "16.4000" "15.5500"
"2018/06/07" "15.6000" "202350.0000" "15.8500" "15.9500" "15.5500"
"2018/06/06" "15.7500" "345128.0000" "15.5000" "15.8500" "15.2000"
"2018/06/05" "15.4500" "325977.0000" "15.0000" "15.6500" "15.0000"
"2018/06/04" "15.2000" "331034.0000" "15.3500" "15.4500" "15.0000"
"2018/06/01" "15.2500" "453038.0000" "15.2500" "15.4940" "15.0500"
"2018/05/31" "15.2000" "219268.0000" "15.1500" "15.3000" "15.0000"
"2018/05/30" "15.2000" "209237.0000" "15.2000" "15.5000" "15.1250"
"2018/05/29" "15.2000" "346676.0000" "15.2500" "15.2750" "14.9500"
"2018/05/25" "15.2500" "205495.0000" "15.5500" "15.5900" "15.1500"
"2018/05/24" "15.5500" "449487.0000" "15.1500" "15.7750" "14.9500"
"2018/05/23" "15.2500" "329025.0000" "15.4500" "15.6750" "15.1500"
"2018/05/22" "15.5000" "319655.0000" "15.7500" "16.0000" "15.4500"
"2018/05/21" "15.8500" "440273.0000" "15.5500" "16.0500" "15.4450"
"2018/05/18" "15.3500" "431746.0000" "15.6000" "15.7000" "15.1000"
"2018/05/17" "15.6000" "557511.0000" "15.2500" "15.8500" "15.1500"
"2018/05/16" "15.2500" "337812.0000" "15.3000" "15.3500" "15.0500"
"2018/05/15" "15.2500" "648767.0000" "15.2500" "15.6500" "14.9500"
"2018/05/14" "15.3000" "858671.0000" "14.8000" "15.4500" "14.5000"
"2018/05/11" "14.6500" "718826.0000" "14.0000" "14.9795" "13.9500"
"2018/05/10" "13.9000" "1032006.0000" "14.6000" "14.6945" "13.5750"
"2018/05/09" "14.4500" "2982199.0000" "13.8500" "15.7000" "13.5500"
"2018/05/08" "11.5000" "561088.0000" "11.3500" "11.6000" "11.1500"
"2018/05/07" "11.3000" "352216.0000" "11.5500" "11.5500" "11.2000"
"2018/05/04" "11.5000" "266962.0000" "11.4000" "11.7000" "11.4000"
"2018/05/03" "11.5000" "219986.0000" "11.6000" "11.6500" "11.2500"
"2018/05/02" "11.6500" "291006.0000" "11.3000" "11.8500" "11.3000"
"2018/05/01" "11.3500" "332468.0000" "11.3000" "11.3500" "10.9000"
"2018/04/30" "11.2000" "175275.0000" "11.3500" "11.4500" "11.1000"
"2018/04/27" "11.4000" "126447.0000" "11.4500" "11.5500" "11.2250"
"2018/04/26" "11.4000" "189118.0000" "11.5000" "11.5500" "11.3500"
"2018/04/25" "11.4500" "233516.0000" "11.5000" "11.6250" "11.3500"
"2018/04/24" "11.4500" "188648.0000" "11.8500" "12.0500" "11.4500"
"2018/04/23" "11.8500" "158920.0000" "12.0000" "12.0250" "11.6500"
"2018/04/20" "12.0000" "169878.0000" "12.1000" "12.2000" "11.9500"
"2018/04/19" "12.0500" "194081.0000" "12.2000" "12.3000" "11.8500"
"2018/04/18" "12.2000" "307824.0000" "12.6500" "12.6500" "12.0500"
"2018/04/17" "12.5500" "272203.0000" "12.2500" "12.7500" "12.1500"
"2018/04/16" "12.2000" "375587.0000" "12.1500" "12.4500" "12.0000"
"2018/04/13" "12.1500" "631768.0000" "12.3500" "12.4500" "12.0000"
"2018/04/12" "12.3000" "214587.0000" "12.2500" "12.5000" "12.1750"
"2018/04/11" "12.2000" "267217.0000" "12.1000" "12.5000" "12.1000"
"2018/04/10" "12.0500" "690116.0000" "11.8000" "12.1500" "11.7000"
"2018/04/09" "11.5500" "306441.0000" "12.1000" "12.1000" "11.4500"
"2018/04/06" "12.0000" "723099.0000" "11.6500" "12.1500" "11.4750"
"2018/04/05" "11.8000" "406429.0000" "12.0000" "12.0000" "11.3750"
"2018/04/04" "11.9000" "411545.0000" "11.5500" "11.9000" "11.1500"
"2018/04/03" "11.7500" "404521.0000" "11.7000" "11.8500" "11.4250"
"2018/04/02" "11.6500" "337738.0000" "12.1000" "12.2000" "11.4500"
