date close volume open high low
2019/04/12 1.8 712.0 1.781 1.8 1.781
2019/04/11 1.78 18061.0 1.73 2.0 1.73
2019/04/10 1.91 287.0 1.91 1.91 1.91
2019/04/09 1.91 4106.0 1.84 1.91 1.7739
2019/04/08 1.75 5547.0 1.75 1.85 1.72
2019/04/05 1.86 5860.0 1.8599 1.86 1.8599
2019/04/04 1.8598 2909.0 1.78 1.8598 1.78
2019/04/03 1.8581 3963.0 1.87 1.88 1.8581
2019/04/02 1.91 6823.0 1.81 1.91 1.81
2019/04/01 1.81 780.0 1.8175 1.8175 1.81
2019/03/29 1.78 25223.0 2.0 2.0 1.7588
2019/03/28 1.815 663.0 1.7833 1.815 1.7833
2019/03/27 1.85 3565.0 1.85 1.86 1.85
2019/03/26 1.82 4480.0 1.8001 1.898 1.8
2019/03/25 1.7588 3398.0 1.7535 1.825 1.75
2019/03/22 1.7588 3584.0 1.7301 1.7588 1.7301
2019/03/21 1.88 2133.0 1.78 1.88 1.75
2019/03/20 1.902 1196.0 2.03 2.03 1.855
2019/03/19 1.87 10455.0 1.87 1.96 1.8
2019/03/18 2.0 2158.0 1.809 2.0 1.809
2019/03/15 1.8045 223.0 1.8045 1.8045 1.8045
2019/03/14 2.0 2222.0 1.88 2.0 1.88
2019/03/13 1.9 2962.0 1.71 1.9 1.71
2019/03/12 1.75 6347.0 1.7 1.8293 1.67
2019/03/11 1.71 1806.0 1.7844 1.8308 1.71
2019/03/08 1.89 6656.0 1.74 1.89 1.68
2019/03/07 1.98 803.0 1.81 1.98 1.81
2019/03/06 2.0 3403.0 1.99 2.0 1.99
2019/03/05 1.95 1798.0 2.1 2.1 1.95
2019/03/04 1.96 1612.0 2.07 2.1 1.96
2019/03/01 1.95 2771.0 2.18 2.19 1.95
2019/02/28 2.02 6557.0 2.03 2.0944 1.83
2019/02/27 2.03 1319.0 1.91 2.04 1.91
2019/02/26 2.05 1345.0 2.05 2.06 2.05
2019/02/25 1.88 4144.0 1.799 2.07 1.799
2019/02/22 1.991 483.0 1.99 1.991 1.99
2019/02/21 1.8824 10458.0 1.97 2.0 1.8
2019/02/20 2.05 26265.0 2.129 2.13 1.9095
2019/02/19 2.1365 3799.0 2.07 2.2397 2.06
2019/02/15 1.98 11180.0 1.73 2.05 1.73
2019/02/14 1.7 2727.0 1.81 1.81 1.7
2019/02/13 1.85 3193.0 1.7689 1.9028 1.7186
2019/02/12 1.88 2680.0 1.73 1.91 1.72
2019/02/11 1.75 15566.0 1.74 2.06 1.7
2019/02/08 1.84 691.0 1.9 1.9 1.84
2019/02/07 1.8292 1090.0 1.88 1.9 1.8292
2019/02/06 1.94 456.0 1.94 1.94 1.94
2019/02/05 1.85 3353.0 1.9 1.92 1.85
2019/02/04 1.91 2097.0 1.92 1.92 1.85
2019/02/01 1.86 10399.0 1.95 1.95 1.85
2019/01/31 2.06 12331.0 1.88 2.06 1.88
2019/01/30 1.95 1481.0 1.9301 1.95 1.9301
2019/01/29 1.98 7740.0 2.09 2.09 1.84
2019/01/28 2.19 1652.0 2.21 2.219 2.19
2019/01/25 2.4225 4490.0 2.32 2.55 2.27
2019/01/24 2.24 1027.0 2.29 2.29 2.24
2019/01/23 2.34 1025.0 2.3449 2.3449 2.3
2019/01/22 2.23 1334.0 2.23 2.23 2.2273
2019/01/18 2.38 1470.0 2.52 2.52 2.38
2019/01/17 2.27 1493.0 2.52 2.52 2.25
2019/01/16 2.29 7469.0 2.53 2.6 2.26
2019/01/15 2.52 1405.0 2.52 2.52 2.52
2019/01/14 2.6 328.0 2.35 2.6 2.35
2019/01/11 2.41 5778.0 2.65 2.65 2.41
2019/01/10 2.65 370.0 2.65 2.65 2.65
2019/01/09 2.55 4661.0 2.62 2.6886 2.507
2019/01/08 2.5 7410.0 2.242 2.51 2.22
2019/01/07 2.3 1441.0 2.2914 2.35 2.2914
2019/01/04 2.3974 2302.0 2.15 2.63 2.15
2019/01/03 2.15 3507.0 2.74 2.74 2.15
2019/01/02 2.79 3445.0 2.4 2.79 2.225
2018/12/31 2.448 9313.0 2.28 2.57 2.15
2018/12/28 2.42 2835.0 2.42 2.5677 2.42
2018/12/27 2.54 12589.0 2.48 2.79 2.39
2018/12/26 2.57 3698.0 2.6423 2.7469 2.48
2018/12/24 2.6 10047.0 2.73 2.73 2.42
2018/12/21 2.73 18807.0 2.82 2.82 2.46
2018/12/20 2.79 27229.0 2.51 2.81 2.51
2018/12/19 2.48 34681.0 2.51 2.73 2.3654
2018/12/18 2.28 16860.0 2.47 2.515 2.1791
2018/12/17 2.2 5596.0 2.73 2.73 2.18
2018/12/14 2.43 18942.0 2.71 2.73 2.2
2018/12/13 2.38 8360.0 2.58 2.58 2.3001
2018/12/12 2.62 18662.0 3.15 3.19 2.6
2018/12/11 3.1859 2146.0 3.17 3.3414 3.1257
2018/12/10 3.15 2288.0 3.24 3.24 3.15
