"date" "close" "volume" "open" "high" "low"
"2018/12/31" "14.2700" "72007.0000" "14.4100" "14.5779" "13.9400"
"2018/12/28" "14.4400" "70122.0000" "14.1300" "14.7600" "14.1300"
"2018/12/27" "14.2600" "81729.0000" "13.8500" "14.2700" "13.7183"
"2018/12/26" "14.1400" "162072.0000" "14.6700" "14.9699" "14.0600"
"2018/12/24" "14.6700" "62637.0000" "15.0400" "15.0400" "14.6100"
"2018/12/21" "15.2700" "158716.0000" "15.6600" "15.8800" "15.0300"
"2018/12/20" "15.5900" "53744.0000" "15.8300" "16.2800" "15.4600"
"2018/12/19" "15.6300" "73330.0000" "16.6600" "16.9450" "15.6100"
"2018/12/18" "16.6200" "59360.0000" "17.3600" "17.3800" "16.6100"
"2018/12/17" "17.2000" "89946.0000" "16.9900" "17.5000" "16.7000"
"2018/12/14" "17.1000" "56499.0000" "17.3800" "17.6100" "16.8800"
"2018/12/13" "17.5400" "49739.0000" "18.0100" "18.3300" "17.4300"
"2018/12/12" "18.0100" "94578.0000" "17.7000" "18.3400" "17.6400"
"2018/12/11" "17.6300" "74529.0000" "18.1000" "18.1000" "17.5150"
"2018/12/10" "17.6300" "83890.0000" "17.4600" "17.7200" "17.2600"
"2018/12/07" "17.4500" "71364.0000" "17.1900" "17.9500" "17.1900"
"2018/12/06" "17.2000" "49349.0000" "16.7900" "17.6699" "16.7900"
"2018/12/04" "17.2200" "43431.0000" "18.3500" "18.6500" "17.2000"
"2018/12/03" "18.6200" "40036.0000" "19.0000" "19.0000" "18.2100"
"2018/11/30" "18.3600" "57326.0000" "18.4100" "18.5000" "17.9300"
"2018/11/29" "18.1900" "40384.0000" "18.1600" "18.4834" "17.9803"
"2018/11/28" "18.1700" "73028.0000" "17.4800" "18.5800" "16.7900"
"2018/11/27" "17.4500" "60513.0000" "16.9800" "17.5900" "16.3050"
"2018/11/26" "17.1600" "35667.0000" "17.6900" "17.6961" "17.0600"
"2018/11/23" "17.5700" "16882.0000" "17.5500" "17.6200" "17.3692"
"2018/11/21" "17.7800" "37952.0000" "17.5000" "18.3000" "17.5000"
"2018/11/20" "17.3400" "81945.0000" "18.4200" "18.5421" "17.1200"
"2018/11/19" "18.7200" "37396.0000" "19.1600" "19.1900" "18.5400"
"2018/11/16" "19.1900" "61755.0000" "19.0700" "19.2400" "18.7100"
"2018/11/15" "19.1600" "63361.0000" "19.3000" "19.3000" "18.4800"
"2018/11/14" "19.3100" "55711.0000" "19.7500" "19.7950" "19.0400"
"2018/11/13" "19.5900" "60743.0000" "19.5200" "20.4100" "19.3250"
"2018/11/12" "19.4800" "65505.0000" "20.0000" "20.4800" "19.2100"
"2018/11/09" "20.1200" "104521.0000" "19.4100" "20.2400" "19.3787"
"2018/11/08" "19.5500" "74308.0000" "21.2700" "21.4114" "19.1500"
"2018/11/07" "20.1600" "55660.0000" "20.0800" "20.1800" "19.5000"
"2018/11/06" "19.8600" "23631.0000" "19.9900" "20.1000" "19.7000"
"2018/11/05" "20.0800" "59712.0000" "19.9800" "20.5799" "19.6056"
"2018/11/02" "19.9800" "69273.0000" "19.2400" "20.0000" "19.2400"
"2018/11/01" "19.1700" "81310.0000" "18.9900" "19.4200" "18.9400"
"2018/10/31" "18.8600" "72418.0000" "18.9300" "18.9866" "18.3200"
"2018/10/30" "18.6800" "48692.0000" "18.5400" "18.9000" "18.5400"
"2018/10/29" "18.5400" "62099.0000" "18.4900" "18.8600" "17.8700"
"2018/10/26" "18.2300" "73795.0000" "18.0200" "18.4100" "17.6600"
"2018/10/25" "18.3300" "53120.0000" "17.6200" "18.5200" "17.6100"
"2018/10/24" "17.4400" "70966.0000" "18.6800" "18.7300" "17.4000"
"2018/10/23" "18.7000" "41695.0000" "18.5400" "18.9400" "18.2200"
"2018/10/22" "18.8500" "59756.0000" "18.3700" "19.0800" "18.3000"
"2018/10/19" "18.3600" "74383.0000" "18.9200" "19.1100" "18.0400"
"2018/10/18" "18.9000" "49701.0000" "19.2700" "19.3300" "18.7410"
"2018/10/17" "19.2600" "64879.0000" "18.6200" "19.2900" "18.6200"
"2018/10/16" "18.7300" "77300.0000" "18.4600" "18.9450" "18.3100"
"2018/10/15" "18.4600" "79091.0000" "18.8800" "19.4200" "18.4100"
"2018/10/12" "18.9600" "69021.0000" "19.4100" "19.5100" "18.7600"
"2018/10/11" "19.1400" "48852.0000" "19.2500" "19.6700" "18.9400"
"2018/10/10" "19.2600" "67759.0000" "19.7200" "19.7200" "19.2300"
"2018/10/09" "19.7900" "57868.0000" "19.9200" "20.3000" "19.7200"
"2018/10/08" "19.9800" "44747.0000" "19.4200" "20.0000" "19.1573"
"2018/10/05" "19.4600" "103485.0000" "19.6300" "19.7950" "19.0500"
"2018/10/04" "19.7000" "74403.0000" "19.9500" "19.9600" "19.5800"
"2018/10/03" "20.0400" "38381.0000" "20.1500" "20.3450" "19.8684"
"2018/10/02" "20.1500" "56296.0000" "20.1900" "20.4106" "19.7600"
"2018/10/01" "20.2300" "49844.0000" "20.9600" "20.9600" "20.1700"
"2018/09/28" "20.8700" "61277.0000" "20.4800" "21.0000" "20.4100"
"2018/09/27" "20.5300" "79022.0000" "20.1700" "20.8200" "20.0900"
"2018/09/26" "20.1800" "87510.0000" "20.7900" "20.8900" "20.1500"
"2018/09/25" "20.8200" "67807.0000" "20.4900" "20.9800" "20.4719"
"2018/09/24" "20.4100" "55575.0000" "21.0300" "21.3850" "20.3800"
"2018/09/21" "21.0600" "118043.0000" "21.5400" "21.7100" "21.0300"
"2018/09/20" "21.5000" "65289.0000" "21.7800" "21.9399" "21.4600"
"2018/09/19" "21.6400" "40898.0000" "21.4000" "21.8800" "21.4000"
"2018/09/18" "21.3900" "50013.0000" "21.2000" "21.6560" "20.9700"
"2018/09/17" "21.1300" "61383.0000" "20.6500" "21.2500" "20.6500"
"2018/09/14" "20.6300" "45196.0000" "20.7300" "20.9400" "20.5000"
"2018/09/13" "20.7300" "34376.0000" "20.9000" "21.3500" "20.6110"
"2018/09/12" "20.8300" "109507.0000" "20.5000" "20.9500" "19.9234"
"2018/09/11" "20.5800" "40751.0000" "20.9700" "20.9900" "20.4800"
"2018/09/10" "21.1100" "94918.0000" "21.3800" "21.4750" "20.9300"
"2018/09/07" "21.3500" "69532.0000" "20.9300" "21.4600" "20.4879"
"2018/09/06" "21.0100" "60263.0000" "21.2100" "21.6000" "20.9900"
"2018/09/05" "21.1800" "93292.0000" "21.6600" "21.8500" "21.1500"
"2018/09/04" "21.6300" "61134.0000" "21.8400" "22.1000" "21.4100"
"2018/08/31" "22.0400" "37758.0000" "21.6800" "22.1200" "21.5000"
"2018/08/30" "21.7300" "42053.0000" "21.7900" "21.9600" "21.4400"
"2018/08/29" "21.8700" "53580.0000" "21.5400" "22.0100" "21.4895"
"2018/08/28" "21.6200" "47578.0000" "21.9400" "22.1000" "21.5100"
"2018/08/27" "21.8700" "51571.0000" "21.6800" "22.1352" "21.4200"
"2018/08/24" "21.5900" "53441.0000" "21.3900" "21.6300" "21.2500"
"2018/08/23" "21.2800" "41491.0000" "21.5300" "22.0200" "21.0800"
"2018/08/22" "21.5700" "50957.0000" "21.6800" "21.9399" "21.4700"
"2018/08/21" "21.7400" "69321.0000" "21.2600" "22.1200" "21.2600"
"2018/08/20" "21.3400" "95222.0000" "21.0700" "21.4300" "20.9600"
"2018/08/17" "20.9900" "114736.0000" "21.0000" "21.2999" "20.8000"
"2018/08/16" "21.0000" "103460.0000" "20.4500" "21.7300" "20.4500"
"2018/08/15" "20.3400" "145226.0000" "21.9800" "21.9800" "20.2200"
"2018/08/14" "22.2200" "92059.0000" "22.7100" "22.8600" "21.9600"
"2018/08/13" "22.5400" "40935.0000" "22.5800" "22.7400" "22.0200"
"2018/08/10" "22.6600" "70189.0000" "23.4100" "23.5000" "22.4500"
"2018/08/09" "23.6300" "45412.0000" "23.5800" "23.7800" "23.3100"
"2018/08/08" "23.3900" "59859.0000" "24.0300" "24.2200" "23.2000"
"2018/08/07" "24.0200" "73306.0000" "24.0300" "24.2300" "23.7900"
"2018/08/06" "24.0100" "151416.0000" "22.2600" "24.0300" "22.0100"
"2018/08/03" "22.4100" "62710.0000" "21.8800" "22.4400" "21.8800"
"2018/08/02" "22.0000" "70253.0000" "23.5900" "23.5900" "21.7100"
"2018/08/01" "21.8700" "45993.0000" "22.1200" "22.3300" "21.7000"
"2018/07/31" "22.1100" "50739.0000" "22.4500" "22.4600" "22.0200"
"2018/07/30" "22.2500" "24105.0000" "22.2400" "22.7900" "22.2300"
"2018/07/27" "22.2500" "56272.0000" "22.6300" "22.6300" "22.0200"
"2018/07/26" "22.5400" "93713.0000" "22.9300" "22.9300" "22.2755"
"2018/07/25" "22.9400" "55926.0000" "23.1900" "23.5100" "22.6900"
"2018/07/24" "23.1900" "57932.0000" "23.1400" "23.5700" "23.0300"
"2018/07/23" "22.8400" "60680.0000" "22.4600" "23.0400" "22.4600"
"2018/07/20" "22.6000" "41491.0000" "22.6000" "22.9600" "22.5200"
"2018/07/19" "22.6000" "45303.0000" "22.6500" "22.7400" "22.4000"
"2018/07/18" "22.7200" "41440.0000" "22.4800" "22.8300" "22.4800"
"2018/07/17" "22.4400" "89074.0000" "21.6800" "22.6150" "21.5900"
"2018/07/16" "21.6100" "102893.0000" "22.4700" "22.5100" "21.4500"
"2018/07/13" "22.3700" "34403.0000" "22.1400" "22.6400" "22.1400"
"2018/07/12" "22.1300" "55674.0000" "22.1100" "22.3300" "21.7700"
"2018/07/11" "22.0000" "74931.0000" "21.8100" "22.0700" "21.5800"
"2018/07/10" "21.9800" "63173.0000" "21.6000" "22.2600" "21.3600"
"2018/07/09" "21.4500" "58107.0000" "21.6100" "21.6100" "21.3000"
"2018/07/06" "21.6100" "44399.0000" "21.2000" "21.7700" "20.9796"
"2018/07/05" "21.2700" "112292.0000" "20.9400" "21.2800" "20.6600"
"2018/07/03" "20.8700" "49840.0000" "21.0500" "21.2900" "20.8400"
"2018/07/02" "20.9600" "81280.0000" "20.2100" "21.0000" "20.1503"
"2018/06/29" "20.4100" "73829.0000" "20.8500" "21.1700" "20.3200"
"2018/06/28" "20.7400" "79221.0000" "20.9400" "21.0246" "20.4900"
"2018/06/27" "21.0000" "53099.0000" "21.5900" "21.6600" "20.9700"
"2018/06/26" "21.5900" "75999.0000" "21.2000" "21.6300" "20.7700"
"2018/06/25" "21.1900" "83226.0000" "22.1500" "22.2635" "20.9300"
"2018/06/22" "22.3300" "189837.0000" "22.0000" "22.7400" "21.9900"
"2018/06/21" "21.7400" "75127.0000" "22.6900" "22.9799" "21.6800"
"2018/06/20" "22.7100" "56526.0000" "22.4700" "22.8300" "22.0000"
"2018/06/19" "22.3500" "125590.0000" "23.4700" "23.5300" "21.9300"
"2018/06/18" "23.7300" "75212.0000" "23.2500" "23.8600" "23.1900"
"2018/06/15" "23.3600" "113907.0000" "23.3200" "23.4100" "22.8400"
"2018/06/14" "23.4600" "97738.0000" "23.0700" "23.6000" "23.0600"
"2018/06/13" "22.9300" "100607.0000" "22.7850" "23.0200" "22.5400"
"2018/06/12" "22.7600" "65613.0000" "23.2100" "23.2100" "22.6000"
"2018/06/11" "23.2400" "46214.0000" "23.1500" "23.4600" "22.9764"
"2018/06/08" "23.1400" "80664.0000" "23.3900" "23.6200" "23.1400"
"2018/06/07" "23.4400" "44389.0000" "23.9800" "24.0100" "23.3100"
"2018/06/06" "23.9700" "129895.0000" "23.8500" "24.0500" "22.9900"
"2018/06/05" "23.7600" "127136.0000" "23.4900" "23.9500" "23.0700"
"2018/06/04" "23.5000" "72668.0000" "23.5400" "23.7600" "23.3300"
"2018/06/01" "23.4700" "79123.0000" "23.3000" "23.5300" "23.2000"
"2018/05/31" "23.1300" "86099.0000" "22.9800" "23.6350" "22.9800"
"2018/05/30" "22.8700" "71374.0000" "22.4200" "23.0900" "22.4000"
"2018/05/29" "22.3500" "65666.0000" "22.6300" "22.9000" "22.3100"
"2018/05/25" "22.7800" "124055.0000" "22.9500" "22.9800" "22.2350"
"2018/05/24" "23.1300" "57131.0000" "23.1200" "23.5290" "22.8500"
"2018/05/23" "23.1400" "62809.0000" "23.1900" "23.3500" "23.0200"
"2018/05/22" "23.2800" "69308.0000" "23.1400" "23.7600" "23.1154"
"2018/05/21" "23.0800" "63820.0000" "23.4100" "23.4400" "22.9100"
"2018/05/18" "23.3000" "103573.0000" "22.8600" "23.5700" "22.8356"
"2018/05/17" "22.7600" "89033.0000" "22.2900" "23.0500" "22.2900"
"2018/05/16" "22.2500" "91058.0000" "22.1500" "22.4500" "22.0800"
"2018/05/15" "22.0800" "124321.0000" "22.0600" "22.4500" "21.8900"
"2018/05/14" "22.1900" "134062.0000" "22.3000" "22.5100" "21.9000"
"2018/05/11" "22.2300" "87209.0000" "22.2500" "22.4900" "22.1400"
"2018/05/10" "22.1500" "82657.0000" "21.8500" "22.3750" "21.6700"
"2018/05/09" "21.7100" "139067.0000" "21.3500" "21.9100" "21.1800"
"2018/05/08" "21.2900" "119211.0000" "21.8300" "22.0390" "21.2500"
"2018/05/07" "21.9500" "132960.0000" "21.8200" "22.3000" "21.3400"
"2018/05/04" "21.9100" "150937.0000" "22.9700" "23.1200" "21.7114"
"2018/05/03" "23.0300" "117090.0000" "22.3700" "23.5600" "22.1300"
"2018/05/02" "22.9800" "148248.0000" "21.9900" "23.5100" "21.9900"
"2018/05/01" "21.9700" "187374.0000" "23.4300" "23.4300" "21.8400"
"2018/04/30" "23.4500" "163932.0000" "23.6100" "24.0000" "23.1600"
"2018/04/27" "23.6000" "87013.0000" "23.7700" "23.7700" "23.0561"
"2018/04/26" "23.7100" "59651.0000" "23.6100" "24.1600" "23.5400"
"2018/04/25" "23.5800" "40373.0000" "23.0600" "23.7000" "22.8700"
"2018/04/24" "23.1200" "98226.0000" "23.2600" "23.4840" "22.5600"
"2018/04/23" "23.1500" "54537.0000" "23.1000" "23.2790" "22.7200"
"2018/04/20" "23.2600" "54214.0000" "23.4300" "23.7299" "23.0200"
"2018/04/19" "23.5500" "69095.0000" "23.4300" "23.9700" "22.9652"
"2018/04/18" "23.4400" "142225.0000" "23.5500" "24.2700" "23.4300"
"2018/04/17" "23.3900" "145406.0000" "22.4000" "23.5290" "22.4000"
"2018/04/16" "22.2400" "60392.0000" "22.0500" "22.3100" "21.5300"
"2018/04/13" "21.8000" "57791.0000" "22.2400" "22.2400" "21.6400"
"2018/04/12" "22.1100" "98306.0000" "21.5700" "22.2500" "21.2700"
"2018/04/11" "21.4300" "78236.0000" "21.5000" "21.9100" "21.0500"
"2018/04/10" "21.6700" "61907.0000" "21.3000" "21.8400" "21.2000"
"2018/04/09" "20.9200" "87093.0000" "20.8400" "21.2250" "20.3800"
"2018/04/06" "20.7100" "123936.0000" "21.3800" "21.6600" "20.3300"
"2018/04/05" "21.5900" "78863.0000" "20.9500" "21.6500" "20.9500"
"2018/04/04" "20.8500" "112403.0000" "20.0100" "20.9600" "19.7450"
"2018/04/03" "20.3800" "105034.0000" "20.3800" "21.0960" "20.1500"
"2018/04/02" "20.0600" "100308.0000" "20.4500" "20.8250" "19.9000"
"2018/03/29" "20.5100" "134767.0000" "20.1200" "21.1800" "20.1200"
"2018/03/28" "19.9400" "113635.0000" "20.2000" "20.5000" "19.7500"
"2018/03/27" "20.2500" "98211.0000" "20.5300" "20.7700" "20.1400"
"2018/03/26" "20.4200" "101059.0000" "21.0000" "21.0000" "20.0000"
"2018/03/23" "20.0000" "136034.0000" "20.7500" "21.2558" "20.0000"
"2018/03/22" "20.6500" "153126.0000" "21.8400" "21.9690" "20.6300"
"2018/03/21" "22.1200" "89928.0000" "21.4800" "22.5600" "21.4800"
"2018/03/20" "21.4100" "130618.0000" "21.9000" "22.3721" "21.3000"
"2018/03/19" "21.8200" "141019.0000" "22.1500" "22.1894" "21.3100"
"2018/03/16" "22.3600" "215702.0000" "22.0400" "22.6700" "21.8500"
"2018/03/15" "22.0700" "104550.0000" "22.2700" "22.4700" "21.9200"
"2018/03/14" "22.2600" "208278.0000" "22.9900" "23.1800" "22.0000"
"2018/03/13" "22.8800" "148491.0000" "23.3600" "23.6000" "22.8100"
"2018/03/12" "23.2400" "155497.0000" "22.6800" "23.4700" "22.5900"
"2018/03/09" "22.7700" "220604.0000" "22.3500" "22.7900" "21.9260"
"2018/03/08" "22.1300" "205737.0000" "22.9700" "23.0000" "21.9200"
"2018/03/07" "22.9600" "240627.0000" "22.1000" "23.4200" "22.1000"
"2018/03/06" "22.3300" "200280.0000" "21.6600" "22.5800" "21.4200"
"2018/03/05" "21.6100" "432606.0000" "20.8300" "23.0400" "20.8000"
"2018/03/02" "20.8450" "502008.0000" "22.9800" "23.3050" "20.1501"
"2018/03/01" "23.3100" "172267.0000" "22.6100" "23.7028" "22.6100"
"2018/02/28" "22.5300" "158099.0000" "23.5800" "23.7200" "22.5100"
"2018/02/27" "23.5400" "76406.0000" "23.7100" "24.0700" "23.5000"
"2018/02/26" "23.7900" "201745.0000" "24.1100" "24.1746" "22.6800"
"2018/02/23" "24.1100" "87057.0000" "23.4300" "24.1500" "23.4300"
"2018/02/22" "23.3300" "134229.0000" "24.6400" "24.6400" "23.2500"
"2018/02/21" "24.4800" "90539.0000" "24.7000" "25.0800" "24.4500"
"2018/02/20" "24.6000" "225452.0000" "24.4800" "25.8400" "24.4800"
"2018/02/16" "24.4700" "107673.0000" "23.8200" "24.7380" "23.3500"
