date close volume open high low
2019/04/12 48.42 2263001.0 48.2 48.895 47.65
2019/04/11 47.5 1475261.0 47.43 47.92 47.135
2019/04/10 47.14 1246238.0 46.98 47.2 46.42
2019/04/09 46.9 1572878.0 47.45 47.57 46.77
2019/04/08 47.62 1499230.0 47.41 48.035 47.32
2019/04/05 47.57 1922515.0 47.71 47.9 47.27
2019/04/04 47.68 2155623.0 46.25 47.78 46.25
2019/04/03 47.18 2712820.0 47.55 47.93 47.03
2019/04/02 46.93 2350661.0 46.49 47.27 46.43
2019/04/01 46.72 2723269.0 45.71 46.84 45.71
2019/03/29 45.41 1950158.0 45.8 45.86 45.15
2019/03/28 45.37 1643374.0 44.92 45.4 44.67
2019/03/27 44.87 2237509.0 44.96 45.06 44.51
2019/03/26 44.98 4074714.0 43.92 44.98 43.92
2019/03/25 43.75 3669004.0 43.69 44.17 43.335
2019/03/22 43.64 5934977.0 45.47 45.6 43.18
2019/03/21 46.05 3905252.0 46.83 46.91 46.0
2019/03/20 47.11 2461517.0 48.72 49.01 47.1
2019/03/19 48.97 1878109.0 50.34 50.54 48.88
2019/03/18 50.04 2113704.0 49.24 50.16 49.24
2019/03/15 49.16 2966099.0 48.93 49.67 48.93
2019/03/14 49.08 2431580.0 49.2 49.38 48.83
2019/03/13 49.12 1968239.0 49.17 49.255 48.77
2019/03/12 48.92 2306499.0 49.0 49.2 48.53
2019/03/11 48.86 2228500.0 48.91 49.25 48.53
2019/03/08 48.7 1662969.0 48.28 48.84 48.15
2019/03/07 48.71 2057679.0 49.51 49.56 48.46
2019/03/06 49.67 1922903.0 50.72 50.7901 49.53
2019/03/05 50.79 2505858.0 50.87 51.24 49.98
2019/03/04 50.86 1964098.0 51.23 51.7 50.44
2019/03/01 51.17 2025466.0 51.44 51.81 50.715
2019/02/28 51.1 1896645.0 51.1 51.39 50.995
2019/02/27 51.08 2716513.0 50.54 51.23 50.26
2019/02/26 50.42 2068874.0 50.8 51.11 50.39
2019/02/25 50.99 1871126.0 51.42 51.72 50.95
2019/02/22 51.17 2407368.0 50.93 51.21 50.72
2019/02/21 50.9 3094657.0 50.77 51.1666 50.68
2019/02/20 51.28 1856007.0 50.69 51.33 50.42
2019/02/19 50.72 1770111.0 49.73 50.86 49.7
2019/02/15 50.11 2744450.0 49.24 50.145 48.13
2019/02/14 48.93 2704732.0 49.22 49.29 48.6
2019/02/13 49.55 2269284.0 49.69 50.0 49.31
2019/02/12 49.89 2646852.0 49.8 50.22 49.57
2019/02/11 49.42 1826139.0 49.3 49.65 49.14
2019/02/08 49.04 2798726.0 49.06 49.27 48.35
2019/02/07 49.3 3271816.0 49.67 50.23 49.02
2019/02/06 48.98 2015360.0 48.59 49.08 48.52
2019/02/05 48.83 3700195.0 48.95 49.19 48.25
2019/02/04 49.01 2681186.0 48.36 49.06 48.01
2019/02/01 48.29 2234718.0 47.8 48.38 47.45
2019/01/31 47.59 3905078.0 47.74 48.0 46.82
2019/01/30 47.98 2328608.0 48.4 48.63 47.92
2019/01/29 48.25 1810223.0 48.78 49.185 48.22
2019/01/28 48.8 2599627.0 48.28 48.95 48.11
2019/01/25 48.68 2842468.0 48.81 49.1973 48.55
2019/01/24 48.6 3140707.0 47.77 48.74 47.71
2019/01/23 48.11 5832975.0 47.4 48.485 46.72
2019/01/22 46.53 4300998.0 46.8 46.96 46.18
2019/01/18 47.05 4259614.0 46.85 47.21 46.07
2019/01/17 46.59 3951661.0 45.54 46.63 45.15
2019/01/16 45.75 2811491.0 45.14 45.92 44.97
2019/01/15 44.81 1745390.0 44.15 44.83 43.78
2019/01/14 44.32 2113652.0 43.67 44.56 43.54
2019/01/11 43.99 2068149.0 43.48 44.14 43.26
2019/01/10 43.76 1978674.0 43.44 43.95 43.18
2019/01/09 43.55 2700284.0 43.33 43.95 42.98
2019/01/08 43.18 2819191.0 43.31 43.33 42.46
2019/01/07 42.79 2436168.0 42.27 43.39 42.1
2019/01/04 42.62 2284299.0 42.13 42.805 41.88
2019/01/03 41.35 2078449.0 41.53 42.14 41.2
2019/01/02 41.58 2202331.0 40.03 41.61 40.03
2018/12/31 40.74 2463618.0 40.49 40.96 39.94
