date close volume open high low
2019/04/12 19.52 1553799.0 19.35 19.67 19.34
2019/04/11 19.22 1690031.0 18.94 19.25 18.86
2019/04/10 19.11 1402442.0 18.99 19.18 18.83
2019/04/09 18.97 1277304.0 18.87 19.005 18.84
2019/04/08 18.94 1915330.0 18.91 19.03 18.825
2019/04/05 18.9 2075908.0 18.58 19.03 18.56
2019/04/04 18.47 2335635.0 18.39 18.59 18.37
2019/04/03 18.37 2120586.0 18.35 18.61 18.27
2019/04/02 18.25 1481932.0 18.45 18.52 18.24
2019/04/01 18.45 2970255.0 18.65 18.78 18.277
2019/03/29 18.28 3723341.0 17.9 18.3 17.9
2019/03/28 17.98 1693647.0 17.8 18.01 17.78
2019/03/27 17.83 1478408.0 18.0 18.04 17.71
2019/03/26 17.9 2130956.0 18.1 18.1 17.78
2019/03/25 17.84 3733084.0 17.65 17.84 17.62
2019/03/22 17.69 3659929.0 18.23 18.24 17.62
2019/03/21 18.26 4269285.0 18.29 18.43 18.04
2019/03/20 18.33 3388191.0 18.65 18.69 18.16
2019/03/19 18.64 2237303.0 18.99 19.01 18.56
2019/03/18 18.88 3437629.0 19.2 19.3775 18.53
2019/03/15 19.06 3789297.0 19.3 19.35 19.035
2019/03/14 19.12 3988811.0 19.3 19.43 18.85
2019/03/13 19.29 9720603.0 18.84 19.417 18.45
2019/03/12 20.01 7636325.0 19.76 20.195 19.44
2019/03/11 20.13 6425294.0 20.29 20.365 19.86
2019/03/08 20.17 3091960.0 20.1 20.21 19.56
2019/03/07 20.46 3069131.0 20.67 20.71 20.14
2019/03/06 20.86 2643444.0 20.88 21.01 20.72
2019/03/05 20.94 4629238.0 20.99 21.36 20.89
2019/03/04 21.15 6729875.0 19.88 21.3 19.88
2019/03/01 19.59 4050019.0 20.03 20.1 19.425
2019/02/28 19.88 38709080.0 19.68 19.98 19.42
2019/02/27 19.54 4245684.0 19.5 19.8 19.44
2019/02/26 19.49 3770983.0 19.49 19.59 19.2
2019/02/25 19.7 4692725.0 19.97 20.18 19.675
2019/02/22 19.61 4109946.0 19.65 19.76 19.44
2019/02/21 19.45 3807345.0 19.3 19.56 19.04
2019/02/20 19.23 4703838.0 19.2 19.6 19.1
2019/02/19 19.25 5253683.0 18.87 19.33 18.75
2019/02/15 18.81 2933440.0 19.08 19.1 18.655
2019/02/14 19.18 4291260.0 19.17 19.43 19.04
2019/02/13 19.25 5852515.0 18.8 19.43 18.8
2019/02/12 18.8 7167410.0 18.46 19.44 18.41
2019/02/11 18.15 5121916.0 18.0 18.42 17.99
2019/02/08 17.91 2541429.0 17.6 17.99 17.6
2019/02/07 17.79 1815397.0 17.73 17.8 17.52
2019/02/06 17.84 1036137.0 17.58 17.94 17.58
2019/02/05 17.61 1675108.0 17.5 17.7 17.31
2019/02/04 17.45 1204891.0 17.48 17.6 17.24
2019/02/01 17.37 1502444.0 17.19 17.45 17.18
2019/01/31 17.12 1915212.0 17.25 17.36 16.98
2019/01/30 17.27 1818025.0 17.2 17.32 16.7197
2019/01/29 17.19 1453718.0 17.2 17.27 16.96
2019/01/28 17.25 3481689.0 17.3 17.42 17.15
2019/01/25 17.43 1866969.0 17.46 17.49 17.24
2019/01/24 17.29 1816928.0 17.08 17.65 17.02
2019/01/23 17.05 2683916.0 17.32 17.48 16.95
2019/01/22 17.14 2320891.0 17.75 17.75 17.09
2019/01/18 17.99 2724952.0 18.09 18.2 17.84
2019/01/17 17.91 1570992.0 17.6 17.99 17.6
2019/01/16 17.69 1898283.0 17.69 17.8 17.52
2019/01/15 17.6 1371636.0 17.32 17.64 17.12
2019/01/14 17.29 1101451.0 17.11 17.4368 16.84
2019/01/11 17.36 2108639.0 17.2 17.47 17.14
2019/01/10 17.28 2296358.0 17.1 17.48 17.04
2019/01/09 17.11 2481082.0 16.74 17.44 16.74
2019/01/08 16.54 1402080.0 16.74 16.97 16.405
2019/01/07 16.63 673505.0 16.39 16.71 16.25
2019/01/04 16.16 748858.0 15.59 16.31 15.59
2019/01/03 15.33 1109768.0 15.96 15.96 15.3
2019/01/02 16.07 1200649.0 15.56 16.26 15.56
2018/12/31 15.83 1094662.0 16.0 16.1 15.439
2018/12/28 16.0 1864078.0 16.0 16.1 15.92
2018/12/27 16.0 1798339.0 16.02 16.25 15.86
2018/12/26 16.43 658257.0 16.04 16.47 16.02
2018/12/24 15.99 418011.0 15.75 16.14 15.62
2018/12/21 15.93 1342658.0 15.55 16.02 15.52
2018/12/20 15.47 2008273.0 15.6 15.71 15.33
2018/12/19 15.5 1247352.0 16.0 16.02 15.49
2018/12/18 16.03 777980.0 16.24 16.37 15.98
2018/12/17 16.14 525679.0 16.33 16.42 16.05
2018/12/14 16.44 489655.0 16.27 16.53 16.15
2018/12/13 16.48 2975742.0 16.5 16.69 16.395
2018/12/12 16.45 940847.0 16.27 16.68 16.24
2018/12/11 15.95 1236291.0 15.96 16.13 15.83
2018/12/10 15.73 1130781.0 15.76 15.85 15.44
2018/12/07 15.83 998691.0 16.03 16.42 15.795
2018/12/06 16.06 1583785.0 16.34 16.41 15.89
